date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-11,25.54,28.5,25.41,26.8,4788820,25.54,28.5,25.41,26.8,4788820,0.0,1.0
2024-01-12,23.96,25.53,23.82,25.53,3270022,23.96,25.53,23.82,25.53,3270022,0.0,1.0
2024-01-16,23.72,23.8732,23.02,23.77,2224527,23.72,23.8732,23.02,23.77,2224527,0.0,1.0
2024-01-17,23.4,23.58,23.08,23.52,1955971,23.4,23.58,23.08,23.52,1955971,0.0,1.0
2024-01-18,22.34,23.4,22.23,23.4,2856857,22.34,23.4,22.23,23.4,2856857,0.0,1.0
2024-01-19,22.73,23.05,22.01,22.53,4606173,22.73,23.05,22.01,22.53,4606173,0.0,1.0
2024-01-22,21.97,22.33,21.52,22.27,2279985,21.97,22.33,21.52,22.27,2279985,0.0,1.0
2024-01-23,21.39,21.639,21.05,21.25,2329246,21.39,21.639,21.05,21.25,2329246,0.0,1.0
2024-01-24,21.6,21.948,21.5669,21.85,1668956,21.6,21.948,21.5669,21.85,1668956,0.0,1.0
2024-01-25,21.73,21.89,21.57,21.86,1260076,21.73,21.89,21.57,21.86,1260076,0.0,1.0
2024-01-26,22.91,23.04,22.42,22.47,2831908,22.91,23.04,22.42,22.47,2831908,0.0,1.0
2024-01-29,23.57,23.65,22.79,22.9,2239740,23.57,23.65,22.79,22.9,2239740,0.0,1.0
2024-01-30,23.78,23.87,23.595,23.73,1684526,23.78,23.87,23.595,23.73,1684526,0.0,1.0
2024-01-31,23.22,23.865,23.169,23.32,1264446,23.22,23.865,23.169,23.32,1264446,0.0,1.0
2024-02-01,23.45,23.6,23.03,23.03,1315226,23.45,23.6,23.03,23.03,1315226,0.0,1.0
2024-02-02,23.41,23.71,23.28,23.3,1732241,23.41,23.71,23.28,23.3,1732241,0.0,1.0
2024-02-05,23.12,23.68,23.06,23.62,1001230,23.12,23.68,23.06,23.62,1001230,0.0,1.0
2024-02-06,23.52,23.6671,23.37,23.37,880945,23.52,23.6671,23.37,23.37,880945,0.0,1.0
2024-02-07,24.1,24.1578,23.4001,23.53,1912715,24.1,24.1578,23.4001,23.53,1912715,0.0,1.0
2024-02-08,24.85,24.89,24.4901,24.61,1988302,24.85,24.89,24.4901,24.61,1988302,0.0,1.0
2024-02-09,25.95,26.3,25.54,25.66,2058953,25.95,26.3,25.54,25.66,2058953,0.0,1.0
2024-02-12,27.4,27.5128,26.27,26.27,3209887,27.4,27.5128,26.27,26.27,3209887,0.0,1.0
2024-02-13,26.99,27.025,26.4,26.73,3684865,26.99,27.025,26.4,26.73,3684865,0.0,1.0
2024-02-14,28.26,28.46,27.99,28.23,3330752,28.26,28.46,27.99,28.23,3330752,0.0,1.0
2024-02-15,28.23,28.87,28.17,28.66,4990726,28.23,28.87,28.17,28.66,4990726,0.0,1.0
2024-02-16,28.34,28.639,28.182,28.58,1714740,28.34,28.639,28.182,28.58,1714740,0.0,1.0
2024-02-20,28.37,28.59,27.69,28.56,6324310,28.37,28.59,27.69,28.56,6324310,0.0,1.0
2024-02-21,27.82,28.06,27.645,27.78,1196165,27.82,28.06,27.645,27.78,1196165,0.0,1.0
2024-02-22,28.42,28.43,27.845,27.89,1096290,28.42,28.43,27.845,27.89,1096290,0.0,1.0
2024-02-23,27.9,28.005,27.63,27.96,1534678,27.9,28.005,27.63,27.96,1534678,0.0,1.0
2024-02-26,29.77,30.01,28.05,28.05,2829760,29.77,30.01,28.05,28.05,2829760,0.0,1.0
2024-02-27,31.15,31.47,30.73,31.07,2914491,31.15,31.47,30.73,31.07,2914491,0.0,1.0
2024-02-28,32.97,35.11,32.25,32.83,7881354,32.97,35.11,32.25,32.83,7881354,0.0,1.0
2024-02-29,33.83,34.769,32.97,34.59,4537609,33.83,34.769,32.97,34.59,4537609,0.0,1.0
2024-03-01,34.43,34.58,33.41,34.1,3244610,34.43,34.58,33.41,34.1,3244610,0.0,1.0
