date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-05-12,23.24,25.13,23.16,24.54,106914,22.0529718588132,23.8464364376925,21.9770580142045,23.2865718337037,106914,0.0,1.0
2021-05-13,21.49,23.51,20.857,23.03,340956,20.3923565079989,22.3091810843673,19.791688212533,21.8536980167154,340956,0.0,1.0
2021-05-14,23.32,23.4,22.6001,22.93,790779,22.1288857034218,22.2047995480305,21.4457559942497,21.7588057109546,790779,0.0,1.0
2021-05-17,22.38,23.6,21.75,22.5,572683,21.2368980292702,22.3945841595521,20.639076502977,21.3507687961831,572683,0.0,1.0
2021-05-18,22.27,22.98,22.02,22.28,273218,21.1325164929333,21.806251863835,20.8952857285312,21.1420057235093,273218,0.0,1.0
2021-05-19,21.0,21.17,19.56,19.99,443766,19.9273842097709,20.0887011295643,18.5609350068152,18.9689719215867,443766,0.0,1.0
2021-05-20,21.74,22.25,21.25,22.11,214320,20.6295872724009,21.1135380317811,20.164614974173,20.980688803716,214320,0.0,1.0
2021-05-21,20.55,22.19,20.5,22.0,296984,19.5003688338473,21.0566026483246,19.4529226809669,20.8763072673791,296984,0.0,1.0
2021-05-24,21.44,21.5,20.7,21.1,163622,20.3449103551185,20.401845738575,19.6427072924885,20.0222765155317,163622,0.0,1.0
2021-05-25,21.6379,21.8,21.23,21.49,129524,20.5327022282192,20.6865226558574,20.1456365130208,20.3923565079989,129524,0.0,1.0
2021-05-26,22.81,23.03,22.0,22.3,163783,21.6449349440417,21.8536980167154,20.8763072673791,21.1609841846615,163783,0.0,1.0
2021-05-27,23.29,23.47,22.81,23.47,119955,22.1004180116936,22.271224162063,21.6449349440417,22.271224162063,119955,0.0,1.0
2021-05-28,22.35,23.12,22.27,23.1,122785,21.2084303375419,21.9391010919002,21.1325164929333,21.920122630748,122785,0.0,1.0
2021-06-01,22.9755,23.21,22.61,22.62,77792,21.8019817100758,22.0245041670849,21.45515033252,21.4646395630961,77792,0.0,1.0
2021-06-02,23.31,23.53,23.0,23.49,125280,22.1193964728457,22.3281595455195,21.8252303249872,22.2902026232152,125280,0.0,1.0
2021-06-03,22.75,23.49,22.7,23.42,75494,21.5879995605852,22.2902026232152,21.5405534077048,22.2237780091826,75494,0.0,1.0
2021-06-04,22.75,22.78,22.37,22.7,97636,21.5879995605852,21.6164672523134,21.2274087986941,21.5405534077048,97636,0.0,1.0
2021-06-07,22.35,23.0,22.2001,23.0,165738,21.2084303375419,21.8252303249872,21.0661867712064,21.8252303249872,165738,0.0,1.0
2021-06-08,21.46,21.87,20.62,21.87,219036,20.3638888162707,20.75294726989,19.5667934478798,20.75294726989,219036,0.0,1.0
2021-06-09,22.6966,23.13,21.65,21.76,118734,21.5373270693089,21.9485903224763,20.5441841972162,20.6485657335531,118734,0.0,1.0
2021-06-10,22.82,23.439,22.56,23.15,76075,21.6544241746177,22.2418075472772,21.4077041796396,21.9675687836284,76075,0.0,1.0
2021-06-11,22.44,22.88,22.21,22.87,52815,21.2938334127266,21.7113595580742,21.0755811094768,21.7018703274981,52815,0.0,1.0
2021-06-14,24.17,24.8682,23.34,23.4,152578,22.9354703023887,23.5980083812107,22.147864164574,22.2047995480305,152578,0.0,1.0
2021-06-15,24.1101,24.49,23.5001,24.49,119172,22.878629811238,23.2391256808233,22.299786746097,23.2391256808233,119172,0.0,1.0
2021-06-16,23.479,23.93,23.01,23.87,69891,22.2797644695815,22.7077287685628,21.8347195555633,22.6507933851063,69891,0.0,1.0
2021-06-17,23.684,24.1599,23.34,23.34,87377,22.4742936963912,22.9258861795069,22.147864164574,22.147864164574,87377,0.0,1.0
2021-06-18,22.9356,23.5,22.7,23.33,61203,21.7641196800772,22.2996918537913,21.5405534077048,22.1383749339979,61203,0.0,1.0
2021-06-21,22.0,22.345,21.76,22.24,156486,20.8763072673791,21.2036857222539,20.6485657335531,21.104048801205,156486,0.0,1.0
2021-06-22,21.7362,21.7899,20.26,21.28,170872,20.625981364782,20.6769385329756,19.2251811471409,20.1930826659012,170872,0.0,1.0
2021-06-23,22.0001,22.5699,22.0001,22.41,76235,20.8764021596848,21.4170985179099,20.8764021596848,21.2653657209984,76235,0.0,1.0
