date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-06-27,15.4593,15.8989,15.2,15.57,354246,12.9998041699773,13.3694660507301,12.7817574782593,13.0928923642433,354246,0.0,1.0
2023-06-28,14.88,15.26,14.65,15.01,369825,12.5126678471381,12.8322117840946,12.3192596747697,12.6219855097811,369825,0.0,1.0
2023-06-29,15.3795,15.58,15.2255,15.53,234677,12.9326999432164,13.1013014152158,12.8032005582393,13.0592561603531,234677,0.0,1.0
2023-06-30,15.0,15.88,14.06,15.88,531294,12.6135764588086,13.353572944392,11.8231256673899,13.353572944392,531294,0.0,1.0
2023-07-03,15.79,15.91,15.27,15.35,305960,13.2778914856391,13.3788000973096,12.8406208350671,12.9078932428474,305960,0.0,1.0
2023-07-05,15.04,15.23,14.77,14.81,334920,12.6472126626987,12.806984631177,12.4201682864402,12.4538044903303,334920,0.0,1.0
2023-07-06,14.87,15.22,14.42,15.22,336468,12.5042587961656,12.7985755802044,12.1258515024013,12.7985755802044,336468,0.0,1.0
2023-07-07,14.75,15.02,14.6306,14.76,171525,12.4033501844951,12.6303945607536,12.302946115883,12.4117592354676,171525,0.0,1.0
2023-07-10,15.4,15.4,14.68,14.7,520095,12.9499384977101,12.9499384977101,12.3444868276873,12.3613049296324,520095,0.0,1.0
2023-07-11,15.06,15.29,14.765,14.87,418144,12.6640307646438,12.8574389370122,12.4159637609539,12.5042587961656,418144,0.0,1.0
2023-07-12,14.75,15.33,14.64,15.13,422498,12.4033501844951,12.8910751409024,12.3108506237972,12.7228941214516,422498,0.0,1.0
2023-07-13,16.2095,16.4,14.95,15.0,1288290,13.6306511739372,13.790843594964,12.5715312039459,12.6135764588086,1288290,0.0,1.0
2023-07-14,14.54,15.809,14.329,15.62,682158,12.2267601140718,13.293868682487,12.0493291385512,13.134937619106,682158,0.0,1.0
2023-07-17,14.24,14.65,14.01,14.58,503384,11.9744885848956,12.3192596747697,11.7810804125272,12.2603963179619,503384,0.0,1.0
2023-07-18,14.05,14.32,13.8,14.12,553571,11.8147166164174,12.0417609926759,11.6044903421039,11.8735799732251,553571,0.0,1.0
2023-07-19,14.36,14.42,14.02,14.25,303055,12.0753971965661,12.1258515024013,11.7894894634997,11.9828976358681,303055,0.0,1.0
2023-07-20,14.06,14.58,13.84,14.53,325249,11.8231256673899,12.2603963179619,11.638126545994,12.2183510630992,325249,0.0,1.0
2023-07-21,14.17,14.34,14.07,14.2,226788,11.9156252280878,12.058579094621,11.8315347183624,11.9408523810054,226788,0.0,1.0
2023-07-24,13.4,13.57,13.145,13.55,520696,11.2681283032023,11.4110821697355,11.0536975034026,11.3942640677904,520696,0.0,1.0
2023-07-25,13.48,13.64,13.42,13.42,292374,11.3354007109826,11.4699455265433,11.2849464051474,11.2849464051474,292374,0.0,1.0
2023-07-26,13.62,13.6781,13.45,13.4913,125907,11.4531274245982,11.5019840107486,11.310173558065,11.3449029385816,125907,0.0,1.0
2023-07-27,13.32,13.7291,13.22,13.69,214692,11.200855895422,11.5448701707086,11.1167653856966,11.511990781406,214692,0.0,1.0
2023-07-28,13.54,13.77,13.41,13.48,346456,11.3858550168179,11.5792631891863,11.2765373541749,11.3354007109826,346456,0.0,1.0
2023-07-31,13.33,13.65,13.3,13.65,214613,11.2092649463945,11.4783545775158,11.1840377934769,11.4783545775158,214613,0.0,1.0
2023-08-01,13.44,13.5,12.71,13.07,405968,11.3017645070925,11.3522188129277,10.6879037860971,10.9906296211085,405968,0.0,1.0
2023-08-02,13.29,13.61,13.021,13.55,494987,11.1756287425044,11.4447183736256,10.9494252713431,11.3942640677904,494987,0.0,1.0
2023-08-03,13.4,13.549,13.27,13.3,295986,11.2681283032023,11.3934231626931,11.1588106405593,11.1840377934769,295986,0.0,1.0
2023-08-04,13.14,13.47,13.07,13.33,712198,11.0494929779163,11.3269916600101,10.9906296211085,11.2092649463945,712198,0.0,1.0
2023-08-07,13.25,13.28,12.79,13.18,240483,11.1419925386142,11.1672196915318,10.7551761938774,11.0831291818065,240483,0.0,1.0
2023-08-08,13.99,14.15,13.44,13.59,279347,11.7642623105821,11.8988071261427,11.3017645070925,11.4279002716806,279347,0.0,1.0
