date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-04-24,50.1432,50.18,50.1432,50.16,498036,43.5732985199446,43.6052768816274,43.5732985199446,43.5878973372346,498036,0.0,1.0
2020-04-27,50.073,50.08,50.06,50.08,1502,43.5122963191257,43.5183791596632,43.5009996152704,43.5183791596632,1502,0.0,1.0
2020-04-28,50.144,50.144,50.05,50.06,11009,43.5739937017203,43.5739937017203,43.492309843074,43.5009996152704,11009,0.0,1.0
2020-04-29,50.18,50.21,50.18,50.21,446,43.6052768816274,43.6313461982167,43.6052768816274,43.6313461982167,446,0.0,1.0
2020-04-30,50.188,50.188,50.188,50.188,6,43.6122286993846,43.6122286993846,43.6122286993846,43.6122286993846,6,0.0,1.0
2020-05-01,50.18,50.2,50.14,50.17,8560,43.6052768816274,43.6226564260203,43.5705177928417,43.596587109431,8560,0.0,1.0
2020-05-04,50.148,50.17,50.148,50.17,1004,43.5774696105989,43.596587109431,43.5774696105989,43.596587109431,1004,0.0,1.0
2020-05-05,50.148,50.148,50.148,50.148,2,43.5774696105989,43.5774696105989,43.5774696105989,43.5774696105989,2,0.0,1.0
2020-05-06,50.116,50.116,50.116,50.116,68,43.5496623395703,43.5496623395703,43.5496623395703,43.5496623395703,68,0.0,1.0
2020-05-07,50.023,50.023,50.023,50.023,71,43.4688474581436,43.4688474581436,43.4688474581436,43.4688474581436,71,0.0,1.0
2020-05-08,49.992,50.04,49.992,50.04,201,43.4419091643348,43.4836200708776,43.4419091643348,43.4836200708776,201,0.0,1.0
2020-05-11,49.854,49.854,49.854,49.854,0,43.3219903080242,43.3219903080242,43.3219903080242,43.3219903080242,0,0.0,1.0
2020-05-12,49.875,49.875,49.86,49.86,733,43.3402388296367,43.3402388296367,43.327204171342,43.327204171342,733,0.0,1.0
2020-05-13,49.96,49.96,49.96,49.96,0,43.4141018933062,43.4141018933062,43.4141018933062,43.4141018933062,0,0.0,1.0
2020-05-14,50.108,50.108,50.08,50.08,2400,43.5427105218132,43.5427105218132,43.5183791596632,43.5183791596632,2400,0.0,1.0
2020-05-15,50.12,50.18,50.12,50.18,3199,43.5531382484489,43.6052768816274,43.5531382484489,43.6052768816274,3199,0.0,1.0
2020-05-18,50.031,50.06,50.031,50.06,617,43.4757992759008,43.5009996152704,43.4757992759008,43.5009996152704,617,0.0,1.0
2020-05-19,50.09,50.09,50.05,50.05,351,43.5270689318597,43.5270689318597,43.492309843074,43.492309843074,351,0.0,1.0
