date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-07-14,23.006,26.0,22.97,24.35,185911,79.6353342210458,89.9990737089103,79.5107201189873,84.2875940312294,46477,0.0,1.0
2021-07-15,22.13,23.07,21.65,22.72,138765,76.6030577376225,79.8568704024831,74.9415363768426,78.6453444102477,34691,0.0,1.0
2021-07-16,21.72,22.45,21.7,22.4,40544,75.1838415752896,77.7107386448091,75.1146115185905,77.5376635030612,10136,0.0,1.0
2021-07-19,20.77,21.16,20.5,20.92,18004,71.8954138820795,73.2453999877131,70.9608081166408,72.4146393073232,4501,0.0,1.0
2021-07-20,21.0793,21.25,19.85,20.68,63692,72.966056708932,73.5569352428594,68.710831273918,71.5838786269332,15923,0.0,1.0
2021-07-21,23.07,23.46,22.13,22.15,54840,79.8568704024831,81.2068565081167,76.6030577376225,76.6722877943216,13710,0.0,1.0
2021-07-22,22.8836,23.7,22.8,23.7,24647,79.2116462740469,82.0376171885067,78.9222646370444,82.0376171885067,6161,0.0,1.0
2021-07-23,22.64,22.88,22.37,22.88,31556,78.3684241834511,79.199184863841,77.4338184180124,79.199184863841,7889,0.0,1.0
2021-07-26,25.82,26.0,24.61,25.0,45974,89.3760031986178,89.9990737089103,85.1875847683185,86.5375708739522,11493,0.0,1.0
2021-07-27,23.77,25.0,23.301,25.0,41184,82.2799223869537,86.5375708739522,80.6564775573584,86.5375708739522,10296,0.0,1.0
2021-07-28,24.84,25.12,24.46,24.6,32995,85.9837304203589,86.9529512141472,84.6683593430748,85.152969739969,8248,0.0,1.0
2021-07-29,24.51,25.19,24.48,24.84,33472,84.8414344848227,87.1952564125942,84.737589399774,85.9837304203589,8368,0.0,1.0
2021-07-30,24.63,24.719,23.96,24.02,11822,85.2568148250177,85.564888577329,82.9376079255958,83.1452980956933,2955,0.0,1.0
2021-08-02,24.9,25.44,24.53,24.63,28326,86.1914205904564,88.0606321213338,84.9106645415219,85.2568148250177,7081,0.0,1.0
2021-08-03,24.4,24.75,24.041,24.61,15097,84.4606691729773,85.6721951652127,83.2179896552274,85.1875847683185,3774,0.0,1.0
2021-08-04,25.75,25.81,24.43,24.71,37046,89.1336980001708,89.3413881702682,84.5645142580261,85.5337350518143,9261,0.0,1.0
2021-08-05,27.05,27.2793,25.0101,25.44,64962,93.6336516856163,94.4273742856722,86.5725320525853,88.0606321213338,16240,0.0,1.0
2021-08-06,28.49,28.729,26.8788,27.09,39877,98.6182157679559,99.4455149455109,93.0410424002714,93.7721117990146,9969,0.0,1.0
2021-08-09,30.05,30.99,29.6,30.11,95536,104.018160190491,107.271972855351,102.460483914759,104.225850360588,23884,0.0,1.0
2021-08-10,29.3689,30.36,28.75,30.15,100266,101.660530609601,105.091226069328,99.518206505045,104.364310473986,25066,0.0,1.0
2021-08-11,29.6,30.8,29.4,30.11,50060,102.460483914759,106.614287316709,101.768183347768,104.225850360588,12515,0.0,1.0
2021-08-12,28.499,29.2,27.68,28.8,144026,98.6493692934705,101.075882780776,95.8143984716399,99.6912816467929,36006,0.0,1.0
