date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-05-17,25.3363,25.3363,25.0,25.03,4402,25.3363,25.3363,25.0,25.03,4402,0.0,1.0
2023-05-18,25.6987,25.73,25.5,25.5,671,25.6987,25.73,25.5,25.5,671,0.0,1.0
2023-05-19,25.6761,25.6761,25.6394,25.6394,704,25.6761,25.6761,25.6394,25.6394,704,0.0,1.0
2023-05-22,26.2397,26.2397,26.2397,26.2397,22,26.2397,26.2397,26.2397,26.2397,22,0.0,1.0
2023-05-23,25.7449,26.18,25.7449,26.18,1205,25.7449,26.18,25.7449,26.18,1205,0.0,1.0
2023-05-24,25.5928,25.5928,25.5928,25.5928,3,25.5928,25.5928,25.5928,25.5928,3,0.0,1.0
2023-05-25,25.4418,25.84,25.4418,25.84,425,25.4418,25.84,25.4418,25.84,425,0.0,1.0
2023-05-26,25.6583,25.6583,25.63,25.63,220,25.6583,25.6583,25.63,25.63,220,0.0,1.0
2023-05-30,25.7663,25.7663,25.7663,25.7663,20,25.7663,25.7663,25.7663,25.7663,20,0.0,1.0
2023-05-31,25.7486,25.7486,25.7486,25.7486,99,25.7486,25.7486,25.7486,25.7486,99,0.0,1.0
2023-06-01,26.1803,26.1803,26.1803,26.1803,99,26.1803,26.1803,26.1803,26.1803,99,0.0,1.0
2023-06-02,26.8892,26.8892,26.8892,26.8892,20,26.8892,26.8892,26.8892,26.8892,20,0.0,1.0
2023-06-05,26.9171,26.9171,26.811,26.87,1225,26.9171,26.9171,26.811,26.87,1225,0.0,1.0
2023-06-06,27.2293,27.2293,27.2293,27.2293,7,27.2293,27.2293,27.2293,27.2293,7,0.0,1.0
2023-06-07,26.83,26.9599,26.83,26.9599,246,26.83,26.9599,26.83,26.9599,246,0.0,1.0
2023-06-08,27.1219,27.1219,27.1219,27.1219,35,27.1219,27.1219,27.1219,27.1219,35,0.0,1.0
2023-06-09,27.1122,27.1122,27.1122,27.1122,97,27.1122,27.1122,27.1122,27.1122,97,0.0,1.0
2023-06-12,27.4926,27.4926,27.4926,27.4926,1,27.4926,27.4926,27.4926,27.4926,1,0.0,1.0
2023-06-13,27.9043,27.9043,27.9043,27.9043,4,27.9043,27.9043,27.9043,27.9043,4,0.0,1.0
2023-06-14,27.8379,27.8379,27.8379,27.8379,1,27.8379,27.8379,27.8379,27.8379,1,0.0,1.0
2023-06-15,28.1288,28.1288,28.1288,28.1288,37,28.1288,28.1288,28.1288,28.1288,37,0.0,1.0
2023-06-16,27.7619,27.7619,27.7619,27.7619,6,27.7619,27.7619,27.7619,27.7619,6,0.0,1.0
2023-06-20,27.7535,27.7535,27.7535,27.7535,2,27.7535,27.7535,27.7535,27.7535,2,0.0,1.0
2023-06-21,27.456,27.456,27.456,27.456,2,27.456,27.456,27.456,27.456,2,0.0,1.0
2023-06-22,27.4724,27.4724,27.4724,27.4724,0,27.4724,27.4724,27.4724,27.4724,0,0.0,1.0
2023-06-23,27.07,27.07,27.07,27.07,0,27.07,27.07,27.07,27.07,0,0.0,1.0
2023-06-26,26.7878,26.7878,26.7878,26.7878,1,26.7878,26.7878,26.7878,26.7878,1,0.0,1.0
2023-06-27,27.0508,27.0508,27.0508,27.0508,1,27.0508,27.0508,27.0508,27.0508,1,0.0,1.0
2023-06-28,27.3941,27.3941,27.3941,27.3941,3,27.3941,27.3941,27.3941,27.3941,3,0.0,1.0
2023-06-29,27.3035,27.3035,27.3035,27.3035,7,27.3035,27.3035,27.3035,27.3035,7,0.0,1.0
2023-06-30,27.6241,27.6241,27.6241,27.6241,5,27.6241,27.6241,27.6241,27.6241,5,0.0,1.0
2023-07-03,27.5782,27.5782,27.5782,27.5782,19,27.5782,27.5782,27.5782,27.5782,19,0.0,1.0
2023-07-05,27.5266,27.5266,27.5266,27.5266,1,27.5266,27.5266,27.5266,27.5266,1,0.0,1.0
2023-07-06,27.0353,27.0353,27.0353,27.0353,8,27.0353,27.0353,27.0353,27.0353,8,0.0,1.0
2023-07-07,27.1327,27.1327,27.1327,27.1327,1,27.1327,27.1327,27.1327,27.1327,1,0.0,1.0
2023-07-10,27.5307,27.5307,27.5307,27.5307,1,27.5307,27.5307,27.5307,27.5307,1,0.0,1.0
2023-07-11,27.9103,27.9103,27.9103,27.9103,2,27.9103,27.9103,27.9103,27.9103,2,0.0,1.0
2023-07-12,28.2767,28.3,28.09,28.2646,4400,28.2767,28.3,28.09,28.2646,4400,0.0,1.0
2023-07-13,28.8294,28.86,28.74,28.74,301,28.8294,28.86,28.74,28.74,301,0.0,1.0
2023-07-14,28.565,28.75,28.565,28.72,301,28.565,28.75,28.565,28.72,301,0.0,1.0
2023-07-17,28.8663,28.92,28.8663,28.88,328,28.8663,28.92,28.8663,28.88,328,0.0,1.0
2023-07-18,29.0307,29.0307,28.93,28.93,205,29.0307,29.0307,28.93,28.93,205,0.0,1.0
2023-07-19,29.0118,29.0118,29.0118,29.0118,11,29.0118,29.0118,29.0118,29.0118,11,0.0,1.0
2023-07-20,28.2465,28.2465,28.2465,28.2465,31,28.2465,28.2465,28.2465,28.2465,31,0.0,1.0
2023-07-21,28.2739,28.2739,28.2739,28.2739,31,28.2739,28.2739,28.2739,28.2739,31,0.0,1.0
2023-07-24,28.0358,28.0358,28.0358,28.0358,1,28.0358,28.0358,28.0358,28.0358,1,0.0,1.0
2023-07-25,28.2053,28.22,28.2053,28.22,100,28.2053,28.22,28.2053,28.22,100,0.0,1.0
2023-07-26,28.23,28.23,28.23,28.23,100,28.23,28.23,28.23,28.23,100,0.0,1.0
2023-07-27,28.009,28.01,28.009,28.01,137,28.009,28.01,28.009,28.01,137,0.0,1.0
2023-07-28,28.6875,28.6875,28.6875,28.6875,26,28.6875,28.6875,28.6875,28.6875,26,0.0,1.0
2023-07-31,28.9567,28.9567,28.9567,28.9567,14,28.9567,28.9567,28.9567,28.9567,14,0.0,1.0
2023-08-01,28.7275,28.7275,28.7275,28.7275,36,28.7275,28.7275,28.7275,28.7275,36,0.0,1.0
2023-08-02,27.8381,27.8381,27.8381,27.8381,37,27.8381,27.8381,27.8381,27.8381,37,0.0,1.0
2023-08-03,27.7322,27.7322,27.7322,27.7322,2,27.7322,27.7322,27.7322,27.7322,2,0.0,1.0
2023-08-04,27.635,27.635,27.635,27.635,2,27.635,27.635,27.635,27.635,2,0.0,1.0
2023-08-07,27.6182,27.6182,27.6182,27.6182,0,27.6182,27.6182,27.6182,27.6182,0,0.0,1.0
2023-08-08,27.1946,27.1946,27.1946,27.1946,0,27.1946,27.1946,27.1946,27.1946,0,0.0,1.0
2023-08-09,26.863,26.863,26.863,26.863,0,26.863,26.863,26.863,26.863,0,0.0,1.0
2023-08-10,26.9002,26.9002,26.9002,26.9002,0,26.9002,26.9002,26.9002,26.9002,0,0.0,1.0
2023-08-11,26.6481,26.6481,26.6481,26.6481,4,26.6481,26.6481,26.6481,26.6481,4,0.0,1.0
2023-08-14,26.8936,26.8936,26.79,26.79,223,26.8936,26.8936,26.79,26.79,223,0.0,1.0
2023-08-15,26.6269,26.6269,26.6269,26.6269,1,26.6269,26.6269,26.6269,26.6269,1,0.0,1.0
2023-08-16,26.2232,26.2232,26.2232,26.2232,1,26.2232,26.2232,26.2232,26.2232,1,0.0,1.0
2023-08-17,25.7103,25.7103,25.7103,25.7103,0,25.7103,25.7103,25.7103,25.7103,0,0.0,1.0
2023-08-18,25.6559,25.6559,25.6559,25.6559,3,25.6559,25.6559,25.6559,25.6559,3,0.0,1.0
