date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-17,24.25,24.34,23.94,24.2,608496,22.7888854269752,22.8734627337145,22.497563592651,22.7418980343422,608496,0.0,1.0
2018-01-18,24.23,24.32,24.15,24.3,1319075,22.770090469922,22.8546677766613,22.6949106417093,22.8358728196081,1319075,0.0,1.0
2018-01-19,24.41,24.42,24.28,24.37,669241,22.9392450834006,22.9486425619272,22.8170778625549,22.9016551692942,669241,0.0,1.0
2018-01-22,24.73,24.73,24.5,24.52,751524,23.2399643962514,23.2399643962514,23.0238223901399,23.042617347193,751524,0.0,1.0
2018-01-23,24.93,24.93,24.77,24.85,910121,23.4279139667831,23.4279139667831,23.2775543103577,23.3527341385704,910121,0.0,1.0
2018-01-24,24.86,25.05,24.72,24.95,895693,23.362131617097,23.5406837091022,23.2305669177248,23.4467089238363,895693,0.0,1.0
2018-01-25,24.72,24.93,24.66,24.86,408753,23.2305669177248,23.4279139667831,23.1741820465653,23.362131617097,408753,0.0,1.0
2018-01-26,25.03,25.04,24.776,24.85,690694,23.521888752049,23.5312862305756,23.2831927974737,23.3527341385704,690694,0.0,1.0
2018-01-29,24.95,25.05,24.881,25.04,581454,23.4467089238363,23.5406837091022,23.3818663220029,23.5312862305756,581454,0.0,1.0
2018-01-30,24.655,24.86,24.57,24.82,482990,23.169483307302,23.362131617097,23.089604739826,23.3245417029907,482990,0.0,1.0
2018-01-31,24.599,24.764,24.5,24.74,235588,23.1168574275531,23.2719158232418,23.0238223901399,23.249361874778,235588,0.0,1.0
2018-02-01,24.37,24.48,24.27,24.38,247215,22.9016551692942,23.0050274330867,22.8076803840283,22.9110526478208,247215,0.0,1.0
2018-02-02,23.66,24.18,23.63,24.11,342250,22.2344341939065,22.7231030772891,22.2062417583267,22.6573207276029,342250,0.0,1.0
2018-02-05,22.66,23.68,22.51,23.39,260679,21.2946863412477,22.2532291509597,21.1537241633489,21.9807022736886,260679,0.0,1.0
2018-02-06,23.08,23.16,22.015,22.17,289924,21.6893804393644,21.7645602675771,20.6885489762828,20.8342098934449,289924,0.0,1.0
2018-02-07,22.96,23.3,22.95,23.01,172635,21.5766106970454,21.8961249669493,21.5672132185188,21.6235980896783,172635,0.0,1.0
2018-02-08,22.2,23.02,22.2,23.02,142427,20.8624023290247,21.6329955682049,20.8624023290247,21.6329955682049,142427,0.0,1.0
2018-02-09,22.48,22.55,21.757,22.4,195439,21.1255317277691,21.1913140774553,20.4460940302969,21.0503518995564,195439,0.0,1.0
2018-02-12,22.79,22.875,22.531,22.68,118854,21.4168535620934,21.4967321295694,21.1734588682547,21.3134812983009,118854,0.0,1.0
2018-02-13,22.85,22.87,22.59,22.68,66827,21.4732384332529,21.4920333903061,21.2289039915616,21.3134812983009,66827,0.0,1.0
2018-02-14,23.34,23.34,22.71,22.72,133521,21.9337148810557,21.9337148810557,21.3416737338807,21.3510712124072,133521,0.0,1.0
2018-02-15,23.74,23.74,23.37,23.7,205484,22.3096140221192,22.3096140221192,21.9619073166355,22.2720241080128,205484,0.0,1.0
2018-02-16,23.76,23.92,23.699,23.76,98560,22.3284089791724,22.4787686355978,22.2710843601602,22.3284089791724,98560,0.0,1.0
2018-02-20,23.65,23.78,23.501,23.59,203016,22.2250367153799,22.3472039362255,22.0850142853338,22.1686518442204,203016,0.0,1.0
2018-02-21,23.53,23.858,23.53,23.7,85378,22.1122669730609,22.4205042687329,22.1122669730609,22.2720241080128,85378,0.0,1.0
2018-02-22,23.53,23.6901,23.461,23.57,89158,22.1122669730609,22.2627206042715,22.0474243712274,22.1498568871672,89158,0.0,1.0
2018-02-23,23.87,23.87,23.56,23.66,46560,22.4317812429648,22.4317812429648,22.1404594086406,22.2344341939065,46560,0.0,1.0
2018-02-26,24.08,24.08,23.845,23.96,140957,22.6291282920232,22.6291282920232,22.4082875466484,22.5163585497041,140957,0.0,1.0
2018-02-27,23.77,24.18,23.75,24.18,216515,22.337806457699,22.7231030772891,22.3190115006458,22.7231030772891,216515,0.0,1.0
2018-02-28,23.56,23.89,23.54,23.89,112188,22.1404594086406,22.450576200018,22.1216644515874,22.450576200018,112188,0.0,1.0
2018-03-01,23.18,23.55,23.0,23.54,104769,21.7833552246303,22.131061930114,21.6142006111517,22.1216644515874,104769,0.0,1.0
2018-03-02,23.26,23.26,22.759,22.94,71696,21.858535052843,21.858535052843,21.3877213786609,21.5578157399922,71696,0.0,1.0
2018-03-05,23.49,23.52,23.04,23.15,81163,22.0746770589545,22.1028694945343,21.6517905252581,21.7551627890505,81163,0.0,1.0
2018-03-06,23.68,23.73,23.55,23.72,62742,22.2532291509597,22.3002165435926,22.131061930114,22.290819065066,62742,0.0,1.0
2018-03-07,23.71,23.739,23.423,23.55,57028,22.2814215865394,22.3086742742665,22.0117139528264,22.131061930114,57028,0.0,1.0
2018-03-08,23.86,23.91,23.707,23.85,43038,22.4223837644382,22.4693711570712,22.2786023429815,22.4129862859117,43038,0.0,1.0
2018-03-09,24.12,24.13,23.88,23.98,64816,22.6667182061295,22.6761156846561,22.4411787214914,22.5351535067573,64816,0.0,1.0
2018-03-12,24.17,24.22,24.09,24.19,85155,22.7137055987625,22.7606929913954,22.6385257705498,22.7325005558156,85155,0.0,1.0
2018-03-13,23.94,24.37,23.86,24.37,88111,22.497563592651,22.9016551692942,22.4223837644382,22.9016551692942,88111,0.0,1.0
2018-03-14,23.82,24.055,23.76,24.01,338394,22.3847938503319,22.6056345957067,22.3284089791724,22.5633459423371,338394,0.0,1.0
2018-03-15,23.885,23.97,23.785,23.85,31199,22.4458774607547,22.5257560282307,22.3519026754888,22.4129862859117,31199,0.0,1.0
2018-03-16,23.77,23.92,23.751,23.77,45196,22.337806457699,22.4787686355978,22.3199512484984,22.337806457699,45196,0.0,1.0
2018-03-19,23.52,23.89,23.4,23.89,51455,22.1028694945343,22.450576200018,21.9900997522152,22.450576200018,51455,0.0,1.0
2018-03-20,23.69,23.7,23.53,23.61,34629,22.2626266294863,22.2720241080128,22.1122669730609,22.1874468012736,34629,0.0,1.0
2018-03-21,23.56,23.7,23.521,23.63,28613,22.1404594086406,22.2720241080128,22.1038092423869,22.2062417583267,28613,0.0,1.0
2018-03-22,22.88,23.44,22.88,23.32,90218,21.5014308688327,22.0276896663216,21.5014308688327,21.9149199240025,90218,0.0,1.0
2018-03-23,22.48,22.99,22.456,22.9,80016,21.1255317277691,21.6048031326251,21.1029777793053,21.5202258258858,80016,0.0,1.0
