date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-02-28,25.1999,25.25,25.1992,25.2,5455,20.0256753157043,20.0654884234276,20.0251190447381,20.0257547829852,5455,0.0,1.0
2017-03-01,25.48,25.6,25.3948,25.44,384463,20.2482631694628,20.3436239065247,20.1805570461489,20.2164762571089,384463,0.0,1.0
2017-03-02,25.3899,25.72,25.3899,25.72,501538,20.1766631493856,20.4389846435865,20.1766631493856,20.4389846435865,501538,0.0,1.0
2017-03-03,25.42,25.42,25.318,25.3532,29860,20.2005828009319,20.2005828009319,20.1195261744293,20.1474986573008,29860,0.0,1.0
2017-03-06,25.3599,25.3599,25.2503,25.32,30415,20.1528229651201,20.1528229651201,20.0657268252703,20.121115520047,30415,0.0,1.0
2017-03-07,25.29,25.29,25.1001,25.29,13489,20.0972753357816,20.0972753357816,19.9463669693812,20.0972753357816,13489,0.0,1.0
2017-03-08,25.13,25.26,25.0138,25.26,4836,19.9701276863658,20.0734351515161,19.8777867059776,20.0734351515161,4836,0.0,1.0
2017-03-09,25.2,25.22,25.0799,25.1999,57083,20.0257547829852,20.0416482391622,19.9303145786425,20.0256753157043,57083,0.0,1.0
2017-03-10,25.25,26.03,25.2,25.34,12057,20.0654884234276,20.6853332143296,20.0257547829852,20.137008976224,12057,0.0,1.0
2017-03-13,25.36,25.36,25.22,25.32,7871,20.152902432401,20.152902432401,20.0416482391622,20.121115520047,7871,0.0,1.0
2017-03-14,25.3,25.33,25.2499,25.33,5181,20.1052220638701,20.1290622481355,20.0654089561468,20.1290622481355,5181,0.0,1.0
2017-03-15,25.66,25.66,25.3401,25.4299,3994,20.3913042750556,20.3913042750556,20.1370884435049,20.2084500617395,3994,0.0,1.0
2017-03-16,25.68,25.68,25.555,25.67,10324,20.4071977312326,20.4071977312326,20.3078636301265,20.3992510031441,10324,0.0,1.0
2017-03-17,25.68,25.79,25.46,25.54,37942,20.4071977312326,20.4946117402059,20.2323697132859,20.2959435379937,37942,0.0,1.0
2017-03-20,25.6699,25.7,25.61,25.7,1877,20.3991715358632,20.4230911874095,20.3515706346131,20.4230911874095,1877,0.0,1.0
2017-03-21,25.46,25.6799,25.41,25.6447,22932,20.2323697132859,20.4071182639517,20.1926360728434,20.3791457810802,22932,0.0,1.0
2017-03-22,25.48,25.48,25.37,25.3888,2394,20.2482631694628,20.2482631694628,20.1608491604895,20.1757890092958,2394,0.0,1.0
2017-03-23,25.44,25.7,25.44,25.44,39272,20.2164762571089,20.4230911874095,20.2164762571089,20.2164762571089,39272,0.0,1.0
2017-03-24,25.55,25.6,25.5299,25.6,1730,20.3038902660822,20.3436239065247,20.2879173426244,20.3436239065247,1730,0.0,1.0
2017-03-27,25.53,25.53,25.2,25.39,3379,20.2879968099053,20.2879968099053,20.0257547829852,20.1767426166664,3379,0.0,1.0
2017-03-28,25.64,25.64,25.5,25.58,5163,20.3754108188786,20.3754108188786,20.2641566256398,20.3277304503477,5163,0.0,1.0
2017-03-29,25.69,25.69,25.5,25.6,55407,20.415144459321,20.415144459321,20.2641566256398,20.3436239065247,55407,0.0,1.0
2017-03-30,25.85,25.91,25.71,25.83,38535,20.5422921087368,20.5899724772677,20.431037915498,20.5263986525598,38535,0.0,1.0
2017-03-31,25.51,25.62,25.46,25.56,2905,20.2721033537283,20.3595173627016,20.2323697132859,20.3118369941707,2905,0.0,1.0
2017-04-03,25.39,25.6699,25.33,25.5799,6478,20.1767426166664,20.3991715358632,20.1290622481355,20.3276509830668,6478,0.0,1.0
2017-04-04,25.43,25.7499,25.4001,25.7199,13716,20.2085295290204,20.4627453605711,20.1847688120358,20.4389051763056,13716,0.0,1.0
2017-04-05,25.35,25.8799,25.35,25.58,6042,20.1449557043125,20.5660528257214,20.1449557043125,20.3277304503477,6042,0.0,1.0
2017-04-06,25.32,25.7999,25.32,25.71,6750,20.121115520047,20.5024790010135,20.121115520047,20.431037915498,6750,0.0,1.0
2017-04-07,25.5899,25.8,25.28,25.71,27919,20.3355977111553,20.5025584682944,20.0893286076931,20.431037915498,27919,0.0,1.0
2017-04-10,25.55,25.7183,25.3501,25.63,9797,20.3038902660822,20.4376336998114,20.1450351715934,20.3674640907901,9797,0.0,1.0
2017-04-11,25.59,25.8999,25.49,25.8,3416,20.3356771784362,20.5819462818984,20.2562098975513,20.5025584682944,3416,0.0,1.0
