date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-03-02,26.7371,26.75,25.9721,26.35,315526,26.7371,26.75,25.9721,26.35,315526,0.0,1.0
2020-03-03,26.23,26.83,26.16,26.7,265979,26.23,26.83,26.16,26.7,265979,0.0,1.0
2020-03-04,27.0,27.0,26.57,26.75,13957,27.0,27.0,26.57,26.75,13957,0.0,1.0
2020-03-05,26.299,26.769,26.18,26.625,87400,26.299,26.769,26.18,26.625,87400,0.0,1.0
2020-03-06,26.03,26.2247,25.52,25.82,87386,26.03,26.2247,25.52,25.82,87386,0.0,1.0
2020-03-09,24.64,25.09,24.64,25.09,109609,24.64,25.09,24.64,25.09,109609,0.0,1.0
2020-03-10,25.31,25.45,24.52,25.25,40779,25.31,25.45,24.52,25.25,40779,0.0,1.0
2020-03-11,24.5661,25.09,24.33,25.09,25876,24.5661,25.09,24.33,25.09,25876,0.0,1.0
2020-03-12,22.932,23.675,22.932,23.61,17600,22.932,23.675,22.932,23.61,17600,0.0,1.0
2020-03-13,24.12,24.12,22.7626,22.932,41907,24.12,24.12,22.7626,22.932,41907,0.0,1.0
2020-03-16,22.1146,23.09,22.1146,23.06,7226,22.1146,23.09,22.1146,23.06,7226,0.0,1.0
2020-03-17,22.79,22.93,22.03,22.1146,16096,22.79,22.93,22.03,22.1146,16096,0.0,1.0
2020-03-18,21.84,22.15,21.0,22.13,10900,21.84,22.15,21.0,22.13,10900,0.0,1.0
2020-03-19,22.2957,22.71,21.69,21.8404,12379,22.2957,22.71,21.69,21.8404,12379,0.0,1.0
2020-03-20,21.37,22.27,21.37,22.24,15600,21.37,22.27,21.37,22.24,15600,0.0,1.0
2020-03-23,21.2132,21.3793,20.8421,21.37,19809,21.2132,21.3793,20.8421,21.37,19809,0.0,1.0
2020-03-24,22.773,22.773,22.455,22.515,2100,22.773,22.773,22.455,22.515,2100,0.0,1.0
2020-03-25,22.8,23.34,22.67,22.7731,24854,22.8,23.34,22.67,22.7731,24854,0.0,1.0
2020-03-26,23.8311,23.8311,22.62,22.62,1617,23.8311,23.8311,22.62,22.62,1617,0.0,1.0
2020-03-27,23.285,23.72,23.26,23.29,11300,23.285,23.72,23.26,23.29,11300,0.0,1.0
2020-03-30,23.66,23.77,23.19,23.19,6303,23.66,23.77,23.19,23.19,6303,0.0,1.0
2020-03-31,23.5897,23.95,23.55,23.55,11289,23.5897,23.95,23.55,23.55,11289,0.0,1.0
2020-04-01,22.771,23.11,22.75,23.0,131800,22.771,23.11,22.75,23.0,131800,0.0,1.0
2020-04-02,23.191,23.191,22.86,23.03,7100,23.191,23.191,22.86,23.03,7100,0.0,1.0
2020-04-03,23.042,23.06,22.96,23.06,9600,23.042,23.06,22.96,23.06,9600,0.0,1.0
2020-04-06,24.225,24.225,23.55,23.55,25700,24.225,24.225,23.55,23.55,25700,0.0,1.0
2020-04-07,24.252,24.8,24.252,24.75,6600,24.252,24.8,24.252,24.75,6600,0.0,1.0
2020-04-08,24.732,24.766,24.606,24.606,4000,24.732,24.766,24.606,24.606,4000,0.0,1.0
2020-04-09,24.935,25.05,24.85,25.01,5800,24.935,25.05,24.85,25.01,5800,0.0,1.0
2020-04-13,24.796,25.06,24.6076,25.06,7321,24.796,25.06,24.6076,25.06,7321,0.0,1.0
2020-04-14,25.289,25.35,25.25,25.26,4000,25.289,25.35,25.25,25.26,4000,0.0,1.0
2020-04-15,24.95,25.05,24.86,25.02,25700,24.95,25.05,24.86,25.02,25700,0.0,1.0
2020-04-16,25.0075,25.0075,24.91,24.95,1061,25.0075,25.0075,24.91,24.95,1061,0.0,1.0
2020-04-17,25.442,25.442,25.2,25.2,3000,25.442,25.442,25.2,25.2,3000,0.0,1.0
2020-04-20,25.171,25.35,25.171,25.31,4100,25.171,25.35,25.171,25.31,4100,0.0,1.0
2020-04-21,24.64,24.88,24.59,24.88,3900,24.64,24.88,24.59,24.88,3900,0.0,1.0
2020-04-22,25.0,25.0,24.915,24.915,5100,25.0,25.0,24.915,24.915,5100,0.0,1.0
2020-04-23,25.035,25.18,24.98,25.0,13607,25.035,25.18,24.98,25.0,13607,0.0,1.0
2020-04-24,25.1401,25.16,24.9318,25.035,25535,25.1401,25.16,24.9318,25.035,25535,0.0,1.0
2020-04-27,25.481,25.55,25.383,25.383,11700,25.481,25.55,25.383,25.383,11700,0.0,1.0
2020-04-28,25.37,25.75,25.37,25.4808,64987,25.37,25.75,25.37,25.4808,64987,0.0,1.0
2020-04-29,25.975,25.985,25.8,25.8,5600,25.975,25.985,25.8,25.8,5600,0.0,1.0
2020-04-30,25.79,25.87,25.75,25.87,3800,25.79,25.87,25.75,25.87,3800,0.0,1.0
2020-05-01,25.139,25.355,25.139,25.33,11400,25.139,25.355,25.139,25.33,11400,0.0,1.0
2020-05-04,25.2382,25.27,24.95,25.1388,11907,25.2382,25.27,24.95,25.1388,11907,0.0,1.0
2020-05-05,25.508,25.686,25.45,25.49,10500,25.508,25.686,25.45,25.49,10500,0.0,1.0
2020-05-06,25.3087,25.541,25.3087,25.5078,2952,25.3087,25.541,25.3087,25.5078,2952,0.0,1.0
2020-05-07,25.512,25.69,25.512,25.56,31800,25.512,25.69,25.512,25.56,31800,0.0,1.0
2020-05-08,25.8981,25.9492,25.76,25.76,1240,25.8981,25.9492,25.76,25.76,1240,0.0,1.0
2020-05-11,25.9825,25.9825,25.83,25.8981,680,25.9825,25.9825,25.83,25.8981,680,0.0,1.0
2020-05-12,25.6607,26.0,25.6607,25.9825,557,25.6607,26.0,25.6607,25.9825,557,0.0,1.0
2020-05-13,25.214,25.395,25.13,25.37,27700,25.214,25.395,25.13,25.37,27700,0.0,1.0
2020-05-14,25.4571,25.4571,24.93,25.2144,23126,25.4571,25.4571,24.93,25.2144,23126,0.0,1.0
2020-05-15,25.5178,25.5178,25.5178,25.5178,40,25.5178,25.5178,25.5178,25.5178,40,0.0,1.0
2020-05-18,26.17,26.23,26.077,26.08,6700,26.17,26.23,26.077,26.08,6700,0.0,1.0
2020-05-19,25.9889,26.2,25.9889,26.17,7120,25.9889,26.2,25.9889,26.17,7120,0.0,1.0
2020-05-20,26.22,26.29,26.13,26.13,42100,26.22,26.29,26.13,26.13,42100,0.0,1.0
2020-05-21,26.097,26.3,26.07,26.2198,5455,26.097,26.3,26.07,26.2198,5455,0.0,1.0
