date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-03,49.0271,49.0271,49.0271,49.0271,0,2451.355,2451.355,2451.355,2451.355,0,0.0,1.0
2019-04-04,47.887,48.13,47.74,48.04,4300,2394.35,2406.5,2387.0,2402.0,86,0.0,1.0
2019-04-05,48.4,48.4,48.08,48.08,200,2420.0,2420.0,2404.0,2404.0,4,0.0,1.0
2019-04-08,47.853,47.853,47.853,47.853,0,2392.65,2392.65,2392.65,2392.65,0,0.0,1.0
2019-04-09,49.642,49.642,49.642,49.642,0,2482.1,2482.1,2482.1,2482.1,0,0.0,1.0
2019-04-10,48.989,48.989,48.989,48.989,0,2449.45,2449.45,2449.45,2449.45,0,0.0,1.0
2019-04-11,48.122,48.122,48.122,48.122,0,2406.1,2406.1,2406.1,2406.1,0,0.0,1.0
2019-04-12,44.894,44.894,44.894,44.894,0,2244.7,2244.7,2244.7,2244.7,0,0.0,1.0
2019-04-15,46.406,46.406,46.406,46.406,0,2320.3,2320.3,2320.3,2320.3,0,0.0,1.0
2019-04-16,44.3378,45.56,44.3378,45.56,200,2216.89,2278.0,2216.89,2278.0,4,0.0,1.0
2019-04-17,42.286,42.286,42.286,42.286,0,2114.3,2114.3,2114.3,2114.3,0,0.0,1.0
2019-04-18,43.283,43.283,43.283,43.283,0,2164.15,2164.15,2164.15,2164.15,0,0.0,1.0
2019-04-22,43.527,43.527,43.527,43.527,0,2176.35,2176.35,2176.35,2176.35,0,0.0,1.0
2019-04-23,43.198,43.198,43.198,43.198,0,2159.9,2159.9,2159.9,2159.9,0,0.0,1.0
2019-04-24,43.509,43.509,43.509,43.509,0,2175.45,2175.45,2175.45,2175.45,0,0.0,1.0
2019-04-25,43.204,43.204,43.204,43.204,0,2160.2,2160.2,2160.2,2160.2,0,0.0,1.0
2019-04-26,42.3323,42.3323,42.3323,42.3323,0,2116.615,2116.615,2116.615,2116.615,0,0.0,1.0
2019-04-29,40.363,40.363,39.87,40.33,500,2018.15,2018.15,1993.5,2016.5,10,0.0,1.0
2019-04-30,40.659,40.659,40.659,40.659,0,2032.95,2032.95,2032.95,2032.95,0,0.0,1.0
2019-05-01,41.622,41.622,40.75,40.75,100,2081.1,2081.1,2037.5,2037.5,2,0.0,1.0
2019-05-02,41.347,41.347,41.347,41.347,0,2067.35,2067.35,2067.35,2067.35,0,0.0,1.0
2019-05-03,40.28,40.28,40.28,40.28,0,2014.0,2014.0,2014.0,2014.0,0,0.0,1.0
2019-05-06,40.848,40.848,40.848,40.848,0,2042.4,2042.4,2042.4,2042.4,0,0.0,1.0
2019-05-07,43.401,43.401,43.401,43.401,600,2170.05,2170.05,2170.05,2170.05,12,0.0,1.0
2019-05-08,43.99,43.99,43.99,43.99,2,2199.5,2199.5,2199.5,2199.5,0,0.0,1.0
2019-05-09,44.206,45.33,44.206,45.33,600,2210.3,2266.5,2210.3,2266.5,12,0.0,1.0
2019-05-10,43.995,43.995,43.995,43.995,0,2199.75,2199.75,2199.75,2199.75,0,0.0,1.0
2019-05-13,48.496,48.496,48.496,48.496,0,2424.8,2424.8,2424.8,2424.8,0,0.0,1.0
2019-05-14,47.233,48.29,46.59,48.29,1600,2361.65,2414.5,2329.5,2414.5,32,0.0,1.0
2019-05-15,48.618,49.94,48.618,49.94,600,2430.9,2497.0,2430.9,2497.0,12,0.0,1.0
2019-05-16,46.756,46.756,46.756,46.756,0,2337.8,2337.8,2337.8,2337.8,0,0.0,1.0
