date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-03,50.958,50.958,50.82,50.82,101,50.958,50.958,50.82,50.82,101,0.0,1.0
2019-04-04,52.2002,52.92,52.18,52.9,1700,52.2002,52.92,52.18,52.9,1700,0.0,1.0
2019-04-05,51.5368,51.9,51.5368,51.9,200,51.5368,51.9,51.5368,51.9,200,0.0,1.0
2019-04-08,52.1528,52.1528,52.1528,52.1528,0,52.1528,52.1528,52.1528,52.1528,0,0.0,1.0
2019-04-09,50.1799,50.1799,50.1799,50.1799,45,50.1799,50.1799,50.1799,50.1799,45,0.0,1.0
2019-04-10,50.8505,50.8505,50.8505,50.8505,0,50.8505,50.8505,50.8505,50.8505,0,0.0,1.0
2019-04-11,51.7301,51.7301,51.7301,51.7301,0,51.7301,51.7301,51.7301,51.7301,0,0.0,1.0
2019-04-12,55.1699,55.1699,55.1699,55.1699,50,55.1699,55.1699,55.1699,55.1699,50,0.0,1.0
2019-04-15,53.3139,53.71,53.3139,53.7,1000,53.3139,53.71,53.3139,53.7,1000,0.0,1.0
2019-04-16,55.6815,55.6815,55.6815,55.6815,20,55.6815,55.6815,55.6815,55.6815,20,0.0,1.0
2019-04-17,58.2694,58.2694,58.2694,58.2694,1,58.2694,58.2694,58.2694,58.2694,1,0.0,1.0
2019-04-18,56.9329,57.26,56.9329,57.24,400,56.9329,57.26,56.9329,57.24,400,0.0,1.0
2019-04-22,56.6226,56.99,56.6226,56.91,620,56.6226,56.99,56.6226,56.91,620,0.0,1.0
2019-04-23,57.0351,57.0351,57.0351,57.0351,0,57.0351,57.0351,57.0351,57.0351,0,0.0,1.0
2019-04-24,56.5801,56.5801,56.5801,56.5801,0,56.5801,56.5801,56.5801,56.5801,0,0.0,1.0
2019-04-25,56.9827,56.9827,56.9827,56.9827,0,56.9827,56.9827,56.9827,56.9827,0,0.0,1.0
2019-04-26,58.1164,58.1164,58.1164,58.1164,200,58.1164,58.1164,58.1164,58.1164,200,0.0,1.0
2019-04-29,60.8401,60.88,60.8401,60.88,200,60.8401,60.88,60.8401,60.88,200,0.0,1.0
2019-04-30,60.3832,60.3832,60.3832,60.3832,0,60.3832,60.3832,60.3832,60.3832,0,0.0,1.0
2019-05-01,58.9618,58.9618,58.9618,58.9618,0,58.9618,58.9618,58.9618,58.9618,0,0.0,1.0
2019-05-02,59.3247,59.3247,59.3247,59.3247,0,59.3247,59.3247,59.3247,59.3247,0,0.0,1.0
2019-05-03,60.8601,60.8601,60.47,60.6,1800,60.8601,60.8601,60.47,60.6,1800,0.0,1.0
2019-05-06,59.9662,59.9662,59.9662,59.9662,0,59.9662,59.9662,59.9662,59.9662,0,0.0,1.0
2019-05-07,56.2487,56.2487,56.2487,56.2487,0,56.2487,56.2487,56.2487,56.2487,0,0.0,1.0
2019-05-08,55.4844,55.4844,55.4844,55.4844,0,55.4844,55.4844,55.4844,55.4844,0,0.0,1.0
2019-05-09,55.2112,55.2112,55.2112,55.2112,0,55.2112,55.2112,55.2112,55.2112,0,0.0,1.0
2019-05-10,55.4577,55.4577,55.4577,55.4577,50,55.4577,55.4577,55.4577,55.4577,50,0.0,1.0
2019-05-13,49.7277,51.98,49.7277,51.98,1850,49.7277,51.98,49.7277,51.98,1850,0.0,1.0
2019-05-14,50.9633,51.73,49.94,49.94,2500,50.9633,51.73,49.94,49.94,2500,0.0,1.0
2019-05-15,49.526,49.526,48.14,48.14,507,49.526,49.526,48.14,48.14,507,0.0,1.0
2019-05-16,51.4096,51.4096,51.23,51.23,117,51.4096,51.4096,51.23,51.23,117,0.0,1.0
2019-05-17,50.3098,50.3098,50.3098,50.3098,100,50.3098,50.3098,50.3098,50.3098,100,0.0,1.0
2019-05-20,50.7237,51.08,50.4,50.6,750,50.7237,51.08,50.4,50.6,750,0.0,1.0
2019-05-21,52.1577,52.1577,52.1577,52.1577,50,52.1577,52.1577,52.1577,52.1577,50,0.0,1.0
2019-05-22,50.778,51.3,50.778,51.09,1600,50.778,51.3,50.778,51.09,1600,0.0,1.0
2019-05-23,47.9105,47.9105,47.9105,47.9105,85,47.9105,47.9105,47.9105,47.9105,85,0.0,1.0
2019-05-24,49.5894,49.5894,49.5894,49.5894,60,49.5894,49.5894,49.5894,49.5894,60,0.0,1.0
2019-05-28,47.6029,47.6029,47.6029,47.6029,5,47.6029,47.6029,47.6029,47.6029,5,0.0,1.0
2019-05-29,47.3296,47.3296,47.3296,47.3296,63,47.3296,47.3296,47.3296,47.3296,63,0.0,1.0
2019-05-30,45.8389,45.8389,45.8389,45.8389,0,45.8389,45.8389,45.8389,45.8389,0,0.0,1.0
2019-05-31,43.622,43.622,43.622,43.622,62,43.622,43.622,43.622,43.622,62,0.0,1.0
2019-06-03,44.3439,44.3439,44.3439,44.3439,1,44.3439,44.3439,44.3439,44.3439,1,0.0,1.0
2019-06-04,49.5678,49.5678,49.5678,49.5678,8,49.5678,49.5678,49.5678,49.5678,8,0.0,1.0
2019-06-05,49.8106,49.8106,49.8106,49.8106,0,49.8106,49.8106,49.8106,49.8106,0,0.0,1.0
2019-06-06,50.4208,50.4208,49.32,50.14,600,50.4208,50.4208,49.32,50.14,600,0.0,1.0
2019-06-07,49.0748,49.0748,49.0748,49.0748,0,49.0748,49.0748,49.0748,49.0748,0,0.0,1.0
2019-06-10,51.1728,51.1728,51.1728,51.1728,0,51.1728,51.1728,51.1728,51.1728,0,0.0,1.0
2019-06-11,51.7672,52.6073,51.7672,52.6073,115,51.7672,52.6073,51.7672,52.6073,115,0.0,1.0
2019-06-12,49.2014,49.2014,49.2014,49.2014,10,49.2014,49.2014,49.2014,49.2014,10,0.0,1.0
2019-06-13,49.5459,49.5459,49.5459,49.5459,0,49.5459,49.5459,49.5459,49.5459,0,0.0,1.0
2019-06-14,50.0137,50.0137,50.0137,50.0137,0,50.0137,50.0137,50.0137,50.0137,0,0.0,1.0
2019-06-17,47.9908,47.9908,47.9908,47.9908,0,47.9908,47.9908,47.9908,47.9908,0,0.0,1.0
2019-06-18,50.463,50.463,50.12,50.12,200,50.463,50.463,50.12,50.12,200,0.0,1.0
2019-06-19,49.3239,49.3239,49.3239,49.3239,0,49.3239,49.3239,49.3239,49.3239,0,0.0,1.0
2019-06-20,49.7386,49.7386,49.7386,49.7386,50,49.7386,49.7386,49.7386,49.7386,50,0.0,1.0
2019-06-21,49.7885,49.7885,49.7885,49.7885,0,49.7885,49.7885,49.7885,49.7885,0,0.0,1.0
2019-06-24,48.7677,48.7677,48.7677,48.7677,0,48.7677,48.7677,48.7677,48.7677,0,0.0,1.0
2019-06-25,47.9494,47.9494,47.9494,47.9494,0,47.9494,47.9494,47.9494,47.9494,0,0.0,1.0
2019-06-26,48.5585,48.5585,48.5585,48.5585,0,48.5585,48.5585,48.5585,48.5585,0,0.0,1.0
2019-06-27,49.9056,49.9056,49.15,49.76,320,49.9056,49.9056,49.15,49.76,320,0.0,1.0
2019-06-28,52.4909,52.4909,52.4909,52.4909,100,52.4909,52.4909,52.4909,52.4909,100,0.0,1.0
2019-07-01,54.3879,54.3879,54.3879,54.3879,7,54.3879,54.3879,54.3879,54.3879,7,0.0,1.0
2019-07-02,53.2167,53.2167,53.2167,53.2167,50,53.2167,53.2167,53.2167,53.2167,50,0.0,1.0
