date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-06-02,51.18,51.23,50.64,50.97,13400,25.59,25.615,25.32,25.485,26800,0.0,1.0
2010-06-03,51.66,51.83,50.84,51.43,33400,25.83,25.915,25.42,25.715,66800,0.0,1.0
2010-06-04,49.4,50.49,49.34,50.49,6000,24.7,25.245,24.67,25.245,12000,0.0,1.0
2010-06-07,49.59,49.97,49.13,49.6,14500,24.795,24.985,24.565,24.8,29000,0.0,1.0
2010-06-08,49.38,49.7,49.19,49.39,32700,24.69,24.85,24.595,24.695,65400,0.0,1.0
2010-06-09,50.66,51.031,50.58,50.76,8700,25.33,25.5155,25.29,25.38,17400,0.0,1.0
2010-06-10,51.747,51.747,51.25,51.4,10800,25.8735,25.8735,25.625,25.7,21600,0.0,1.0
2010-06-11,51.12,51.13,50.62,51.07,27300,25.56,25.565,25.31,25.535,54600,0.0,1.0
2010-06-14,51.28,51.98,51.28,51.97,10600,25.64,25.99,25.64,25.985,21200,0.0,1.0
2010-06-15,52.32,52.35,52.24,52.24,4000,26.16,26.175,26.12,26.12,8000,0.0,1.0
2010-06-16,53.28,53.37,52.55,52.55,2700,26.64,26.685,26.275,26.275,5400,0.0,1.0
2010-06-17,53.43,53.69,53.4,53.49,19700,26.715,26.845,26.7,26.745,39400,0.0,1.0
2010-06-18,53.3,53.3,53.3,53.3,2000,26.65,26.65,26.65,26.65,4000,0.0,1.0
2010-06-21,53.28,53.96,52.96,53.96,19200,26.64,26.98,26.48,26.98,38400,0.0,1.0
2010-06-22,52.9,53.72,52.9,53.4,16600,26.45,26.86,26.45,26.7,33200,0.0,1.0
2010-06-23,51.64,52.38,51.51,52.38,59900,25.82,26.19,25.755,26.19,119800,0.0,1.0
2010-06-24,51.79,51.94,51.57,51.57,29900,25.895,25.97,25.785,25.785,59800,0.0,1.0
2010-06-25,53.15,53.28,52.1,52.13,46100,26.575,26.64,26.05,26.065,92200,0.0,1.0
2010-06-28,52.61,52.61,52.5,52.61,10400,26.305,26.305,26.25,26.305,20800,0.0,1.0
2010-06-29,50.85,51.23,50.85,51.23,6200,25.425,25.615,25.425,25.615,12400,0.0,1.0
2010-06-30,50.98,51.54,50.37,51.2,13200,25.49,25.77,25.185,25.6,26400,0.0,1.0
2010-07-01,49.08,49.94,48.62,49.94,3300,24.54,24.97,24.31,24.97,6600,0.0,1.0
2010-07-02,48.76,48.76,48.76,48.76,300,24.38,24.38,24.38,24.38,600,0.0,1.0
2010-07-06,48.66,48.66,48.66,48.66,3900,24.33,24.33,24.33,24.33,7800,0.0,1.0
2010-07-07,49.95,49.95,49.43,49.43,3800,24.975,24.975,24.715,24.715,7600,0.0,1.0
2010-07-08,50.88,51.07,50.4,51.07,38500,25.44,25.535,25.2,25.535,77000,0.0,1.0
2010-07-09,50.86,51.43,50.61,51.28,49100,25.43,25.715,25.305,25.64,98200,0.0,1.0
2010-07-12,50.63,50.82,50.24,50.82,47800,25.315,25.41,25.12,25.41,95600,0.0,1.0
2010-07-13,51.89,51.95,51.653,51.653,3400,25.945,25.975,25.8265,25.8265,6800,0.0,1.0
2010-07-14,51.82,52.29,51.75,51.86,12000,25.91,26.145,25.875,25.93,24000,0.0,1.0
2010-07-15,51.3,51.93,50.87,51.93,7900,25.65,25.965,25.435,25.965,15800,0.0,1.0
2010-07-16,50.62,51.08,50.62,50.89,20400,25.31,25.54,25.31,25.445,40800,0.0,1.0
2010-07-19,51.23,51.95,51.23,51.95,2800,25.615,25.975,25.615,25.975,5600,0.0,1.0
