date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2011-10-06,39.05,39.19,38.33,38.5345,3000,3905000.0,3919000.0,3833000.0,3853450.0,0,0.0,1.0
2011-10-07,36.7599,37.54,36.52,37.54,6500,3675990.0,3754000.0,3652000.0,3754000.0,0,0.0,1.0
2011-10-10,37.67,39.2,37.27,39.2,3000,3767000.0,3920000.0,3727000.0,3920000.0,0,0.0,1.0
2011-10-11,38.45,38.49,37.81,37.85,14000,3845000.0,3849000.0,3781000.0,3785000.0,0,0.0,1.0
2011-10-12,36.81,37.65,36.81,37.65,15000,3681000.0,3765000.0,3681000.0,3765000.0,0,0.0,1.0
2011-10-13,37.31,37.46,36.26,37.0,13000,3731000.0,3746000.0,3626000.0,3700000.0,0,0.0,1.0
2011-10-14,39.37,39.76,37.88,37.88,12000,3937000.0,3976000.0,3788000.0,3788000.0,0,0.0,1.0
2011-10-17,37.8,38.58,37.8,38.05,12000,3780000.0,3858000.0,3780000.0,3805000.0,0,0.0,1.0
2011-10-18,36.51,37.4,36.3236,37.4,7500,3651000.0,3740000.0,3632360.0,3740000.0,0,0.0,1.0
2011-10-19,36.9448,37.1492,36.57,37.1492,8000,3694480.0,3714920.0,3657000.0,3714920.0,0,0.0,1.0
2011-10-20,36.9912,38.0416,36.25,36.25,3000,3699120.0,3804160.0,3625000.0,3625000.0,0,0.0,1.0
2011-10-21,36.9401,36.9401,35.7752,35.8048,3500,3694010.0,3694010.0,3577520.0,3580480.0,0,0.0,1.0
2011-10-24,36.15,36.92,35.9244,36.91,4000,3615000.0,3692000.0,3592440.0,3691000.0,0,0.0,1.0
2011-10-25,37.22,37.378,36.38,36.94,9500,3722000.0,3737800.0,3638000.0,3694000.0,0,0.0,1.0
2011-10-26,36.05,36.88,35.8956,36.88,6500,3605000.0,3688000.0,3589560.0,3688000.0,0,0.0,1.0
2011-10-27,35.98,36.85,35.33,35.77,24000,3598000.0,3685000.0,3533000.0,3577000.0,0,0.0,1.0
2011-10-28,38.4,38.5084,37.51,37.87,11500,3840000.0,3850840.0,3751000.0,3787000.0,0,0.0,1.0
2011-10-31,38.7,38.7,37.464,37.69,7000,3870000.0,3870000.0,3746400.0,3769000.0,0,0.0,1.0
2011-11-01,36.162,36.61,35.8556,36.12,8000,3616200.0,3661000.0,3585560.0,3612000.0,0,0.0,1.0
2011-11-02,35.33,35.952,35.33,35.75,4500,3533000.0,3595200.0,3533000.0,3575000.0,0,0.0,1.0
2011-11-03,35.916,37.05,35.656,35.95,6500,3591600.0,3705000.0,3565600.0,3595000.0,0,0.0,1.0
2011-11-04,35.5488,36.42,35.41,36.42,6000,3554880.0,3642000.0,3541000.0,3642000.0,0,0.0,1.0
2011-11-07,33.936,34.73,33.77,33.87,27000,3393600.0,3473000.0,3377000.0,3387000.0,0,0.0,1.0
2011-11-08,34.9,34.99,33.3896,33.53,9000,3490000.0,3499000.0,3338960.0,3353000.0,0,0.0,1.0
2011-11-09,33.0812,33.94,32.95,33.82,15000,3308120.0,3394000.0,3295000.0,3382000.0,0,0.0,1.0
2011-11-10,32.85,33.51,32.3,32.6899,2500,3285000.0,3351000.0,3230000.0,3268990.0,0,0.0,1.0
