date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-04-22,25.2256,25.23,25.09,25.23,1359,24.8034035153284,24.8077298732928,24.6700730289701,24.8077298732928,1359,0.0,1.0
2024-04-23,25.5152,25.5152,25.27,25.27,227,25.0881565304416,25.0881565304416,24.8470604002421,24.8470604002421,227,0.0,1.0
2024-04-24,25.6721,25.91,25.67,25.91,497,25.2424305224003,25.4763488314315,25.2403656697355,25.4763488314315,497,0.0,1.0
2024-04-25,25.5453,25.5453,25.24,25.26,211,25.1177527519709,25.1177527519709,24.8175625050301,24.8372277685048,211,0.0,1.0
2024-04-26,25.8647,25.8647,25.55,25.55,500,25.4318070096614,25.4318070096614,25.1223740888875,25.1223740888875,500,0.0,1.0
2024-04-29,26.0569,26.0569,25.95,25.95,179,25.6207901916529,25.6207901916529,25.5156793583808,25.5156793583808,179,0.0,1.0
2024-04-30,25.7936,26.1643,25.7936,26.12,244,25.3618969980089,25.7263926565119,25.3618969980089,25.6828340979155,244,0.0,1.0
2024-05-01,25.4766,25.64,25.37,25.64,455,25.0502025719355,25.2108677745235,24.9453867176155,25.2108677745235,455,0.0,1.0
2024-05-02,25.917,25.917,25.85,25.85,136,25.4832316736476,25.4832316736476,25.4173530410075,25.4173530410075,136,0.0,1.0
2024-05-03,26.3289,26.48,26.3289,26.48,252,25.8882377749084,26.0368088404595,25.8882377749084,26.0368088404595,252,0.0,1.0
2024-05-06,26.8269,26.8269,26.74,26.74,108,26.3779028354276,26.3779028354276,26.2924572656302,26.2924572656302,108,0.0,1.0
2024-05-07,26.8152,27.0,26.8152,26.86,558,26.3663986562949,26.5481056908009,26.3663986562949,26.4104488464782,558,0.0,1.0
2024-05-08,26.9204,26.96,26.76,26.76,406,26.4698379421717,26.5087751638515,26.3121225291049,26.3121225291049,406,0.0,1.0
2024-05-09,26.8965,27.04,26.8965,27.04,2339,26.4463379523195,26.5874362177502,26.4463379523195,26.5874362177502,2339,0.0,1.0
2024-05-10,26.9542,27.09,26.93,27.09,962,26.5030722374439,26.6365993764369,26.4792772686395,26.6365993764369,962,0.0,1.0
2024-05-13,26.8724,27.04,26.8724,27.04,832,26.4226413098325,26.5874362177502,26.4226413098325,26.5874362177502,832,0.0,1.0
2024-05-14,27.0273,27.0273,26.94,26.94,555,26.5749487754438,26.5749487754438,26.4891099003769,26.4891099003769,555,0.0,1.0
2024-05-15,27.6444,27.6444,27.285,27.285,102,27.1817204799547,27.1817204799547,26.8283356953149,26.8283356953149,102,0.0,1.0
2024-05-16,27.4415,27.59,27.4415,27.59,215,26.9822163820042,27.1282309633036,26.9822163820042,27.1282309633036,215,0.0,1.0
2024-05-17,27.2894,27.48,27.2894,27.48,138,26.8326620532793,27.0200720141929,26.8326620532793,27.0200720141929,138,0.0,1.0
