date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-09-13,14.76,14.76,14.76,14.76,334,14.2705185751214,14.2705185751214,14.2705185751214,14.2705185751214,334,0.0,1.0
2016-09-14,14.76,14.76,14.76,14.76,95,14.2705185751214,14.2705185751214,14.2705185751214,14.2705185751214,95,0.0,1.0
2016-09-15,14.76,14.76,14.76,14.76,61,14.2705185751214,14.2705185751214,14.2705185751214,14.2705185751214,61,0.0,1.0
2016-09-16,14.7,14.7199,14.7,14.7199,1514,14.2125083370111,14.2317483993177,14.2125083370111,14.2317483993177,1514,0.0,1.0
2016-09-19,14.84,14.85,14.816,14.82,651,14.3478655592684,14.3575339322867,14.3246614640243,14.3285288132316,651,0.0,1.0
2016-09-20,14.97,14.97,14.97,14.97,261,14.4735544085072,14.4735544085072,14.4735544085072,14.4735544085072,261,0.0,1.0
2016-09-21,14.97,14.97,14.97,14.97,157,14.4735544085072,14.4735544085072,14.4735544085072,14.4735544085072,157,0.0,1.0
2016-09-22,15.3196,15.39,15.29,15.38,4005,14.8115607292296,14.879626075279,14.7829423450952,14.8699577022606,4005,0.0,1.0
2016-09-23,15.27,15.33,15.24,15.33,9542,14.7636055990585,14.8216158371687,14.7346004800034,14.8216158371687,9542,0.0,1.0
2016-09-26,15.0308,15.15,15.0308,15.15,2935,14.532338116459,14.647585122838,14.532338116459,14.647585122838,2935,0.0,1.0
2016-09-27,15.21,16.68,15.1168,15.17,3550,14.7055953609482,16.1268461946493,14.615486124417,14.6669218688747,3550,0.0,1.0
2016-09-28,15.31,15.31,15.21,15.29,2975,14.802279091132,14.802279091132,14.7055953609482,14.7829423450952,2975,0.0,1.0
2016-09-29,15.26,15.31,15.25,15.31,3868,14.7539372260401,14.802279091132,14.7442688530217,14.802279091132,3868,0.0,1.0
2016-09-30,15.31,15.31,15.2,15.28,4098,14.802279091132,14.802279091132,14.6959269879299,14.7732739720769,4098,0.0,1.0
2016-10-03,15.2567,15.36,15.19,15.36,3592,14.750746662944,14.8506209562239,14.6862586149115,14.8506209562239,3592,0.0,1.0
2016-10-04,15.25,15.39,15.25,15.39,10857,14.7442688530217,14.879626075279,14.7442688530217,14.879626075279,10857,0.0,1.0
2016-10-05,15.3902,15.41,15.38,15.38,1464,14.8798194427393,14.8989628213157,14.8699577022606,14.8699577022606,1464,0.0,1.0
2016-10-06,15.34,15.4,15.3051,15.4,3831,14.8312842101871,14.8892944482974,14.797541588353,14.8892944482974,3831,0.0,1.0
2016-10-07,15.35,15.36,15.3,15.35,8760,14.8409525832055,14.8506209562239,14.7926107181136,14.8409525832055,8760,0.0,1.0
2016-10-10,15.422,15.45,15.4156,15.44,10963,14.9105648689378,14.9376363133892,14.904377110206,14.9279679403709,10963,0.0,1.0
2016-10-11,15.3,15.46,15.3,15.46,6171,14.7926107181136,14.9473046864076,14.7926107181136,14.9473046864076,6171,0.0,1.0
2016-10-12,15.24,15.31,15.1875,15.31,5485,14.7346004800034,14.802279091132,14.6838415216569,14.802279091132,5485,0.0,1.0
2016-10-13,15.12,15.12,15.0,15.08,6408,14.6185800037829,14.6185800037829,14.5025595275624,14.5799065117094,6408,0.0,1.0
2016-10-14,15.12,15.1795,15.12,15.17,3166,14.6185800037829,14.6761068232422,14.6185800037829,14.6669218688747,3166,0.0,1.0
2016-10-17,15.17,15.21,15.15,15.18,10736,14.6669218688747,14.7055953609482,14.647585122838,14.6765902418931,10736,0.0,1.0
2016-10-18,15.29,15.37,15.2807,15.37,3488,14.7829423450952,14.8602893292422,14.7739507581881,14.8602893292422,3488,0.0,1.0
2016-10-19,15.26,15.36,15.25,15.36,6345,14.7539372260401,14.8506209562239,14.7442688530217,14.8506209562239,6345,0.0,1.0
2016-10-20,15.3,15.3,15.25,15.26,8914,14.7926107181136,14.7926107181136,14.7442688530217,14.7539372260401,8914,0.0,1.0
2016-10-21,15.2999,15.2999,15.2829,15.2829,500,14.7925140343834,14.7925140343834,14.7760778002522,14.7760778002522,500,0.0,1.0
2016-10-24,15.3,15.44,15.28,15.44,12517,14.7926107181136,14.9279679403709,14.7732739720769,14.9279679403709,12517,0.0,1.0
2016-10-25,15.17,15.25,15.15,15.25,15068,14.6669218688747,14.7442688530217,14.647585122838,14.7442688530217,15068,0.0,1.0
2016-10-26,15.17,15.18,15.1301,15.1569,4079,14.6669218688747,14.6765902418931,14.6283450605314,14.6542563002207,4079,0.0,1.0
2016-10-27,15.0,15.1,15.0,15.1,22094,14.5025595275624,14.5992432577461,14.5025595275624,14.5992432577461,22094,0.0,1.0
2016-10-28,15.06,15.09,15.02,15.06,3555,14.5605697656726,14.5895748847277,14.5218962735991,14.5605697656726,3555,0.0,1.0
2016-10-31,15.02,15.1,15.02,15.1,2603,14.5218962735991,14.5992432577461,14.5218962735991,14.5992432577461,2603,0.0,1.0
2016-11-01,14.95,15.04,14.95,15.04,5667,14.4542176624705,14.5412330196359,14.4542176624705,14.5412330196359,5667,0.0,1.0
2016-11-02,14.81,14.91,14.81,14.91,10223,14.3188604402132,14.415544170397,14.3188604402132,14.415544170397,10223,0.0,1.0
2016-11-03,14.87,14.99,14.8308,14.99,3223,14.3768706783235,14.492891154544,14.3389706560915,14.492891154544,3223,0.0,1.0
2016-11-04,14.82,14.89,14.74,14.89,7178,14.3285288132316,14.3962074243602,14.2511818290846,14.3962074243602,7178,0.0,1.0
2016-11-07,14.98,15.07,14.9748,15.07,5811,14.4832227815256,14.570238138691,14.4781952275561,14.570238138691,5811,0.0,1.0
2016-11-08,15.05,15.06,14.97,14.99,3162,14.5509013926542,14.5605697656726,14.4735544085072,14.492891154544,3162,0.0,1.0
2016-11-09,15.06,15.08,14.8,14.8,14842,14.5605697656726,14.5799065117094,14.3091920671949,14.3091920671949,14842,0.0,1.0
