date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-11,13.29,14.9,13.1601,14.1,676489,13.29,14.9,13.1601,14.1,676489,0.0,1.0
2024-01-12,12.47,13.2,12.38,13.2,172057,12.47,13.2,12.38,13.2,172057,0.0,1.0
2024-01-16,12.2868,12.36,11.99,12.24,239223,12.2868,12.36,11.99,12.24,239223,0.0,1.0
2024-01-17,12.16,12.18,12.0,12.17,63387,12.16,12.18,12.0,12.17,63387,0.0,1.0
2024-01-18,11.59,12.16,11.57,12.07,122428,11.59,12.16,11.57,12.07,122428,0.0,1.0
2024-01-19,11.82,11.96,11.45,11.7,278071,11.82,11.96,11.45,11.7,278071,0.0,1.0
2024-01-22,11.41,11.61,11.1999,11.6,363764,11.41,11.61,11.1999,11.6,363764,0.0,1.0
2024-01-23,11.12,11.23,10.94,11.03,70488,11.12,11.23,10.94,11.03,70488,0.0,1.0
2024-01-24,11.23,11.42,11.22,11.36,122006,11.23,11.42,11.22,11.36,122006,0.0,1.0
2024-01-25,11.31,11.39,11.24,11.37,47463,11.31,11.39,11.24,11.37,47463,0.0,1.0
2024-01-26,11.92,11.98,11.68,11.69,145366,11.92,11.98,11.68,11.69,145366,0.0,1.0
2024-01-29,12.25,12.2885,11.8599,11.93,295416,12.25,12.2885,11.8599,11.93,295416,0.0,1.0
2024-01-30,12.36,12.4,12.28,12.32,161392,12.36,12.4,12.28,12.32,161392,0.0,1.0
2024-01-31,12.06,12.4,12.05,12.12,121322,12.06,12.4,12.05,12.12,121322,0.0,1.0
2024-02-01,12.19,12.265,12.0,12.0,131682,12.19,12.265,12.0,12.0,131682,0.0,1.0
2024-02-02,12.18,12.32,12.09,12.11,270860,12.18,12.32,12.09,12.11,270860,0.0,1.0
2024-02-05,12.02,12.3099,11.99,12.29,153662,12.02,12.3099,11.99,12.29,153662,0.0,1.0
2024-02-06,12.2203,12.31,12.15,12.15,223485,12.2203,12.31,12.15,12.15,223485,0.0,1.0
2024-02-07,12.5168,12.56,12.19,12.24,294711,12.5168,12.56,12.19,12.24,294711,0.0,1.0
2024-02-08,12.9079,12.949,12.77,12.8,154458,12.9079,12.949,12.77,12.8,154458,0.0,1.0
2024-02-09,13.4835,13.69,13.3,13.34,354487,13.4835,13.69,13.3,13.34,354487,0.0,1.0
2024-02-12,14.2503,14.31,13.69,13.69,313116,14.2503,14.31,13.69,13.69,313116,0.0,1.0
