date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-09-16,20.015,20.015,19.9829,19.9829,2032,17.2492875709543,17.2492875709543,17.2216232126717,17.2216232126717,2032,0.0,1.0
2021-09-17,19.95,19.97,19.945,19.945,2999,17.193269399977,17.2105057602777,17.1889603099018,17.1889603099018,2999,0.0,1.0
2021-09-20,20.02,20.02,20.02,20.02,1680,17.2535966610295,17.2535966610295,17.2535966610295,17.2535966610295,1680,0.0,1.0
2021-09-21,20.01,20.0177,20.01,20.0177,1032,17.2449784808792,17.2516144795949,17.2449784808792,17.2516144795949,1032,0.0,1.0
2021-09-22,20.035,20.035,20.03,20.03,2105,17.2665239312551,17.2665239312551,17.2622148411799,17.2622148411799,2105,0.0,1.0
2021-09-23,19.935,19.96,19.935,19.96,173,17.1803421297514,17.2018875801273,17.1803421297514,17.2018875801273,173,0.0,1.0
2021-09-24,19.895,19.895,19.895,19.895,1330,17.14586940915,17.14586940915,17.14586940915,17.14586940915,1330,0.0,1.0
2021-09-27,19.85,19.9,19.85,19.9,1621,17.1070875984733,17.1501784992252,17.1070875984733,17.1501784992252,1621,0.0,1.0
2021-09-28,19.73,19.7582,19.73,19.75,451,17.003669436669,17.027972704693,17.003669436669,17.0209057969697,451,0.0,1.0
2021-09-29,19.73,19.73,19.73,19.73,0,17.003669436669,17.003669436669,17.003669436669,17.003669436669,0,0.0,1.0
2021-09-30,19.715,19.74,19.715,19.74,473,16.9907421664434,17.0122876168193,16.9907421664434,17.0122876168193,473,0.0,1.0
2021-10-01,19.815,19.815,19.809,19.809,138,17.0769239679471,17.0769239679471,17.0717530598568,17.0717530598568,138,0.0,1.0
2021-10-04,19.8,19.8,19.77,19.77,1515,17.0639966977215,17.0639966977215,17.0381421572704,17.0381421572704,1515,0.0,1.0
2021-10-05,19.73,19.73,19.73,19.73,115,17.003669436669,17.003669436669,17.003669436669,17.003669436669,115,0.0,1.0
2021-10-06,19.71,19.73,19.69,19.73,12955,16.9864330763682,17.003669436669,16.9691967160675,17.003669436669,12955,0.0,1.0
2021-10-07,19.65,19.705,19.65,19.7,2028,16.934723995466,16.982123986293,16.934723995466,16.9778148962179,2028,0.0,1.0
2021-10-08,19.56,19.56,19.56,19.56,141,16.8571603741128,16.8571603741128,16.8571603741128,16.8571603741128,141,0.0,1.0
2021-10-11,19.5382,19.56,19.5382,19.55,625,16.838372741385,16.8571603741128,16.838372741385,16.8485421939624,625,0.0,1.0
2021-10-12,19.585,19.59,19.56,19.57,4677,16.8787058244887,16.8830149145639,16.8571603741128,16.8657785542631,4677,0.0,1.0
2021-10-13,19.655,19.66,19.655,19.66,100,16.9390330855412,16.9433421756164,16.9390330855412,16.9433421756164,100,0.0,1.0
2021-10-14,19.7214,19.7214,19.72,19.72,1050,16.9962578017396,16.9962578017396,16.9950512565186,16.9950512565186,1050,0.0,1.0
2021-10-15,19.65,19.68,19.65,19.67,1990,16.934723995466,16.9605785359171,16.934723995466,16.9519603557668,1990,0.0,1.0
2021-10-18,19.65,19.65,19.65,19.65,115,16.9660510803126,16.9660510803126,16.9660510803126,16.9660510803126,115,0.03635,1.0
2021-10-19,19.51,19.55,19.51,19.55,862,16.8451733626921,16.8797098534408,16.8451733626921,16.8797098534408,862,0.0,1.0
2021-10-20,19.48,19.5,19.48,19.485,2400,16.8192709946305,16.8365392400049,16.8192709946305,16.8235880559741,2400,0.0,1.0
2021-10-21,19.415,19.43,19.415,19.4163,1319,16.7631491971638,16.7761003811946,16.7631491971638,16.7642716331132,1319,0.0,1.0
2021-10-22,19.46,19.49,19.44,19.45,1635,16.8020027492562,16.8279051173177,16.7847345038818,16.793368626569,1635,0.0,1.0
2021-10-25,19.46,19.46,19.46,19.46,89,16.8020027492562,16.8020027492562,16.8020027492562,16.8020027492562,89,0.0,1.0
2021-10-26,19.46,19.46,19.46,19.46,47,16.8020027492562,16.8020027492562,16.8020027492562,16.8020027492562,47,0.0,1.0
2021-10-27,19.645,19.67,19.64,19.64,2536,16.961734018969,16.983319325687,16.9574169576254,16.9574169576254,2536,0.0,1.0
2021-10-28,19.605,19.64,19.6,19.635,27128,16.9271975282203,16.9574169576254,16.9228804668767,16.9530998962818,27128,0.0,1.0
2021-10-29,19.6142,19.6142,19.535,19.56,2054,16.9351409210925,16.9351409210925,16.86675866941,16.888343976128,2054,0.0,1.0
2021-11-01,19.58,19.58,19.55,19.55,1834,16.9056122215023,16.9056122215023,16.8797098534408,16.8797098534408,1834,0.0,1.0
