date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-09-08,20.0546,20.0546,20.0546,20.0546,0,17.6544122976344,17.6544122976344,17.6544122976344,17.6544122976344,0,0.0,1.0
2022-09-09,20.1,20.1,20.1,20.1,2,17.6943787052572,17.6943787052572,17.6943787052572,17.6943787052572,2,0.0,1.0
2022-09-12,20.065,20.2185,20.065,20.2,3359,17.663567598059,17.7986963110568,17.663567598059,17.7824104401092,3359,0.0,1.0
2022-09-13,19.95,20.05,19.86,19.91,2851,17.5623311029791,17.6503628378312,17.4831025416123,17.5271184090383,2851,0.0,1.0
2022-09-14,19.955,19.9891,19.955,19.9891,1250,17.5667326897217,17.5967515113063,17.5667326897217,17.5967515113063,1250,0.0,1.0
2022-09-15,19.865,19.865,19.865,19.865,25,17.4875041283549,17.4875041283549,17.4875041283549,17.4875041283549,25,0.0,1.0
2022-09-16,19.865,19.9,19.865,19.89,829,17.4875041283549,17.5183152355531,17.4875041283549,17.5095120620679,829,0.0,1.0
2022-09-19,19.85,19.88,19.85,19.88,502,17.4742993681271,17.5007088885827,17.4742993681271,17.5007088885827,502,0.0,1.0
2022-09-20,19.665,19.71,19.665,19.69,873,17.3114406586509,17.3510549393343,17.3114406586509,17.3334485923639,873,0.0,1.0
2022-09-21,19.7,19.7,19.7,19.7,13,17.3422517658491,17.3422517658491,17.3422517658491,17.3422517658491,13,0.0,1.0
2022-09-22,19.47,19.57,19.47,19.489,15625,17.1397787756894,17.2278105105414,17.1397787756894,17.1565048053113,15625,0.0,1.0
2022-09-23,19.41,19.48,19.4,19.48,1336,17.0869597347782,17.1485819491746,17.078156561293,17.1485819491746,1336,0.0,1.0
2022-09-26,19.1094,19.93,19.08,19.1095,28612,16.822336339813,17.5447247560087,16.7964550097665,16.8224243715479,28612,0.0,1.0
2022-09-27,18.84,18.96,18.84,18.942,2193,16.5851788461217,16.6908169279441,16.5851788461217,16.6749712156707,2193,0.0,1.0
2022-09-28,19.225,19.225,19.225,19.225,1,16.924101025302,16.924101025302,16.924101025302,16.924101025302,1,0.0,1.0
2022-09-29,19.0797,19.08,18.96,19.08,700,16.796190914562,16.7964550097665,16.6908169279441,16.7964550097665,700,0.0,1.0
2022-09-30,19.1127,19.78,19.1127,19.24,12521,16.8252413870631,17.4126771537307,16.8252413870631,16.9373057855298,12521,0.0,1.0
2022-10-03,19.43,19.58,19.29,19.29,2207,17.1045660817486,17.2366136840266,16.9813216529558,16.9813216529558,2207,0.0,1.0
2022-10-04,19.545,19.6,19.545,19.6,401,17.2058025768284,17.2542200309971,17.2058025768284,17.2542200309971,401,0.0,1.0
2022-10-05,19.335,19.4,19.28,19.4,2107,17.0209359336392,17.078156561293,16.9725184794706,17.078156561293,2107,0.0,1.0
2022-10-06,19.285,19.35,19.24,19.35,1985,16.9769200662132,17.034140693867,16.9373057855298,17.034140693867,1985,0.0,1.0
2022-10-07,19.125,19.18,19.125,19.18,2276,16.8360692904499,16.8844867446185,16.8360692904499,16.8844867446185,2276,0.0,1.0
2022-10-10,18.98,19.01,18.91,19.01,500,16.7084232749145,16.7348327953701,16.6468010605181,16.7348327953701,500,0.0,1.0
2022-10-11,18.945,19.08,18.945,19.08,2206,16.6776121677163,16.7964550097665,16.6776121677163,16.7964550097665,2206,0.0,1.0
2022-10-12,18.94,18.98,18.94,18.97,2408,16.6732105809737,16.7084232749145,16.6732105809737,16.6996201014293,2408,0.0,1.0
2022-10-13,18.99,19.04,18.71,18.76,6782,16.7172264483997,16.7612423158257,16.470737590814,16.51475345824,6782,0.0,1.0
2022-10-14,18.835,18.95,18.825,18.95,7557,16.5807772593791,16.6820137544589,16.5719740858939,16.6820137544589,7557,0.0,1.0
