date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-03-08,25.3422,25.64,25.3422,25.369,7107,25.3422,25.64,25.3422,25.369,7107,0.0,1.0
2022-03-09,25.7636,25.87,25.62,25.62,44173,25.7636,25.87,25.62,25.62,44173,0.0,1.0
2022-03-10,25.7165,25.75,25.4913,25.67,17410,25.7165,25.75,25.4913,25.67,17410,0.0,1.0
2022-03-11,25.4687,25.6785,25.4687,25.6319,5513,25.4687,25.6785,25.4687,25.6319,5513,0.0,1.0
2022-03-14,25.3178,25.67,25.3178,25.67,360,25.3178,25.67,25.3178,25.67,360,0.0,1.0
2022-03-15,25.7306,25.75,25.47,25.47,11566,25.7306,25.75,25.47,25.47,11566,0.0,1.0
2022-03-16,26.0853,26.099,25.9475,25.98,13367,26.0853,26.099,25.9475,25.98,13367,0.0,1.0
2022-03-17,26.3401,26.3401,26.14,26.23,4646,26.3401,26.3401,26.14,26.23,4646,0.0,1.0
2022-03-18,26.5728,26.5728,26.385,26.409,1536,26.5728,26.5728,26.385,26.409,1536,0.0,1.0
2022-03-21,26.5554,26.645,26.5554,26.6,2232,26.5554,26.645,26.5554,26.6,2232,0.0,1.0
2022-03-22,26.7568,26.7568,26.7425,26.7461,270,26.7568,26.7568,26.7425,26.7461,270,0.0,1.0
2022-03-23,26.5742,26.749,26.5742,26.72,5178,26.5742,26.749,26.5742,26.72,5178,0.0,1.0
2022-03-24,26.7938,26.7938,26.75,26.75,2432,26.7938,26.7938,26.75,26.75,2432,0.0,1.0
2022-03-25,26.867,27.59,26.7702,27.59,8934,26.867,27.59,26.7702,27.59,8934,0.0,1.0
2022-03-28,26.9731,26.9731,26.7701,26.89,1112,26.9731,26.9731,26.7701,26.89,1112,0.0,1.0
2022-03-29,27.2082,27.24,27.09,27.1,7521,27.2082,27.24,27.09,27.1,7521,0.0,1.0
2022-03-30,27.0718,27.18,27.0718,27.1355,15716,27.0718,27.18,27.0718,27.1355,15716,0.0,1.0
2022-03-31,26.8944,27.0609,26.8944,26.9901,8072,26.8944,27.0609,26.8944,26.9901,8072,0.0,1.0
2022-04-01,26.8859,26.89,26.75,26.89,20711,26.8859,26.89,26.75,26.89,20711,0.0,1.0
2022-04-04,26.996,27.04,26.9,26.9,8297,26.996,27.04,26.9,26.9,8297,0.0,1.0
2022-04-05,26.7606,27.02,26.7606,27.02,6107,26.7606,27.02,26.7606,27.02,6107,0.0,1.0
2022-04-06,26.6062,26.678,26.49,26.54,13600,26.6062,26.678,26.49,26.54,13600,0.0,1.0
2022-04-07,26.6743,26.8,26.59,26.61,7566,26.6743,26.8,26.59,26.61,7566,0.0,1.0
2022-04-08,26.6416,26.74,26.6416,26.74,2980,26.6416,26.74,26.6416,26.74,2980,0.0,1.0
2022-04-11,26.3584,26.53,26.34,26.52,61738,26.3584,26.53,26.34,26.52,61738,0.0,1.0
2022-04-12,26.2939,26.54,26.24,26.48,62105,26.2939,26.54,26.24,26.48,62105,0.0,1.0
2022-04-13,26.5237,26.55,26.435,26.45,38858,26.5237,26.55,26.435,26.45,38858,0.0,1.0
2022-04-14,26.2679,26.54,26.2679,26.52,42617,26.2679,26.54,26.2679,26.52,42617,0.0,1.0
2022-04-18,26.24,26.33,26.21,26.29,11491,26.24,26.33,26.21,26.29,11491,0.0,1.0
