date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-04-10,74.99,74.99,74.96,74.96,15800,50.3180361188639,50.3180361188639,50.2979062204299,50.2979062204299,15800,0.0,1.0
2007-04-11,74.95,75.05,74.95,74.96,18500,50.2911962542852,50.3582959157319,50.2911962542852,50.2979062204299,18500,0.0,1.0
2007-04-12,75.12,75.12,75.08,75.1,41800,50.4052656787446,50.4052656787446,50.3784258141659,50.3918457464552,41800,0.0,1.0
2007-04-13,74.91,74.99,74.8834,74.99,33800,50.2643563897066,50.3180361188639,50.2465078797617,50.3180361188639,33800,0.0,1.0
2007-04-16,75.0,75.0,74.95,74.96,52900,50.3247460850086,50.3247460850086,50.2911962542852,50.2979062204299,52900,0.0,1.0
2007-04-17,75.09,75.12,75.01,75.01,83700,50.3851357803106,50.4052656787446,50.3314560511532,50.3314560511532,83700,0.0,1.0
2007-04-18,75.19,75.23,75.12,75.14,52200,50.4522354417573,50.4790753063359,50.4052656787446,50.4186856110339,52200,0.0,1.0
2007-04-19,75.21,75.23,75.19,75.23,39000,50.4656553740466,50.4790753063359,50.4522354417573,50.4790753063359,39000,0.0,1.0
2007-04-20,75.25,75.25,75.22,75.22,28800,50.4924952386253,50.4924952386253,50.4723653401913,50.4723653401913,28800,0.0,1.0
2007-04-23,75.29,75.36,75.24,75.24,1049800,50.5193351032039,50.5663048662166,50.4857852724806,50.4857852724806,1049800,0.0,1.0
2007-04-24,75.33,75.38,75.24,75.32,90400,50.5461749677826,50.5797247985059,50.4857852724806,50.5394650016379,90400,0.0,1.0
2007-04-25,75.31,75.38,75.3,75.36,30000,50.5327550354933,50.5797247985059,50.5260450693486,50.5663048662166,30000,0.0,1.0
2007-04-26,75.22,75.3,75.22,75.3,16400,50.4723653401913,50.5260450693486,50.4723653401913,50.5260450693486,16400,0.0,1.0
2007-04-27,75.21,75.29,75.19,75.28,22400,50.4656553740466,50.5193351032039,50.4522354417573,50.5126251370593,22400,0.0,1.0
2007-04-30,75.35,75.37,75.29,75.29,57600,50.5595949000719,50.5730148323613,50.5193351032039,50.5193351032039,57600,0.0,1.0
2007-05-01,75.26,75.38,75.21,75.38,50400,50.5581489023678,50.6387624802084,50.5245599116008,50.6387624802084,50400,0.087845,1.0
2007-05-02,75.21,75.28,75.2,75.27,45200,50.5245599116008,50.5715844986745,50.5178421134475,50.5648667005212,45200,0.0,1.0
2007-05-03,75.17,75.21,75.17,75.19,35700,50.4976887189873,50.5245599116008,50.4976887189873,50.5111243152941,35700,0.0,1.0
2007-05-04,75.24,75.27,75.2,75.24,33000,50.544713306061,50.5648667005212,50.5178421134475,50.544713306061,33000,0.0,1.0
2007-05-07,75.24,75.25,75.22,75.23,18800,50.544713306061,50.5514311042144,50.5312777097542,50.5379955079076,18800,0.0,1.0
2007-05-08,75.26,75.32,75.23,75.23,26600,50.5581489023678,50.5984556912881,50.5379955079076,50.5379955079076,26600,0.0,1.0
2007-05-09,75.27,75.31,75.19,75.31,47800,50.5648667005212,50.5917378931347,50.5111243152941,50.5917378931347,47800,0.0,1.0
2007-05-10,75.22,75.26,75.21,75.26,16000,50.5312777097542,50.5581489023678,50.5245599116008,50.5581489023678,16000,0.0,1.0
2007-05-11,75.23,75.32,75.22,75.31,8800,50.5379955079076,50.5984556912881,50.5312777097542,50.5917378931347,8800,0.0,1.0
2007-05-14,75.22,75.24,75.2,75.21,23400,50.5312777097542,50.544713306061,50.5178421134475,50.5245599116008,23400,0.0,1.0
2007-05-15,75.19,75.24,75.14,75.24,65400,50.5111243152941,50.544713306061,50.4775353245272,50.544713306061,65400,0.0,1.0
2007-05-16,75.2,75.24,75.18,75.22,80300,50.5178421134475,50.544713306061,50.5044065171407,50.5312777097542,80300,0.0,1.0
2007-05-17,75.14,75.2,75.14,75.2,29800,50.4775353245272,50.5178421134475,50.4775353245272,50.5178421134475,29800,0.0,1.0
2007-05-18,75.06,75.2,73.69,75.15,71900,50.4237929393001,50.5178421134475,49.5034545922865,50.4842531226806,71900,0.0,1.0
2007-05-21,75.11,75.11,75.06,75.1,45600,50.457381930067,50.457381930067,50.4237929393001,50.4506641319136,45600,0.0,1.0
2007-05-22,75.07,75.17,75.07,75.14,79000,50.4305107374535,50.4976887189873,50.4305107374535,50.4775353245272,79000,0.0,1.0
2007-05-23,75.05,75.1,75.03,75.08,75100,50.4170751411467,50.4506641319136,50.4036395448399,50.4372285356069,75100,0.0,1.0
2007-05-24,75.08,75.1,75.03,75.09,14300,50.4372285356069,50.4506641319136,50.4036395448399,50.4439463337602,14300,0.0,1.0
2007-05-25,75.12,75.14,75.0799,75.12,74700,50.4640997282204,50.4775353245272,50.4371613576253,50.4640997282204,74700,0.0,1.0
2007-05-29,75.03,75.12,75.02,75.08,51500,50.4036395448399,50.4640997282204,50.3969217466866,50.4372285356069,51500,0.0,1.0
2007-05-30,75.07,75.1,75.07,75.1,23300,50.4305107374535,50.4506641319136,50.4305107374535,50.4506641319136,23300,0.0,1.0
2007-05-31,75.05,75.05,74.96,75.05,42200,50.4170751411467,50.4170751411467,50.3566149577662,50.4170751411467,42200,0.0,1.0
2007-06-01,74.65,74.74,74.65,74.7,52800,50.3204389429305,50.3811065853265,50.3204389429305,50.354143188706,52800,0.256149,1.0
2007-06-04,74.69,74.7,74.64,74.67,27000,50.3474023395509,50.354143188706,50.3136980937753,50.3339206412407,27000,0.0,1.0
2007-06-05,74.63,74.69,74.58,74.69,33100,50.3069572446202,50.3474023395509,50.2732529988447,50.3474023395509,33100,0.0,1.0
2007-06-06,74.69,74.72,74.63,74.63,26700,50.3474023395509,50.3676248870163,50.3069572446202,50.3069572446202,26700,0.0,1.0
2007-06-07,74.55,74.75,74.5299,74.65,109200,50.2530304513793,50.3878474344816,50.2394813445775,50.3204389429305,109200,0.0,1.0
2007-06-08,74.54,74.56,74.44,74.44,13200,50.2462896022242,50.2597713005344,50.1788811106731,50.1788811106731,13200,0.0,1.0
2007-06-11,74.59,74.64,74.52,74.58,64300,50.2799938479998,50.3136980937753,50.232807903914,50.2732529988447,64300,0.0,1.0
2007-06-12,74.47,74.6,74.46,74.58,77000,50.1991036581384,50.2867346971549,50.1923628089833,50.2732529988447,77000,0.0,1.0
2007-06-13,74.52,74.55,74.46,74.46,21900,50.232807903914,50.2530304513793,50.1923628089833,50.1923628089833,21900,0.0,1.0
2007-06-14,74.52,74.53,74.44,74.53,82000,50.232807903914,50.2395487530691,50.1788811106731,50.2395487530691,82000,0.0,1.0
2007-06-15,74.62,74.62,74.47,74.47,34300,50.3002163954651,50.3002163954651,50.1991036581384,50.1991036581384,34300,0.0,1.0
2007-06-18,74.65,74.65,74.61,74.65,10900,50.3204389429305,50.3204389429305,50.29347554631,50.3204389429305,10900,0.0,1.0
2007-06-19,74.74,74.74,74.5,74.5,104600,50.3811065853265,50.3811065853265,50.2193262056037,50.2193262056037,104600,0.0,1.0
2007-06-20,74.67,74.77,74.67,74.73,17000,50.3339206412407,50.4013291327918,50.3339206412407,50.3743657361714,17000,0.0,1.0
2007-06-21,74.76,74.78,74.71,74.75,15100,50.3945882836367,50.408069981947,50.3608840378611,50.3878474344816,15100,0.0,1.0
2007-06-22,74.8,74.8,74.68,74.69,41900,50.4215516802572,50.4215516802572,50.3406614903958,50.3474023395509,41900,0.0,1.0
2007-06-25,74.91,74.93,74.83,74.83,45900,50.4957010209634,50.5091827192737,50.4417742277225,50.4417742277225,45900,0.0,1.0
2007-06-26,74.92,74.93,74.87,74.9,36200,50.5024418701186,50.5091827192737,50.468737624343,50.4889601718083,36200,0.0,1.0
2007-06-27,74.92,75.02,74.8801,74.99,37900,50.5024418701186,50.5698503616697,50.4755458819896,50.5496278142043,37900,0.0,1.0
2007-06-28,74.88,74.94,74.85,74.9001,54800,50.4754784734981,50.5159235684288,50.4552559260327,50.4890275802999,54800,0.0,1.0
2007-06-29,74.97,74.98,74.9,74.92,28000,50.5361461158941,50.5428869650492,50.4889601718083,50.5024418701186,28000,0.0,1.0
2007-07-02,74.82,74.82,74.73,74.76,15200,50.6176935385481,50.6176935385481,50.5568061766333,50.5771019639382,15200,0.270975,1.0
2007-07-03,74.8,74.9,74.75,74.89,38700,50.6041630136782,50.671815638028,50.5703367015033,50.665050375593,38700,0.0,1.0
2007-07-05,74.6,74.72,74.5501,74.72,32000,50.4688577649785,50.5500409141983,50.4350991054279,50.5500409141983,32000,0.0,1.0
2007-07-06,74.54,74.65,74.54,74.65,70700,50.4282661903686,50.5026840771534,50.4282661903686,50.5026840771534,70700,0.0,1.0
2007-07-09,74.63,74.6408,74.53,74.53,47700,50.4891535522834,50.4964600357132,50.4215009279336,50.4215009279336,47700,0.0,1.0
2007-07-10,74.81,74.81,74.65,74.65,33900,50.6109282761132,50.6109282761132,50.5026840771534,50.5026840771534,33900,0.0,1.0
2007-07-11,74.81,74.89,74.7801,74.86,44600,50.6109282761132,50.665050375593,50.5907001414326,50.6447545882881,44600,0.0,1.0
