date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-11,46.53,50.18,46.1182,48.13,965849,46.53,50.18,46.1182,48.13,965849,0.0,1.0
2024-01-12,43.86,46.29,43.42,46.2,1041794,43.86,46.29,43.42,46.2,1041794,0.0,1.0
2024-01-16,43.42,43.49,42.2071,43.02,862140,43.42,43.49,42.2071,43.02,862140,0.0,1.0
2024-01-17,42.81,42.91,42.29,42.72,908830,42.81,42.91,42.29,42.72,908830,0.0,1.0
2024-01-18,40.85,42.8255,40.65,42.68,1648875,40.85,42.8255,40.65,42.68,1648875,0.0,1.0
2024-01-19,41.565,42.0877,40.3,41.18,1742466,41.565,42.0877,40.3,41.18,1742466,0.0,1.0
2024-01-22,40.2,40.82,39.39,40.68,211127,40.2,40.82,39.39,40.68,211127,0.0,1.0
2024-01-23,39.17,39.59,38.56,38.84,123896,39.17,39.59,38.56,38.84,123896,0.0,1.0
2024-01-24,39.56,40.19,39.51,40.0,55812,39.56,40.19,39.51,40.0,55812,0.0,1.0
2024-01-25,39.78,40.06,39.52,40.04,152843,39.78,40.06,39.52,40.04,152843,0.0,1.0
2024-01-26,41.98,42.19,41.11,41.19,289127,41.98,42.19,41.11,41.19,289127,0.0,1.0
2024-01-29,43.15,43.31,41.8,42.02,332258,43.15,43.31,41.8,42.02,332258,0.0,1.0
2024-01-30,43.57,43.74,43.24,43.44,923303,43.57,43.74,43.24,43.44,923303,0.0,1.0
2024-01-31,42.49,43.74,42.49,42.69,316512,42.49,43.74,42.49,42.69,316512,0.0,1.0
2024-02-01,43.02,43.26,42.34,42.38,328970,43.02,43.26,42.34,42.38,328970,0.0,1.0
2024-02-02,42.95,43.46,42.67,42.72,552813,42.95,43.46,42.67,42.72,552813,0.0,1.0
2024-02-05,42.39,43.44,42.28,43.44,273643,42.39,43.44,42.28,43.44,273643,0.0,1.0
2024-02-06,43.13,43.39,42.84,42.97,368320,43.13,43.39,42.84,42.97,368320,0.0,1.0
2024-02-07,44.18,44.28,42.92,43.18,495428,44.18,44.28,42.92,43.18,495428,0.0,1.0
2024-02-08,45.59,45.6205,44.9993,45.13,392115,45.59,45.6205,44.9993,45.13,392115,0.0,1.0
2024-02-09,47.59,48.27,46.8586,47.03,827051,47.59,48.27,46.8586,47.03,827051,0.0,1.0
2024-02-12,50.27,50.42,48.1892,48.27,661167,50.27,50.42,48.1892,48.27,661167,0.0,1.0
2024-02-13,49.49,49.53,48.43,49.13,152676,49.49,49.53,48.43,49.13,152676,0.0,1.0
2024-02-14,51.79,52.15,51.3311,51.87,1078187,51.79,52.15,51.3311,51.87,1078187,0.0,1.0
2024-02-15,51.83,52.8999,51.74,52.56,170527,51.83,52.8999,51.74,52.56,170527,0.0,1.0
2024-02-16,51.95,52.4984,51.64,52.33,218696,51.95,52.4984,51.64,52.33,218696,0.0,1.0
2024-02-20,52.01,52.4,50.79,52.36,595395,52.01,52.4,50.79,52.36,595395,0.0,1.0
2024-02-21,51.0,51.46,50.7,50.97,647026,51.0,51.46,50.7,50.97,647026,0.0,1.0
2024-02-22,52.04,52.14,51.05,51.16,253869,52.04,52.14,51.05,51.16,253869,0.0,1.0
2024-02-23,51.13,51.35,50.64,51.26,397671,51.13,51.35,50.64,51.26,397671,0.0,1.0
2024-02-26,54.52,55.0,51.44,51.46,1105598,54.52,55.0,51.44,51.46,1105598,0.0,1.0
2024-02-27,57.1,57.68,56.31,56.98,743902,57.1,57.68,56.31,56.98,743902,0.0,1.0
2024-02-28,60.4,64.41,59.11,60.28,2691941,60.4,64.41,59.11,60.28,2691941,0.0,1.0
2024-02-29,62.07,63.6473,60.43,63.44,772899,62.07,63.6473,60.43,63.44,772899,0.0,1.0
2024-03-01,63.09,63.29,61.25,62.54,368377,63.09,63.29,61.25,62.54,368377,0.0,1.0
2024-03-04,67.75,68.0399,65.47,65.52,763606,67.75,68.0399,65.47,65.52,763606,0.0,1.0
2024-03-05,61.97,69.43,59.68,67.78,1956862,61.97,69.43,59.68,67.78,1956862,0.0,1.0
2024-03-06,67.09,67.61,65.4,67.0,527234,67.09,67.61,65.4,67.0,527234,0.0,1.0
2024-03-07,67.79,68.17,66.68,67.45,486908,67.79,68.17,66.68,67.45,486908,0.0,1.0
2024-03-08,69.38,70.39,66.18,68.17,1692968,69.38,70.39,66.18,68.17,1692968,0.0,1.0
2024-03-11,72.15,72.96,71.39,72.44,892031,72.15,72.96,71.39,72.44,892031,0.0,1.0
2024-03-12,71.44,73.23,68.75,72.45,1831000,71.44,73.23,68.75,72.45,1831000,0.0,1.0
2024-03-13,73.61,73.61,71.75,72.82,1021062,73.61,73.61,71.75,72.82,1021062,0.0,1.0
2024-03-14,69.34,72.768,68.47,72.67,1491500,69.34,72.768,68.47,72.67,1491500,0.0,1.0
2024-03-15,69.14,70.54,67.43,67.89,909823,69.14,70.54,67.43,67.89,909823,0.0,1.0
2024-03-18,66.91,68.555,66.53,67.95,516706,66.91,68.555,66.53,67.95,516706,0.0,1.0
2024-03-19,64.37,65.8,62.25,63.81,520615,64.37,65.8,62.25,63.81,520615,0.0,1.0
2024-03-20,65.93,66.1,62.09,63.48,1023947,65.93,66.1,62.09,63.48,1023947,0.0,1.0
2024-03-21,65.3,67.74,64.99,67.74,630335,65.3,67.74,64.99,67.74,630335,0.0,1.0
2024-03-22,63.98,64.38,62.71,64.3,711483,63.98,64.38,62.71,64.3,711483,0.0,1.0
2024-03-25,71.17,71.25,67.11,67.11,1028849,71.17,71.25,67.11,67.11,1028849,0.0,1.0
2024-03-26,69.57,71.08,69.41,71.01,607193,69.57,71.08,69.41,71.01,607193,0.0,1.0
2024-03-27,68.71,71.91,68.49,71.75,595929,68.71,71.91,68.49,71.75,595929,0.0,1.0
2024-03-28,71.01,71.83,70.59,71.23,421365,71.01,71.83,70.59,71.23,421365,0.0,1.0
2024-04-01,69.8,70.21,68.2003,70.17,270614,69.8,70.21,68.2003,70.17,270614,0.0,1.0
2024-04-02,65.96,66.36,64.56,64.94,305777,65.96,66.36,64.56,64.94,305777,0.0,1.0
2024-04-03,65.87,67.0,65.63,65.84,244502,65.87,67.0,65.63,65.84,244502,0.0,1.0
2024-04-04,68.58,69.39,67.19,67.41,383689,68.58,69.39,67.19,67.41,383689,0.0,1.0
2024-04-05,67.41,68.6399,66.89,67.0,324414,67.41,68.6399,66.89,67.0,324414,0.0,1.0
2024-04-08,71.8,72.25,71.28,72.25,425855,71.8,72.25,71.28,72.25,425855,0.0,1.0
2024-04-09,69.02,70.98,68.28,70.77,381275,69.02,70.98,68.28,70.77,381275,0.0,1.0
2024-04-10,70.09,70.09,67.555,67.72,286486,70.09,70.09,67.555,67.72,286486,0.0,1.0
2024-04-11,70.51,70.92,69.55,70.8,294734,70.51,70.92,69.55,70.8,294734,0.0,1.0
2024-04-12,66.89,70.29,65.2185,70.25,818148,66.89,70.29,65.2185,70.25,818148,0.0,1.0
2024-04-15,63.33,66.5316,62.4349,66.32,295930,63.33,66.5316,62.4349,66.32,295930,0.0,1.0
2024-04-16,62.75,63.38,61.7604,63.26,293731,62.75,63.38,61.7604,63.26,293731,0.0,1.0
2024-04-17,61.02,62.98,59.71,62.36,568671,61.02,62.98,59.71,62.36,568671,0.0,1.0
2024-04-18,63.55,64.1,62.05,62.51,230127,63.55,64.1,62.05,62.51,230127,0.0,1.0
2024-04-19,64.36,65.19,63.64,64.87,220973,64.36,65.19,63.64,64.87,220973,0.0,1.0
2024-04-22,66.57,66.95,65.78,66.17,247979,66.57,66.95,65.78,66.17,247979,0.0,1.0
2024-04-23,66.52,67.2028,66.2,66.23,142436,66.52,67.2028,66.2,66.23,142436,0.0,1.0
2024-04-24,63.86,66.36,63.7932,66.1,334475,63.86,66.36,63.7932,66.1,334475,0.0,1.0
2024-04-25,64.75,64.91,62.84,63.17,198740,64.75,64.91,62.84,63.17,198740,0.0,1.0
2024-04-26,63.77,64.77,63.3218,63.81,297794,63.77,64.77,63.3218,63.81,297794,0.0,1.0
2024-04-29,62.92,63.19,61.72,62.54,110538,62.92,63.19,61.72,62.54,110538,0.0,1.0
2024-04-30,59.02,61.43,58.93,61.2,438610,59.02,61.43,58.93,61.2,438610,0.0,1.0
2024-05-01,56.91,59.4,56.5759,57.64,406348,56.91,59.4,56.5759,57.64,406348,0.0,1.0
2024-05-02,59.47,59.6,58.32,58.82,437148,59.47,59.6,58.32,58.82,437148,0.0,1.0
2024-05-03,62.23,62.33,61.28,61.34,562439,62.23,62.33,61.28,61.34,562439,0.0,1.0
2024-05-06,63.19,64.27,62.81,63.7,206530,63.19,64.27,62.81,63.7,206530,0.0,1.0
2024-05-07,63.11,64.37,62.86,63.62,149873,63.11,64.37,62.86,63.62,149873,0.0,1.0
2024-05-08,62.17,62.75,61.78,62.06,64977,62.17,62.75,61.78,62.06,64977,0.0,1.0
2024-05-09,62.55,62.74,60.91,61.34,97928,62.55,62.74,60.91,61.34,97928,0.0,1.0
2024-05-10,60.7,63.18,60.195,62.94,260173,60.7,63.18,60.195,62.94,260173,0.0,1.0
2024-05-13,63.2,63.5,62.63,62.865,276987,63.2,63.5,62.63,62.865,276987,0.0,1.0
2024-05-14,61.61,62.24,61.13,62.01,100449,61.61,62.24,61.13,62.01,100449,0.0,1.0
2024-05-15,66.12,66.56,64.04,64.36,330420,66.12,66.56,64.04,64.36,330420,0.0,1.0
2024-05-16,65.26,66.5,64.68,66.1,177660,65.26,66.5,64.68,66.1,177660,0.0,1.0
2024-05-17,67.15,67.59,65.935,66.47,139829,67.15,67.59,65.935,66.47,139829,0.0,1.0
2024-05-20,70.15,70.21,66.83,67.1,113001,70.15,70.21,66.83,67.1,113001,0.0,1.0
2024-05-21,69.3,71.33,69.19,71.0,166565,69.3,71.33,69.19,71.0,166565,0.0,1.0
2024-05-22,69.78,70.71,69.29,69.8,155480,69.78,70.71,69.29,69.8,155480,0.0,1.0
2024-05-23,67.2,69.29,66.76,69.29,111388,67.2,69.29,66.76,69.29,111388,0.0,1.0
2024-05-24,69.28,69.41,67.15,67.48,132371,69.28,69.41,67.15,67.48,132371,0.0,1.0
2024-05-28,68.41,68.56,67.23,68.43,100422,68.41,68.56,67.23,68.43,100422,0.0,1.0
2024-05-29,67.19,67.9,67.13,67.77,30255,67.19,67.9,67.13,67.77,30255,0.0,1.0
2024-05-30,68.73,69.64,68.09,68.28,132709,68.73,69.64,68.09,68.28,132709,0.0,1.0
2024-05-31,67.62,68.8,66.61,68.8,94574,67.62,68.8,66.61,68.8,94574,0.0,1.0
2024-06-03,69.21,70.36,68.66,69.77,110464,69.21,70.36,68.66,69.77,110464,0.0,1.0
2024-06-04,70.47,71.14,69.32,69.5,171127,70.47,71.14,69.32,69.5,171127,0.0,1.0
2024-06-05,71.3,71.87,70.45,71.15,108141,71.3,71.87,70.45,71.15,108141,0.0,1.0
2024-06-06,70.42,71.68,70.42,71.12,82746,70.42,71.68,70.42,71.12,82746,0.0,1.0
2024-06-07,69.14,71.69,68.28,71.35,259467,69.14,71.69,68.28,71.35,259467,0.0,1.0
2024-06-10,69.41,70.13,69.19,69.29,63534,69.41,70.13,69.19,69.29,63534,0.0,1.0
2024-06-11,67.44,67.62,66.01,67.23,213735,67.44,67.62,66.01,67.23,213735,0.0,1.0
2024-06-12,67.45,70.11,67.24,69.31,267432,67.45,70.11,67.24,69.31,267432,0.0,1.0
2024-06-13,66.54,68.29,66.18,68.08,255530,66.54,68.29,66.18,68.08,255530,0.0,1.0
2024-06-14,65.45,67.35,65.0,67.35,153748,65.45,67.35,65.0,67.35,153748,0.0,1.0
2024-06-17,66.68,67.26,65.01,65.63,245763,66.68,67.26,65.01,65.63,245763,0.0,1.0
2024-06-18,64.31,65.33,63.97,64.87,197025,64.31,65.33,63.97,64.87,197025,0.0,1.0
2024-06-20,65.09,65.48,64.54,65.3,122556,65.09,65.48,64.54,65.3,122556,0.0,1.0
2024-06-21,64.22,64.3869,63.33,63.65,89375,64.22,64.3869,63.33,63.65,89375,0.0,1.0
2024-06-24,59.34,61.65,59.0,61.27,458146,59.34,61.65,59.0,61.27,458146,0.0,1.0
2024-06-25,61.92,62.28,61.0,61.2,235268,61.92,62.28,61.0,61.2,235268,0.0,1.0
2024-06-26,60.95,61.98,60.7,61.55,108056,60.95,61.98,60.7,61.55,108056,0.0,1.0
