date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-11,49.3247,53.22,49.3,51.17,131502,49.3247,53.22,49.3,51.17,131502,0.0,1.0
2024-01-12,46.61,49.16,46.19,49.16,87348,46.61,49.16,46.19,49.16,87348,0.0,1.0
2024-01-16,46.045,46.2599,44.9,45.54,22873,46.045,46.2599,44.9,45.54,22873,0.0,1.0
2024-01-17,45.36,45.73,45.065,45.38,43564,45.36,45.73,45.065,45.38,43564,0.0,1.0
2024-01-18,43.5,45.51,43.24,45.43,30265,43.5,45.51,43.24,45.43,30265,0.0,1.0
2024-01-19,44.36,44.75,42.9098,43.78,18145,44.36,44.75,42.9098,43.78,18145,0.0,1.0
2024-01-22,42.8,43.45,42.25,43.42,97208,42.8,43.45,42.25,43.42,97208,0.0,1.0
2024-01-23,41.65,42.0,41.0815,41.4,25216,41.65,42.0,41.0815,41.4,25216,0.0,1.0
2024-01-24,42.16,42.64,42.0,42.54,50285,42.16,42.64,42.0,42.54,50285,0.0,1.0
2024-01-25,42.265,42.6599,42.03,42.55,67007,42.265,42.6599,42.03,42.55,67007,0.0,1.0
2024-01-26,44.68,44.8954,43.72,43.75,185456,44.68,44.8954,43.72,43.75,185456,0.0,1.0
2024-01-29,45.92,46.06,44.43,44.64,462581,45.92,46.06,44.43,44.64,462581,0.0,1.0
2024-01-30,46.36,46.5,45.98,46.09,398930,46.36,46.5,45.98,46.09,398930,0.0,1.0
2024-01-31,45.19,46.52,45.19,45.45,514961,45.19,46.52,45.19,45.45,514961,0.0,1.0
2024-02-01,45.74,46.02,45.03,45.12,724109,45.74,46.02,45.03,45.12,724109,0.0,1.0
2024-02-02,45.67,46.2,45.42,45.49,400191,45.67,46.2,45.42,45.49,400191,0.0,1.0
2024-02-05,45.07,46.15,44.93,46.11,592431,45.07,46.15,44.93,46.11,592431,0.0,1.0
2024-02-06,45.8,46.1212,45.55,45.58,118814,45.8,46.1212,45.55,45.58,118814,0.0,1.0
2024-02-07,46.97,47.08,45.65,45.87,180799,46.97,47.08,45.65,45.87,180799,0.0,1.0
2024-02-08,48.45,48.5,47.83,47.92,96369,48.45,48.5,47.83,47.92,96369,0.0,1.0
2024-02-09,50.52,51.09,49.79,49.97,90897,50.52,51.09,49.79,49.97,90897,0.0,1.0
2024-02-12,53.47,53.62,51.27,51.27,267457,53.47,53.62,51.27,51.27,267457,0.0,1.0
2024-02-13,52.555,52.67,51.55,52.21,138897,52.555,52.67,51.55,52.21,138897,0.0,1.0
2024-02-14,55.06,55.4,54.51,55.1,47121,55.06,55.4,54.51,55.1,47121,0.0,1.0
2024-02-15,55.06,56.26,54.99,55.91,96090,55.06,56.26,54.99,55.91,96090,0.0,1.0
2024-02-16,55.15,55.74,55.0,55.62,36984,55.15,55.74,55.0,55.62,36984,0.0,1.0
2024-02-20,55.26,55.69,53.98,55.65,4037195,55.26,55.69,53.98,55.65,4037195,0.0,1.0
2024-02-21,54.15,54.65,53.83,54.15,134940,54.15,54.65,53.83,54.15,134940,0.0,1.0
2024-02-22,55.26,55.37,54.24,54.34,187042,55.26,55.37,54.24,54.34,187042,0.0,1.0
2024-02-23,54.3,54.52,53.8,54.45,132233,54.3,54.52,53.8,54.45,132233,0.0,1.0
2024-02-26,57.99,58.47,54.63,54.66,645293,57.99,58.47,54.63,54.66,645293,0.0,1.0
2024-02-27,60.66,61.14,59.86,60.52,307713,60.66,61.14,59.86,60.52,307713,0.0,1.0
2024-02-28,64.2,68.36,62.95,64.13,932712,64.2,68.36,62.95,64.13,932712,0.0,1.0
2024-02-29,65.97,67.6999,64.19,67.44,237312,65.97,67.6999,64.19,67.44,237312,0.0,1.0
2024-03-01,67.03,67.24,65.0,66.42,163938,67.03,67.24,65.0,66.42,163938,0.0,1.0
2024-03-04,72.04,72.3599,69.53,69.55,236685,72.04,72.3599,69.53,69.55,236685,0.0,1.0
2024-03-05,65.91,73.91,63.415,72.05,1296545,65.91,73.91,63.415,72.05,1296545,0.0,1.0
2024-03-06,71.3,71.87,69.52,71.0,363975,71.3,71.87,69.52,71.0,363975,0.0,1.0
2024-03-07,72.0,72.41,70.96,71.72,450921,72.0,72.41,70.96,71.72,450921,0.0,1.0
2024-03-08,73.77,74.91,70.38,72.42,725033,73.77,74.91,70.38,72.42,725033,0.0,1.0
2024-03-11,76.67,77.59,75.94,77.05,388415,76.67,77.59,75.94,77.05,388415,0.0,1.0
2024-03-12,75.94,77.79,73.05,77.02,703538,75.94,77.79,73.05,77.02,703538,0.0,1.0
2024-03-13,78.16,78.16,76.35,77.45,449789,78.16,78.16,76.35,77.45,449789,0.0,1.0
2024-03-14,73.53,77.28,72.7,77.28,986442,73.53,77.28,72.7,77.28,986442,0.0,1.0
2024-03-15,73.41,74.94,71.5903,72.09,264377,73.41,74.94,71.5903,72.09,264377,0.0,1.0
2024-03-18,71.04,72.81,70.66,72.29,378290,71.04,72.81,70.66,72.29,378290,0.0,1.0
2024-03-19,68.35,69.88,66.15,67.67,564138,68.35,69.88,66.15,67.67,564138,0.0,1.0
2024-03-20,70.02,70.18,65.95,67.44,727018,70.02,70.18,65.95,67.44,727018,0.0,1.0
2024-03-21,69.28,71.92,68.91,71.88,498246,69.28,71.92,68.91,71.88,498246,0.0,1.0
2024-03-22,67.91,68.34,66.55,68.21,424322,67.91,68.34,66.55,68.21,424322,0.0,1.0
2024-03-25,75.58,75.67,71.18,71.19,1020524,75.58,75.67,71.18,71.19,1020524,0.0,1.0
2024-03-26,73.8,75.46,73.69,75.42,695938,73.8,75.46,73.69,75.42,695938,0.0,1.0
2024-03-27,72.97,76.34,72.71,76.27,582157,72.97,76.34,72.71,76.27,582157,0.0,1.0
2024-03-28,75.41,76.3,74.95,75.6,252016,75.41,76.3,74.95,75.6,252016,0.0,1.0
2024-04-01,74.16,74.55,72.38,74.53,409176,74.16,74.55,72.38,74.53,409176,0.0,1.0
2024-04-02,70.13,70.48,68.62,69.01,235960,70.13,70.48,68.62,69.01,235960,0.0,1.0
2024-04-03,69.99,71.15,69.7,69.95,448807,69.99,71.15,69.7,69.95,448807,0.0,1.0
2024-04-04,72.8,73.81,71.39,71.7,207700,72.8,73.81,71.39,71.7,207700,0.0,1.0
2024-04-05,71.62,72.96,71.03,71.15,342773,71.62,72.96,71.03,71.15,342773,0.0,1.0
2024-04-08,76.29,76.75,75.72,76.66,213081,76.29,76.75,75.72,76.66,213081,0.0,1.0
2024-04-09,73.32,75.42,72.48,75.1,231452,73.32,75.42,72.48,75.1,231452,0.0,1.0
2024-04-10,74.54,74.54,71.79,71.85,133251,74.54,74.54,71.79,71.85,133251,0.0,1.0
2024-04-11,74.75,75.38,73.95,75.2,102825,74.75,75.38,73.95,75.2,102825,0.0,1.0
