date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-02-09,25.14,25.14,25.0467,25.1,46687,25.14,25.14,25.0467,25.1,46687,0.0,1.0
2022-02-10,24.8104,25.07,24.8104,24.95,942,24.8104,25.07,24.8104,24.95,942,0.0,1.0
2022-02-11,24.532,24.86,24.53,24.86,6719,24.532,24.86,24.53,24.86,6719,0.0,1.0
2022-02-14,24.4487,24.51,24.36,24.51,2175,24.4487,24.51,24.36,24.51,2175,0.0,1.0
2022-02-15,24.6993,24.6993,24.67,24.685,5508,24.6993,24.6993,24.67,24.685,5508,0.0,1.0
2022-02-16,24.768,24.768,24.606,24.6437,6378,24.768,24.768,24.606,24.6437,6378,0.0,1.0
2022-02-17,24.3971,24.5902,24.3971,24.52,2490,24.3971,24.5902,24.3971,24.52,2490,0.0,1.0
2022-02-18,24.28,24.45,24.28,24.45,1305,24.28,24.45,24.28,24.45,1305,0.0,1.0
2022-02-22,24.0916,24.274,24.0,24.22,6975,24.0916,24.274,24.0,24.22,6975,0.0,1.0
2022-02-23,23.792,24.15,23.792,24.12,2622,23.792,24.15,23.792,24.12,2622,0.0,1.0
2022-02-24,24.0507,24.0507,23.39,23.39,5726,24.0507,24.0507,23.39,23.39,5726,0.0,1.0
2022-02-25,24.4276,24.4276,24.35,24.36,602,24.4276,24.4276,24.35,24.36,602,0.0,1.0
2022-02-28,24.376,24.44,24.21,24.255,1798,24.376,24.44,24.21,24.255,1798,0.0,1.0
2022-03-01,24.0946,24.2524,24.0946,24.2524,2103,24.0946,24.2524,24.0946,24.2524,2103,0.0,1.0
2022-03-02,24.4475,24.49,24.24,24.24,10230,24.4475,24.49,24.24,24.24,10230,0.0,1.0
2022-03-03,24.3321,24.4369,24.3321,24.37,1526,24.3321,24.4369,24.3321,24.37,1526,0.0,1.0
2022-03-04,24.2168,24.22,24.2168,24.22,1662,24.2168,24.22,24.2168,24.22,1662,0.0,1.0
2022-03-07,23.7303,23.9,23.7303,23.8371,949,23.7303,23.9,23.7303,23.8371,949,0.0,1.0
2022-03-08,23.6111,23.77,23.6,23.6,2736,23.6111,23.77,23.6,23.6,2736,0.0,1.0
2022-03-09,24.0055,24.0991,23.98,23.99,35526,24.0055,24.0991,23.98,23.99,35526,0.0,1.0
2022-03-10,23.963,23.963,23.81,23.81,476,23.963,23.963,23.81,23.81,476,0.0,1.0
2022-03-11,23.7793,24.01,23.7793,24.01,15711,23.7793,24.01,23.7793,24.01,15711,0.0,1.0
2022-03-14,23.6039,23.83,23.6039,23.83,541,23.6039,23.83,23.6039,23.83,541,0.0,1.0
