date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-10-27,19.96,20.03,19.96,20.02,44890,19.96,20.03,19.96,20.02,44890,0.0,1.0
2021-10-28,20.05,20.05,20.0101,20.02,29976,20.05,20.05,20.0101,20.02,29976,0.0,1.0
2021-10-29,20.07,20.19,19.99,20.19,258216,20.07,20.19,19.99,20.19,258216,0.0,1.0
2021-11-01,20.0807,20.09,20.05,20.09,11928,20.0807,20.09,20.05,20.09,11928,0.0,1.0
2021-11-02,20.13,20.14,20.12,20.12,8503,20.13,20.14,20.12,20.12,8503,0.0,1.0
2021-11-03,20.1999,20.21,20.1193,20.12,28130,20.1999,20.21,20.1193,20.12,28130,0.0,1.0
2021-11-04,20.24,20.28,20.2001,20.205,148914,20.24,20.28,20.2001,20.205,148914,0.0,1.0
2021-11-05,20.2499,20.29,20.23,20.29,20837,20.2499,20.29,20.23,20.29,20837,0.0,1.0
2021-11-08,20.23,20.28,20.23,20.27,138610,20.23,20.28,20.23,20.27,138610,0.0,1.0
2021-11-09,20.2,20.22,20.1781,20.22,20803,20.2,20.22,20.1781,20.22,20803,0.0,1.0
2021-11-10,20.15,20.21,20.11,20.18,17953,20.15,20.21,20.11,20.18,17953,0.0,1.0
2021-11-11,20.149,20.17,20.14,20.17,14272,20.149,20.17,20.14,20.17,14272,0.0,1.0
2021-11-12,20.22,20.2395,20.1675,20.2,44347,20.22,20.2395,20.1675,20.2,44347,0.0,1.0
2021-11-15,20.22,20.27,20.1801,20.27,258103,20.22,20.27,20.1801,20.27,258103,0.0,1.0
2021-11-16,20.26,20.29,20.2201,20.2201,75497,20.26,20.29,20.2201,20.2201,75497,0.0,1.0
2021-11-17,20.219,20.26,20.2001,20.26,19403,20.219,20.26,20.2001,20.26,19403,0.0,1.0
2021-11-18,20.237,20.26,20.1601,20.2391,97449,20.237,20.26,20.1601,20.2391,97449,0.0,1.0
2021-11-19,20.2,20.25,20.2,20.23,282117,20.2,20.25,20.2,20.23,282117,0.0,1.0
2021-11-22,20.2,20.29,20.19,20.27,144271,20.2,20.29,20.19,20.27,144271,0.0,1.0
2021-11-23,20.1948,20.2,20.12,20.19,34888,20.1948,20.2,20.12,20.19,34888,0.0,1.0
2021-11-24,20.218,20.23,20.163,20.17,145563,20.218,20.23,20.163,20.17,145563,0.0,1.0
2021-11-26,19.92,20.05,19.9031,20.04,83582,19.92,20.05,19.9031,20.04,83582,0.0,1.0
2021-11-29,20.105,20.13,19.9974,20.08,106698,20.105,20.13,19.9974,20.08,106698,0.0,1.0
2021-11-30,19.83,20.0498,19.83,19.97,47913,19.83,20.0498,19.83,19.97,47913,0.0,1.0
2021-12-01,19.69,20.09,19.69,19.985,158630,19.69,20.09,19.69,19.985,158630,0.0,1.0
2021-12-02,19.84,19.92,19.7,19.7,25408,19.84,19.92,19.7,19.7,25408,0.0,1.0
2021-12-03,19.7054,19.7933,19.62,19.7933,79385,19.7054,19.7933,19.62,19.7933,79385,0.0,1.0
2021-12-06,19.88,19.95,19.7557,19.84,46946,19.88,19.95,19.7557,19.84,46946,0.0,1.0
2021-12-07,20.11,20.17,20.0,20.0,86257,20.11,20.17,20.0,20.0,86257,0.0,1.0
2021-12-08,20.21,20.21,20.13,20.18,25074,20.21,20.21,20.13,20.18,25074,0.0,1.0
2021-12-09,20.14,20.2,20.1,20.18,204117,20.14,20.2,20.1,20.18,204117,0.0,1.0
2021-12-10,20.21,20.25,20.1373,20.21,109919,20.21,20.25,20.1373,20.21,109919,0.0,1.0
2021-12-13,20.11,20.21,20.11,20.21,26688,20.11,20.21,20.11,20.21,26688,0.0,1.0
2021-12-14,20.02,20.09,19.9721,20.04,68531,20.02,20.09,19.9721,20.04,68531,0.0,1.0
2021-12-15,20.2,20.22,19.98,20.08,42242,20.2,20.22,19.98,20.08,42242,0.0,1.0
2021-12-16,20.12,20.25,20.09,20.25,64239,20.12,20.25,20.09,20.25,64239,0.0,1.0
2021-12-17,19.97,20.09,19.95,20.05,178153,19.97,20.09,19.95,20.05,178153,0.0,1.0
2021-12-20,19.87,20.2,19.745,20.2,184934,19.87,20.2,19.745,20.2,184934,0.0,1.0
2021-12-21,20.05,20.16,19.945,20.0,71534,20.05,20.16,19.945,20.0,71534,0.0,1.0
2021-12-22,20.1807,20.21,20.089,20.09,183246,20.1807,20.21,20.089,20.09,183246,0.0,1.0
2021-12-23,20.255,20.29,20.2149,20.2277,20987,20.255,20.29,20.2149,20.2277,20987,0.0,1.0
2021-12-27,20.37,20.37,20.251,20.2532,37168,20.37,20.37,20.251,20.2532,37168,0.0,1.0
2021-12-28,20.3769,20.403,20.3601,20.4,9932,20.3769,20.403,20.3601,20.4,9932,0.0,1.0
2021-12-29,20.42,20.43,20.38,20.4,46239,20.42,20.43,20.38,20.4,46239,0.0,1.0
2021-12-30,20.34,20.43,20.34,20.43,68070,20.34,20.43,20.34,20.43,68070,0.0,1.0
2021-12-31,20.32,20.4,20.32,20.39,125418,20.32,20.4,20.32,20.39,125418,0.0,1.0
2022-01-03,20.4196,20.45,20.3777,20.3777,153070,20.4196,20.45,20.3777,20.3777,153070,0.0,1.0
2022-01-04,20.4289,20.46,20.385,20.425,107609,20.4289,20.46,20.385,20.425,107609,0.0,1.0
2022-01-05,20.2,20.44,20.2,20.42,179092,20.2,20.44,20.2,20.42,179092,0.0,1.0
2022-01-06,20.1781,20.2599,20.16,20.2599,42283,20.1781,20.2599,20.16,20.2599,42283,0.0,1.0
2022-01-07,20.18,20.2169,20.14,20.2169,159881,20.18,20.2169,20.14,20.2169,159881,0.0,1.0
2022-01-10,20.18,20.19,19.95,20.11,49683,20.18,20.19,19.95,20.11,49683,0.0,1.0
2022-01-11,20.27,20.29,20.1,20.1,75090,20.27,20.29,20.1,20.1,75090,0.0,1.0
2022-01-12,20.3,20.3696,20.2581,20.33,71414,20.3,20.3696,20.2581,20.33,71414,0.0,1.0
2022-01-13,20.14,20.35,20.14,20.35,49507,20.14,20.35,20.14,20.35,49507,0.0,1.0
2022-01-14,20.14,20.1575,20.0421,20.07,217525,20.14,20.1575,20.0421,20.07,217525,0.0,1.0
2022-01-18,19.93,20.06,19.93,20.06,90225,19.93,20.06,19.93,20.06,90225,0.0,1.0
2022-01-19,19.8,20.03,19.8,20.02,246316,19.8,20.03,19.8,20.02,246316,0.0,1.0
2022-01-20,19.69,20.0,19.685,19.89,192039,19.69,20.0,19.685,19.89,192039,0.0,1.0
2022-01-21,19.44,19.6899,19.41,19.66,702239,19.44,19.6899,19.41,19.66,702239,0.0,1.0
2022-01-24,19.49,19.51,18.89,19.3,140539,19.49,19.51,18.89,19.3,140539,0.0,1.0
2022-01-25,19.29,19.4509,19.115,19.285,309024,19.29,19.4509,19.115,19.285,309024,0.0,1.0
2022-01-26,19.3,19.62,19.2,19.4867,103793,19.3,19.62,19.2,19.4867,103793,0.0,1.0
2022-01-27,19.21,19.5,19.18,19.5,65994,19.21,19.5,19.18,19.5,65994,0.0,1.0
2022-01-28,19.49,19.5099,19.1101,19.141,35740,19.49,19.5099,19.1101,19.141,35740,0.0,1.0
2022-01-31,19.74,19.78,19.55,19.56,26287,19.74,19.78,19.55,19.56,26287,0.0,1.0
2022-02-01,19.8693,19.89,19.73,19.81,57428,19.8693,19.89,19.73,19.81,57428,0.0,1.0
2022-02-02,19.98,19.99,19.88,19.8857,62363,19.98,19.99,19.88,19.8857,62363,0.0,1.0
2022-02-03,19.6696,19.84,19.66,19.84,38173,19.6696,19.84,19.66,19.84,38173,0.0,1.0
2022-02-04,19.74,19.84,19.5601,19.72,61694,19.74,19.84,19.5601,19.72,61694,0.0,1.0
2022-02-07,19.67,19.8,19.67,19.78,79860,19.67,19.8,19.67,19.78,79860,0.0,1.0
2022-02-08,19.78,19.82,19.66,19.66,43804,19.78,19.82,19.66,19.66,43804,0.0,1.0
2022-02-09,19.98,20.0,19.9,19.9,186635,19.98,20.0,19.9,19.9,186635,0.0,1.0
2022-02-10,19.75,19.96,19.69,19.82,56853,19.75,19.96,19.69,19.82,56853,0.0,1.0
2022-02-11,19.5118,19.78,19.47,19.75,139458,19.5118,19.78,19.47,19.75,139458,0.0,1.0
2022-02-14,19.43,19.51,19.345,19.5,80684,19.43,19.51,19.345,19.5,80684,0.0,1.0
2022-02-15,19.65,19.67,19.6,19.62,43533,19.65,19.67,19.6,19.62,43533,0.0,1.0
2022-02-16,19.69,19.75,19.5575,19.62,35007,19.69,19.75,19.5575,19.62,35007,0.0,1.0
2022-02-17,19.38,19.59,19.38,19.59,168112,19.38,19.59,19.38,19.59,168112,0.0,1.0
2022-02-18,19.29,19.43,19.25,19.4,79177,19.29,19.43,19.25,19.4,79177,0.0,1.0
2022-02-22,19.2,19.36,19.08,19.36,45443,19.2,19.36,19.08,19.36,45443,0.0,1.0
2022-02-23,18.96,19.31,18.95,19.31,192670,18.96,19.31,18.95,19.31,192670,0.0,1.0
2022-02-24,19.19,19.19,18.62,18.65,169404,19.19,19.19,18.62,18.65,169404,0.0,1.0
2022-02-25,19.41,19.425,19.19,19.21,65684,19.41,19.425,19.19,19.21,65684,0.0,1.0
2022-02-28,19.39,19.42,19.22,19.29,155191,19.39,19.42,19.22,19.29,155191,0.0,1.0
2022-03-01,19.19,19.41,19.13,19.39,138867,19.19,19.41,19.13,19.39,138867,0.0,1.0
