date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-05-30,19.9657,19.9657,19.9657,19.9657,16,19.9657,19.9657,19.9657,19.9657,16,0.0,1.0
2024-05-31,20.0382,20.0382,20.0382,20.0382,109,20.0382,20.0382,20.0382,20.0382,109,0.0,1.0
2024-06-03,19.9858,20.06,19.97,20.06,89992,19.9858,20.06,19.97,20.06,89992,0.0,1.0
2024-06-04,19.841,19.87,19.82,19.87,633,19.841,19.87,19.82,19.87,633,0.0,1.0
2024-06-05,20.0099,20.0099,20.0099,20.0099,17,20.0099,20.0099,20.0099,20.0099,17,0.0,1.0
2024-06-06,19.9302,19.9396,19.9302,19.9396,194,19.9302,19.9396,19.9302,19.9396,194,0.0,1.0
2024-06-07,19.8112,19.83,19.76,19.76,2946,19.8112,19.83,19.76,19.76,2946,0.0,1.0
2024-06-10,19.832,19.86,19.832,19.86,1213,19.832,19.86,19.832,19.86,1213,0.0,1.0
2024-06-11,19.7979,19.7979,19.7979,19.7979,1213,19.7979,19.7979,19.7979,19.7979,1213,0.0,1.0
2024-06-12,19.9934,20.082,19.98,20.082,2448,19.9934,20.082,19.98,20.082,2448,0.0,1.0
2024-06-13,19.8894,19.8894,19.8894,19.8894,0,19.8894,19.8894,19.8894,19.8894,0,0.0,1.0
2024-06-14,19.6843,19.69,19.6799,19.6799,13845,19.6843,19.69,19.6799,19.6799,13845,0.0,1.0
2024-06-17,19.794,19.8053,19.6499,19.65,8909,19.794,19.8053,19.6499,19.65,8909,0.0,1.0
2024-06-18,19.8174,19.84,19.806,19.806,1402,19.8174,19.84,19.806,19.806,1402,0.0,1.0
2024-06-20,19.78,19.818,19.74,19.8123,6292,19.78,19.818,19.74,19.8123,6292,0.0,1.0
2024-06-21,19.7881,19.79,19.77,19.79,5458,19.7881,19.79,19.77,19.79,5458,0.0,1.0
2024-06-24,19.863,19.93,19.83,19.83,3935,19.863,19.93,19.83,19.83,3935,0.0,1.0
2024-06-25,19.8089,19.84,19.7763,19.83,10938,19.8089,19.84,19.7763,19.83,10938,0.0,1.0
2024-06-26,19.789,19.789,19.741,19.76,2863,19.789,19.789,19.741,19.76,2863,0.0,1.0
2024-06-27,19.9022,19.9022,19.7951,19.86,2238,19.9022,19.9022,19.7951,19.86,2238,0.0,1.0
2024-06-28,19.9539,19.9539,19.8902,19.8902,1665,19.9539,19.9539,19.8902,19.8902,1665,0.0,1.0
2024-07-01,19.88,19.98,19.86,19.98,121709,19.88,19.98,19.86,19.98,121709,0.0,1.0
2024-07-02,19.9019,19.91,19.84,19.9,1851,19.9019,19.91,19.84,19.9,1851,0.0,1.0
2024-07-03,19.902,19.95,19.902,19.9085,4495,19.902,19.95,19.902,19.9085,4495,0.0,1.0
2024-07-05,19.862,19.862,19.862,19.862,82,19.862,19.862,19.862,19.862,82,0.0,1.0
2024-07-08,19.9352,19.96,19.9352,19.96,3244,19.9352,19.96,19.9352,19.96,3244,0.0,1.0
2024-07-09,19.8779,19.93,19.8655,19.8655,2133,19.8779,19.93,19.8655,19.8655,2133,0.0,1.0
2024-07-10,20.03,20.03,19.901,19.95,9036,20.03,20.03,19.901,19.95,9036,0.0,1.0
