date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-10-27,20.0049,20.0049,20.0049,20.0049,0,20.0049,20.0049,20.0049,20.0049,0,0.0,1.0
2021-10-28,20.0247,20.03,20.0093,20.0093,4376,20.0247,20.03,20.0093,20.0093,4376,0.0,1.0
2021-10-29,20.025,20.03,20.0165,20.0165,46225,20.025,20.03,20.0165,20.0165,46225,0.0,1.0
2021-11-01,20.04,20.04,20.02,20.0265,20639,20.04,20.04,20.02,20.0265,20639,0.0,1.0
2021-11-02,20.055,20.06,20.0429,20.0447,14185,20.055,20.06,20.0429,20.0447,14185,0.0,1.0
2021-11-03,20.06,20.0605,20.047,20.05,2725,20.06,20.0605,20.047,20.05,2725,0.0,1.0
2021-11-04,20.08,20.09,20.08,20.09,12952,20.08,20.09,20.08,20.09,12952,0.0,1.0
2021-11-05,20.1,20.11,20.08,20.1,43994,20.1,20.11,20.08,20.1,43994,0.0,1.0
2021-11-08,20.09,20.1,20.08,20.1,37065,20.09,20.1,20.08,20.1,37065,0.0,1.0
2021-11-09,20.0617,20.08,20.0437,20.08,37017,20.0617,20.08,20.0437,20.08,37017,0.0,1.0
2021-11-10,20.0549,20.08,20.04,20.065,376173,20.0549,20.08,20.04,20.065,376173,0.0,1.0
2021-11-11,20.055,20.0758,20.0544,20.07,11954,20.055,20.0758,20.0544,20.07,11954,0.0,1.0
2021-11-12,20.095,20.1,20.07,20.079,15765,20.095,20.1,20.07,20.079,15765,0.0,1.0
2021-11-15,20.08,20.0999,20.06,20.0766,2794,20.08,20.0999,20.06,20.0766,2794,0.0,1.0
2021-11-16,20.115,20.13,20.0939,20.0939,118718,20.115,20.13,20.0939,20.0939,118718,0.0,1.0
2021-11-17,20.09,20.11,20.0763,20.1089,18805,20.09,20.11,20.0763,20.1089,18805,0.0,1.0
2021-11-18,20.1,20.11,20.085,20.1,125804,20.1,20.11,20.085,20.1,125804,0.0,1.0
2021-11-19,20.085,20.1,20.079,20.1,183429,20.085,20.1,20.079,20.1,183429,0.0,1.0
2021-11-22,20.085,20.12,20.085,20.12,32935,20.085,20.12,20.085,20.12,32935,0.0,1.0
2021-11-23,20.08,20.1,20.0679,20.09,154122,20.08,20.1,20.0679,20.09,154122,0.0,1.0
