date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-10-26,19.7046,19.7046,19.7046,19.7046,0,19.7046,19.7046,19.7046,19.7046,0,0.0,1.0
2023-10-27,19.628,19.73,19.628,19.71,7303,19.628,19.73,19.628,19.71,7303,0.0,1.0
2023-10-30,19.7761,19.7761,19.7,19.7,101,19.7761,19.7761,19.7,19.7,101,0.0,1.0
2023-10-31,19.8441,19.85,19.735,19.75,5026,19.8441,19.85,19.735,19.75,5026,0.0,1.0
2023-11-01,19.992,20.02,19.8977,19.8977,7322,19.992,20.02,19.8977,19.8977,7322,0.0,1.0
2023-11-02,20.2125,20.23,20.1895,20.1895,1441,20.2125,20.23,20.1895,20.1895,1441,0.0,1.0
2023-11-03,20.32,20.4,20.32,20.34,9241,20.32,20.4,20.32,20.34,9241,0.0,1.0
2023-11-06,20.3561,20.3699,20.35,20.3699,1337,20.3561,20.3699,20.35,20.3699,1337,0.0,1.0
2023-11-07,20.41,20.5,20.38,20.42,297869,20.41,20.5,20.38,20.42,297869,0.0,1.0
2023-11-08,20.4288,20.46,20.365,20.44,18549,20.4288,20.46,20.365,20.44,18549,0.0,1.0
2023-11-09,20.3226,20.44,20.3226,20.44,2916,20.3226,20.44,20.3226,20.44,2916,0.0,1.0
2023-11-10,20.53,20.54,20.33,20.34,43947,20.53,20.54,20.33,20.34,43947,0.0,1.0
2023-11-13,20.515,20.54,20.515,20.53,5280,20.515,20.54,20.515,20.53,5280,0.0,1.0
2023-11-14,20.7365,20.7799,20.7365,20.7485,2465,20.7365,20.7799,20.7365,20.7485,2465,0.0,1.0
2023-11-15,20.7502,20.8199,20.74,20.79,9925,20.7502,20.8199,20.74,20.79,9925,0.0,1.0
2023-11-16,20.7755,20.79,20.7362,20.75,9829,20.7755,20.79,20.7362,20.75,9829,0.0,1.0
2023-11-17,20.7979,20.7985,20.7979,20.7985,302,20.7979,20.7985,20.7979,20.7985,302,0.0,1.0
2023-11-20,20.8899,20.92,20.82,20.82,59724,20.8899,20.92,20.82,20.82,59724,0.0,1.0
2023-11-21,20.8658,20.88,20.8658,20.87,2547,20.8658,20.88,20.8658,20.87,2547,0.0,1.0
2023-11-22,20.9198,20.94,20.89,20.89,2599,20.9198,20.94,20.89,20.89,2599,0.0,1.0
2023-11-24,20.9102,20.93,20.91,20.93,1938,20.9102,20.93,20.91,20.93,1938,0.0,1.0
2023-11-27,20.9079,20.94,20.89,20.89,627,20.9079,20.94,20.89,20.89,627,0.0,1.0
2023-11-28,20.89,20.93,20.89,20.925,6752,20.89,20.93,20.89,20.925,6752,0.0,1.0
2023-11-29,20.9178,21.01,20.9178,21.0,7966,20.9178,21.01,20.9178,21.0,7966,0.0,1.0
2023-11-30,20.9554,20.97,20.8801,20.97,9617,20.9554,20.97,20.8801,20.97,9617,0.0,1.0
2023-12-01,21.05,21.05,20.94,20.94,18605,21.05,21.05,20.94,20.94,18605,0.0,1.0
2023-12-04,20.99,20.99,20.91,20.96,5369,20.99,20.99,20.91,20.96,5369,0.0,1.0
2023-12-05,20.97,20.985,20.96,20.96,5387,20.97,20.985,20.96,20.96,5387,0.0,1.0
2023-12-06,20.927,20.99,20.927,20.985,3083,20.927,20.99,20.927,20.985,3083,0.0,1.0
2023-12-07,21.01,21.02,20.9841,21.01,8755,21.01,21.02,20.9841,21.01,8755,0.0,1.0
2023-12-08,21.049,21.07,20.999,21.05,12090,21.049,21.07,20.999,21.05,12090,0.0,1.0
2023-12-11,21.1022,21.1022,21.1022,21.1022,91,21.1022,21.1022,21.1022,21.1022,91,0.0,1.0
2023-12-12,21.1446,21.15,21.12,21.12,2066,21.1446,21.15,21.12,21.12,2066,0.0,1.0
2023-12-13,21.278,21.29,21.16,21.16,8086,21.278,21.29,21.16,21.16,8086,0.0,1.0
2023-12-14,21.2987,21.32,21.2671,21.31,5712,21.2987,21.32,21.2671,21.31,5712,0.0,1.0
2023-12-15,21.31,21.32,21.25,21.25,4238,21.31,21.32,21.25,21.25,4238,0.0,1.0
