date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-10-05,25.0713,25.0713,25.01,25.01,324,24.5809858104435,24.5809858104435,24.5208846417694,24.5208846417694,324,0.0,1.0
2023-10-06,25.212,25.212,25.212,25.212,39,24.7189341698637,24.7189341698637,24.7189341698637,24.7189341698637,39,0.0,1.0
2023-10-09,25.4358,25.53,25.2028,25.21,8210,24.9383573599008,25.0307151101309,24.7099140923465,24.7169732834469,8210,0.0,1.0
2023-10-10,25.5422,25.685,25.5422,25.685,881,25.0426765172732,25.1826838074309,25.0426765172732,25.1826838074309,881,0.0,1.0
2023-10-11,25.5406,25.5406,25.465,25.465,327,25.0411078081398,25.0411078081398,24.9669863015857,24.9669863015857,327,0.0,1.0
2023-10-12,25.3387,25.4899,25.3387,25.41,4959,24.8431563243663,24.9913993374745,24.8431563243663,24.9130619251244,4959,0.0,1.0
2023-10-13,25.3284,25.3284,25.31,25.31,7447,24.83305775932,24.83305775932,24.8150176042856,24.8150176042856,7447,0.0,1.0
2023-10-16,25.5928,25.5928,25.59,25.59,484,25.0922869436176,25.0922869436176,25.0895417026341,25.0895417026341,484,0.0,1.0
2023-10-17,25.713,25.83,25.713,25.83,33184,25.2101362172658,25.3248480726471,25.2101362172658,25.3248480726471,33184,0.0,1.0
2023-10-18,25.39,25.59,25.39,25.53,26349,24.8934530609566,25.0895417026341,24.8934530609566,25.0307151101309,26349,0.0,1.0
2023-10-19,25.1494,25.48,25.1494,25.3,53837,24.6575584250186,24.9816929497115,24.6575584250186,24.8052131722017,53837,0.0,1.0
2023-10-20,24.8761,24.99,24.8761,24.99,29911,24.3896032961663,24.5012757776016,24.3896032961663,24.5012757776016,29911,0.0,1.0
2023-10-23,24.6507,24.83,24.65,24.79,24929,24.1686113969958,24.3444048642597,24.1679250867499,24.3051871359242,24929,0.0,1.0
2023-10-24,24.7524,24.83,24.74,24.83,25613,24.2683224712888,24.3444048642597,24.2561649755048,24.3444048642597,25613,0.0,1.0
2023-10-25,24.5516,24.66,24.53,24.53,40249,24.0714494750446,24.1777295188338,24.0502719017434,24.0502719017434,40249,0.0,1.0
2023-10-26,24.6018,24.71,24.6018,24.68,35553,24.1206677241057,24.2267516792532,24.1206677241057,24.1973383830016,35553,0.0,1.0
2023-10-27,24.1639,24.4,24.1639,24.4,24826,23.6913316431528,23.9228142846531,23.6913316431528,23.9228142846531,24826,0.0,1.0
2023-10-30,24.4312,24.4312,24.28,24.28,27945,23.9534041127548,23.9534041127548,23.8051610996466,23.8051610996466,27945,0.0,1.0
2023-10-31,24.6366,24.64,24.48,24.48,46892,24.1547871477575,24.1581206546661,24.0012497413241,24.0012497413241,46892,0.0,1.0
2023-11-01,24.7675,24.7675,24.6,24.76,28460,24.2831271637354,24.2831271637354,24.1189029263306,24.2757738396725,28460,0.0,1.0
2023-11-02,25.21,25.21,24.9308,25.0,40427,24.7169732834469,24.7169732834469,24.4432335396651,24.5110802096855,40427,0.0,1.0
2023-11-03,25.57,25.69,25.39,25.39,52352,25.0699328384664,25.1875860234728,24.8934530609566,24.8934530609566,52352,0.0,1.0
2023-11-06,25.4622,25.49,25.45,25.49,25664,24.9642410606022,24.9914973817954,24.9522796534599,24.9914973817954,25664,0.0,1.0
2023-11-07,25.2507,25.37,25.2507,25.36,21805,24.7568773220282,24.8738441967889,24.7568773220282,24.864039764705,21805,0.0,1.0
2023-11-08,25.2056,25.28,25.17,25.28,35313,24.71265933333,24.785604308034,24.6777555551114,24.785604308034,35313,0.0,1.0
2023-11-09,24.9967,25.2273,24.9967,25.1701,52381,24.5078447470978,24.733934950952,24.5078447470978,24.6778535994322,52381,0.0,1.0
2023-11-10,25.3014,25.3014,24.99,24.99,44804,24.8065857926935,24.8065857926935,24.5012757776016,24.5012757776016,44804,0.0,1.0
2023-11-13,25.3039,25.3039,25.27,25.27,46245,24.8090369007145,24.8090369007145,24.7757998759501,24.7757998759501,46245,0.0,1.0
2023-11-14,25.7384,25.76,25.7384,25.76,26801,25.2350394747588,25.25621704806,25.2350394747588,25.25621704806,26801,0.0,1.0
2023-11-15,25.8393,25.94,25.82,25.88,33973,25.3339661944851,25.4326968255697,25.3150436405632,25.3738702330665,33973,0.0,1.0
2023-11-16,25.7428,25.7428,25.651,25.715,32312,25.2393534248757,25.2393534248757,25.1493487383457,25.2120971036825,32312,0.0,1.0
2023-11-17,25.8975,25.8975,25.82,25.82,51683,25.3910279892132,25.3910279892132,25.3150436405632,25.3150436405632,51683,0.0,1.0
2023-11-20,26.01,26.03,25.86,25.86,38960,25.5013278501568,25.5209367143246,25.3542613688987,25.3542613688987,38960,0.0,1.0
2023-11-21,25.9586,25.99,25.94,25.964,48334,25.4509330692457,25.4817189859891,25.4326968255697,25.456227462571,48334,0.0,1.0
