date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-10-08,25.0439,25.0439,25.0439,25.0439,100,25.0336594838655,25.0336594838655,25.0336594838655,25.0336594838655,100,0.0,1.0
2024-10-09,25.2448,25.34,25.0703,25.0703,395510,25.2344773353307,25.329638407802,25.0600486888366,25.0600486888366,395510,0.0,1.0
2024-10-10,25.1191,25.1191,25.1191,25.1191,122,25.1088287343891,25.1088287343891,25.1088287343891,25.1088287343891,122,0.0,1.0
2024-10-11,25.4911,25.5136,25.47,25.47,451,25.4806766226173,25.5031674223085,25.4595852504624,25.4595852504624,451,0.0,1.0
2024-10-14,25.6754,25.6754,25.6754,25.6754,74,25.6649012618658,25.6649012618658,25.6649012618658,25.6649012618658,74,0.0,1.0
2024-10-15,25.6752,25.86,25.6262,25.7838,3387,25.6647013436463,25.8494257784436,25.6157213798743,25.7732569368226,3387,0.0,1.0
2024-10-16,25.8261,25.85,25.8261,25.85,136,25.8155396402421,25.8394298674697,25.8155396402421,25.8394298674697,136,0.0,1.0
2024-10-17,25.8498,25.8498,25.8,25.8,1037,25.8392299492502,25.8392299492502,25.7894503126003,25.7894503126003,1037,0.0,1.0
2024-10-18,25.8514,25.8514,25.8514,25.8514,3,25.840829295006,25.840829295006,25.840829295006,25.840829295006,3,0.0,1.0
2024-10-21,25.4643,25.5599,25.4643,25.5599,597,25.4538875812073,25.5494484901175,25.4538875812073,25.5494484901175,597,0.0,1.0
2024-10-22,25.2432,25.2432,25.2432,25.2432,4,25.2328779895749,25.2328779895749,25.2328779895749,25.2328779895749,4,0.0,1.0
2024-10-23,25.0678,25.0678,25.0678,25.0678,9,25.0575497110931,25.0575497110931,25.0575497110931,25.0575497110931,9,0.0,1.0
2024-10-24,25.1239,25.1239,25.1239,25.1239,1,25.1136267716565,25.1136267716565,25.1136267716565,25.1136267716565,1,0.0,1.0
2024-10-25,25.0209,25.0209,25.0209,25.0209,3,25.0106688886256,25.0106688886256,25.0106688886256,25.0106688886256,3,0.0,1.0
2024-10-28,25.3192,25.3192,25.31,25.31,302,25.3088469129763,25.3088469129763,25.2996506748804,25.2996506748804,302,0.0,1.0
2024-10-29,25.3831,25.3831,25.3831,25.3831,12,25.3727207840994,25.3727207840994,25.3727207840994,25.3727207840994,12,0.0,1.0
2024-10-30,25.4051,25.475,25.4051,25.475,2011,25.3947117882419,25.4645832059493,25.3947117882419,25.4645832059493,2011,0.0,1.0
2024-10-31,25.0742,25.0742,25.0742,25.0742,1,25.0639470941164,25.0639470941164,25.0639470941164,25.0639470941164,1,0.0,1.0
2024-11-01,25.1437,25.1437,25.1437,25.1437,1,25.1334186753848,25.1334186753848,25.1334186753848,25.1334186753848,1,0.0,1.0
2024-11-04,25.1222,25.1222,25.1222,25.1222,4,25.111927466791,25.111927466791,25.111927466791,25.111927466791,4,0.0,1.0
2024-11-05,25.5558,25.62,25.35,25.35,5034,25.5453501666183,25.6095239150705,25.3396343187759,25.3396343187759,5034,0.0,1.0
2024-11-06,26.6098,26.6098,26.6098,26.6098,3,26.5989191832648,26.5989191832648,26.5989191832648,26.5989191832648,3,0.0,1.0
2024-11-07,26.6237,26.6563,26.6237,26.6563,288,26.6128134995185,26.6454001692933,26.6128134995185,26.6454001692933,288,0.0,1.0
2024-11-08,26.6077,26.6077,26.6077,26.6077,51,26.5968200419603,26.5968200419603,26.5968200419603,26.5968200419603,51,0.0,1.0
2024-11-11,26.8915,26.8915,26.8915,26.8915,2,26.8805039953989,26.8805039953989,26.8805039953989,26.8805039953989,2,0.0,1.0
2024-11-12,26.6292,26.82,26.6292,26.82,2320,26.6183112505541,26.8090332319357,26.6183112505541,26.8090332319357,2320,0.0,1.0
2024-11-13,26.5428,26.81,26.5428,26.75,2860,26.5319465797398,26.7990373209618,26.5319465797398,26.7390618551185,2860,0.0,1.0
2024-11-14,26.1266,26.1266,26.1266,26.1266,8,26.1159167650071,26.1159167650071,26.1159167650071,26.1159167650071,8,0.0,1.0
2024-11-15,25.7589,25.7589,25.7589,25.7589,11,25.7483671184977,25.7483671184977,25.7483671184977,25.7483671184977,11,0.0,1.0
2024-11-18,25.6967,25.78,25.6967,25.78,1821,25.6861925522402,25.7694584906526,25.6861925522402,25.7694584906526,1821,0.0,1.0
2024-11-19,25.7233,25.7233,25.7233,25.7233,30,25.7127816754307,25.7127816754307,25.7127816754307,25.7127816754307,30,0.0,1.0
2024-11-20,25.8285,25.8285,25.74,25.74,115,25.8179386588759,25.8179386588759,25.7294748467571,25.7294748467571,115,0.0,1.0
2024-11-21,26.3772,26.3772,26.3772,26.3772,51,26.3664142940124,26.3664142940124,26.3664142940124,26.3664142940124,51,0.0,1.0
2024-11-22,26.8886,26.8886,26.69,26.69,677,26.8776051812165,26.8776051812165,26.6790863892753,26.6790863892753,677,0.0,1.0
2024-11-25,27.4147,27.45,27.1,27.45,1142,27.4034900575521,27.4387756232899,27.0889187392042,27.4387756232899,1142,0.0,1.0
2024-11-26,27.1653,27.2,27.1215,27.15,1670,27.1541920378636,27.188877848943,27.110409947798,27.1388982940736,1670,0.0,1.0
2024-11-27,26.9999,26.9999,26.9999,26.9999,6,26.9888596703557,26.9888596703557,26.9888596703557,26.9888596703557,6,0.0,1.0
2024-11-29,27.103,27.103,27.103,27.103,19,27.0919175124964,27.0919175124964,27.0919175124964,27.0919175124964,19,0.0,1.0
2024-12-02,27.2447,27.31,27.0534,27.0534,902,27.2335595709962,27.2988328696556,27.0423377940659,27.0423377940659,902,0.0,1.0
2024-12-03,27.1229,27.1229,27.1229,27.1229,30,27.1118093753344,27.1118093753344,27.1118093753344,27.1118093753344,30,0.0,1.0
2024-12-04,27.3987,27.3987,27.3987,27.3987,30,27.3874965999939,27.3874965999939,27.3874965999939,27.3874965999939,30,0.0,1.0
2024-12-05,27.0299,27.0299,27.0299,27.0299,1,27.0188474032773,27.0188474032773,27.0188474032773,27.0188474032773,1,0.0,1.0
2024-12-06,27.0795,27.0795,27.0795,27.0795,50,27.0684271217078,27.0684271217078,27.0684271217078,27.0684271217078,50,0.0,1.0
2024-12-09,26.8939,26.8939,26.8939,26.8939,1,26.8829030140326,26.8829030140326,26.8829030140326,26.8829030140326,1,0.0,1.0
2024-12-10,26.7008,26.7008,26.7008,26.7008,264,26.6898819731271,26.6898819731271,26.6898819731271,26.6898819731271,264,0.0,1.0
2024-12-11,26.8263,26.93,26.8263,26.93,125,26.8153306558492,26.9189882526483,26.8153306558492,26.9189882526483,125,0.0,1.0
2024-12-12,26.6593,26.6593,26.6593,26.6593,114,26.6483989425855,26.6483989425855,26.6483989425855,26.6483989425855,114,0.0,1.0
2024-12-13,26.3402,26.3402,26.3402,26.3402,1,26.3294294234091,26.3294294234091,26.3294294234091,26.3294294234091,1,0.0,1.0
2024-12-16,26.4082,26.4082,26.4082,26.4082,71,26.3974016180315,26.3974016180315,26.3974016180315,26.3974016180315,71,0.0,1.0
2024-12-17,26.1569,26.1569,26.1569,26.1569,71,26.1569,26.1569,26.1569,26.1569,71,0.0107,1.0
2024-12-18,25.268,25.268,25.268,25.268,71,25.268,25.268,25.268,25.268,71,0.0,1.0
2024-12-19,25.1442,25.1442,25.1442,25.1442,32,25.1442,25.1442,25.1442,25.1442,32,0.0,1.0
2024-12-20,25.324,25.4107,25.324,25.4107,498,25.324,25.4107,25.324,25.4107,498,0.0,1.0
2024-12-23,25.2996,25.2996,25.15,25.15,100,25.2996,25.2996,25.15,25.15,100,0.0,1.0
2024-12-24,25.4601,25.4601,25.4601,25.4601,142,25.4601,25.4601,25.4601,25.4601,142,0.0,1.0
2024-12-26,25.5975,25.5975,25.24,25.24,1083,25.5975,25.5975,25.24,25.24,1083,0.0,1.0
2024-12-27,25.251,25.251,25.17,25.17,170,25.251,25.251,25.17,25.17,170,0.0,1.0
2024-12-30,25.0901,25.0901,25.0901,25.0901,106324,25.0901,25.0901,25.0901,25.0901,106324,0.0,1.0
2024-12-31,25.0727,25.1916,25.0727,25.1916,1020,25.0727,25.1916,25.0727,25.1916,1020,0.0,1.0
2025-01-02,24.9958,24.9958,24.9958,24.9958,91305,24.9958,24.9958,24.9958,24.9958,91305,0.0,1.0
2025-01-03,25.3423,25.3423,25.14,25.1627,2273,25.3423,25.3423,25.14,25.1627,2273,0.0,1.0
2025-01-06,25.3687,25.55,25.3687,25.55,119,25.3687,25.55,25.3687,25.55,119,0.0,1.0
2025-01-07,25.1776,25.1776,25.1776,25.1776,1,25.1776,25.1776,25.1776,25.1776,1,0.0,1.0
2025-01-08,25.2101,25.2101,25.2101,25.2101,1,25.2101,25.2101,25.2101,25.2101,1,0.0,1.0
2025-01-10,24.7913,24.8999,24.71,24.8999,302,24.7913,24.8999,24.71,24.8999,302,0.0,1.0
2025-01-13,24.9132,24.9132,24.7,24.7,100,24.9132,24.9132,24.7,24.7,100,0.0,1.0
2025-01-14,25.2293,25.2293,25.07,25.07,136,25.2293,25.2293,25.07,25.07,136,0.0,1.0
