date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-05-03,13.9301,14.24,13.7,14.15,5829,13.9301,14.24,13.7,14.15,5829,0.0,1.0
2023-05-04,13.08,14.63,13.08,14.0,3785,13.08,14.63,13.08,14.0,3785,0.0,1.0
2023-05-05,12.605,12.68,12.5,12.63,2898,12.605,12.68,12.5,12.63,2898,0.0,1.0
2023-05-08,12.5851,12.71,12.47,12.6,2646,12.5851,12.71,12.47,12.6,2646,0.0,1.0
2023-05-09,13.8775,13.89,13.01,13.218,5515,13.8775,13.89,13.01,13.218,5515,0.0,1.0
2023-05-10,14.335,14.5,14.17,14.33,4025,14.335,14.5,14.17,14.33,4025,0.0,1.0
2023-05-11,15.17,15.44,15.12,15.44,2151,15.17,15.44,15.12,15.44,2151,0.0,1.0
2023-05-12,15.317,15.69,15.15,15.6,2244,15.317,15.69,15.15,15.6,2244,0.0,1.0
2023-05-15,15.33,15.5767,15.15,15.15,2638,15.33,15.5767,15.15,15.15,2638,0.0,1.0
2023-05-16,16.294,16.33,15.791,15.84,2949,16.294,16.33,15.791,15.84,2949,0.0,1.0
2023-05-17,15.935,16.235,15.935,16.235,1232,15.935,16.235,15.935,16.235,1232,0.0,1.0
2023-05-18,14.711,15.5941,14.711,15.3883,2015,14.711,15.5941,14.711,15.3883,2015,0.0,1.0
2023-05-19,14.7004,14.89,14.29,14.3893,4023,14.7004,14.89,14.29,14.3893,4023,0.0,1.0
2023-05-22,14.561,14.561,14.561,14.561,366,14.561,14.561,14.561,14.561,366,0.0,1.0
2023-05-23,14.34,14.38,14.3,14.38,260,14.34,14.38,14.3,14.38,260,0.0,1.0
2023-05-24,14.35,14.35,14.35,14.35,116,14.35,14.35,14.35,14.35,116,0.0,1.0
2023-05-25,14.745,14.82,14.745,14.82,1028,14.745,14.82,14.745,14.82,1028,0.0,1.0
2023-05-26,14.6617,14.8,14.51,14.51,1635,14.6617,14.8,14.51,14.51,1635,0.0,1.0
2023-05-30,14.84,14.84,14.66,14.66,391,14.84,14.84,14.66,14.66,391,0.0,1.0
2023-05-31,14.675,14.675,14.675,14.675,19,14.675,14.675,14.675,14.675,19,0.0,1.0
2023-06-01,15.68,15.7217,15.56,15.56,2673,15.68,15.7217,15.56,15.56,2673,0.0,1.0
2023-06-02,15.5236,15.5691,15.5236,15.5691,1044,15.5236,15.5691,15.5236,15.5691,1044,0.0,1.0
2023-06-05,14.238,14.78,14.238,14.78,1800,14.238,14.78,14.238,14.78,1800,0.0,1.0
2023-06-06,14.97,14.97,14.4128,14.4128,167,14.97,14.97,14.4128,14.4128,167,0.0,1.0
2023-06-07,15.5451,15.5451,15.26,15.28,1693,15.5451,15.5451,15.26,15.28,1693,0.0,1.0
2023-06-08,15.7356,15.7356,15.5004,15.53,2774,15.7356,15.7356,15.5004,15.53,2774,0.0,1.0
2023-06-09,17.2179,17.38,16.581,16.76,5626,17.2179,17.38,16.581,16.76,5626,0.0,1.0
2023-06-12,19.1676,19.69,18.83,18.83,7280,19.1676,19.69,18.83,18.83,7280,0.0,1.0
2023-06-13,20.0264,20.72,19.87,20.7,4059,20.0264,20.72,19.87,20.7,4059,0.0,1.0
2023-06-14,20.66,20.8799,20.27,20.3,4822,20.66,20.8799,20.27,20.3,4822,0.0,1.0
2023-06-15,21.023,22.92,21.0,22.35,11600,21.023,22.92,21.0,22.35,11600,0.0,1.0
2023-06-16,20.955,21.52,20.955,21.36,1626,20.955,21.52,20.955,21.36,1626,0.0,1.0
2023-06-20,18.986,19.0,18.63,18.63,2259,18.986,19.0,18.63,18.63,2259,0.0,1.0
2023-06-21,18.73,19.12,18.73,18.99,5897,18.73,19.12,18.73,18.99,5897,0.0,1.0
2023-06-22,18.4154,18.5,18.4154,18.49,302,18.4154,18.5,18.4154,18.49,302,0.0,1.0
2023-06-23,18.3449,18.3449,18.305,18.305,135,18.3449,18.3449,18.305,18.305,135,0.0,1.0
2023-06-26,17.57,17.62,17.57,17.62,2927,17.57,17.62,17.57,17.62,2927,0.0,1.0
2023-06-27,17.9235,17.9328,17.9235,17.9328,143,17.9235,17.9328,17.9235,17.9328,143,0.0,1.0
2023-06-28,18.125,18.28,18.125,18.279,633,18.125,18.28,18.125,18.279,633,0.0,1.0
2023-06-29,19.7352,19.7352,19.2,19.2,1046,19.7352,19.7352,19.2,19.2,1046,0.0,1.0
2023-06-30,20.88,21.15,20.6,20.6,2479,20.88,21.15,20.6,20.6,2479,0.0,1.0
2023-07-03,19.685,19.86,19.685,19.86,1527,19.685,19.86,19.685,19.86,1527,0.0,1.0
2023-07-05,18.715,18.715,18.57,18.57,674,18.715,18.715,18.57,18.57,674,0.0,1.0
2023-07-06,18.48,18.48,18.46,18.46,338,18.48,18.48,18.46,18.46,338,0.0,1.0
2023-07-07,18.875,19.03,18.71,18.71,320,18.875,19.03,18.71,18.71,320,0.0,1.0
2023-07-10,18.4901,19.079,18.4901,19.079,502,18.4901,19.079,18.4901,19.079,502,0.0,1.0
2023-07-11,18.25,18.369,18.21,18.339,932,18.25,18.369,18.21,18.339,932,0.0,1.0
2023-07-12,18.56,18.679,18.56,18.679,101,18.56,18.679,18.56,18.679,101,0.0,1.0
2023-07-13,19.03,19.03,18.45,18.675,2906,19.03,19.03,18.45,18.675,2906,0.0,1.0
2023-07-14,19.6805,19.6805,19.23,19.23,801,19.6805,19.6805,19.23,19.23,801,0.0,1.0
2023-07-17,19.9315,20.0,19.71,19.8,611,19.9315,20.0,19.71,19.8,611,0.0,1.0
2023-07-18,19.675,19.675,19.675,19.675,201,19.675,19.675,19.675,19.675,201,0.0,1.0
2023-07-19,19.76,19.775,19.59,19.59,745,19.76,19.775,19.59,19.59,745,0.0,1.0
2023-07-20,19.966,19.966,19.83,19.83,109,19.966,19.966,19.83,19.83,109,0.0,1.0
2023-07-21,19.7206,19.7206,19.7206,19.7206,109,19.7206,19.7206,19.7206,19.7206,109,0.0,1.0
2023-07-24,19.735,19.86,19.67,19.671,682,19.735,19.86,19.67,19.671,682,0.0,1.0
2023-07-25,19.915,19.92,19.612,19.612,418,19.915,19.92,19.612,19.612,418,0.0,1.0
2023-07-26,19.8917,19.959,19.8917,19.959,100,19.8917,19.959,19.8917,19.959,100,0.0,1.0
2023-07-27,20.5,20.5,19.93,19.94,1519,20.5,20.5,19.93,19.94,1519,0.0,1.0
2023-07-28,20.51,20.64,20.4852,20.64,1000,20.51,20.64,20.4852,20.64,1000,0.0,1.0
2023-07-31,20.2,20.39,20.2,20.39,2147,20.2,20.39,20.2,20.39,2147,0.0,1.0
2023-08-01,20.124,20.41,20.1,20.33,2750,20.124,20.41,20.1,20.33,2750,0.0,1.0
2023-08-02,19.845,20.26,19.845,20.26,807,19.845,20.26,19.845,20.26,807,0.0,1.0
2023-08-03,19.955,20.04,19.955,20.04,120,19.955,20.04,19.955,20.04,120,0.0,1.0
2023-08-04,19.94,20.08,19.94,20.06,2381,19.94,20.08,19.94,20.06,2381,0.0,1.0
