date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2009-06-19,58.44,59.01,58.39,58.96,2000,2103.07287175366,2123.58538949664,2101.273528092,2121.78604583498,50,0.0,1.0
2009-06-22,66.23,66.23,62.77,62.77,2400,2383.41061424102,2383.41061424102,2258.89603285382,2258.89603285382,60,0.0,1.0
2009-06-23,66.02,66.51,65.83,65.83,1200,2375.85337086203,2393.48693874634,2369.0158649477,2369.0158649477,30,0.0,1.0
2009-06-24,63.446,64.04,60.64,61.74,3600,2283.22315915953,2304.59936186011,2182.24399286691,2221.82955342353,90,0.0,1.0
2009-06-25,59.44,63.57,59.44,63.0,2000,2139.05974498696,2287.68553144046,2139.05974498696,2267.17301369748,50,0.0,1.0
2009-06-26,57.28,57.66,57.23,57.65,2400,2061.32809880304,2075.0031106317,2059.52875514138,2074.64324189936,60,0.0,1.0
2009-06-29,57.28,57.28,57.28,57.28,0,2061.32809880304,2061.32809880304,2061.32809880304,2061.32809880304,0,0.0,1.0
2009-06-30,57.28,57.28,57.28,57.28,0,2061.32809880304,2061.32809880304,2061.32809880304,2061.32809880304,0,0.0,1.0
2009-07-01,56.17,56.28,54.89,56.28,400,2021.38266951409,2025.34122556975,1975.31947177547,2025.34122556975,10,0.0,1.0
2009-07-02,59.8,59.86,58.96,59.21,10800,2152.01501935094,2154.17423174494,2121.78604583498,2130.7827641433,270,0.0,1.0
2009-07-06,61.1,64.2,61.1,62.88,3200,2198.79795455422,2310.35726157743,2198.79795455422,2262.85458890949,80,0.0,1.0
2009-07-07,65.95,65.95,63.65,63.65,236,2373.3342897357,2373.3342897357,2290.56448129912,2290.56448129912,5,0.0,1.0
2009-07-08,67.51,70.15,66.84,68.12,1200,2429.47381197964,2524.47915731553,2405.36260691333,2451.42580465194,30,0.0,1.0
2009-07-09,65.8,67.33,64.17,64.99,8800,2367.9362587507,2422.99617479764,2309.27765538044,2338.78689143174,220,0.0,1.0
2009-07-10,66.9,68.74,66.9,68.57,6000,2407.52181930733,2473.73766605659,2407.52181930733,2467.61989760693,150,0.0,1.0
2009-07-13,64.49,68.773,64.49,67.0,10400,2320.79345481509,2474.92523287328,2320.79345481509,2411.12050663066,260,0.0,1.0
2009-07-14,63.4,63.4,63.4,63.4,400,2281.5677629908,2281.5677629908,2281.5677629908,2281.5677629908,10,0.0,1.0
2009-07-15,56.63,60.87,56.57,60.87,4800,2037.9366312014,2190.52097371057,2035.77741880741,2190.52097371057,120,0.0,1.0
2009-07-16,55.25,57.55,54.58,57.55,16800,1988.27474613946,2071.04455457603,1964.16354107315,2071.04455457603,420,0.0,1.0
2009-07-17,54.69,55.45,54.41,54.41,2800,1968.12209712881,1995.47212078612,1958.04577262349,1958.04577262349,70,0.0,1.0
2009-07-20,51.65,52.3,51.65,52.3,51200,1858.7220024996,1882.11347010124,1858.7220024996,1882.11347010124,1280,0.0,1.0
2009-07-21,51.08,52.64,50.0,50.0,4800,1838.20948475662,1894.34900700056,1799.34366166467,1799.34366166467,120,0.0,1.0
2009-07-22,51.522,52.39,51.522,52.39,400,1854.11568272574,1885.35228869224,1854.11568272574,1885.35228869224,10,0.0,1.0
2009-07-23,48.51,50.59,47.85,50.59,4800,1745.72322054706,1820.57591687231,1721.97188421309,1820.57591687231,120,0.0,1.0
2009-07-24,48.95,49.69,48.95,49.18,4000,1761.55744476971,1788.18773096235,1761.55744476971,1769.83442561337,100,0.0,1.0
2009-07-27,48.95,48.95,48.95,48.95,0,1761.55744476971,1761.55744476971,1761.55744476971,1761.55744476971,0,0.0,1.0
2009-07-28,48.42,49.08,47.78,49.08,3600,1742.48440195606,1766.23573829004,1719.45280308676,1766.23573829004,90,0.0,1.0
2009-07-29,51.02,51.02,50.0,50.0,400,1836.05027236263,1836.05027236263,1799.34366166467,1799.34366166467,10,0.0,1.0
2009-07-30,47.72,48.14,47.53,48.14,1600,1717.29359069276,1732.40807745074,1710.45608477843,1732.40807745074,40,0.0,1.0
2009-07-31,47.72,47.72,47.72,47.72,0,1717.29359069276,1717.29359069276,1717.29359069276,1717.29359069276,0,0.0,1.0
2009-08-03,43.25,44.59,42.95,44.59,1600,1556.43226733994,1604.65467747255,1545.63620536995,1604.65467747255,40,0.0,1.0
2009-08-04,42.67,43.8,42.025,43.73,1600,1535.55988086463,1576.22504761825,1512.34834762915,1573.70596649192,40,0.0,1.0
2009-08-05,42.01,43.95,42.01,43.93,1200,1511.80854453065,1581.62307860324,1511.80854453065,1580.90334113858,30,0.0,1.0
2009-08-06,43.43,43.718,42.46,42.46,2000,1562.90990452193,1573.27412401312,1528.00263748564,1528.00263748564,50,0.0,1.0
2009-08-07,42.0,42.584,41.72,41.72,1600,1511.44867579832,1532.46500976656,1501.372351293,1501.372351293,40,0.0,1.0
2009-08-10,42.62,43.53,42.43,42.43,4400,1533.76053720296,1566.50859184526,1526.92303128864,1526.92303128864,110,0.0,1.0
2009-08-11,44.06,45.17,44.06,44.71,5600,1585.58163465891,1625.52706394786,1585.58163465891,1608.97310226055,140,0.0,1.0
2009-08-12,42.83,44.79,42.83,44.79,4800,1541.31778058195,1611.85205211921,1541.31778058195,1611.85205211921,120,0.0,1.0
2009-08-13,42.23,42.45,42.23,42.45,300,1519.72565664198,1527.6427687533,1519.72565664198,1527.6427687533,7,0.0,1.0
2009-08-14,44.01,44.3,42.06,42.06,1600,1583.78229099724,1594.2184842349,1513.60788819232,1513.60788819232,40,0.0,1.0
2009-08-17,47.04,47.97,46.52,47.46,8800,1692.82251689412,1726.29030900108,1674.10934281281,1707.9370036521,220,0.0,1.0
2009-08-18,44.83,46.31,44.82,46.21,10400,1613.29152704854,1666.55209943382,1612.93165831621,1662.95341211049,260,0.0,1.0
2009-08-19,44.13,46.73,43.7,46.73,6400,1588.10071578524,1681.6665861918,1572.62636029492,1681.6665861918,160,0.0,1.0
2009-08-20,43.11,43.945,42.92,43.945,4000,1551.39410508728,1581.44314423708,1544.55659917295,1581.44314423708,100,0.0,1.0
2009-08-21,41.25,42.11,41.07,42.11,6800,1484.45852087335,1515.40723185398,1477.98088369136,1515.40723185398,170,0.0,1.0
2009-08-24,41.54,41.54,39.88,40.2,3200,1494.89471411101,1494.89471411101,1435.15650454374,1446.67230397839,80,0.0,1.0
2009-08-25,42.75,42.791,41.89,41.89,800,1538.43883072329,1539.91429252586,1507.49011974266,1507.49011974266,20,0.0,1.0
2009-08-26,42.69,43.487,42.69,43.09,3600,1536.27961832929,1564.96115629623,1536.27961832929,1550.67436762261,90,0.0,1.0
2009-08-27,42.54,45.12,42.54,43.57,3600,1530.8815873443,1623.7277202862,1530.8815873443,1567.94806677459,90,0.0,1.0
2009-08-28,44.0,44.06,42.44,42.47,7600,1583.42242226491,1585.58163465891,1527.28290002097,1528.36250621797,190,0.0,1.0
2009-08-31,45.85,46.12,44.99,45.29,2400,1649.9981377465,1659.71459351949,1619.04942676587,1629.84548873586,60,0.0,1.0
2009-09-01,47.86,48.08,46.31,46.31,16000,1722.33175294542,1730.24886505674,1666.55209943382,1666.55209943382,400,0.0,1.0
2009-09-02,47.12,48.44,46.43,48.2,7600,1695.70146675278,1743.20413942073,1670.87052422181,1734.56728984474,190,0.0,1.0
2009-09-03,45.48,46.21,45.48,45.71,2000,1636.68299465018,1662.95341211049,1636.68299465018,1644.95997549384,50,0.0,1.0
2009-09-04,43.13,45.11,42.88,44.93,3600,1552.11384255194,1623.36785155386,1543.11712424362,1616.89021437187,90,0.0,1.0
2009-09-08,40.65,41.2899,40.567,40.87,10400,1462.86639693338,1485.89439711536,1459.87948645501,1470.7835090447,260,0.0,1.0
2009-09-09,40.56,40.69,39.97,40.12,3600,1459.62757834238,1464.30587186271,1438.39532313474,1443.79335411973,90,0.0,1.0
