date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-09-10,25.09,25.09,25.05,25.05,118,24.5411085214715,24.5411085214715,24.5019835975632,24.5019835975632,118,0.0,1.0
2024-09-11,25.115,25.115,25.115,25.115,2,24.5655615989141,24.5655615989141,24.5655615989141,24.5655615989141,2,0.0,1.0
2024-09-12,25.15,25.15,25.15,25.15,2,24.5997959073339,24.5997959073339,24.5997959073339,24.5997959073339,2,0.0,1.0
2024-09-13,25.2,25.205,25.18,25.18,7140,24.6487020622192,24.6535926777078,24.6291396002651,24.6291396002651,7140,0.0,1.0
2024-09-16,25.17,25.18,25.17,25.18,101,24.619358369288,24.6291396002651,24.619358369288,24.6291396002651,101,0.0,1.0
2024-09-17,25.16,25.19,25.16,25.17,8043,24.609577138311,24.6389208312422,24.609577138311,24.619358369288,8043,0.0,1.0
2024-09-18,25.1663,25.245,25.16,25.16,13554,24.6157393138265,24.6927176016161,24.609577138311,24.609577138311,13554,0.0,1.0
2024-09-19,25.17,25.2,25.1624,25.17,12019,24.619358369288,24.6487020622192,24.6119246337454,24.619358369288,12019,0.0,1.0
2024-09-20,25.1764,25.1999,25.13,25.13,14044,24.6256183571133,24.6486042499095,24.5802334453797,24.5802334453797,14044,0.0,1.0
2024-09-23,25.17,25.1797,25.12,25.12,155833,24.619358369288,24.6288461633358,24.5704522144027,24.5704522144027,155833,0.0,1.0
2024-09-24,25.195,25.21,25.17,25.17,45893,24.6438114467307,24.6584832931963,24.619358369288,24.619358369288,45893,0.0,1.0
2024-09-25,25.1185,25.23,25.1,25.13,1893585,24.5689850297561,24.6780457551504,24.5508897524485,24.5802334453797,1893585,0.0,1.0
2024-09-26,25.0952,25.11,25.085,25.098,121701,24.5461947615795,24.5606709834256,24.5362179059829,24.5489335062531,121701,0.0,1.0
2024-09-27,25.1065,25.115,25.09,25.09,52319,24.5638309959361,24.5721472711424,24.5476876381828,24.5476876381828,52319,0.00673069,1.0
2024-09-30,25.0798,25.105,25.065,25.1,23884,24.5377081079353,24.5623634179586,24.5232280052233,24.5574714913666,23884,0.0,1.0
2024-10-01,25.12,25.14,25.105,25.12,21003,24.5770391977343,24.5966069041019,24.5623634179586,24.5770391977343,21003,0.0,1.0
2024-10-02,25.097,25.1,25.07,25.08,136579,24.5545363354115,24.5574714913666,24.5281199318152,24.537903784999,136579,0.0,1.0
2024-10-03,25.0421,25.0686,25.04,25.0503,152471,24.5008229814324,24.5267501923695,24.4987683722638,24.5088457410431,152471,0.0,1.0
2024-10-04,24.91,24.9201,24.91,24.92,1564,24.3715782808742,24.3814599725899,24.3715782808742,24.381362134058,1564,0.0,1.0
2024-10-07,25.12,25.12,24.85,24.87,21500,24.5770391977343,24.5770391977343,24.3128751617714,24.332442868139,21500,0.0,1.0
2024-10-08,24.8606,24.87,24.84,24.84,89191,24.3232460461462,24.332442868139,24.3030913085876,24.3030913085876,89191,0.0,1.0
