date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2011-09-19,25.11,25.11,25.11,25.11,151,25.11,25.11,25.11,25.11,151,0.0,1.0
2011-09-20,25.57,25.57,25.2683,25.2683,200,25.57,25.57,25.2683,25.2683,200,0.0,1.0
2011-09-21,24.73,24.73,24.56,24.58,650,24.73,24.73,24.56,24.58,650,0.0,1.0
2011-09-22,23.76,24.23,23.76,23.98,2300,23.76,24.23,23.76,23.98,2300,0.0,1.0
2011-09-23,23.33,23.33,23.33,23.33,193,23.33,23.33,23.33,23.33,193,0.0,1.0
2011-09-26,23.42,23.42,23.42,23.42,1000,23.42,23.42,23.42,23.42,1000,0.0,1.0
2011-09-27,23.72,23.91,23.72,23.91,1600,23.72,23.91,23.72,23.91,1600,0.0,1.0
2011-09-28,23.5,23.78,23.5,23.78,400,23.5,23.78,23.5,23.78,400,0.0,1.0
2011-09-29,25.16,25.16,24.29,24.29,1500,25.16,25.16,24.29,24.29,1500,0.0,1.0
2011-09-30,24.3652,24.3652,24.3652,24.3652,2000,24.3652,24.3652,24.3652,24.3652,2000,0.0,1.0
2011-10-03,24.3652,24.3652,24.3652,24.3652,0,24.3652,24.3652,24.3652,24.3652,0,0.0,1.0
2011-10-04,24.3652,24.3652,24.3652,24.3652,0,24.3652,24.3652,24.3652,24.3652,0,0.0,1.0
2011-10-05,23.47,23.47,23.47,23.47,100,23.47,23.47,23.47,23.47,100,0.0,1.0
2011-10-06,23.47,23.47,23.47,23.47,100,23.47,23.47,23.47,23.47,100,0.0,1.0
2011-10-07,24.15,24.15,24.15,24.15,100,24.15,24.15,24.15,24.15,100,0.0,1.0
2011-10-10,24.15,24.15,24.15,24.15,0,24.15,24.15,24.15,24.15,0,0.0,1.0
2011-10-11,24.51,24.51,24.51,24.51,200,24.51,24.51,24.51,24.51,200,0.0,1.0
2011-10-12,24.51,24.51,24.51,24.51,0,24.51,24.51,24.51,24.51,0,0.0,1.0
2011-10-13,24.51,24.51,24.51,24.51,0,24.51,24.51,24.51,24.51,0,0.0,1.0
2011-10-14,26.24,26.43,25.99,25.99,425,26.24,26.43,25.99,25.99,425,0.0,1.0
2011-10-17,26.31,26.31,26.17,26.17,200,26.31,26.31,26.17,26.17,200,0.0,1.0
2011-10-18,26.31,26.31,26.31,26.31,0,26.31,26.31,26.31,26.31,0,0.0,1.0
2011-10-19,25.58,26.25,25.58,26.25,400,25.58,26.25,25.58,26.25,400,0.0,1.0
2011-10-20,25.58,25.58,25.58,25.58,0,25.58,25.58,25.58,25.58,0,0.0,1.0
2011-10-21,25.0924,25.51,25.0924,25.51,400,25.0924,25.51,25.0924,25.51,400,0.0,1.0
2011-10-24,25.35,25.35,25.35,25.35,200,25.35,25.35,25.35,25.35,200,0.0,1.0
2011-10-25,25.35,25.35,25.35,25.35,0,25.35,25.35,25.35,25.35,0,0.0,1.0
2011-10-26,25.28,25.28,25.28,25.28,200,25.28,25.28,25.28,25.28,200,0.0,1.0
2011-10-27,25.52,25.52,25.52,25.52,100,25.52,25.52,25.52,25.52,100,0.0,1.0
2011-10-28,25.4,25.59,25.4,25.52,1026,25.4,25.59,25.4,25.52,1026,0.0,1.0
2011-10-31,25.06,25.06,25.06,25.06,100,25.06,25.06,25.06,25.06,100,0.0,1.0
2011-11-01,24.62,24.96,24.62,24.77,300,24.62,24.96,24.62,24.77,300,0.0,1.0
2011-11-02,24.64,24.88,24.54,24.58,1673,24.64,24.88,24.54,24.58,1673,0.0,1.0
2011-11-03,24.64,24.64,24.64,24.64,0,24.64,24.64,24.64,24.64,0,0.0,1.0
2011-11-04,24.64,24.64,24.64,24.64,0,24.64,24.64,24.64,24.64,0,0.0,1.0
2011-11-07,24.64,24.64,24.64,24.64,0,24.64,24.64,24.64,24.64,0,0.0,1.0
2011-11-08,25.16,25.16,24.8116,24.8116,350,25.16,25.16,24.8116,24.8116,350,0.0,1.0
2011-11-09,24.7,24.7,24.7,24.7,100,24.7,24.7,24.7,24.7,100,0.0,1.0
2011-11-10,24.69,24.78,24.69,24.78,600,24.69,24.78,24.69,24.78,600,0.0,1.0
2011-11-11,24.69,24.69,24.69,24.69,0,24.69,24.69,24.69,24.69,0,0.0,1.0
2011-11-14,24.061,24.29,24.061,24.29,400,24.061,24.29,24.061,24.29,400,0.0,1.0
2011-11-15,24.061,24.061,24.061,24.061,0,24.061,24.061,24.061,24.061,0,0.0,1.0
2011-11-16,24.05,24.05,24.04,24.04,305,24.05,24.05,24.04,24.04,305,0.0,1.0
2011-11-17,24.05,24.05,24.05,24.05,0,24.05,24.05,24.05,24.05,0,0.0,1.0
2011-11-18,23.67,23.67,23.67,23.67,100,23.67,23.67,23.67,23.67,100,0.0,1.0
2011-11-21,23.88,23.88,23.88,23.88,200,23.88,23.88,23.88,23.88,200,0.0,1.0
2011-11-22,23.88,23.88,23.88,23.88,300,23.88,23.88,23.88,23.88,300,0.0,1.0
2011-11-23,23.88,23.88,23.88,23.88,0,23.88,23.88,23.88,23.88,0,0.0,1.0
2011-11-25,22.86,22.86,22.86,22.86,400,22.86,22.86,22.86,22.86,400,0.0,1.0
2011-11-28,22.86,22.86,22.86,22.86,0,22.86,22.86,22.86,22.86,0,0.0,1.0
2011-11-29,23.21,23.21,23.0,23.0,1100,23.21,23.21,23.0,23.0,1100,0.0,1.0
2011-11-30,23.42,23.44,23.42,23.44,400,23.42,23.44,23.42,23.44,400,0.0,1.0
2011-12-01,23.42,23.42,23.42,23.42,0,23.42,23.42,23.42,23.42,0,0.0,1.0
2011-12-02,23.24,23.39,23.24,23.39,600,23.24,23.39,23.24,23.39,600,0.0,1.0
2011-12-05,23.57,23.57,23.57,23.57,100,23.57,23.57,23.57,23.57,100,0.0,1.0
2011-12-06,23.57,23.57,23.57,23.57,100,23.57,23.57,23.57,23.57,100,0.0,1.0
2011-12-07,22.89,23.61,22.89,23.61,4093,22.89,23.61,22.89,23.61,4093,0.0,1.0
2011-12-08,23.66,23.66,23.4,23.4,600,23.66,23.66,23.4,23.4,600,0.0,1.0
2011-12-09,23.66,23.66,23.66,23.66,0,23.66,23.66,23.66,23.66,0,0.0,1.0
2011-12-12,23.68,23.68,22.8,22.96,1150,23.68,23.68,22.8,22.96,1150,0.0,1.0
2011-12-13,23.0,23.08,23.0,23.08,550,23.0,23.08,23.0,23.08,550,0.0,1.0
2011-12-14,22.55,22.55,22.47,22.47,500,22.55,22.55,22.47,22.47,500,0.0,1.0
2011-12-15,22.55,22.55,22.55,22.55,0,22.55,22.55,22.55,22.55,0,0.0,1.0
2011-12-16,22.77,22.77,22.77,22.77,100,22.77,22.77,22.77,22.77,100,0.0,1.0
2011-12-19,22.946,22.946,22.83,22.9,400,22.946,22.946,22.83,22.9,400,0.0,1.0
2011-12-20,22.946,22.946,22.946,22.946,300,22.946,22.946,22.946,22.946,300,0.0,1.0
2011-12-21,22.95,22.95,22.95,22.95,200,22.95,22.95,22.95,22.95,200,0.0,1.0
2011-12-22,22.95,22.95,22.95,22.95,0,22.95,22.95,22.95,22.95,0,0.0,1.0
2011-12-23,23.16,23.36,23.16,23.36,500,23.16,23.36,23.16,23.36,500,0.0,1.0
2011-12-27,23.3388,23.3388,23.3388,23.3388,860,23.3388,23.3388,23.3388,23.3388,860,0.0,1.0
2011-12-28,22.85,23.33,22.85,23.31,1400,22.85,23.33,22.85,23.31,1400,0.0,1.0
2011-12-29,22.98,22.98,22.98,22.98,100,22.98,22.98,22.98,22.98,100,0.0,1.0
2011-12-30,22.93,22.93,22.93,22.93,100,22.93,22.93,22.93,22.93,100,0.0,1.0
2012-01-03,23.81,23.81,23.68,23.68,200,23.81,23.81,23.68,23.68,200,0.0,1.0
2012-01-04,24.33,24.33,23.93,23.93,752,24.33,24.33,23.93,23.93,752,0.0,1.0
2012-01-05,22.84,23.52,22.6,23.5,1000,22.84,23.52,22.6,23.5,1000,0.0,1.0
2012-01-06,22.85,22.85,22.75,22.75,400,22.85,22.85,22.75,22.75,400,0.0,1.0
2012-01-09,23.0,23.01,22.6,22.65,1400,23.0,23.01,22.6,22.65,1400,0.0,1.0
2012-01-10,23.0,23.0,23.0,23.0,0,23.0,23.0,23.0,23.0,0,0.0,1.0
2012-01-11,23.3,23.3,23.3,23.3,200,23.3,23.3,23.3,23.3,200,0.0,1.0
2012-01-12,23.04,23.1,23.04,23.1,200,23.04,23.1,23.04,23.1,200,0.0,1.0
2012-01-13,22.95,22.95,22.95,22.95,900,22.95,22.95,22.95,22.95,900,0.0,1.0
2012-01-17,23.21,23.44,23.19,23.44,800,23.21,23.44,23.19,23.44,800,0.0,1.0
2012-01-18,23.21,23.21,23.21,23.21,0,23.21,23.21,23.21,23.21,0,0.0,1.0
2012-01-19,23.62,23.62,23.54,23.6,1100,23.62,23.62,23.54,23.6,1100,0.0,1.0
2012-01-20,23.67,23.69,23.5,23.55,900,23.67,23.69,23.5,23.55,900,0.0,1.0
