date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-06-28,26.7921,26.7921,26.07,26.07,100,26.7921,26.7921,26.07,26.07,100,0.0,1.0
2023-06-29,27.6195,27.6195,27.6195,27.6195,16,27.6195,27.6195,27.6195,27.6195,16,0.0,1.0
2023-06-30,28.9721,28.9721,28.9721,28.9721,16,28.9721,28.9721,28.9721,28.9721,16,0.0,1.0
2023-07-03,31.2029,31.2029,31.2029,31.2029,0,31.2029,31.2029,31.2029,31.2029,0,0.0,1.0
2023-07-05,31.8343,31.8343,31.78,31.78,100,31.8343,31.8343,31.78,31.78,100,0.0,1.0
2023-07-06,31.06,31.06,31.06,31.06,124,31.06,31.06,31.06,31.06,124,0.0,1.0
2023-07-07,33.35,33.35,32.16,32.16,200,33.35,33.35,32.16,32.16,200,0.0,1.0
2023-07-10,35.56,35.56,33.14,33.91,1165,35.56,35.56,33.14,33.91,1165,0.0,1.0
2023-07-11,36.3627,36.3627,35.97,35.97,274,36.3627,36.3627,35.97,35.97,274,0.0,1.0
2023-07-12,37.3624,37.3624,37.3624,37.3624,47,37.3624,37.3624,37.3624,37.3624,47,0.0,1.0
2023-07-13,36.8438,36.8438,36.8438,36.8438,10,36.8438,36.8438,36.8438,36.8438,10,0.0,1.0
2023-07-14,35.83,35.88,35.83,35.88,205,35.83,35.88,35.83,35.88,205,0.0,1.0
2023-07-17,34.87,34.97,34.87,34.97,222,34.87,34.97,34.87,34.97,222,0.0,1.0
2023-07-18,36.13,36.13,36.13,36.13,102,36.13,36.13,36.13,36.13,102,0.0,1.0
2023-07-19,39.4635,40.0,38.64,38.64,733,39.4635,40.0,38.64,38.64,733,0.0,1.0
2023-07-20,35.17,35.32,35.17,35.32,282,35.17,35.32,35.17,35.32,282,0.0,1.0
2023-07-21,33.6,33.73,33.6,33.73,222,33.6,33.73,33.6,33.73,222,0.0,1.0
2023-07-24,35.1231,35.1231,33.96,33.96,128,35.1231,35.1231,33.96,33.96,128,0.0,1.0
2023-07-25,33.15,33.3,33.15,33.3,450,33.15,33.3,33.15,33.3,450,0.0,1.0
