date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1990-01-02,5.375,5.5,5.25,5.375,44100,5.1538460456341,5.27370293041629,5.03398916085192,5.1538460456341,44100,0.0,1.0
1990-01-03,5.125,5.25,5.0,5.125,33500,4.91413227606973,5.03398916085192,4.79427539128754,4.91413227606973,33500,0.0,1.0
1990-01-04,5.375,5.375,5.125,5.25,55800,5.1538460456341,5.1538460456341,4.91413227606973,5.03398916085192,55800,0.0,1.0
1990-01-05,5.25,5.5,5.25,5.5,38200,5.03398916085192,5.27370293041629,5.03398916085192,5.27370293041629,38200,0.0,1.0
1990-01-08,5.25,5.25,5.125,5.125,34100,5.03398916085192,5.03398916085192,4.91413227606973,4.91413227606973,34100,0.0,1.0
1990-01-09,5.125,5.25,5.125,5.125,53000,4.91413227606973,5.03398916085192,4.91413227606973,4.91413227606973,53000,0.0,1.0
1990-01-10,5.25,5.375,5.125,5.25,148600,5.03398916085192,5.1538460456341,4.91413227606973,5.03398916085192,148600,0.0,1.0
1990-01-11,5.625,5.625,5.25,5.375,144400,5.39355981519848,5.39355981519848,5.03398916085192,5.1538460456341,144400,0.0,1.0
1990-01-12,5.625,5.875,5.5,5.625,177800,5.39355981519848,5.63327358476286,5.27370293041629,5.39355981519848,177800,0.0,1.0
1990-01-15,5.75,5.75,5.625,5.625,76000,5.51341669998067,5.51341669998067,5.39355981519848,5.39355981519848,76000,0.0,1.0
1990-01-16,5.5,5.75,5.5,5.75,36200,5.27370293041629,5.51341669998067,5.27370293041629,5.51341669998067,36200,0.0,1.0
1990-01-17,5.5,5.5,5.375,5.5,35600,5.27370293041629,5.27370293041629,5.1538460456341,5.27370293041629,35600,0.0,1.0
1990-01-18,5.375,5.625,5.375,5.5,16400,5.1538460456341,5.39355981519848,5.1538460456341,5.27370293041629,16400,0.0,1.0
1990-01-19,5.375,5.5,5.375,5.5,54000,5.1538460456341,5.27370293041629,5.1538460456341,5.27370293041629,54000,0.0,1.0
