date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-06-27,24.9016,25.13,24.8844,25.01,405223,24.685353419773,24.9117699842136,24.668302785323,24.7928120694462,405223,0.0,1.0
2024-06-28,24.8973,24.9706,24.8973,24.9706,40103,24.6810907611605,24.7537542207642,24.6810907611605,24.7537542207642,40103,0.0,1.0
2024-07-01,25.04,25.06,25.04,25.06,600774,24.8225515481381,24.842377867266,24.8225515481381,24.842377867266,600774,0.0,1.0
2024-07-02,25.07,25.07,24.95,24.95,901,24.8522910268299,24.8522910268299,24.7333331120625,24.7333331120625,901,0.0,1.0
2024-07-03,25.3048,25.31,25.3048,25.31,228,25.0850520133915,25.0902068563648,25.0850520133915,25.0902068563648,228,0.0,1.0
2024-07-05,25.5,25.5,25.41,25.415,1038,25.2785568880799,25.2785568880799,25.1893384520043,25.1942950317863,1038,0.0,1.0
2024-07-08,25.4576,25.57,25.4501,25.57,1947,25.2365250915287,25.3479490050276,25.2290902218558,25.3479490050276,1947,0.0,1.0
2024-07-09,25.3467,25.35,25.34,25.35,680,25.1265881519645,25.1298594946206,25.1199463350567,25.1298594946206,680,0.0,1.0
2024-07-10,25.644,25.644,25.5289,25.5289,3369,25.4213063858008,25.4213063858008,25.3072059192197,25.3072059192197,3369,0.0,1.0
2024-07-11,25.6935,25.8,25.69,25.8,451,25.4703765256424,25.5759516749985,25.466906919795,25.5759516749985,451,0.0,1.0
2024-07-12,25.8991,25.94,25.8,25.8,5657,25.6741910862773,25.7147359088938,25.5759516749985,25.5759516749985,5657,0.0,1.0
2024-07-15,25.6381,25.74,25.6381,25.7201,2046,25.4154576216581,25.5164727176148,25.4154576216581,25.4967455300825,2046,0.0,1.0
2024-07-16,25.725,25.725,25.59,25.59,25761,25.5016029782688,25.5016029782688,25.3677753241555,25.3677753241555,25761,0.0,1.0
2024-07-17,25.4,25.48,25.35,25.44,8840,25.1794252924404,25.258730568952,25.1298594946206,25.2190779306962,8840,0.0,1.0
2024-07-18,25.1448,25.46,25.08,25.46,1870,24.9264414603683,25.2389042498241,24.8622041863939,25.2389042498241,1870,0.0,1.0
2024-07-19,25.0052,25.08,25.0052,25.08,2265,24.7880537528555,24.8622041863939,24.7880537528555,24.8622041863939,2265,0.0,1.0
2024-07-22,25.2537,25.2537,25.18,25.18,1973,25.0343957680197,25.0343957680197,24.9613357820334,24.9613357820334,1973,0.0,1.0
2024-07-23,25.0924,25.14,25.0924,25.108,1986,24.8744965042532,24.9216831437776,24.8744965042532,24.889961033173,1986,0.0,1.0
2024-07-24,24.6807,24.87,24.6807,24.84,17883,24.4663717250052,24.6540278355509,24.4663717250052,24.624288356859,17883,0.0,1.0
2024-07-25,24.5252,24.66,24.5252,24.65,1549,24.3122220937858,24.4458514847079,24.3122220937858,24.4359383251439,1549,0.0,1.0
2024-07-26,24.7893,24.8209,24.7,24.7,358024,24.5740286378698,24.6053542220919,24.4855041229637,24.4855041229637,358024,0.0,1.0
2024-07-29,24.6907,24.77,24.67,24.77,10945,24.4762848845692,24.5548962399113,24.4557646442718,24.5548962399113,10945,0.0,1.0
2024-07-30,24.6756,24.75,24.62,24.75,3272,24.4613160136276,24.5350699207834,24.4061988464521,24.5350699207834,3272,0.0,1.0
2024-07-31,25.1002,25.18,25.02,25.07,5595,24.8822287687131,24.9613357820334,24.8027252290102,24.8522910268299,5595,0.0,1.0
2024-08-01,24.5078,24.86,24.5078,24.86,1720,24.2949731961445,24.6441146759869,24.2949731961445,24.6441146759869,1720,0.0,1.0
2024-08-02,24.0919,24.15,23.9481,24.13,14060,23.8826848898797,23.9402803469463,23.7401336553501,23.9204540278184,14060,0.0,1.0
2024-08-05,23.6386,23.7999,23.23,23.23,28635,23.4333213668457,23.5932206306123,23.0282696670626,23.0282696670626,28635,0.0,1.0
2024-08-06,23.7586,23.84,23.52,23.52,5214,23.5522792816131,23.6329724004637,23.3157512944172,23.3157512944172,5214,0.0,1.0
2024-08-07,23.7909,24.17,23.7909,24.17,7913,23.5842987870047,23.9601066660742,23.5842987870047,23.9601066660742,7913,0.0,1.0
2024-08-08,24.2518,24.27,24.16,24.16,1185,24.0411963113073,24.0592382617137,23.9501935065102,23.9501935065102,1185,0.0,1.0
2024-08-09,24.4049,24.409,24.29,24.29,10693,24.1929667842314,24.1970311796526,24.0790645808416,24.0790645808416,10693,0.0,1.0
2024-08-12,24.38,24.46,24.37,24.38,19267,24.1682830169172,24.2475882934288,24.1583698573532,24.1682830169172,19267,0.0,1.0
2024-08-13,24.7652,24.7652,24.51,24.51,8255,24.5501379233206,24.5501379233206,24.2971540912486,24.2971540912486,8255,0.0,1.0
2024-08-14,24.7756,24.78,24.71,24.77,17562,24.5604476092672,24.5648093994753,24.4954172825276,24.5548962399113,17562,0.0,1.0
2024-08-15,25.0406,25.38,24.98,24.98,88632,24.8231463377119,25.1595989733125,24.7630725907544,24.7630725907544,88632,0.0,1.0
2024-08-16,25.184,25.184,25.08,25.08,6682,24.965301045859,24.965301045859,24.8622041863939,24.8622041863939,6682,0.0,1.0
2024-08-19,25.435,25.4395,25.305,25.305,3954,25.2141213509142,25.218582272718,25.0852502765828,25.0852502765828,3954,0.0,1.0
2024-08-20,25.2976,25.3227,25.26,25.3,19057,25.0779145385055,25.102796569011,25.040641058545,25.0802936968009,19057,0.0,1.0
2024-08-21,25.4273,25.46,25.335,25.335,4280,25.20648821805,25.2389042498241,25.1149897552747,25.1149897552747,4280,0.0,1.0
2024-08-22,25.2294,25.41,25.2225,25.41,6949,25.0103067902793,25.1893384520043,25.0034667101802,25.1893384520043,6949,0.0,1.0
2024-08-23,25.6799,25.69,25.45,25.45,16481,25.4568946286354,25.466906919795,25.2289910902601,25.2289910902601,16481,0.0,1.0
2024-08-26,25.5702,25.66,25.55,25.62,19251,25.3481472682189,25.4371674411032,25.3281226858997,25.3975148028473,19251,0.0,1.0
2024-08-27,25.6704,25.6704,25.58,25.6,10444,25.4474771270497,25.4474771270497,25.3578621645915,25.3776884837194,10444,0.0,1.0
2024-08-28,25.5395,25.61,25.45,25.61,6133,25.3177138683575,25.3876016432834,25.2289910902601,25.3876016432834,6133,0.0,1.0
2024-08-29,25.63,25.74,25.61,25.61,25692,25.4074279624113,25.5164727176148,25.3876016432834,25.3876016432834,25692,0.0,1.0
2024-08-30,25.7188,25.78,25.59,25.7009,12362,25.4954568193392,25.5561253558706,25.3677753241555,25.4777122637197,12362,0.0,1.0
2024-09-03,25.2,25.52,25.17,25.52,6954,24.9811621011613,25.2983832072078,24.9514226224695,25.2983832072078,6954,0.0,1.0
2024-09-04,25.15,25.269,25.001,25.04,24580,24.9315963033416,25.0495629021526,24.7838902258387,24.8225515481381,24580,0.0,1.0
2024-09-05,25.1692,25.24,25.13,25.2,5087,24.9506295697043,25.0208147394171,24.9117699842136,24.9811621011613,5087,0.0,1.0
2024-09-06,24.7577,25.01,24.75,25.01,2586,24.5427030536477,24.7928120694462,24.5350699207834,24.7928120694462,2586,0.0,1.0
2024-09-09,24.9264,25.0,24.87,24.87,16643,24.7099380554916,24.7828989098823,24.6540278355509,24.6540278355509,16643,0.0,1.0
2024-09-10,24.8611,24.88,24.745,24.88,4619,24.645205123539,24.6639409951148,24.5301133410015,24.6639409951148,4619,0.0,1.0
2024-09-11,25.11,25.12,24.67,24.69,6495,24.8919436650857,24.9018568246497,24.4557646442718,24.4755909633997,6495,0.0,1.0
2024-09-12,25.255,25.255,25.09,25.1,6957,25.0356844787631,25.0356844787631,24.8721173459578,24.8820305055218,6957,0.0,1.0
2024-09-13,25.3696,25.42,25.33,25.39,17199,25.149289287366,25.1992516115683,25.1100331754927,25.1695121328764,17199,0.0,1.0
2024-09-16,25.4777,25.48,25.36,25.41,17765,25.2564505422523,25.258730568952,25.1397726541846,25.1893384520043,17765,0.0,1.0
2024-09-17,25.31,25.45,25.2301,25.42,40554,25.0902068563648,25.2289910902601,25.0110007114488,25.1992516115683,40554,0.0,1.0
2024-09-18,25.2435,25.5597,25.2099,25.33,53491,25.0242843452645,25.3377384506767,24.9909761291296,25.1100331754927,53491,0.0,1.0
2024-09-19,25.7499,25.8,25.52,25.67,62027,25.5262867455831,25.5759516749985,25.2983832072078,25.4470806006671,62027,0.0,1.0
2024-09-20,25.5279,25.5899,25.4899,25.5899,40103,25.3062146032633,25.3676761925598,25.2685445969203,25.3676761925598,40103,0.0,1.0
2024-09-23,25.607,25.61,25.56,25.56,31366,25.3846276954142,25.3876016432834,25.3380358454636,25.3380358454636,31366,0.0,1.0
2024-09-24,25.97,26.04,25.8299,25.85,60895,25.7444753875857,25.8138675045334,25.6055920220947,25.6255174728183,60895,0.0,1.0
2024-09-25,25.8005,25.94,25.7901,25.91,51035,25.5764473329767,25.7147359088938,25.5661376470302,25.684996430202,51035,0.0,1.0
2024-09-26,26.4597,26.47,26.3,26.36,49022,26.2299228114325,26.2401333657833,26.0716096531961,26.1310886105799,49022,0.0,1.0
