date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-10-27,25.17,25.17,25.12,25.14,1204791,23.2426639100749,23.2426639100749,23.1964925475201,23.214961092542,1204791,0.0,1.0
2022-10-28,25.1706,25.1795,25.15,25.16,9330,23.2432179664255,23.2514364689603,23.224195365053,23.2334296375639,9330,0.0,1.0
2022-10-31,25.1415,25.1415,25.1415,25.1415,4,23.2163462334187,23.2163462334187,23.2163462334187,23.2163462334187,4,0.0,1.0
2022-11-01,25.25,25.25,25.229,25.229,798,23.3165380901625,23.3165380901625,23.2971461178895,23.2971461178895,798,0.0,1.0
2022-11-02,25.29,25.29,25.25,25.279,5142,23.3534751802063,23.3534751802063,23.3165380901625,23.3433174804443,5142,0.0,1.0
2022-11-03,25.24,25.26,25.216,25.23,17293,23.3073038176516,23.3257723626735,23.2851415636253,23.2980695451406,17293,0.0,1.0
2022-11-04,25.2273,25.28,25.2273,25.26,6205,23.2955762915627,23.3442409076954,23.2955762915627,23.3257723626735,6205,0.0,1.0
2022-11-07,25.235,25.27,25.22,25.26,8941,23.3026866813961,23.3350066351844,23.2888352726297,23.3257723626735,8941,0.0,1.0
2022-11-08,25.33,25.35,25.315,25.315,46124,23.3904122702502,23.4088808152721,23.3765608614837,23.3765608614837,46124,0.0,1.0
2022-11-09,25.4,25.4,25.3292,25.3299,31165,23.4550521778269,23.4550521778269,23.3896735284493,23.3903199275251,31165,0.0,1.0
2022-11-10,25.705,28.1,25.705,25.73,67006,23.736697489411,25.9483057557848,23.736697489411,23.7597831706884,67006,0.0,1.0
2022-11-11,25.755,25.77,25.74,25.74,6700,23.7828688519658,23.7967202607322,23.7690174431993,23.7690174431993,6700,0.0,1.0
2022-11-14,25.6647,25.83,25.66,25.699,50376,23.6994833711918,23.8521258957979,23.6951432631117,23.7311569259044,50376,0.0,1.0
2022-11-15,25.795,25.94,25.74,25.74,73220,23.8198059420096,23.9537028934185,23.7690174431993,23.7690174431993,73220,0.0,1.0
2022-11-16,25.91,25.9171,25.85,25.85,25240,23.9260000758856,23.9325564093684,23.8705944408199,23.8705944408199,25240,0.0,1.0
2022-11-17,25.947,25.97,25.93,25.93,11991,23.9601668841761,23.9814057109513,23.9444686209075,23.9444686209075,11991,0.0,1.0
2022-11-18,25.97,25.99,25.97,25.98,25758,23.9814057109513,23.9998742559732,23.9814057109513,23.9906399834623,25758,0.0,1.0
2022-11-21,25.9761,26.08,25.96,25.99,53557,23.987038617183,24.0829827085718,23.9721714384404,23.9998742559732,53557,0.0,1.0
2022-11-22,26.02,26.21,25.99,26.12,79240,24.0275770735061,24.2030282512142,23.9998742559732,24.1199197986156,79240,0.0,1.0
2022-11-23,26.13,26.26,26.0692,26.14,210479,24.1291540711266,24.249199613769,24.07300969426,24.1383883436376,210479,0.0,1.0
2022-11-25,26.105,26.11,26.1,26.1035,40541,24.1060683898492,24.1106855261047,24.1014512535937,24.1046832489726,40541,0.0,1.0
2022-11-28,26.13,26.26,26.0858,26.16,78416,24.1291540711266,24.249199613769,24.0883385866282,24.1568568886595,78416,0.0,1.0
2022-11-29,26.19,27.82,26.125,27.43,43751,24.1845597061923,25.6897461254781,24.1245369348711,25.3296094975508,43751,0.0,1.0
2022-11-30,26.251,26.27,26.145,26.16,71233,24.285397962012,24.3029752947337,24.1873349478802,24.2012117895026,71233,0.0482,1.0
2022-12-01,26.3949,26.4,26.26,26.26,114974,24.4185231293097,24.4232412554614,24.2937240669854,24.2937240669854,114974,0.0,1.0
2022-12-02,26.355,26.459,26.295,26.32,72052,24.3816107305941,24.4778234991762,24.3261033641044,24.3492314334751,72052,0.0,1.0
2022-12-05,26.31,26.349,26.3,26.33,44674,24.3399802057268,24.3760599939451,24.3307289779785,24.3584826612234,44674,0.0,1.0
2022-12-06,26.365,26.4,26.35,26.37,105284,24.3908619583424,24.4232412554614,24.37698511672,24.3954875722165,105284,0.0,1.0
2022-12-07,26.4329,26.46,26.4,26.4,90771,24.4536777947532,24.478748621951,24.4232412554614,24.4232412554614,90771,0.0,1.0
2022-12-08,26.42,26.46,26.41,26.46,49849,24.4417437109579,24.478748621951,24.4324924832096,24.478748621951,49849,0.0,1.0
2022-12-09,26.415,26.49,26.41,26.49,25342,24.4371180970838,24.5065023051959,24.4324924832096,24.5065023051959,25342,0.0,1.0
2022-12-12,26.405,26.49,26.27,26.49,93993,24.4278668693355,24.5065023051959,24.3029752947337,24.5065023051959,93993,0.0,1.0
2022-12-13,26.495,26.53,26.48,26.5199,48778,24.51112791907,24.543507216189,24.4972510774476,24.5341634761632,48778,0.0,1.0
2022-12-14,26.51,26.58,26.46,26.49,119023,24.5250047606924,24.5897633549304,24.478748621951,24.5065023051959,119023,0.0,1.0
2022-12-15,26.515,26.53,26.4994,26.52,39192,24.5296303745666,24.543507216189,24.5151984592793,24.5342559884407,39192,0.0,1.0
2022-12-16,26.43,26.48,26.41,26.46,45757,24.4509949387062,24.4972510774476,24.4324924832096,24.478748621951,45757,0.0,1.0
2022-12-19,26.4029,26.51,26.3818,26.51,55347,24.4259241115084,24.5250047606924,24.4064040209595,24.5250047606924,55347,0.0,1.0
2022-12-20,26.3702,26.39,26.33,26.359,77772,24.3956725967715,24.4139900277131,24.3584826612234,24.3853112216934,77772,0.0,1.0
2022-12-21,26.3295,26.34,26.31,26.34,60185,24.358020099836,24.3677338889717,24.3399802057268,24.3677338889717,60185,0.0,1.0
2022-12-22,26.32,26.38,26.3133,26.35,170051,24.3492314334751,24.4047387999648,24.3430331108838,24.37698511672,170051,0.0,1.0
2022-12-23,26.29,26.3,26.2501,26.28,59614,24.3214777502303,24.3307289779785,24.2845653515146,24.312226522482,59614,0.0,1.0
2022-12-27,26.235,26.28,26.23,26.28,169054,24.2705959976147,24.312226522482,24.2659703837406,24.312226522482,169054,0.0,1.0
2022-12-28,26.26,26.33,26.2393,26.33,302790,24.2937240669854,24.3584826612234,24.2745740255465,24.3584826612234,302790,0.0,1.0
2022-12-29,26.18,26.2,26.14,26.2,368441,24.2948342143152,24.3133940571069,24.2577145287319,24.3133940571069,368441,0.0812,1.0
2022-12-30,26.18,26.2,26.1341,26.18,212726,24.2948342143152,24.3133940571069,24.2522393751083,24.2948342143152,212726,0.0,1.0
2023-01-03,26.21,26.26,26.1901,26.26,241252,24.3226739785027,24.369073585482,24.304206934925,24.369073585482,241252,0.0,1.0
2023-01-04,26.295,26.3,26.28,26.29,15078,24.4015533103674,24.4061932710653,24.3876334282736,24.3969133496695,15078,0.0,1.0
2023-01-05,26.315,26.34,26.28,26.33,28257,24.4201131531591,24.4433129566487,24.3876334282736,24.4340330352529,28257,0.0,1.0
2023-01-06,26.42,26.42,26.34,26.34,37182,24.5175523278154,24.5175523278154,24.4433129566487,24.4433129566487,37182,0.0,1.0
2023-01-09,26.485,26.49,26.44,26.445,42181,24.5778718168884,24.5825117775863,24.5361121706071,24.540752131305,42181,0.0,1.0
2023-01-10,26.495,26.5,26.44,26.49,19046,24.5871517382843,24.5917916989822,24.5361121706071,24.5825117775863,19046,0.0,1.0
2023-01-11,26.6,26.61,26.52,26.56,59640,24.6845909129406,24.6938708343364,24.6103515417739,24.6474712273572,59640,0.0,1.0
2023-01-12,26.695,26.695,26.6247,26.64,14472,24.7727501662011,24.7727501662011,24.7075123187883,24.721710598524,14472,0.0,1.0
2023-01-13,26.67,26.735,26.64,26.71,57512,24.7495503627115,24.8098698517845,24.721710598524,24.7866700482949,57512,0.0,1.0
2023-01-17,26.74,26.74,26.69,26.69,48059,24.8145098124824,24.8145098124824,24.7681102055032,24.7681102055032,48059,0.0,1.0
2023-01-18,26.8,26.84,26.8,26.8301,52078,24.8701893408574,24.9073090264408,24.8701893408574,24.8981219042589,52078,0.0,1.0
