date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-02-24,24.55,25.37,23.7049,23.8,1032156,23.84081551347,24.6371278849994,23.0201282144707,23.1124810273151,1032156,0.0,1.0
2022-02-25,24.93,24.94,24.42,24.46,29205,24.2098383197885,24.2195494462706,23.7145708692032,23.7534153751314,29205,0.0,1.0
2022-02-28,24.5051,24.7,24.32,24.6,81817,23.7972125555656,23.986482410701,23.6174596043825,23.8893711458804,81817,0.0,1.0
2022-03-01,23.84,24.35,23.75,24.35,99618,23.1513255332434,23.6465929838287,23.0639253949048,23.6465929838287,99618,0.0,1.0
2022-03-02,24.3378,24.345,24.08,24.18,83617,23.6347454095206,23.6417374205877,23.384392568813,23.4815038336336,83617,0.0,1.0
2022-03-03,23.72,24.3,23.63,24.3,55870,23.0347920154586,23.5980373514184,22.94739187712,23.5980373514184,55870,0.0,1.0
2022-03-04,22.87,23.03,22.74,22.97,598678,22.2093462644831,22.3647242881961,22.0831016202162,22.3064575293037,598678,0.0,1.0
2022-03-07,21.9,22.99,21.87,22.99,68938,21.2673669957227,22.3258797822679,21.2382336162766,22.3258797822679,68938,0.0,1.0
2022-03-08,22.1903,22.57,21.88,22.36,43068,21.5492809974971,21.9180124700211,21.2479447427586,21.7140788138977,43068,0.0,1.0
2022-03-09,23.0209,23.17,22.69,22.85,255097,22.3558871630974,22.500680058945,22.0345459878059,22.1899240115189,255097,0.0,1.0
2022-03-10,22.7602,22.87,22.58,22.87,111591,22.10271809571,22.2093462644831,21.9277235965032,22.2093462644831,111591,0.0,1.0
2022-03-11,22.4196,23.0,22.4,23.0,152647,21.7719571277309,22.3355909087499,21.752923319826,22.3355909087499,152647,0.0,1.0
2022-03-14,22.4119,22.81,22.355,22.81,74819,21.7644795603397,22.1510795055907,21.7092232506567,22.1510795055907,74819,0.0,1.0
2022-03-15,22.5265,22.7,22.24,22.7,181964,21.8757690698241,22.044257114288,21.597545296113,22.044257114288,181964,0.0,1.0
2022-03-16,23.5986,23.5986,23.04,23.24,140502,22.9168989399663,22.9168989399663,22.3744354146782,22.5686579443195,140502,0.0,1.0
2022-03-17,23.879,23.8913,23.54,23.68,51350,23.1891989265235,23.2011436120964,22.8599917387814,22.9959475095304,51350,0.0,1.0
2022-03-18,24.2179,24.22,23.72,23.86,38461,23.5183090030006,23.5203483395619,23.0347920154586,23.1707477862075,38461,0.0,1.0
2022-03-21,24.0454,24.23,23.89,24.23,48794,23.350792071185,23.5300594660439,23.1998811656537,23.5300594660439,48794,0.0,1.0
2022-03-22,24.387,24.4,24.2676,24.38,175394,23.6825241518124,23.695148616239,23.5665733016165,23.6757263632749,175394,0.0,1.0
2022-03-23,24.15,24.31,24.115,24.27,348371,23.4523704541874,23.6077484779005,23.4183815115002,23.5689039719722,348371,0.0,1.0
2022-03-24,24.3131,24.34,24.134,24.24,27231,23.6107589271099,23.6368818573467,23.4368326518161,23.539770592526,27231,0.0,1.0
2022-03-25,24.29,24.45,24.18,24.45,54226,23.5883262249363,23.7437042486494,23.4815038336336,23.7437042486494,54226,0.0,1.0
2022-03-28,24.27,24.31,24.065,24.31,48985,23.5689039719722,23.6077484779005,23.3698258790899,23.6077484779005,48985,0.0,1.0
2022-03-29,24.8353,24.85,24.62,24.8,84246,24.1178739520033,24.132149307932,23.9087933988445,24.0835936755217,84246,0.0,1.0
