date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-05-18,25.9078,25.949,25.51,25.52,273410,25.9078,25.949,25.51,25.52,273410,0.0,1.0
2023-05-19,25.715,26.49,25.63,26.49,229053,25.715,26.49,25.63,26.49,229053,0.0,1.0
2023-05-22,26.08,26.1996,25.6701,25.6701,96072,26.08,26.1996,25.6701,25.6701,96072,0.0,1.0
2023-05-23,25.6,26.0798,25.6,25.95,60308,25.6,26.0798,25.6,25.95,60308,0.0,1.0
2023-05-24,25.4,25.48,25.1101,25.47,65368,25.4,25.48,25.1101,25.47,65368,0.0,1.0
2023-05-25,26.24,26.7,26.05,26.7,171018,26.24,26.7,26.05,26.7,171018,0.0,1.0
2023-05-26,27.18,27.2799,26.42,26.45,293989,27.18,27.2799,26.42,26.45,293989,0.0,1.0
2023-05-30,27.93,28.1233,27.52,28.12,518169,27.93,28.1233,27.52,28.12,518169,0.0,1.0
2023-05-31,27.46,27.63,27.1876,27.56,240481,27.46,27.63,27.1876,27.56,240481,0.0,1.0
2023-06-01,28.04,28.13,27.37,27.48,321864,28.04,28.13,27.37,27.48,321864,0.0,1.0
2023-06-02,28.1,28.46,28.04,28.34,287846,28.1,28.46,28.04,28.34,287846,0.0,1.0
2023-06-05,28.22,28.35,27.96,28.0,268260,28.22,28.35,27.96,28.0,268260,0.0,1.0
2023-06-06,28.38,28.43,27.9001,28.01,215663,28.38,28.43,27.9001,28.01,215663,0.0,1.0
2023-06-07,27.72,28.7099,27.6,28.55,294211,27.72,28.7099,27.6,28.55,294211,0.0,1.0
2023-06-08,28.04,28.1689,27.645,27.68,197216,28.04,28.1689,27.645,27.68,197216,0.0,1.0
2023-06-09,28.33,28.72,28.1701,28.3392,152801,28.33,28.72,28.1701,28.3392,152801,0.0,1.0
2023-06-12,28.9,28.9,28.54,28.62,180068,28.9,28.9,28.54,28.62,180068,0.0,1.0
2023-06-13,29.53,29.689,29.17,29.59,322337,29.53,29.689,29.17,29.59,322337,0.0,1.0
2023-06-14,29.77,29.79,29.251,29.51,192153,29.77,29.79,29.251,29.51,192153,0.0,1.0
2023-06-15,30.02,30.14,29.48,29.57,174028,30.02,30.14,29.48,29.57,174028,0.0,1.0
2023-06-16,29.89,30.59,29.83,30.59,216579,29.89,30.59,29.83,30.59,216579,0.0,1.0
2023-06-20,29.85,30.18,29.61,29.93,228603,29.85,30.18,29.61,29.93,228603,0.0,1.0
2023-06-21,28.92,29.4851,28.71,29.48,220203,28.92,29.4851,28.71,29.48,220203,0.0,1.0
2023-06-22,29.11,29.2,28.8,28.8,102002,29.11,29.2,28.8,28.8,102002,0.0,1.0
2023-06-23,28.6,28.85,28.42,28.75,118887,28.6,28.85,28.42,28.75,118887,0.0,1.0
2023-06-26,28.05,28.7,28.04,28.43,124938,28.05,28.7,28.04,28.43,124938,0.0,1.0
2023-06-27,28.67,28.7391,28.2,28.28,106304,28.67,28.7391,28.2,28.28,106304,0.0,1.0
2023-06-28,28.63,28.76,28.2,28.27,85594,28.63,28.76,28.2,28.27,85594,0.0,1.0
2023-06-29,28.41,28.64,28.27,28.56,117783,28.41,28.64,28.27,28.56,117783,0.0,1.0
2023-06-30,28.78,28.908,28.62,28.66,161773,28.78,28.908,28.62,28.66,161773,0.0,1.0
2023-07-03,28.92,29.1,28.78,28.9,87591,28.92,29.1,28.78,28.9,87591,0.0,1.0
2023-07-05,28.75,28.895,28.53,28.6,142074,28.75,28.895,28.53,28.6,142074,0.0,1.0
2023-07-06,28.32,28.41,28.08,28.41,106311,28.32,28.41,28.08,28.41,106311,0.0,1.0
2023-07-07,28.6166,28.9761,28.48,28.48,131822,28.6166,28.9761,28.48,28.48,131822,0.0,1.0
2023-07-10,28.62,28.65,28.285,28.41,252571,28.62,28.65,28.285,28.41,252571,0.0,1.0
2023-07-11,28.9521,28.96,28.6,28.81,63964,28.9521,28.96,28.6,28.81,63964,0.0,1.0
2023-07-12,29.46,29.5,29.19,29.36,142040,29.46,29.5,29.19,29.36,142040,0.0,1.0
2023-07-13,30.2,30.2599,29.79,29.83,104249,30.2,30.2599,29.79,29.83,104249,0.0,1.0
2023-07-14,29.88,30.41,29.82,30.23,88399,29.88,30.41,29.82,30.23,88399,0.0,1.0
2023-07-17,30.24,30.3,29.81,29.96,78791,30.24,30.3,29.81,29.96,78791,0.0,1.0
2023-07-18,30.32,30.4,29.765,30.07,81348,30.32,30.4,29.765,30.07,81348,0.0,1.0
2023-07-19,30.24,30.62,30.08,30.57,95242,30.24,30.62,30.08,30.57,95242,0.0,1.0
2023-07-20,29.2656,29.9926,29.151,29.81,119909,29.2656,29.9926,29.151,29.81,119909,0.0,1.0
2023-07-21,29.14,29.66,29.0901,29.54,55404,29.14,29.66,29.0901,29.54,55404,0.0,1.0
2023-07-24,29.31,29.415,28.92,29.27,67224,29.31,29.415,28.92,29.27,67224,0.0,1.0
2023-07-25,29.6303,29.7491,29.4956,29.52,43487,29.6303,29.7491,29.4956,29.52,43487,0.0,1.0
2023-07-26,29.45,29.57,29.1716,29.52,42938,29.45,29.57,29.1716,29.52,42938,0.0,1.0
2023-07-27,29.3,29.9554,29.15,29.92,60811,29.3,29.9554,29.15,29.92,60811,0.0,1.0
2023-07-28,29.95,30.0113,29.63,29.77,60054,29.95,30.0113,29.63,29.77,60054,0.0,1.0
2023-07-31,30.28,30.28,30.02,30.11,47654,30.28,30.28,30.02,30.11,47654,0.0,1.0
2023-08-01,30.36,30.4199,29.96,30.13,44732,30.36,30.4199,29.96,30.13,44732,0.0,1.0
2023-08-02,29.3,29.96,29.0001,29.96,88556,29.3,29.96,29.0001,29.96,88556,0.0,1.0
2023-08-03,29.4,29.59,29.2,29.2,46994,29.4,29.59,29.2,29.2,46994,0.0,1.0
2023-08-04,29.46,29.9297,29.36,29.67,41948,29.46,29.9297,29.36,29.67,41948,0.0,1.0
2023-08-07,29.63,29.72,29.3024,29.68,169493,29.63,29.72,29.3024,29.68,169493,0.0,1.0
2023-08-08,29.21,29.2166,28.88,29.17,71796,29.21,29.2166,28.88,29.17,71796,0.0,1.0
2023-08-09,28.41,29.13,28.25,29.1,99587,28.41,29.13,28.25,29.1,99587,0.0,1.0
2023-08-10,28.45,28.9937,28.3,28.62,60257,28.45,28.9937,28.3,28.62,60257,0.0,1.0
