date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-12-15,25.2681,25.2681,25.1844,25.1844,200,25.2681,25.2681,25.1844,25.1844,200,0.0,1.0
2023-12-18,25.4144,25.49,25.38,25.38,216,25.4144,25.49,25.38,25.38,216,0.0,1.0
2023-12-19,25.5462,25.58,25.5462,25.58,110,25.5462,25.58,25.5462,25.58,110,0.0,1.0
2023-12-20,25.2117,25.66,25.2117,25.54,205,25.2117,25.66,25.2117,25.54,205,0.0,1.0
2023-12-21,25.5122,25.5122,25.41,25.48,205,25.5122,25.5122,25.41,25.48,205,0.0,1.0
2023-12-22,25.4127,25.47,25.4127,25.47,215,25.4127,25.47,25.4127,25.47,215,0.0,1.0
2023-12-26,25.5076,25.54,25.5076,25.54,224,25.5076,25.54,25.5076,25.54,224,0.0,1.0
2023-12-27,25.5091,25.54,25.5091,25.54,226,25.5091,25.54,25.5091,25.54,226,0.0,1.0
2023-12-28,25.4892,25.57,25.4892,25.55,214,25.4892,25.57,25.4892,25.55,214,0.0,1.0
2023-12-29,25.3773,25.45,25.34,25.34,215,25.3773,25.45,25.34,25.34,215,0.0,1.0
2024-01-02,24.7031,25.08,24.66,25.08,218,24.7031,25.08,24.66,25.08,218,0.0,1.0
2024-01-03,24.377,24.56,24.377,24.56,200,24.377,24.56,24.377,24.56,200,0.0,1.0
2024-01-04,24.2633,24.44,24.2633,24.44,504,24.2633,24.44,24.2633,24.44,504,0.0,1.0
2024-01-05,24.297,24.39,24.29,24.29,600,24.297,24.39,24.29,24.29,600,0.0,1.0
2024-01-08,24.935,24.9598,24.65,24.65,600,24.935,24.9598,24.65,24.65,600,0.0,1.0
2024-01-09,25.0877,25.12,24.75,24.75,200,25.0877,25.12,24.75,24.75,200,0.0,1.0
2024-01-10,25.4396,25.4396,25.2,25.2,236,25.4396,25.4396,25.2,25.2,236,0.0,1.0
2024-01-11,25.6263,25.71,25.38,25.71,599,25.6263,25.71,25.38,25.71,599,0.0,1.0
2024-01-12,25.7383,25.78,25.7383,25.76,1035,25.7383,25.78,25.7383,25.76,1035,0.0,1.0
2024-01-16,25.7261,25.7261,25.66,25.66,400,25.7261,25.7261,25.66,25.66,400,0.0,1.0
2024-01-17,25.6171,25.6171,25.59,25.59,100,25.6171,25.6171,25.59,25.59,100,0.0,1.0
2024-01-18,25.8767,26.05,25.87,26.05,200,25.8767,26.05,25.87,26.05,200,0.0,1.0
2024-01-19,26.3268,26.3268,26.07,26.07,994,26.3268,26.3268,26.07,26.07,994,0.0,1.0
2024-01-22,26.6056,26.7,26.6056,26.7,550,26.6056,26.7,26.6056,26.7,550,0.0,1.0
2024-01-23,26.7022,26.71,26.55,26.71,614,26.7022,26.71,26.55,26.71,614,0.0,1.0
2024-01-24,26.8454,27.23,26.8454,27.17,1202,26.8454,27.23,26.8454,27.17,1202,0.0,1.0
2024-01-25,26.8486,27.17,26.8486,27.17,245,26.8486,27.17,26.8486,27.17,245,0.0,1.0
2024-01-26,26.91,26.91,26.85,26.85,103,26.91,26.91,26.85,26.85,103,0.0,1.0
2024-01-29,27.312,27.312,27.0,27.0,203,27.312,27.312,27.0,27.0,203,0.0,1.0
2024-01-30,27.2183,27.34,27.19,27.34,845,27.2183,27.34,27.19,27.34,845,0.0,1.0
2024-01-31,26.5906,26.98,26.5906,26.93,208,26.5906,26.98,26.5906,26.93,208,0.0,1.0
2024-02-01,26.9014,26.9014,26.81,26.81,203,26.9014,26.9014,26.81,26.81,203,0.0,1.0
2024-02-02,27.29,27.3,27.09,27.09,4269,27.29,27.3,27.09,27.09,4269,0.0,1.0
2024-02-05,27.1694,27.25,26.9,27.25,5945,27.1694,27.25,26.9,27.25,5945,0.0,1.0
2024-02-06,27.0066,27.28,27.0,27.28,342,27.0066,27.28,27.0,27.28,342,0.0,1.0
2024-02-07,27.5053,27.51,27.43,27.43,7016,27.5053,27.51,27.43,27.43,7016,0.0,1.0
2024-02-08,27.8022,27.81,27.61,27.61,1923,27.8022,27.81,27.61,27.61,1923,0.0,1.0
2024-02-09,28.2598,28.36,28.02,28.17,7048,28.2598,28.36,28.02,28.17,7048,0.0,1.0
2024-02-12,27.9453,28.24,27.9453,28.24,632,27.9453,28.24,27.9453,28.24,632,0.0,1.0
2024-02-13,27.343,27.36,26.76,27.18,4326,27.343,27.36,26.76,27.18,4326,0.0,1.0
2024-02-14,27.7856,27.7856,27.64,27.64,1381,27.7856,27.7856,27.64,27.64,1381,0.0,1.0
2024-02-15,27.603,27.93,27.5004,27.92,1506,27.603,27.93,27.5004,27.92,1506,0.0,1.0
2024-02-16,27.28,27.69,27.28,27.69,3920,27.28,27.69,27.28,27.69,3920,0.0,1.0
2024-02-20,26.9097,27.11,26.75,27.11,1843,26.9097,27.11,26.75,27.11,1843,0.0,1.0
2024-02-21,26.29,26.29,26.1048,26.17,1056,26.29,26.29,26.1048,26.17,1056,0.0,1.0
2024-02-22,27.0171,27.1,26.9892,27.02,1838,27.0171,27.1,26.9892,27.02,1838,0.0,1.0
2024-02-23,27.09,27.17,27.09,27.17,418,27.09,27.17,27.09,27.17,418,0.0,1.0
2024-02-26,27.181,27.3201,27.181,27.22,446,27.181,27.3201,27.181,27.22,446,0.0,1.0
2024-02-27,27.2262,27.39,27.2262,27.39,4208,27.2262,27.39,27.2262,27.39,4208,0.0,1.0
2024-02-28,27.0858,27.13,27.0858,27.13,503,27.0858,27.13,27.0858,27.13,503,0.0,1.0
2024-02-29,27.2136,27.25,27.13,27.18,534,27.2136,27.25,27.13,27.18,534,0.0,1.0
2024-03-01,27.3419,27.38,27.2699,27.3,763,27.3419,27.38,27.2699,27.3,763,0.0,1.0
2024-03-04,27.16,27.36,27.15,27.36,454,27.16,27.36,27.15,27.36,454,0.0,1.0
2024-03-05,26.2824,26.98,26.13,26.98,4469,26.2824,26.98,26.13,26.98,4469,0.0,1.0
2024-03-06,26.5196,26.9,26.5196,26.9,2205,26.5196,26.9,26.5196,26.9,2205,0.0,1.0
2024-03-07,26.8767,26.8767,26.81,26.81,222,26.8767,26.8767,26.81,26.81,222,0.0,1.0
2024-03-08,26.66,26.92,26.51,26.92,298,26.66,26.92,26.51,26.92,298,0.0,1.0
2024-03-11,26.622,26.63,26.58,26.58,516,26.622,26.63,26.58,26.58,516,0.0,1.0
2024-03-12,27.1425,27.1425,27.0,27.05,727,27.1425,27.1425,27.0,27.05,727,0.0,1.0
2024-03-13,27.0138,27.18,27.0138,27.16,1839,27.0138,27.18,27.0138,27.16,1839,0.0,1.0
2024-03-14,26.9246,27.19,26.9246,27.19,145,26.9246,27.19,26.9246,27.19,145,0.0,1.0
2024-03-15,26.31,26.66,26.3099,26.66,1169,26.31,26.66,26.3099,26.66,1169,0.0,1.0
2024-03-18,26.5459,26.69,26.5459,26.66,706,26.5459,26.69,26.5459,26.66,706,0.0,1.0
2024-03-19,26.7252,26.77,26.5007,26.52,1561,26.7252,26.77,26.5007,26.52,1561,0.0,1.0
2024-03-20,27.0091,27.0091,26.89,26.89,711,27.0091,27.0091,26.89,26.89,711,0.0,1.0
2024-03-21,27.1898,27.41,27.15,27.41,314,27.1898,27.41,27.15,27.41,314,0.0,1.0
2024-03-22,27.1301,27.17,27.1301,27.17,270,27.1301,27.17,27.1301,27.17,270,0.0,1.0
2024-03-25,26.9675,27.06,26.9675,27.06,312,26.9675,27.06,26.9675,27.06,312,0.0,1.0
2024-03-26,27.032,27.22,27.032,27.17,445,27.032,27.22,27.032,27.17,445,0.0,1.0
2024-03-27,26.8921,27.34,26.8921,27.34,102,26.8921,27.34,26.8921,27.34,102,0.0,1.0
2024-03-28,26.9129,26.98,26.9129,26.98,231,26.9129,26.98,26.9129,26.98,231,0.0,1.0
2024-04-01,26.9426,27.05,26.847,27.05,839,26.9426,27.05,26.847,27.05,839,0.0,1.0
2024-04-02,26.6601,26.6601,26.532,26.6,763,26.6601,26.6601,26.532,26.6,763,0.0,1.0
2024-04-03,26.7028,26.7028,26.62,26.62,255,26.7028,26.7028,26.62,26.62,255,0.0,1.0
2024-04-04,26.3683,27.07,26.3683,27.07,460,26.3683,27.07,26.3683,27.07,460,0.0,1.0
