date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-05-22,30.22,30.285,30.1401,30.25,1183119,30.22,30.285,30.1401,30.25,1183119,0.0,1.0
2023-05-23,30.0599,30.1761,29.9495,30.16,279938,30.0599,30.1761,29.9495,30.16,279938,0.0,1.0
2023-05-24,29.9,30.06,29.8001,30.06,172363,29.9,30.06,29.8001,30.06,172363,0.0,1.0
2023-05-25,30.06,30.16,29.895,30.07,413536,30.06,30.16,29.895,30.07,413536,0.0,1.0
2023-05-26,30.3099,30.31,30.05,30.11,449368,30.3099,30.31,30.05,30.11,449368,0.0,1.0
2023-05-30,30.2325,30.37,30.1801,30.37,95722,30.2325,30.37,30.1801,30.37,95722,0.0,1.0
2023-05-31,30.1858,30.22,30.065,30.22,68585,30.1858,30.22,30.065,30.22,68585,0.0,1.0
2023-06-01,30.36,30.4052,30.1001,30.23,65208,30.36,30.4052,30.1001,30.23,65208,0.0,1.0
2023-06-02,30.5448,30.6,30.38,30.39,137238,30.5448,30.6,30.38,30.39,137238,0.0,1.0
2023-06-05,30.526,30.64,30.473,30.64,72800,30.526,30.64,30.473,30.64,72800,0.0,1.0
2023-06-06,30.63,30.8134,30.4949,30.64,1008770,30.63,30.8134,30.4949,30.64,1008770,0.0,1.0
2023-06-07,30.56,30.808,30.45,30.66,40103,30.56,30.808,30.45,30.66,40103,0.0,1.0
2023-06-08,30.68,30.705,30.5,30.66,77226,30.68,30.705,30.5,30.66,77226,0.0,1.0
2023-06-09,30.6562,30.76,30.62,30.73,90669,30.6562,30.76,30.62,30.73,90669,0.0,1.0
2023-06-12,30.7877,30.83,30.62,30.67,179661,30.7877,30.83,30.62,30.67,179661,0.0,1.0
2023-06-13,30.91,31.045,30.81,30.88,89190,30.91,31.045,30.81,30.88,89190,0.0,1.0
2023-06-14,30.91,30.99,30.785,30.93,57475,30.91,30.99,30.785,30.93,57475,0.0,1.0
2023-06-15,31.05,31.11,30.875,30.875,83451,31.05,31.11,30.875,30.875,83451,0.0,1.0
2023-06-16,31.03,31.17,30.9801,31.17,156807,31.03,31.17,30.9801,31.17,156807,0.0,1.0
2023-06-20,30.88,31.0,30.831,31.0,64130,30.88,31.0,30.831,31.0,64130,0.0,1.0
2023-06-21,30.8832,30.94,30.81,30.83,463163,30.8832,30.94,30.81,30.83,463163,0.0,1.0
2023-06-22,30.9279,30.9279,30.81,30.87,12088,30.9279,30.9279,30.81,30.87,12088,0.0,1.0
2023-06-23,30.8507,30.9199,30.806,30.89,9713,30.8507,30.9199,30.806,30.89,9713,0.0,1.0
2023-06-26,30.7951,30.92,30.77,30.89,11761,30.7951,30.92,30.77,30.89,11761,0.0,1.0
2023-06-27,30.96,31.02,30.86,30.86,7993,30.96,31.02,30.86,30.86,7993,0.0,1.0
2023-06-28,30.9611,31.019,30.935,30.96,18252,30.9611,31.019,30.935,30.96,18252,0.0,1.0
2023-06-29,31.0135,31.03,30.9301,31.03,7885,31.0135,31.03,30.9301,31.03,7885,0.0,1.0
2023-06-30,31.237,31.27,31.1,31.1,7832,31.237,31.27,31.1,31.1,7832,0.0,1.0
2023-07-03,31.2311,31.25,31.2311,31.25,400,31.2311,31.25,31.2311,31.25,400,0.0,1.0
2023-07-05,31.2049,31.3,31.1601,31.249,6196,31.2049,31.3,31.1601,31.249,6196,0.0,1.0
2023-07-06,31.0658,31.095,30.9001,30.985,19679,31.0658,31.095,30.9001,30.985,19679,0.0,1.0
2023-07-07,31.0563,31.1688,31.04,31.11,11418,31.0563,31.1688,31.04,31.11,11418,0.0,1.0
2023-07-10,31.0866,31.13,31.04,31.07,11645,31.0866,31.13,31.04,31.07,11645,0.0,1.0
2023-07-11,31.2037,31.21,31.1,31.21,4461,31.2037,31.21,31.1,31.21,4461,0.0,1.0
2023-07-12,31.335,31.42,31.3068,31.42,13696,31.335,31.42,31.3068,31.42,13696,0.0,1.0
2023-07-13,31.47,31.47,31.3401,31.4444,5891,31.47,31.47,31.3401,31.4444,5891,0.0,1.0
2023-07-14,31.4078,31.4699,31.4078,31.43,2762,31.4078,31.4699,31.4078,31.43,2762,0.0,1.0
2023-07-17,31.43,31.49,31.38,31.38,3984,31.43,31.49,31.38,31.38,3984,0.0,1.0
