date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-03-23,61.89,61.89,61.73,61.74,5200,41.0543357386359,41.0543357386359,40.9482007617708,40.9548341978248,5200,0.0,1.0
2007-03-26,62.31,62.31,61.91,61.91,1500,41.3329400529068,41.3329400529068,41.067602610744,41.067602610744,1500,0.0,1.0
2007-03-27,61.79,61.89,61.79,61.87,2500,40.9880013780952,41.0543357386359,40.9880013780952,41.0410688665277,2500,0.0,1.0
2007-03-28,60.73,60.73,60.72,60.72,800,40.2848571563638,40.2848571563638,40.2782237203098,40.2782237203098,800,0.0,1.0
2007-03-29,61.55,61.7,61.11,61.7,3100,40.8287989127975,40.9283004536086,40.5369277264185,40.9283004536086,3100,0.0,1.0
2007-03-30,61.34,61.76,61.16,61.76,1900,40.6894967556621,40.968101069933,40.5700949066888,40.968101069933,1900,0.0,1.0
2007-04-02,61.29,61.29,61.29,61.29,100,40.6563295753917,40.6563295753917,40.6563295753917,40.6563295753917,100,0.0,1.0
2007-04-03,62.36,62.36,62.36,62.36,100,41.3661072331771,41.3661072331771,41.3661072331771,41.3661072331771,100,0.0,1.0
2007-04-04,62.65,62.65,62.65,62.65,100,41.5584768787452,41.5584768787452,41.5584768787452,41.5584768787452,100,0.0,1.0
2007-04-05,62.98,63.02,62.97,63.02,400,41.7773802685294,41.8039140127457,41.7707468324754,41.8039140127457,400,0.0,1.0
2007-04-09,63.52,63.93,63.52,63.93,700,42.1355858154492,42.407556693666,42.1355858154492,42.407556693666,700,0.0,1.0
2007-04-10,63.72,63.72,63.65,63.65,900,42.2682545365306,42.2682545365306,42.2218204841521,42.2218204841521,900,0.0,1.0
2007-04-11,63.65,64.0,63.44,64.0,1600,42.2218204841521,42.4539907460445,42.0825183270166,42.4539907460445,1600,0.0,1.0
2007-04-12,64.34,64.34,63.65,63.65,11000,42.6795275718829,42.6795275718829,42.2218204841521,42.2218204841521,11000,0.0,1.0
2007-04-13,64.14,64.25,64.04,64.25,2900,42.5468588508015,42.6198266473963,42.4805244902608,42.6198266473963,2900,0.0,1.0
2007-04-16,65.25,65.55,65.25,65.35,33800,43.2831702528032,43.4821733344253,43.2831702528032,43.3495046133439,33800,0.0,1.0
2007-04-17,64.69,65.16,64.69,65.16,2800,42.9116978337753,43.2234693283166,42.9116978337753,43.2234693283166,2800,0.0,1.0
2007-04-18,64.76,64.82,64.67,64.67,1400,42.9581318861538,42.9979325024782,42.8984309616672,42.8984309616672,1400,0.0,1.0
2007-04-19,63.61,63.88,63.4,63.4,13700,42.1952867399358,42.3743895133957,42.0559845828004,42.0559845828004,13700,0.0,1.0
2007-04-20,64.68,64.86,64.49,64.7,6700,42.9050643977213,43.0244662466945,42.7790291126939,42.9183312698294,6700,0.0,1.0
