date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-09-17,20.0251,20.09,20.0251,20.08,25793,19.8945257787214,19.9590025964671,19.8945257787214,19.9490678017451,25793,0.0,1.0
2024-09-18,20.0184,20.06,20.0184,20.06,49363,19.8878694662577,19.9291982123012,19.8878694662577,19.9291982123012,49363,0.0,1.0
2024-09-19,20.135,20.41,20.105,20.17,2098,20.0037091727161,20.2769160275706,19.9739047885501,20.038480954243,2098,0.0,1.0
2024-09-20,20.125,20.125,20.09,20.115,1593,19.9937743779941,19.9937743779941,19.9590025964671,19.9838395832721,1593,0.0,1.0
2024-09-23,20.14,20.17,20.14,20.17,1219,20.008676570077,20.038480954243,20.008676570077,20.038480954243,1219,0.0,1.0
2024-09-24,20.16,20.19,20.1341,20.1341,1180,20.028546159521,20.058350543687,20.0028150411911,20.0028150411911,1180,0.0,1.0
2024-09-25,20.15,20.1994,20.15,20.1994,1085,20.018611364799,20.0676892507256,20.018611364799,20.0676892507256,1085,0.0,1.0
2024-09-26,20.1884,20.22,20.1884,20.22,1051,20.0567609765315,20.0881549278529,20.0567609765315,20.0881549278529,1051,0.0,1.0
2024-09-27,20.175,20.23,20.175,20.2077,3156,20.043448351604,20.0980897225749,20.043448351604,20.0759351303449,3156,0.0,1.0
2024-09-30,20.2,20.21,20.18,20.21,1620,20.068285338409,20.0782201331309,20.048415748965,20.0782201331309,1620,0.0,1.0
2024-10-01,20.15,20.2,20.1306,20.1306,4200,20.018611364799,20.068285338409,19.9993378630384,19.9993378630384,4200,0.0,1.0
2024-10-02,20.155,20.19,20.13,20.13,1898,20.02357876216,20.058350543687,19.9987417753551,19.9987417753551,1898,0.0,1.0
2024-10-03,20.1299,20.16,20.1299,20.16,2365,19.9986424274078,20.028546159521,19.9986424274078,20.028546159521,2365,0.0,1.0
2024-10-04,20.1997,20.23,20.1892,20.1892,3073,20.0679872945673,20.0980897225749,20.0575557601092,20.0575557601092,3073,0.0,1.0
2024-10-07,20.1417,20.1884,20.1417,20.1884,1449,20.0103654851798,20.0567609765315,20.0103654851798,20.0567609765315,1449,0.0,1.0
2024-10-08,20.2149,20.25,20.1987,20.1987,1997,20.0830881825447,20.1179593120189,20.0669938150951,20.0669938150951,1997,0.0,1.0
2024-10-09,20.26,20.26,20.25,20.25,1091,20.1278941067409,20.1278941067409,20.1179593120189,20.1179593120189,1091,0.0,1.0
2024-10-10,20.27,20.27,20.265,20.27,1901,20.1378289014628,20.1378289014628,20.1328615041019,20.1378289014628,1901,0.0,1.0
2024-10-11,20.29,20.32,20.28,20.28,1484,20.1576984909068,20.1875028750728,20.1477636961848,20.1477636961848,1484,0.0,1.0
2024-10-14,20.35,20.39,20.34,20.35,2540,20.2173072592387,20.2570464381267,20.2073724645167,20.2173072592387,2540,0.0,1.0
2024-10-15,20.2869,20.36,20.2869,20.36,3160,20.154618704543,20.2272420539607,20.154618704543,20.2272420539607,3160,0.0,1.0
2024-10-16,20.325,20.37,20.32,20.32,3627,20.1924702724338,20.2371768486827,20.1875028750728,20.1875028750728,3627,0.0,1.0
2024-10-17,20.335,20.38,20.335,20.3525,3429,20.2024050671558,20.2471116434047,20.2024050671558,20.2197909579192,3429,0.0,1.0
2024-10-18,20.375,20.4,20.35,20.35,1300,20.2421442460437,20.2669812328487,20.2173072592387,20.2173072592387,1300,0.0,1.0
2024-10-21,20.38,20.39,20.2901,20.32,2458,20.2471116434047,20.2570464381267,20.157797838854,20.1875028750728,2458,0.0,1.0
2024-10-22,20.35,20.37,20.35,20.37,1080,20.2173072592387,20.2371768486827,20.2173072592387,20.2371768486827,1080,0.0,1.0
2024-10-23,20.28,20.29,20.2768,20.2768,6280,20.1477636961848,20.1576984909068,20.1445845618738,20.1445845618738,6280,0.0,1.0
2024-10-24,20.3,20.33,20.3,20.3,2145,20.1676332856288,20.1974376697948,20.1676332856288,20.1676332856288,2145,0.0,1.0
2024-10-25,20.305,20.35,20.305,20.35,1902,20.1726006829898,20.2173072592387,20.1726006829898,20.2173072592387,1902,0.0,1.0
2024-10-28,20.325,20.37,20.325,20.325,1183,20.1924702724338,20.2371768486827,20.1924702724338,20.1924702724338,1183,0.0,1.0
2024-10-29,20.3426,20.3426,20.3342,20.3342,1150,20.2099555111445,20.2099555111445,20.201610283578,20.201610283578,1150,0.0,1.0
2024-10-30,20.3203,20.37,20.32,20.362,2276,20.1878009189144,20.2371768486827,20.1875028750728,20.2292290129051,2276,0.0,1.0
2024-10-31,20.2043,20.25,20.19,20.19,7121,20.0725573001394,20.1179593120189,20.058350543687,20.058350543687,7121,0.0,1.0
2024-11-01,20.2222,20.299,20.2222,20.299,1616,20.0903405826918,20.1666398061566,20.0903405826918,20.1666398061566,1616,0.0,1.0
2024-11-04,20.1955,20.25,20.17,20.249,1423,20.0638146807841,20.1179593120189,20.038480954243,20.1169658325467,1423,0.0,1.0
2024-11-05,20.2762,20.325,20.2762,20.29,13077,20.1439884741905,20.1924702724338,20.1439884741905,20.1576984909068,13077,0.0,1.0
2024-11-06,20.465,20.5,20.4241,20.4241,1195,20.3315573985416,20.3663291800685,20.2909240881286,20.2909240881286,1195,0.0,1.0
2024-11-07,20.576,20.576,20.5224,20.55,1086,20.4418336199556,20.4418336199556,20.3885831202457,20.4160031536784,1086,0.0,1.0
2024-11-08,20.635,20.68,20.61,20.62,1036,20.5004489088153,20.5451554850642,20.4756119220103,20.4855467167323,1036,0.0,1.0
2024-11-11,20.6263,20.68,20.6263,20.68,2000,20.4918056374072,20.5451554850642,20.4918056374072,20.5451554850642,2000,0.0,1.0
2024-11-12,20.6265,20.68,20.6265,20.68,15302,20.4920043333016,20.5451554850642,20.4920043333016,20.5451554850642,15302,0.0,1.0
2024-11-13,20.5924,20.65,20.5924,20.65,2569,20.4581266832996,20.5153511008983,20.4581266832996,20.5153511008983,2569,0.0,1.0
2024-11-14,20.5062,20.61,20.5062,20.61,1025,20.3724887527961,20.4756119220103,20.3724887527961,20.4756119220103,1025,0.0,1.0
2024-11-15,20.3326,20.34,20.32,20.33,2101,20.2000207164225,20.2073724645167,20.1875028750728,20.1974376697948,2101,0.0,1.0
