date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-07-25,50.055,50.055,50.04,50.04,5001,48.7972297243625,48.7972297243625,48.7826066408371,48.7826066408371,5001,0.0,1.0
2024-07-26,50.15,50.15,50.15,50.15,5001,48.8898425866902,48.8898425866902,48.8898425866902,48.8898425866902,5001,0.0,1.0
2024-07-29,50.155,50.18,50.155,50.18,2507,48.8947169478654,48.9190887537411,48.8947169478654,48.9190887537411,2507,0.0,1.0
2024-07-30,50.195,50.195,50.195,50.195,1,48.9337118372665,48.9337118372665,48.9337118372665,48.9337118372665,1,0.0,1.0
2024-07-31,50.25,50.25,50.21,50.21,605,48.9873298101931,48.9873298101931,48.9483349207919,48.9483349207919,605,0.0,1.0
2024-08-01,50.36,50.36,50.34,50.34,367,49.0945657560462,49.0945657560462,49.0750683113457,49.0750683113457,367,0.0,1.0
2024-08-02,50.555,50.555,50.555,50.555,367,49.2846658418768,49.2846658418768,49.2846658418768,49.2846658418768,367,0.0,1.0
2024-08-05,50.69,50.69,50.69,50.69,369,49.4162735936057,49.4162735936057,49.4162735936057,49.4162735936057,369,0.0,1.0
2024-08-06,50.6,50.6,50.58,50.58,300,49.3285350924531,49.3285350924531,49.3090376477526,49.3090376477526,300,0.0,1.0
2024-08-07,50.42,50.55,50.42,50.52,11301,49.153058090148,49.2797914807017,49.153058090148,49.2505453136508,11301,0.0,1.0
2024-08-08,50.35,50.3799,50.35,50.3799,24616,49.084817033696,49.1139657135233,49.084817033696,49.1139657135233,24616,0.0,1.0
2024-08-09,50.475,50.475,50.405,50.41,7710,49.2066760630745,49.2066760630745,49.1384350066225,49.1433093677977,7710,0.0,1.0
2024-08-12,50.435,50.46,50.415,50.415,2515,49.1676811736734,49.1920529795491,49.1481837289728,49.1481837289728,2515,0.0,1.0
2024-08-13,50.6,50.61,50.495,50.53,19659,49.3285350924531,49.3382838148034,49.2261735077751,49.2602940360011,19659,0.0,1.0
2024-08-14,50.585,50.585,50.56,50.56,305,49.3139120089277,49.3139120089277,49.289540203052,49.289540203052,305,0.0,1.0
2024-08-15,50.43,50.43,50.43,50.43,0,49.1628068124983,49.1628068124983,49.1628068124983,49.1628068124983,0,0.0,1.0
2024-08-16,50.565,50.565,50.54,50.54,356,49.2944145642271,49.2944145642271,49.2700427583514,49.2700427583514,356,0.0,1.0
2024-08-19,50.49,50.49,50.49,50.49,122,49.2212991466,49.2212991466,49.2212991466,49.2212991466,122,0.0,1.0
2024-08-20,50.55,50.55,50.55,50.55,574,49.2797914807017,49.2797914807017,49.2797914807017,49.2797914807017,574,0.0,1.0
2024-08-21,50.545,50.545,50.545,50.545,2,49.2749171195266,49.2749171195266,49.2749171195266,49.2749171195266,2,0.0,1.0
2024-08-22,50.54,50.54,50.54,50.54,404,49.2700427583514,49.2700427583514,49.2700427583514,49.2700427583514,404,0.0,1.0
2024-08-23,50.58,50.62,50.5622,50.5622,3466,49.3090376477526,49.3480325371537,49.2916849219691,49.2916849219691,3466,0.0,1.0
2024-08-26,50.635,50.66,50.635,50.66,489,49.3626556206791,49.3870274265549,49.3626556206791,49.3870274265549,489,0.0,1.0
2024-08-27,50.63,50.63,50.63,50.63,489,49.357781259504,49.357781259504,49.357781259504,49.357781259504,489,0.0,1.0
2024-08-28,50.62,50.62,50.61,50.61,1050,49.3480325371537,49.3480325371537,49.3382838148034,49.3382838148034,1050,0.0,1.0
2024-08-29,50.58,50.58,50.57,50.57,985,49.3090376477526,49.3090376477526,49.2992889254023,49.2992889254023,985,0.0,1.0
2024-08-30,50.55,50.55,50.55,50.55,338,49.2797914807017,49.2797914807017,49.2797914807017,49.2797914807017,338,0.0,1.0
2024-09-03,50.48,50.48,50.48,50.48,0,49.3575570388899,49.3575570388899,49.3575570388899,49.3575570388899,0,0.14977,1.0
2024-09-04,50.5,50.5,50.44,50.44,1421,49.3771123309022,49.3771123309022,49.3184464548655,49.3184464548655,1421,0.0,1.0
2024-09-05,50.525,50.55,50.525,50.55,401,49.4015564459175,49.4260005609328,49.4015564459175,49.4260005609328,401,0.0,1.0
2024-09-06,50.6,50.6,50.55,50.56,6358,49.4748887909634,49.4748887909634,49.4260005609328,49.4357782069389,6358,0.0,1.0
2024-09-09,50.66,50.68,50.66,50.68,179,49.5335546670001,49.5531099590123,49.5335546670001,49.5531099590123,179,0.0,1.0
2024-09-10,50.615,50.68,50.58,50.68,35380,49.4895552599726,49.5531099590123,49.4553334989511,49.5531099590123,35380,0.0,1.0
2024-09-11,50.65,50.65,50.62,50.62,1500,49.523777020994,49.523777020994,49.4944440829756,49.4944440829756,1500,0.0,1.0
2024-09-12,50.665,50.665,50.65,50.65,1056,49.5384434900031,49.5384434900031,49.523777020994,49.523777020994,1056,0.0,1.0
2024-09-13,50.725,50.725,50.725,50.725,2,49.5971093660399,49.5971093660399,49.5971093660399,49.5971093660399,2,0.0,1.0
2024-09-16,50.79,50.79,50.77,50.77,1303,49.6606640650796,49.6606640650796,49.6411087730674,49.6411087730674,1303,0.0,1.0
2024-09-17,50.77,50.77,50.74,50.74,375,49.6411087730674,49.6411087730674,49.611775835049,49.611775835049,375,0.0,1.0
2024-09-18,50.72,50.73,50.72,50.73,444,49.5922205430368,49.6019981890429,49.5922205430368,49.6019981890429,444,0.0,1.0
2024-09-19,50.73,50.78,50.73,50.75,892,49.6019981890429,49.6508864190735,49.6019981890429,49.6215534810552,892,0.0,1.0
2024-09-20,50.74,50.74,50.74,50.74,343,49.611775835049,49.611775835049,49.611775835049,49.611775835049,343,0.0,1.0
2024-09-23,50.71,50.71,50.71,50.71,343,49.5824428970307,49.5824428970307,49.5824428970307,49.5824428970307,343,0.0,1.0
2024-09-24,50.715,50.715,50.715,50.715,6,49.5873317200337,49.5873317200337,49.5873317200337,49.5873317200337,6,0.0,1.0
2024-09-25,50.73,50.73,50.73,50.73,406,49.6019981890429,49.6019981890429,49.6019981890429,49.6019981890429,406,0.0,1.0
2024-09-26,50.72,50.78,50.72,50.78,4343,49.5922205430368,49.6508864190735,49.5922205430368,49.6508864190735,4343,0.0,1.0
2024-09-27,50.82,50.82,50.82,50.82,6,49.689997003098,49.689997003098,49.689997003098,49.689997003098,6,0.0,1.0
2024-09-30,50.83,50.83,50.83,50.83,1,49.6997746491041,49.6997746491041,49.6997746491041,49.6997746491041,1,0.0,1.0
2024-10-01,50.77,50.77,50.75,50.75,375,49.7953315835219,49.7953315835219,49.7757155379897,49.7757155379897,375,0.15773,1.0
2024-10-02,50.765,50.79,50.74,50.74,671,49.7904275721389,49.8149476290541,49.7659075152236,49.7659075152236,671,0.0,1.0
2024-10-03,50.815,50.815,50.78,50.78,376,49.8394676859694,49.8394676859694,49.805139606288,49.805139606288,376,0.0,1.0
2024-10-04,50.71,50.7889,50.71,50.75,1610,49.7364834469253,49.8138687465499,49.7364834469253,49.7757155379897,1610,0.0,1.0
2024-10-07,50.59,50.59,50.59,50.59,508,49.618787173732,49.618787173732,49.618787173732,49.618787173732,508,0.0,1.0
2024-10-08,50.61,50.61,50.53,50.53,10058,49.6384032192642,49.6384032192642,49.5599390371354,49.5599390371354,10058,0.0,1.0
2024-10-09,50.49,50.49,50.49,50.49,7,49.5207069460709,49.5207069460709,49.5207069460709,49.5207069460709,7,0.0,1.0
2024-10-10,50.495,50.5,50.495,50.5,1406,49.525610957454,49.5305149688371,49.525610957454,49.5305149688371,1406,0.0,1.0
2024-10-11,50.525,50.525,50.525,50.525,23,49.5550350257523,49.5550350257523,49.5550350257523,49.5550350257523,23,0.0,1.0
2024-10-14,50.46,50.46,50.46,50.46,7,49.4912828777726,49.4912828777726,49.4912828777726,49.4912828777726,7,0.0,1.0
2024-10-15,50.555,50.57,50.555,50.57,300,49.5844590940506,49.5991711281998,49.5844590940506,49.5991711281998,300,0.0,1.0
2024-10-16,50.63,50.63,50.63,50.63,382,49.6580192647964,49.6580192647964,49.6580192647964,49.6580192647964,382,0.0,1.0
2024-10-17,50.59,50.59,50.5699,50.57,2920,49.618787173732,49.618787173732,49.5990730479721,49.5991711281998,2920,0.0,1.0
2024-10-18,50.615,50.615,50.615,50.615,99,49.6433072306473,49.6433072306473,49.6433072306473,49.6433072306473,99,0.0,1.0
2024-10-21,50.53,50.53,50.53,50.53,300,49.5599390371354,49.5599390371354,49.5599390371354,49.5599390371354,300,0.0,1.0
2024-10-22,50.41,50.41,50.41,50.41,300,49.4422427639421,49.4422427639421,49.4422427639421,49.4422427639421,300,0.0,1.0
2024-10-23,50.21,50.28,50.21,50.25,3004,49.24608230862,49.3147384679827,49.24608230862,49.2853143996844,3004,0.0,1.0
2024-10-24,50.105,50.105,50.07,50.07,117,49.1430980695758,49.1430980695758,49.1087699898945,49.1087699898945,117,0.0,1.0
2024-10-25,50.23,50.23,50.2104,50.23,1318,49.2656983541522,49.2656983541522,49.2464746295306,49.2656983541522,1318,0.0,1.0
2024-10-28,50.255,50.255,50.255,50.255,0,49.2902184110674,49.2902184110674,49.2902184110674,49.2902184110674,0,0.0,1.0
2024-10-29,50.23,50.23,50.21,50.21,1880,49.2656983541522,49.2656983541522,49.24608230862,49.24608230862,1880,0.0,1.0
2024-10-30,50.1758,50.1758,49.65,49.65,214,49.2125388707599,49.2125388707599,48.696833033718,48.696833033718,214,0.0,1.0
2024-10-31,50.2748,50.2748,50.2748,50.2748,214,49.3096382961443,49.3096382961443,49.3096382961443,49.3096382961443,214,0.0,1.0
2024-11-01,50.04,50.17,50.04,50.17,117,49.2189533176489,49.3468203026868,49.2189533176489,49.3468203026868,117,0.14234,1.0
