date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-11-20,30.82,30.85,30.67,30.72,1729514,30.82,30.85,30.67,30.72,1729514,0.0,1.0
2023-11-21,30.8115,30.92,30.71,30.92,1146882,30.8115,30.92,30.71,30.92,1146882,0.0,1.0
2023-11-22,30.8634,30.99,30.8243,30.99,418500,30.8634,30.99,30.8243,30.99,418500,0.0,1.0
2023-11-24,30.86,30.9,30.85,30.9,17248,30.86,30.9,30.85,30.9,17248,0.0,1.0
2023-11-27,30.87,30.91,30.81,30.9,135316,30.87,30.91,30.81,30.9,135316,0.0,1.0
2023-11-28,30.9,31.07,30.8,30.96,198181,30.9,31.07,30.8,30.96,198181,0.0,1.0
2023-11-29,30.87,31.0,30.8384,30.95,83505,30.87,31.0,30.8384,30.95,83505,0.0,1.0
2023-11-30,30.95,30.95,30.8041,30.89,501867,30.95,30.95,30.8041,30.89,501867,0.0,1.0
2023-12-01,31.035,31.07,30.86,30.9599,150166,31.035,31.07,30.86,30.9599,150166,0.0,1.0
2023-12-04,30.97,31.09,30.821,30.95,245548,30.97,31.09,30.821,30.95,245548,0.0,1.0
2023-12-05,30.97,31.03,30.8704,31.03,166424,30.97,31.03,30.8704,31.03,166424,0.0,1.0
2023-12-06,30.83,31.07,30.83,31.07,259766,30.83,31.07,30.83,31.07,259766,0.0,1.0
2023-12-07,31.025,31.0396,30.929,31.0,72618,31.025,31.0396,30.929,31.0,72618,0.0,1.0
2023-12-08,31.1184,31.13,30.9801,31.0,84513,31.1184,31.13,30.9801,31.0,84513,0.0,1.0
2023-12-11,31.16,31.16,31.06,31.09,35987,31.16,31.16,31.06,31.09,35987,0.0,1.0
2023-12-12,31.23,31.2393,31.07,31.14,51585,31.23,31.2393,31.07,31.14,51585,0.0,1.0
2023-12-13,31.4186,31.519,31.22,31.29,85471,31.4186,31.519,31.22,31.29,85471,0.0,1.0
2023-12-14,31.4766,31.7,31.3848,31.54,93113,31.4766,31.7,31.3848,31.54,93113,0.0,1.0
2023-12-15,31.52,31.53,31.45,31.4813,38045,31.52,31.53,31.45,31.4813,38045,0.0,1.0
2023-12-18,31.56,31.58,31.4901,31.56,50206,31.56,31.58,31.4901,31.56,50206,0.0,1.0
2023-12-19,31.62,31.62,31.575,31.61,28160,31.62,31.62,31.575,31.61,28160,0.0,1.0
2023-12-20,31.42,31.65,31.4,31.51,50629,31.42,31.65,31.4,31.51,50629,0.0,1.0
