date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-11,24.9398,25.37,24.9398,25.37,194,21.5888399115028,21.9612374018567,21.5888399115028,21.9612374018567,194,0.0,1.0
2024-01-12,25.1682,25.25,25.1682,25.25,475,21.7865516427832,21.8573608355097,21.7865516427832,21.8573608355097,475,0.0,1.0
2024-01-16,25.0566,25.6286,24.97,25.6286,1036,21.6899464360805,22.1850914023344,21.6149821807001,22.1850914023344,1036,0.0,1.0
2024-01-17,24.689,24.689,24.65,24.65,512,21.3717378878376,21.3717378878376,21.3379780037748,21.3379780037748,512,0.0,1.0
2024-01-18,25.3552,25.47,25.07,25.19,6391,21.9484259586739,22.0478012071458,21.7015459859892,21.8054225523362,6391,0.0,1.0
2024-01-19,26.366,26.366,25.91,25.91,851,22.8234129025366,22.8234129025366,22.4286819504181,22.4286819504181,851,0.0,1.0
2024-01-22,26.25,27.01,26.25,26.95,9885,22.7229988884012,23.3808838085987,22.7229988884012,23.3289455254252,9885,0.0,1.0
2024-01-23,26.66,26.66,26.559,26.58,3632,23.0779104900867,23.0779104900867,22.9904810467446,23.0086594458554,3632,0.0,1.0
2024-01-24,27.1876,27.63,27.13,27.13,10614,23.5346211267922,23.9175794013914,23.4847603749457,23.4847603749457,10614,0.0,1.0
2024-01-25,28.32,28.79,27.71,27.72,13917,24.5148696578865,24.9217195427455,23.9868304456227,23.9954868261516,13917,0.0,1.0
2024-01-26,28.5,28.52,28.12,28.19,22442,24.670684507407,24.6879972684648,24.3417420473082,24.4023367110106,22442,0.0,1.0
2024-01-29,28.76,28.86,28.13,28.35,39519,24.8957504011588,24.9823142064479,24.3503984278371,24.5408387994733,39519,0.0,1.0
2024-01-30,28.0511,28.6294,28.03,28.54,19610,24.282099585464,24.7826980714511,24.263834622548,24.7053100295226,19610,0.0,1.0
2024-01-31,24.02,25.24,23.95,25.2,35908,20.7926260304532,21.8487044549808,20.7320313667508,21.8140789328651,35908,0.0,1.0
2024-02-01,24.2623,24.76,24.18,24.75,35918,21.0023701306688,21.4331981895929,20.9311281189158,21.424541809064,35918,0.0,1.0
2024-02-02,24.5344,24.66,22.8,23.82,23763,21.2379102448606,21.3466343843037,19.7365476059256,20.6194984198749,23763,0.0,1.0
2024-02-05,25.1,25.57,24.93,25.31,14269,21.727515127576,22.134365012435,21.5803566585844,21.9092991186832,14269,0.0,1.0
2024-02-06,25.1406,25.4,24.87,25.4,5229,21.7626600325234,21.9872065434434,21.5284183754109,21.9872065434434,5229,0.0,1.0
2024-02-07,25.6,25.7,25.26,25.26,10932,22.1603341540217,22.2468979593109,21.8660172160386,21.8660172160386,10932,0.0,1.0
2024-02-08,25.722,25.939,25.47,25.93,17349,22.2659419964745,22.4537854539519,22.0478012071458,22.4459947114759,17349,0.0,1.0
2024-02-09,26.7818,26.969,25.969,26.13,14980,23.1833452049289,23.3453926484301,22.4797545955387,22.6191223220542,14980,0.0,1.0
2024-02-12,26.2332,26.7339,26.2332,26.45,7166,22.7084561691126,23.1418811421953,22.7084561691126,22.8961264989795,7166,0.0,1.0
2024-02-13,25.3879,25.8499,24.98,24.98,7244,21.9767323230034,22.3766571034393,21.623638561229,21.623638561229,7244,0.0,1.0
2024-02-14,25.675,25.675,25.3,25.561,3628,22.2252570079886,22.2252570079886,21.9006427381543,22.1265742699589,3628,0.0,1.0
2024-02-15,24.55,24.71,24.05,24.55,15002,21.2514141984857,21.3899162869483,20.8185951720399,21.2514141984857,15002,0.0,1.0
2024-02-16,23.819,24.41,23.75,24.41,8698,20.618632781822,21.1302248710809,20.5589037561725,21.1302248710809,8698,0.0,1.0
2024-02-20,23.84,24.0028,23.71,23.8,7588,20.6368111809327,20.7777370559434,20.5242782340568,20.6021856588171,7588,0.0,1.0
2024-02-21,24.4398,24.4398,23.8809,23.8809,11360,21.156020885057,21.156020885057,20.672215777296,20.672215777296,11360,0.0,1.0
2024-02-22,24.9308,24.995,24.7299,24.93,9777,21.5810491690267,21.6366231320224,21.4071424842008,21.5803566585844,9777,0.0,1.0
2024-02-23,24.9401,25.1292,24.75,25.1292,7359,21.5890996029186,21.7527917587204,21.424541809064,21.7527917587204,7359,0.0,1.0
2024-02-26,22.7,24.3,22.7,24.3,52142,19.6499838006364,21.0350046852628,19.6499838006364,21.0350046852628,52142,0.0,1.0
2024-02-27,23.09,23.19,22.57,22.95,23773,19.9875826412641,20.0741464465533,19.5374508537605,19.8663933138593,23773,0.0,1.0
2024-02-28,22.17,22.81,21.95,22.81,25494,19.191195632604,19.7452039864545,19.0007552609678,19.7452039864545,25494,0.0,1.0
2024-02-29,22.7501,22.878,22.34,22.46,16087,19.6933522670863,19.8040673740511,19.3383541015955,19.4422306679425,16087,0.0,1.0
2024-03-01,22.3701,22.79,22.3701,22.76,11237,19.3644098069875,19.7278912253967,19.3644098069875,19.7019220838099,11237,0.0,1.0
2024-03-04,21.075,21.61,20.67,21.61,37390,18.2433219646878,18.7064383229847,17.8927385532667,18.7064383229847,37390,0.0,1.0
2024-03-05,20.9119,21.0089,20.29,20.88,20270,18.1021363982612,18.1861032893917,17.563796093168,18.074522544374,20270,0.0,1.0
2024-03-06,20.5557,21.21,20.4,21.17,22574,17.7937961238213,18.3601831018281,17.659016278986,18.3255575797125,22574,0.0,1.0
2024-03-07,21.4,21.57,20.58,20.85,69269,18.5246543318775,18.6718128008691,17.8148311285065,18.0485534027872,69269,0.0,1.0
2024-03-08,21.7521,22.5,21.44,21.44,33569,18.8294454903006,19.4768561900581,18.5592798539932,18.5592798539932,33569,0.0,1.0
2024-03-11,22.56,22.85,21.99,21.99,81599,19.5287944732316,19.7798295085702,19.0353807830835,19.0353807830835,81599,0.0,1.0
2024-03-12,22.8,22.935,22.4,22.4,18974,19.7365476059256,19.8534087430659,19.390292384769,19.390292384769,18974,0.0,1.0
2024-03-13,23.12,23.48,23.09,23.191,18696,20.0135517828509,20.3251814818918,19.9875826412641,20.0750120846062,18696,0.0,1.0
2024-03-14,24.26,24.34,23.5,23.68,28263,21.0003791631471,21.0696302073785,20.3424942429496,20.4983090924701,28263,0.0,1.0
2024-03-15,23.5436,24.29,23.19,24.29,35990,20.3802360620557,21.0263483047339,20.0741464465533,21.0263483047339,35990,0.0,1.0
2024-03-18,25.62,26.9583,25.5,26.05,42626,22.1776469150795,23.3361303212642,22.0737703487326,22.5498712778229,42626,0.0,1.0
2024-03-19,25.41,25.77,25.101,25.67,20748,21.9958629239723,22.3074926230133,21.7283807656289,22.2209288177241,20748,0.0,1.0
2024-03-20,25.94,26.02,25.33,25.78,40563,22.4546510920048,22.5239021362361,21.926611879741,22.3161490035422,40563,0.0,1.0
2024-03-21,25.67,26.34,25.461,26.12,14889,22.2209288177241,22.8009063131614,22.0400104646698,22.6104659415253,14889,0.0,1.0
2024-03-22,26.73,26.97,26.12,26.3,81474,23.1385051537891,23.346258286483,22.6104659415253,22.7662807910457,81474,0.0,1.0
