date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-10-17,20.05,20.09,20.0399,20.09,104150,20.005241503978,20.0451522102204,19.9951640506518,20.0451522102204,104150,0.0,1.0
2017-10-18,20.0248,20.1,20.0248,20.1,818,19.9800977590453,20.055129886781,19.9800977590453,20.055129886781,818,0.0,1.0
2017-10-19,19.81,19.81,19.8,19.8,2130,19.7657772665239,19.7657772665239,19.7557995899633,19.7557995899633,2130,0.0,1.0
2017-10-20,20.0699,20.0699,20.0299,20.0299,425,20.0250970803336,20.0250970803336,19.9851863740912,19.9851863740912,425,0.0,1.0
2017-10-23,19.87,19.97,19.87,19.97,488,19.8256433258875,19.9254200914933,19.8256433258875,19.9254200914933,488,0.0,1.0
2017-10-24,19.97,19.99,19.95,19.99,711,19.9254200914933,19.9453754446145,19.9054647383722,19.9453754446145,711,0.0,1.0
2017-10-25,19.73,19.89,19.73,19.89,229,19.6859558540392,19.8455986790086,19.6859558540392,19.8455986790086,229,0.0,1.0
2017-10-26,19.8999,19.8999,19.8224,19.8224,453,19.8554765788036,19.8554765788036,19.7781495854591,19.7781495854591,453,0.0,1.0
2017-10-27,20.1,20.1,20.1,20.1,125,20.055129886781,20.055129886781,20.055129886781,20.055129886781,125,0.0,1.0
2017-10-30,19.92,19.92,19.92,19.92,150,19.8755317086904,19.8755317086904,19.8755317086904,19.8755317086904,150,0.0,1.0
2017-10-31,19.9348,19.9348,19.9348,19.9348,101,19.8902986700001,19.8902986700001,19.8902986700001,19.8902986700001,101,0.0,1.0
2017-11-01,20.005,20.19,20.005,20.19,367,19.9603419594554,20.1449289758263,19.9603419594554,20.1449289758263,367,0.0,1.0
2017-11-02,20.1099,20.1099,20.1099,20.1099,175,20.0650077865759,20.0650077865759,20.0650077865759,20.0650077865759,175,0.0,1.0
2017-11-03,20.41,20.41,20.41,20.41,69,20.3644378601592,20.3644378601592,20.3644378601592,20.3644378601592,69,0.0,1.0
2017-11-06,20.22,20.22,20.22,20.22,100,20.174862005508,20.174862005508,20.174862005508,20.174862005508,100,0.0,1.0
2017-11-07,20.22,20.22,20.22,20.22,310,20.174862005508,20.174862005508,20.174862005508,20.174862005508,310,0.0,1.0
2017-11-08,20.1,20.1,20.1,20.1,161,20.055129886781,20.055129886781,20.055129886781,20.055129886781,161,0.0,1.0
2017-11-09,20.1,20.1,20.1,20.1,100,20.055129886781,20.055129886781,20.055129886781,20.055129886781,100,0.0,1.0
2017-11-10,20.1,20.1,20.1,20.1,4,20.055129886781,20.055129886781,20.055129886781,20.055129886781,4,0.0,1.0
2017-11-13,19.9668,19.9668,19.9401,19.9636,3130,19.9222272349939,19.9222272349939,19.8955868385772,19.9190343784946,3130,0.0,1.0
2017-11-14,19.9668,19.9668,19.9668,19.9668,27,19.9222272349939,19.9222272349939,19.9222272349939,19.9222272349939,27,0.0,1.0
2017-11-15,19.9668,19.9668,19.9668,19.9668,25,19.9222272349939,19.9222272349939,19.9222272349939,19.9222272349939,25,0.0,1.0
2017-11-16,19.9668,19.9668,19.9668,19.9668,100,19.9222272349939,19.9222272349939,19.9222272349939,19.9222272349939,100,0.0,1.0
2017-11-17,19.825,19.825,19.825,19.825,700,19.7807437813648,19.7807437813648,19.7807437813648,19.7807437813648,700,0.0,1.0
2017-11-20,19.979,19.979,19.979,19.979,100,19.9344000003979,19.9344000003979,19.9344000003979,19.9344000003979,100,0.0,1.0
2017-11-21,19.979,19.979,19.979,19.979,100,19.9344000003979,19.9344000003979,19.9344000003979,19.9344000003979,100,0.0,1.0
2017-11-22,19.76,19.76,19.76,19.76,20,19.715888883721,19.715888883721,19.715888883721,19.715888883721,20,0.0,1.0
2017-11-24,19.76,19.76,19.76,19.76,100,19.715888883721,19.715888883721,19.715888883721,19.715888883721,100,0.0,1.0
2017-11-27,19.76,19.76,19.76,19.76,74,19.715888883721,19.715888883721,19.715888883721,19.715888883721,74,0.0,1.0
2017-11-28,19.76,19.76,19.76,19.76,100,19.715888883721,19.715888883721,19.715888883721,19.715888883721,100,0.0,1.0
2017-11-29,20.3681,20.3681,20.3681,20.3681,112,20.3226313953703,20.3226313953703,20.3226313953703,20.3226313953703,112,0.0,1.0
2017-11-30,20.76,20.76,20.76,20.76,51,20.7136565397797,20.7136565397797,20.7136565397797,20.7136565397797,51,0.0,1.0
2017-12-01,20.76,20.76,20.76,20.76,100,20.7136565397797,20.7136565397797,20.7136565397797,20.7136565397797,100,0.0,1.0
2017-12-04,20.76,20.9269,20.76,20.91,6329,20.7136565397797,20.8801839615759,20.7136565397797,20.8633216881886,6329,0.0,1.0
2017-12-05,20.6147,20.6147,20.59,20.59,200,20.5686808993544,20.5686808993544,20.5440360382498,20.5440360382498,200,0.0,1.0
2017-12-06,20.34,20.34,20.34,20.34,400,20.2945941242351,20.2945941242351,20.2945941242351,20.2945941242351,400,0.0,1.0
2017-12-07,20.63,20.63,20.63,20.63,1531,20.5839467444921,20.5839467444921,20.5839467444921,20.5839467444921,1531,0.0,1.0
2017-12-08,20.78,20.78,20.78,20.78,967,20.7336118929009,20.7336118929009,20.7336118929009,20.7336118929009,967,0.0,1.0
2017-12-11,20.69,20.9,20.69,20.9,3309,20.6438128038556,20.853344011628,20.6438128038556,20.853344011628,3309,0.0,1.0
2017-12-12,20.5901,20.5901,20.5901,20.5901,9600,20.5441358150154,20.5441358150154,20.5441358150154,20.5441358150154,9600,0.0,1.0
2017-12-13,20.77,20.77,20.77,20.77,500,20.7236342163403,20.7236342163403,20.7236342163403,20.7236342163403,500,0.0,1.0
2017-12-14,20.77,20.77,20.77,20.77,9000,20.7236342163403,20.7236342163403,20.7236342163403,20.7236342163403,9000,0.0,1.0
2017-12-15,20.7699,20.7699,20.7699,20.7699,22,20.7235344395747,20.7235344395747,20.7235344395747,20.7235344395747,22,0.0,1.0
2017-12-18,20.9975,21.0,20.9342,20.9342,1908,20.9506263580937,20.9531207772338,20.8874676654652,20.8874676654652,1908,0.0,1.0
2017-12-19,20.93,22.24,20.93,22.24,813,20.8832770413097,22.1903526707467,20.8832770413097,22.1903526707467,813,0.0,1.0
2017-12-20,21.0699,21.0799,21.0699,21.0799,1104,21.0228647363924,21.0328424129529,21.0228647363924,21.0328424129529,1104,0.0,1.0
2017-12-21,21.39,21.39,21.35,21.36,804,21.3422501630968,21.3422501630968,21.3023394568544,21.312317133415,804,0.0,1.0
2017-12-22,21.271,21.271,21.271,21.271,1262,21.2235158120258,21.2235158120258,21.2235158120258,21.2235158120258,1262,0.0,1.0
2017-12-26,21.37,21.37,21.335,21.335,609,21.3222948099756,21.3222948099756,21.2873729420135,21.2873729420135,609,0.0,1.0
2017-12-27,21.35,21.3724,21.35,21.3724,1080,21.3406437571705,21.3630339407846,21.3406437571705,21.3630339407846,1080,0.03839,1.0
2017-12-28,21.44,21.44,21.44,21.44,229,21.4306043163342,21.4306043163342,21.4306043163342,21.4306043163342,229,0.0,1.0
2017-12-29,21.4799,21.48,21.39,21.43,3178,21.4704868308968,21.4705867870736,21.3806262279099,21.4206086986494,3178,0.0,1.0
2018-01-02,21.4661,21.52,21.4447,21.4597,3077,21.4566928784917,21.5105692578131,21.4353022566461,21.4502956831734,3077,0.0,1.0
2018-01-03,21.6598,21.75,21.5498,21.73,1575,21.6503079930474,21.7404684645648,21.540356198514,21.7204772291951,1575,0.0,1.0
2018-01-04,21.6598,21.6598,21.6598,21.6598,27,21.6503079930474,21.6503079930474,21.6503079930474,21.6503079930474,27,0.0,1.0
2018-01-05,21.8,21.8,21.6498,21.7403,3099,21.7904465529891,21.7904465529891,21.6403123753625,21.7307727154105,3099,0.0,1.0
2018-01-08,21.915,22.0,21.915,21.95,1158,21.9053961563649,21.9903589066862,21.9053961563649,21.9403808182619,1158,0.0,1.0
2018-01-09,21.858,22.09,21.858,22.09,2416,21.8484211355613,22.0803194658499,21.8484211355613,22.0803194658499,2416,0.0,1.0
2018-01-10,21.858,21.858,21.858,21.858,71,21.8484211355613,21.8484211355613,21.8484211355613,21.8484211355613,71,0.0,1.0
2018-01-11,22.09,22.1948,22.09,22.1488,700,22.0803194658499,22.1850735391873,22.0803194658499,22.1390936978369,700,0.0,1.0
2018-01-12,22.25,22.25,22.25,22.25,250,22.2402493488077,22.2402493488077,22.2402493488077,22.2402493488077,250,0.0,1.0
2018-01-16,22.1005,22.1005,22.1,22.1,1019,22.0908148644191,22.0908148644191,22.0903150835348,22.0903150835348,1019,0.0,1.0
2018-01-17,22.1042,22.1042,22.06,22.06,1004,22.0945132429624,22.0945132429624,22.0503326127954,22.0503326127954,1004,0.0,1.0
2018-01-18,22.04,22.06,22.04,22.06,753,22.0303413774257,22.0503326127954,22.0303413774257,22.0503326127954,753,0.0,1.0
2018-01-19,22.1213,22.185,22.1201,22.1201,1346,22.1116057492036,22.1752778338561,22.1104062750814,22.1104062750814,1346,0.0,1.0
2018-01-22,22.27,22.27,22.25,22.25,1357,22.2602405841774,22.2602405841774,22.2402493488077,22.2402493488077,1357,0.0,1.0
2018-01-23,22.25,22.25,22.25,22.25,655,22.2402493488077,22.2402493488077,22.2402493488077,22.2402493488077,655,0.0,1.0
2018-01-24,22.7111,22.72,22.64,22.64,4074,22.7011472802564,22.710043379996,22.6300784385171,22.6300784385171,4074,0.0,1.0
2018-01-25,22.59,22.96,22.41,22.96,4200,22.5801003500928,22.9499382044325,22.4001792317654,22.9499382044325,4200,0.0,1.0
2018-01-26,22.59,22.59,22.59,22.59,100,22.5801003500928,22.5801003500928,22.5801003500928,22.5801003500928,100,0.0,1.0
2018-01-29,22.59,22.59,22.59,22.59,0,22.5801003500928,22.5801003500928,22.5801003500928,22.5801003500928,0,0.0,1.0
2018-01-30,22.47,22.47,22.41,22.41,535,22.4601529378745,22.4601529378745,22.4001792317654,22.4001792317654,535,0.0,1.0
2018-01-31,22.4108,22.4148,22.41,22.41,650,22.4009788811802,22.4049771282541,22.4001792317654,22.4001792317654,650,0.0,1.0
2018-02-01,22.54,22.54,22.54,22.54,200,22.5301222616685,22.5301222616685,22.5301222616685,22.5301222616685,200,0.0,1.0
2018-02-02,21.77,22.0415,21.77,22.04,1489,21.7604596999345,22.0318407200784,21.7604596999345,22.0303413774257,1489,0.0,1.0
2018-02-05,21.0,21.0,21.0,21.0,150,20.9907971382005,20.9907971382005,20.9907971382005,20.9907971382005,150,0.0,1.0
2018-02-06,21.16,21.1601,20.49,20.49,2852,21.1507270211582,21.1508269773351,20.4810206362728,20.4810206362728,2852,0.0,1.0
2018-02-07,21.4698,21.545,21.4698,21.545,661,21.4603912570351,21.5355583020252,21.4603912570351,21.5355583020252,661,0.0,1.0
2018-02-08,20.87,21.76,20.87,21.76,898,20.8608541082973,21.7504640822497,20.8608541082973,21.7504640822497,898,0.0,1.0
2018-02-09,20.47,20.47,20.47,20.47,200,20.4610294009031,20.4610294009031,20.4610294009031,20.4610294009031,200,0.0,1.0
2018-02-12,20.909,20.909,20.909,20.909,200,20.8998370172683,20.8998370172683,20.8998370172683,20.8998370172683,200,0.0,1.0
2018-02-13,20.9087,20.9087,20.9087,20.9087,30,20.8995371487377,20.8995371487377,20.8995371487377,20.8995371487377,30,0.0,1.0
2018-02-14,21.73,21.7402,21.46,21.52,3573,21.7204772291951,21.7306727592336,21.4505955517039,21.5105692578131,3573,0.0,1.0
2018-02-15,22.32,22.32,22.32,22.32,17,22.3102186726017,22.3102186726017,22.3102186726017,22.3102186726017,17,0.0,1.0
2018-02-16,22.066,22.46,22.066,22.46,276,22.0563299834063,22.4501573201897,22.0563299834063,22.4501573201897,276,0.0,1.0
2018-02-20,22.1943,22.1943,22.15,22.15,400,22.184573758303,22.184573758303,22.1402931719591,22.1402931719591,400,0.0,1.0
2018-02-21,22.196,22.196,22.196,22.196,300,22.1862730133094,22.1862730133094,22.1862730133094,22.1862730133094,300,0.0,1.0
2018-02-22,22.1959,22.1959,22.1959,22.1959,0,22.1861730571326,22.1861730571326,22.1861730571326,22.1861730571326,0,0.0,1.0
2018-02-23,22.1959,22.1959,22.1959,22.1959,0,22.1861730571326,22.1861730571326,22.1861730571326,22.1861730571326,0,0.0,1.0
2018-02-26,22.1242,22.1242,22.1242,22.1242,400,22.1145044783322,22.1145044783322,22.1145044783322,22.1145044783322,400,0.0,1.0
2018-02-27,22.35,22.35,22.35,22.35,100,22.3402055256562,22.3402055256562,22.3402055256562,22.3402055256562,100,0.0,1.0
2018-02-28,21.85,22.18,21.85,22.0098,9480,21.8404246414134,22.1702800250137,21.8404246414134,22.0001546120174,9480,0.0,1.0
2018-03-01,21.7,21.99,21.7,21.9,625,21.6904903761405,21.9803632890014,21.6904903761405,21.8904027298377,625,0.0,1.0
2018-03-02,21.8765,21.8765,21.8765,21.8765,129,21.8669130282782,21.8669130282782,21.8669130282782,21.8669130282782,129,0.0,1.0
2018-03-05,22.214,22.24,21.843,21.87,4739,22.2042651251422,22.2302537311228,21.833427709034,21.8604158767831,4739,0.0,1.0
2018-03-06,22.36,22.4,22.36,22.3696,2750,22.3502011433411,22.3901836140805,22.3502011433411,22.3597969363186,2750,0.0,1.0
2018-03-07,22.38,22.38,22.3,22.3,252,22.3701923787108,22.3701923787108,22.290227437232,22.290227437232,252,0.0,1.0
2018-03-08,22.38,22.38,22.38,22.38,100,22.3701923787108,22.3701923787108,22.3701923787108,22.3701923787108,100,0.0,1.0
2018-03-09,22.7,22.78,22.4,22.4,5149,22.6900521446263,22.7700170861051,22.3901836140805,22.3901836140805,5149,0.0,1.0
2018-03-12,22.7662,22.7802,22.7662,22.7802,1689,22.7562231337,22.7702169984588,22.7562231337,22.7702169984588,1689,0.0,1.0
2018-03-13,22.75,22.7923,22.75,22.7923,600,22.7400302330505,22.7823116958575,22.7400302330505,22.7823116958575,600,0.0,1.0
2018-03-14,22.75,22.75,22.75,22.75,0,22.7400302330505,22.7400302330505,22.7400302330505,22.7400302330505,0,0.0,1.0
2018-03-15,22.33,22.34,22.33,22.34,451,22.3202142902865,22.3302099079714,22.3202142902865,22.3302099079714,451,0.0,1.0
2018-03-16,22.33,22.33,22.33,22.33,0,22.3202142902865,22.3202142902865,22.3202142902865,22.3202142902865,0,0.0,1.0
2018-03-19,22.33,22.33,22.33,22.33,1,22.3202142902865,22.3202142902865,22.3202142902865,22.3202142902865,1,0.0,1.0
2018-03-20,22.33,22.33,22.33,22.33,0,22.3202142902865,22.3202142902865,22.3202142902865,22.3202142902865,0,0.0,1.0
2018-03-21,22.33,22.45,22.33,22.335,3865,22.33,22.45,22.33,22.335,3865,0.00979,1.0
2018-03-22,22.0752,22.26,21.935,22.26,534,22.0752,22.26,21.935,22.26,534,0.0,1.0
2018-03-23,21.4,22.0,21.4,22.0,942,21.4,22.0,21.4,22.0,942,0.0,1.0
2018-03-26,21.55,21.6602,21.55,21.6602,1076,21.55,21.6602,21.55,21.6602,1076,0.0,1.0
2018-03-27,21.78,21.78,21.78,21.78,394,21.78,21.78,21.78,21.78,394,0.0,1.0
2018-03-28,21.3552,21.3855,21.3552,21.38,583,21.3552,21.3855,21.3552,21.38,583,0.0,1.0
2018-03-29,21.632,21.632,21.632,21.632,123,21.632,21.632,21.632,21.632,123,0.0,1.0
2018-04-02,21.64,21.64,21.64,21.64,300,21.64,21.64,21.64,21.64,300,0.0,1.0
2018-04-03,21.64,21.64,21.64,21.64,52,21.64,21.64,21.64,21.64,52,0.0,1.0
2018-04-04,21.4402,21.4402,21.42,21.42,508,21.4402,21.4402,21.42,21.42,508,0.0,1.0
2018-04-05,21.995,21.995,21.995,21.995,76,21.995,21.995,21.995,21.995,76,0.0,1.0
2018-04-06,21.55,21.7552,21.55,21.7552,200,21.55,21.7552,21.55,21.7552,200,0.0,1.0
2018-04-09,21.75,22.03,21.75,22.03,402,21.75,22.03,21.75,22.03,402,0.0,1.0
2018-04-10,21.84,21.84,21.84,21.84,100,21.84,21.84,21.84,21.84,100,0.0,1.0
2018-04-11,21.9066,21.9099,21.8995,21.8995,2204,21.9066,21.9099,21.8995,21.8995,2204,0.0,1.0
2018-04-12,22.1,22.1,22.01,22.0127,500,22.1,22.1,22.01,22.0127,500,0.0,1.0
2018-04-13,21.9599,21.9599,21.94,21.94,400,21.9599,21.9599,21.94,21.94,400,0.0,1.0
2018-04-16,22.052,22.052,22.052,22.052,452,22.052,22.052,22.052,22.052,452,0.0,1.0
2018-04-17,22.37,22.51,22.37,22.47,2825,22.37,22.51,22.37,22.47,2825,0.0,1.0
2018-04-18,22.49,22.5301,22.38,22.38,1151,22.49,22.5301,22.38,22.38,1151,0.0,1.0
2018-04-19,22.43,22.5699,22.35,22.42,3086,22.43,22.5699,22.35,22.42,3086,0.0,1.0
2018-04-20,22.3,22.392,22.3,22.392,365,22.3,22.392,22.3,22.392,365,0.0,1.0
