date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-08-01,50.2022,50.2022,50.13,50.13,5001,48.2891230708433,48.2891230708433,48.2196744274429,48.2196744274429,5001,0.0,1.0
2024-08-02,50.15,50.15,50.15,50.15,5001,48.2389122788004,48.2389122788004,48.2389122788004,48.2389122788004,5001,0.0,1.0
2024-08-05,49.84,49.84,49.84,49.84,8,47.9407255827599,47.9407255827599,47.9407255827599,47.9407255827599,8,0.0,1.0
2024-08-06,50.05,50.05,49.84,49.84,407100,48.1427230220131,48.1427230220131,47.9407255827599,47.9407255827599,407100,0.0,1.0
2024-08-07,50.2,50.23,50.05,50.21,615542,48.287006907194,48.3158636842302,48.1427230220131,48.2966258328727,615542,0.0,1.0
2024-08-08,50.13,50.13,49.98,49.98,578081,48.2196744274429,48.2196744274429,48.0753905422621,48.0753905422621,578081,0.0,1.0
2024-08-09,50.1053,50.11,50.1053,50.11,446,48.1959156810165,48.2004365760855,48.1959156810165,48.2004365760855,446,0.0,1.0
2024-08-12,50.185,51.59,50.12,51.59,6598,48.2725785186759,49.6240375765366,48.2100555017642,49.6240375765366,6598,0.0,1.0
2024-08-13,50.3052,50.3081,50.22,50.22,2792,48.3881980053342,48.390987493781,48.3062447585514,48.3062447585514,2792,0.0,1.0
2024-08-14,50.445,50.52,50.245,50.52,1444,48.5226705863227,48.5948125289132,48.3302920727483,48.5948125289132,1444,0.0,1.0
2024-08-15,50.4521,50.51,50.3939,50.4039,1509,48.5295000235546,48.5851936032344,48.4735178761045,48.4831368017832,1509,0.0,1.0
2024-08-16,50.5348,50.5348,50.475,50.5,1495,48.6090485389177,48.6090485389177,48.5515273633589,48.5755746775557,1495,0.0,1.0
2024-08-19,50.575,50.6,50.575,50.58,1123,48.6477166201461,48.671763934343,48.6477166201461,48.6525260829855,1123,0.0,1.0
