date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2013-11-06,50.13,50.16,50.13,50.16,1100,36.0586165155436,36.0801955798856,36.0586165155436,36.0801955798856,1100,0.0,1.0
2013-11-07,49.9,49.9,49.9,49.9,400,35.8931770222547,35.8931770222547,35.8931770222547,35.8931770222547,400,0.0,1.0
2013-11-08,49.25,49.25,49.25,49.25,13000,35.4256306281772,35.4256306281772,35.4256306281772,35.4256306281772,13000,0.0,1.0
2013-11-11,49.3,49.3,49.3,49.3,600,35.4615957354139,35.4615957354139,35.4615957354139,35.4615957354139,600,0.0,1.0
2013-11-12,49.09,49.27,49.09,49.27,8700,35.3105422850197,35.4400166710719,35.3105422850197,35.4400166710719,8700,0.0,1.0
2013-11-13,49.09,49.09,49.09,49.09,0,35.3105422850197,35.3105422850197,35.3105422850197,35.3105422850197,0,0.0,1.0
2013-11-14,49.09,49.09,49.09,49.09,0,35.3105422850197,35.3105422850197,35.3105422850197,35.3105422850197,0,0.0,1.0
2013-11-15,50.0504,50.0504,50.0504,50.0504,100,36.0013600648227,36.0013600648227,36.0013600648227,36.0013600648227,100,0.0,1.0
2013-11-18,50.24,50.32,50.19,50.32,3600,36.1377397514644,36.1952839230432,36.1017746442277,36.1952839230432,3600,0.0,1.0
2013-11-19,49.84,49.94,49.8,49.94,4100,35.8500188935706,35.921949108044,35.8212468077812,35.921949108044,4100,0.0,1.0
2013-11-20,49.84,49.84,49.84,49.84,0,35.8500188935706,35.8500188935706,35.8500188935706,35.8500188935706,0,0.0,1.0
2013-11-21,49.84,49.84,49.84,49.84,0,35.8500188935706,35.8500188935706,35.8500188935706,35.8500188935706,0,0.0,1.0
2013-11-22,49.41,49.41,49.4,49.4,300,35.5407189713347,35.5407189713347,35.5335259498874,35.5335259498874,300,0.0,1.0
2013-11-25,49.3,49.3,49.2599,49.2599,300,35.4615957354139,35.4615957354139,35.4327517194101,35.4327517194101,300,0.0,1.0
2013-11-26,49.2699,49.2699,49.18,49.18,2200,35.4399447408574,35.4399447408574,35.3752794780458,35.3752794780458,2200,0.0,1.0
2013-11-27,49.39,49.39,49.39,49.39,3200,35.52633292844,35.52633292844,35.52633292844,35.52633292844,3200,0.0,1.0
2013-11-29,49.39,49.39,49.39,49.39,0,35.52633292844,35.52633292844,35.52633292844,35.52633292844,0,0.0,1.0
2013-12-02,49.39,49.39,49.39,49.39,0,35.52633292844,35.52633292844,35.52633292844,35.52633292844,0,0.0,1.0
2013-12-03,48.69,48.7,48.69,48.7,1200,35.0228214271258,35.0300144485732,35.0228214271258,35.0300144485732,1200,0.0,1.0
