date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-09-10,53.57,53.57,53.57,53.57,0,10.714,10.714,10.714,10.714,0,0.0,1.0
2019-09-11,52.605,52.605,52.605,52.605,0,10.521,10.521,10.521,10.521,0,0.0,1.0
2019-09-12,52.5889,52.5889,52.5889,52.5889,0,10.51778,10.51778,10.51778,10.51778,0,0.0,1.0
2019-09-13,52.64,52.64,52.64,52.64,0,10.528,10.528,10.528,10.528,0,0.0,1.0
2019-09-16,53.985,53.985,53.985,53.985,0,10.797,10.797,10.797,10.797,0,0.0,1.0
2019-09-17,52.36,52.36,52.36,52.36,0,10.472,10.472,10.472,10.472,0,0.0,1.0
2019-09-18,50.64,50.64,50.64,50.64,1,10.128,10.128,10.128,10.128,5,0.0,1.0
2019-09-19,52.03,52.03,52.03,52.03,0,10.406,10.406,10.406,10.406,0,0.0,1.0
2019-09-20,53.08,53.11,53.08,53.11,100,10.616,10.622,10.616,10.622,500,0.0,1.0
2019-09-23,51.515,51.515,51.515,51.515,1,10.303,10.303,10.303,10.303,5,0.0,1.0
2019-09-24,51.03,51.03,51.03,51.03,1,10.206,10.206,10.206,10.206,5,0.0,1.0
2019-09-25,50.35,50.35,50.35,50.35,20,10.07,10.07,10.07,10.07,100,0.0,1.0
2019-09-26,51.26,51.44,51.26,51.44,102,10.252,10.288,10.252,10.288,510,0.0,1.0
2019-09-27,50.62,50.62,50.62,50.62,0,10.124,10.124,10.124,10.124,0,0.0,1.0
2019-09-30,49.345,49.345,49.345,49.345,1,9.869,9.869,9.869,9.869,5,0.0,1.0
2019-10-01,50.13,50.13,49.4751,49.4751,160,10.026,10.026,9.89502,9.89502,800,0.0,1.0
2019-10-02,48.44,48.44,48.44,48.44,22,9.688,9.688,9.688,9.688,110,0.0,1.0
2019-10-03,46.5394,46.5394,46.5394,46.5394,0,9.30788,9.30788,9.30788,9.30788,0,0.0,1.0
2019-10-04,45.9444,46.0339,45.9444,46.0339,153,9.18888,9.20678,9.18888,9.20678,765,0.0,1.0
2019-10-07,46.875,47.04,46.875,47.04,160,9.375,9.408,9.375,9.408,800,0.0,1.0
2019-10-08,45.035,45.035,45.035,45.035,0,9.007,9.007,9.007,9.007,0,0.0,1.0
2019-10-09,45.38,45.38,45.38,45.38,0,9.076,9.076,9.076,9.076,0,0.0,1.0
2019-10-10,46.66,46.66,46.46,46.46,178,9.332,9.332,9.292,9.292,890,0.0,1.0
2019-10-11,49.045,49.045,49.045,49.045,5,9.809,9.809,9.809,9.809,25,0.0,1.0
2019-10-14,48.28,48.4177,48.28,48.4177,253,9.656,9.68354,9.656,9.68354,1265,0.0,1.0
2019-10-15,51.505,51.505,51.505,51.505,4,10.301,10.301,10.301,10.301,20,0.0,1.0
2019-10-16,52.405,52.405,52.405,52.405,0,10.481,10.481,10.481,10.481,0,0.0,1.0
2019-10-17,52.115,52.115,52.115,52.115,2,10.423,10.423,10.423,10.423,10,0.0,1.0
2019-10-18,51.75,52.13,51.75,52.13,254,10.35,10.426,10.35,10.426,1270,0.0,1.0
2019-10-21,51.835,51.835,51.835,51.835,2,10.367,10.367,10.367,10.367,10,0.0,1.0
2019-10-22,51.325,51.325,51.325,51.325,1,10.265,10.265,10.265,10.265,5,0.0,1.0
2019-10-23,49.52,49.52,49.52,49.52,0,9.904,9.904,9.904,9.904,0,0.0,1.0
2019-10-24,50.885,50.885,50.885,50.885,0,10.177,10.177,10.177,10.177,0,0.0,1.0
2019-10-25,49.885,49.885,49.885,49.885,0,9.977,9.977,9.977,9.977,0,0.0,1.0
2019-10-28,50.24,50.24,50.24,50.24,0,10.048,10.048,10.048,10.048,0,0.0,1.0
2019-10-29,50.86,50.86,50.86,50.86,0,10.172,10.172,10.172,10.172,0,0.0,1.0
2019-10-30,52.13,52.13,52.13,52.13,0,10.426,10.426,10.426,10.426,0,0.0,1.0
2019-10-31,51.285,51.285,51.285,51.285,1,10.257,10.257,10.257,10.257,5,0.0,1.0
2019-11-01,50.635,50.635,50.635,50.635,0,10.127,10.127,10.127,10.127,0,0.0,1.0
2019-11-04,51.29,51.29,51.29,51.29,0,10.258,10.258,10.258,10.258,0,0.0,1.0
2019-11-05,51.105,51.105,51.105,51.105,0,10.221,10.221,10.221,10.221,0,0.0,1.0
2019-11-06,49.63,49.63,49.63,49.63,0,9.926,9.926,9.926,9.926,0,0.0,1.0
