date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-11-07,20.18,21.06,20.0248,20.05,5132565,20.18,21.06,20.0248,20.05,5132565,0.0,1.0
2024-11-08,20.48,20.53,20.21,20.35,6315312,20.48,20.53,20.21,20.35,6315312,0.0,1.0
2024-11-11,20.67,20.71,20.5601,20.71,6029511,20.67,20.71,20.5601,20.71,6029511,0.0,1.0
2024-11-12,20.54,20.68,20.42,20.67,2467139,20.54,20.68,20.42,20.67,2467139,0.0,1.0
2024-11-13,20.56,20.72,20.525,20.59,3467594,20.56,20.72,20.525,20.59,3467594,0.0,1.0
2024-11-14,20.28,20.56,20.25,20.56,1566440,20.28,20.56,20.25,20.56,1566440,0.0,1.0
2024-11-15,20.0,20.2,19.91,20.2,1765176,20.0,20.2,19.91,20.2,1765176,0.0,1.0
2024-11-18,20.11,20.2,20.0,20.1,1742226,20.11,20.2,20.0,20.1,1742226,0.0,1.0
2024-11-19,20.26,20.28,19.9795,20.0,1367340,20.26,20.28,19.9795,20.0,1367340,0.0,1.0
2024-11-20,20.29,20.3,20.045,20.3,1219586,20.29,20.3,20.045,20.3,1219586,0.0,1.0
2024-11-21,20.5,20.565,20.3,20.46,1307632,20.5,20.565,20.3,20.46,1307632,0.0,1.0
2024-11-22,20.64,20.65,20.48,20.52,1024635,20.64,20.65,20.48,20.52,1024635,0.0,1.0
2024-11-25,20.63,20.82,20.53,20.81,1587357,20.63,20.82,20.53,20.81,1587357,0.0,1.0
2024-11-26,20.79,20.79,20.66,20.66,1379246,20.79,20.79,20.66,20.66,1379246,0.0,1.0
2024-11-27,20.6,20.8,20.49,20.8,1364306,20.6,20.8,20.49,20.8,1364306,0.0,1.0
2024-11-29,20.73,20.765,20.65,20.67,942204,20.73,20.765,20.65,20.67,942204,0.0,1.0
2024-12-02,20.78,20.83,20.72,20.81,1584066,20.78,20.83,20.72,20.81,1584066,0.0,1.0
2024-12-03,20.83,20.84,20.7,20.77,971088,20.83,20.84,20.7,20.77,971088,0.0,1.0
2024-12-04,21.07,21.07,20.86,20.94,2385910,21.07,21.07,20.86,20.94,2385910,0.0,1.0
2024-12-05,21.01,21.11,20.99,21.08,1908334,21.01,21.11,20.99,21.08,1908334,0.0,1.0
2024-12-06,21.11,21.14,21.0188,21.07,1197070,21.11,21.14,21.0188,21.07,1197070,0.0,1.0
2024-12-09,20.81,21.14,20.72,21.14,1244043,20.81,21.14,20.72,21.14,1244043,0.0,1.0
2024-12-10,20.72,20.85,20.6707,20.82,635671,20.72,20.85,20.6707,20.82,635671,0.0,1.0
2024-12-11,20.99,21.0,20.8201,20.86,2207614,20.99,21.0,20.8201,20.86,2207614,0.0,1.0
2024-12-12,20.89,20.99,20.88,20.98,1365920,20.89,20.99,20.88,20.98,1365920,0.0,1.0
2024-12-13,20.87,20.96,20.77,20.95,994117,20.87,20.96,20.77,20.95,994117,0.0,1.0
2024-12-16,21.06,21.09,20.86,20.94,1149380,21.06,21.09,20.86,20.94,1149380,0.0,1.0
2024-12-17,20.87,21.03,20.83,21.03,1478899,20.87,21.03,20.83,21.03,1478899,0.0,1.0
2024-12-18,20.07,20.8679,20.01,20.81,1826047,20.07,20.8679,20.01,20.81,1826047,0.0,1.0
2024-12-19,20.09,20.4099,20.075,20.38,1451501,20.09,20.4099,20.075,20.38,1451501,0.0,1.0
2024-12-20,20.31,20.5101,19.9,19.98,1505335,20.31,20.5101,19.9,19.98,1505335,0.0,1.0
2024-12-23,20.41,20.41,20.14,20.37,934035,20.41,20.41,20.14,20.37,934035,0.0,1.0
2024-12-24,20.67,20.679,20.42,20.46,609251,20.67,20.679,20.42,20.46,609251,0.0,1.0
2024-12-26,20.62,20.67,20.5253,20.66,558789,20.62,20.67,20.5253,20.66,558789,0.0,1.0
2024-12-27,20.36,20.51,20.1904,20.51,653929,20.36,20.51,20.1904,20.51,653929,0.0,1.0
2024-12-30,20.1,20.2285,19.92,20.05,1514577,20.1,20.2285,19.92,20.05,1514577,0.0,1.0
2024-12-31,19.96,20.1893,19.9201,20.16,1022904,19.96,20.1893,19.9201,20.16,1022904,0.0,1.0
