date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-12-27,63.784,64.0,63.5,63.61,4800,63.0937725608809,63.3074351545275,62.8128458173827,62.9216554715546,4800,0.0,1.0
2007-12-28,63.5,64.22,63.5,64.1,6200,62.8128458173827,63.5250544628712,62.8128458173827,63.4063530219564,6200,0.0,1.0
2007-12-31,63.406,64.34,63.11,64.34,3000,62.7198630219995,63.6437559037859,62.4270661344098,63.6437559037859,3000,0.0,1.0
2008-01-02,64.9301,65.32,64.29,64.29,6600,64.2274702394841,64.6131510045896,63.5942969700714,63.5942969700714,6600,0.0,1.0
2008-01-03,65.44,66.61,65.3,65.3,9700,64.7318524455043,65.889191494423,64.5933674311038,64.5933674311038,9700,0.0,1.0
2008-01-04,64.888,65.33,64.5,65.33,28100,64.1858258172965,64.6230427913325,63.8020244916722,64.6230427913325,28100,0.0,1.0
2008-01-07,63.68,65.95,63.31,63.54,17200,62.9908979787548,65.236333569392,62.6249018692677,62.8524129643543,17200,0.0,1.0
2008-01-08,64.39,64.97,64.39,64.56,4900,63.6932148375004,64.2669384685883,63.6932148375004,63.8613752121296,4900,0.0,1.0
2008-01-09,64.1,65.18,63.96,64.3784,19400,63.4063530219564,64.4746659901891,63.2678680075559,63.6817403648786,19400,0.0,1.0
2008-01-10,62.8101,63.39,62.65,62.65,21500,62.1304114499904,62.7040361632109,61.9720439442367,61.9720439442367,21500,0.0,1.0
2008-01-11,63.496,63.6364,62.26,62.61,3900,62.8088891026856,62.9477697885558,61.5862642612638,61.9324767972651,3900,0.0,1.0
2008-01-14,63.97,63.97,63.22,63.67,5300,63.2777597942988,63.2777597942988,62.5358757885817,62.9810061920119,5300,0.0,1.0
2008-01-15,62.68,63.07,62.66,63.07,9400,62.0017193044653,62.3874989874382,61.9819357309796,62.3874989874382,9400,0.0,1.0
2008-01-16,62.112,62.112,61.4,62.1,7900,61.4398658174689,61.4398658174689,60.7355706013748,61.4279956733774,7900,0.0,1.0
2008-01-17,61.6,61.88,61.6,61.88,900,60.9334063362327,61.2103763650338,60.9334063362327,61.2103763650338,900,0.0,1.0
2008-01-18,61.92,61.92,61.82,61.82,400,61.2499435120053,61.2499435120053,61.1510256445764,61.1510256445764,400,0.0,1.0
2008-01-22,61.51,61.51,60.05,60.6,80800,60.8443802555466,60.8443802555466,59.400179391084,59.9442276619432,80800,0.0,1.0
2008-01-23,60.12,60.82,59.92,60.82,42300,59.4694218982842,60.1618469702869,59.2715861634263,60.1618469702869,42300,0.0,1.0
2008-01-24,61.55,61.55,60.58,60.66,48900,60.8839474025182,60.8839474025182,59.9244440884574,60.0035783824006,48900,0.0,1.0
2008-01-25,62.26,62.54,61.96,62.5,34000,61.5862642612638,61.8632342900648,61.2895106589769,61.8236671430932,34000,0.0,1.0
2008-01-28,62.67,62.85,61.69,62.85,67100,61.9918275177225,62.1698796790946,61.0224324169187,62.1698796790946,67100,0.0,1.0
2008-01-29,63.03,63.182,62.843,63.03,4300,62.3479318404667,62.4982869989587,62.1629554283745,62.3479318404667,4300,0.0,1.0
2008-01-30,63.065,63.203,62.96,62.96,7500,62.3825530940668,62.5190597511188,62.2786893332664,62.2786893332664,7500,0.0,1.0
2008-01-31,63.35,63.35,62.41,62.41,3100,62.6644690162393,62.6644690162393,61.7346410624072,61.7346410624072,3100,0.0,1.0
2008-02-01,62.0399,62.57,61.91,62.57,3000,61.3685460350526,61.8929096502935,61.2400517252624,61.8929096502935,3000,0.0,1.0
2008-02-04,62.786,62.95,62.22,62.22,6700,62.10657224394,62.2687975465235,61.5466971142922,61.5466971142922,6700,0.0,1.0
2008-02-05,61.9,62.07,61.9,62.07,7400,61.2301599385195,61.3983203131488,61.2301599385195,61.3983203131488,7400,0.0,1.0
2008-02-06,61.63,61.889,61.57,61.75,4100,60.9630816964614,61.2192789731024,60.903730976004,61.0817831373761,4100,0.0,1.0
2008-02-07,62.291,62.291,61.65,61.65,17500,61.6169288001667,61.6169288001667,60.9828652699472,60.9828652699472,17500,0.0,1.0
2008-02-08,62.29,62.29,62.29,62.29,0,61.6159396214924,61.6159396214924,61.6159396214924,61.6159396214924,0,0.0,1.0
2008-02-11,65.1,65.29,64.01,64.01,30100,64.3955316962459,64.5834756443609,63.3173269412704,63.3173269412704,30100,0.0,1.0
2008-02-12,64.63,65.11,64.63,64.99,1600,63.9306177193299,64.4054234829888,63.9306177193299,64.2867220420741,1600,0.0,1.0
2008-02-13,64.752,64.752,64.23,64.23,500,64.0512975175932,64.0512975175932,63.5349462496141,63.5349462496141,500,0.0,1.0
2008-02-14,66.14,66.14,65.16,65.16,2100,65.424277517507,65.424277517507,64.4548824167033,64.4548824167033,2100,0.0,1.0
2008-02-15,66.008,66.75,65.85,66.75,3800,65.2937059325008,66.0276765088236,65.137415701963,66.0276765088236,3800,0.0,1.0
2008-02-19,68.21,68.21,67.53,67.53,23400,67.4718773732862,67.4718773732862,66.7992358747694,66.7992358747694,23400,0.0,1.0
2008-02-20,68.43,68.43,67.48,67.61,11400,67.6894966816299,67.6894966816299,66.7497769410549,66.8783701687125,11400,0.0,1.0
2008-02-21,67.79,68.23,67.39,68.07,14000,67.0564223300847,67.491660946772,66.6607508603689,67.3333923588857,14000,0.0,1.0
2008-02-22,68.4,68.4,67.75,68.4,14200,67.6598213214013,67.6598213214013,67.0168551831131,67.6598213214013,14200,0.0,1.0
2008-02-25,68.74,69.05,68.17,68.78,11700,67.9961420706597,68.3027874596894,67.4323102263147,68.0357092176313,11700,0.0,1.0
2008-02-26,70.114,70.36,68.64,68.93,29300,69.3552735691334,69.5986115230086,67.8972242032307,68.1840860187747,29300,0.0,1.0
2008-02-27,69.672,70.29,69.49,69.49,143900,68.9180565950975,69.5293690158084,68.7380260763768,68.7380260763768,143900,0.0,1.0
2008-02-28,70.87,70.914,70.21,70.44,12300,70.1030926468963,70.146616508565,69.4502347218652,69.6777458169518,12300,0.0,1.0
2008-02-29,70.307,70.95,70.3,70.95,14300,69.5461850532713,70.1822269408394,69.5392608025513,70.1822269408394,14300,0.0,1.0
2008-03-03,70.97,71.84,70.97,71.8,3400,70.2020105143252,71.0625959609571,70.2020105143252,71.0230288139855,3400,0.0,1.0
2008-03-04,69.24,71.47,68.99,71.34,4600,68.4907314078044,70.69659985147,68.243436739232,70.5680066238124,4600,0.0,1.0
2008-03-05,72.11,72.11,70.5,70.52,10100,71.3296742030153,71.3296742030153,69.7370965374092,69.756880110895,10100,0.0,1.0
2008-03-06,72.17,72.17,71.64,71.64,1800,71.3890249234726,71.3890249234726,70.8647602260992,70.8647602260992,1800,0.0,1.0
2008-03-07,71.826,71.91,71.19,71.89,4200,71.048747459517,71.1318384681574,70.4196298226689,71.1120548946716,4200,0.0,1.0
2008-03-10,72.729,72.7301,70.92,71.0,4800,71.9419758024004,71.9430638989422,70.1525515806108,70.2316858745539,4800,0.0,1.0
2008-03-11,73.34,73.74,72.61,72.94,20000,72.5463639723913,72.9420354421071,71.82426354016,72.1506925026755,20000,0.0,1.0
2008-03-12,74.03,74.03,72.77,72.81,11400,73.2288972576511,73.2288972576511,71.9825321280463,72.0220992750179,11400,0.0,1.0
2008-03-13,74.48,74.849,74.1399,74.38,31700,73.6740276610814,74.0390345918942,73.3376079939555,73.5751097936524,31700,0.0,1.0
2008-03-14,73.967,74.67,73.73,74.67,1300,73.1665790011708,73.8619716091964,72.9321436553642,73.8619716091964,1300,0.0,1.0
2008-03-17,70.87,72.45,70.08,72.26,27200,70.1030926468963,71.6659949522737,69.3216414942076,71.4780510041587,27200,0.0,1.0
2008-03-18,73.02,73.02,71.69,71.83,4500,72.2298267966187,72.2298267966187,70.9142191598137,71.0527041742142,4500,0.0,1.0
2008-03-19,69.3834,71.54,69.38,71.54,1400,68.6325796296975,70.7658423586703,68.6292164222049,70.7658423586703,1400,0.0,1.0
2008-03-20,68.6,68.6,67.29,67.3,4600,67.8576570562591,67.8576570562591,66.5618329929399,66.5717247796828,4600,0.0,1.0
2008-03-24,68.4701,69.45,68.32,68.45,67300,67.7291627464689,68.6984589294052,67.5806870274581,67.7092802551157,67300,0.0,1.0
2008-03-25,69.73,69.74,68.67,69.15,3700,68.9754289582063,68.9853207449491,67.9268995634594,68.4017053271184,3700,0.0,1.0
2008-03-26,71.51,71.51,70.51,70.51,2200,70.7361669984416,70.7361669984416,69.7469883241521,69.7469883241521,2200,0.0,1.0
2008-03-27,72.32,72.607,71.9,72.0,1900,71.537401724616,71.8212960041371,71.1219466814145,71.2208645488434,1900,0.0,1.0
2008-03-28,71.35,71.35,70.99,71.33,1100,70.5778984105552,70.5778984105552,70.221794087811,70.5581148370695,1100,0.0,1.0
2008-03-31,69.37,71.475,69.0601,71.475,10300,68.619324635462,70.7015457448414,68.3127781642997,70.7015457448414,10300,0.0,1.0
2008-04-01,68.76,69.73,68.41,68.41,4600,68.0159256441455,68.9754289582063,67.6697131081441,67.6697131081441,4600,0.0,1.0
2008-04-02,70.7,70.93,68.61,68.61,13500,69.9349322722671,70.1624433673537,67.867548843002,67.867548843002,13500,0.0,1.0
2008-04-03,70.31,71.07,70.31,70.5,11000,69.5491525892942,70.3009283817542,69.5491525892942,69.7370965374092,11000,0.0,1.0
2008-04-04,71.73,71.73,70.92,70.97,7700,70.9537863067852,70.9537863067852,70.1525515806108,70.2020105143252,7700,0.0,1.0
2008-04-07,73.0,73.2099,72.81,72.81,4900,72.2100432231329,72.4176718268663,72.0220992750179,72.0220992750179,4900,0.0,1.0
2008-04-08,72.753,72.98,72.383,72.98,900,71.9657160905834,72.1902596496471,71.5997199810963,72.1902596496471,900,0.0,1.0
2008-04-09,74.08,74.64,74.08,74.64,2600,73.2783561913656,73.8322962489677,73.2783561913656,73.8322962489677,2600,0.0,1.0
2008-04-10,73.94,74.4808,73.916,74.37,1500,73.139871176965,73.6748190040208,73.1161308887821,73.5652180069095,1500,0.0,1.0
2008-04-11,73.51,73.519,73.3,73.5,22800,72.7145243470205,72.7234269550892,72.5067968254198,72.7046325602776,22800,0.0,1.0
2008-04-14,74.256,74.256,74.12,74.12,7600,73.4524516380405,73.4524516380405,73.3179233383371,73.3179233383371,7600,0.0,1.0
2008-04-15,75.42,75.42,75.26,75.28,10700,74.6038556149135,74.6038556149135,74.4455870270272,74.4653706005129,10700,0.0,1.0
2008-04-16,76.41,83.32,68.75,76.0,23400,75.5831425024601,82.4183671418005,68.0060338574026,75.1775792460014,23400,0.0,1.0
2008-04-17,76.37,76.61,76.17,76.6,2400,75.5435753554885,75.780978237318,75.3457396206306,75.7710864505751,2400,0.0,1.0
2008-04-18,76.68,76.68,75.94,75.94,11300,75.8502207445182,75.8502207445182,75.118228525544,75.118228525544,11300,0.0,1.0
2008-04-21,76.79,77.16,76.23,77.13,4400,75.9590303986901,76.3250265081772,75.405090341088,76.2953511479485,4400,0.0,1.0
2008-04-22,77.817,78.049,77.27,77.27,2400,76.9749168971854,77.2044063496206,76.433836162349,76.433836162349,2400,0.0,1.0
2008-04-23,77.632,77.83,76.97,77.35,7400,76.7919188424418,76.9877762199511,76.1370825600622,76.5129704562922,7400,0.0,1.0
2008-04-24,76.71,77.5,75.5,77.5,11100,75.8798961047469,76.6613472574356,74.6829899088566,76.6613472574356,11100,0.0,1.0
2008-04-25,77.17,78.18,76.75,76.75,5900,76.3349182949201,77.3339887559525,75.9194632517185,75.9194632517185,5900,0.0,1.0
2008-04-28,77.8664,78.2,77.75,78.2,6900,77.0237823236953,77.3537723294383,76.908641926008,77.3537723294383,6900,0.0,1.0
2008-04-29,76.13,76.89,75.86,76.77,17300,75.306172473659,76.057948266119,75.0390942316009,75.9392468252043,17300,0.0,1.0
2008-04-30,75.43,76.54,75.1,76.41,47100,74.6137474016564,75.7117357301177,74.2873184391408,75.5831425024601,47100,0.0,1.0
2008-05-01,74.23,74.72,73.3,74.69,13600,73.426732992509,73.9114305429108,72.5067968254198,73.8817551826821,13600,0.0,1.0
2008-05-02,76.08,76.08,74.19,74.19,2900,75.2567135399445,75.2567135399445,73.3871658455374,73.3871658455374,2900,0.0,1.0
2008-05-05,78.03,78.03,77.02,77.02,900,77.185611954809,77.185611954809,76.1865414937767,76.1865414937767,900,0.0,1.0
2008-05-06,79.06,79.55,78.85,79.01,5800,78.2044659893272,78.6891635397291,77.9967384677264,78.1550070556128,5800,0.0,1.0
2008-05-07,80.0,80.0,78.93,79.08,12300,79.1342939431593,79.1342939431593,78.0758727616696,78.224249562813,12300,0.0,1.0
2008-05-08,80.14,80.4,79.59,79.91,20300,79.2727789575599,79.5299654128751,78.7287306867007,79.0452678624733,20300,0.0,1.0
2008-05-09,81.54,81.54,81.33,81.33,2000,80.6576291015652,80.6576291015652,80.4499015799644,80.4499015799644,2000,0.0,1.0
2008-05-12,80.75,81.55,80.7,81.38,23700,79.8761779488765,80.6675208883081,79.826719015162,80.4993605136788,23700,0.0,1.0
2008-05-13,81.52,81.71,80.78,80.78,6100,80.6378455280794,80.8257894761944,79.9058533091052,79.9058533091052,6100,0.0,1.0
2008-05-14,81.18,81.33,81.12,81.33,2100,80.3015247788209,80.4499015799644,80.2421740583636,80.4499015799644,2100,0.0,1.0
2008-05-15,80.74,81.64,80.06,81.64,12500,79.8662861621336,80.7565469689941,79.1936446636167,80.7565469689941,12500,0.0,1.0
2008-05-16,81.8,82.259,81.69,82.21,14500,80.9148155568804,81.3688485683793,80.8060059027086,81.3203788133391,14500,0.0,1.0
2008-05-19,81.48,82.154,81.48,82.04,1200,80.5982783811078,81.2649848075789,80.5982783811078,81.1522184387099,1200,0.0,1.0
2008-05-20,68.76,68.98,68.45,68.5,11400,68.0159256441455,68.2335449524892,67.7092802551157,67.7587391888302,11400,0.0,1.0
2008-05-21,70.75,70.94,68.86,68.99,46000,69.9843912059816,70.1723351540965,68.1148435115744,68.243436739232,46000,0.0,1.0
2008-05-22,84.25,85.63,83.94,85.63,51800,83.3383033088897,84.7033698794092,83.0316579198599,84.7033698794092,51800,0.0,1.0
2008-05-23,84.66,85.48,84.25,85.48,51600,83.7438665653484,84.5549930782658,83.3383033088897,84.5549930782658,51600,0.0,1.0
2008-05-27,82.75,84.048,82.75,83.95,7800,81.8545352974555,83.1384892166832,81.8545352974555,83.0415497066028,7800,0.0,1.0
2008-05-28,84.0199,84.26,82.5177,82.6,3400,83.1106932959357,83.3481950956326,81.624749091418,81.706158496312,3400,0.0,1.0
2008-05-29,81.5,84.06,81.5,82.94,14900,80.6180619545936,83.1503593607747,80.6180619545936,82.0424792455704,14900,0.0,1.0
2008-05-30,82.37,82.44,81.06,81.45,5500,81.4786474012254,81.5478899084257,80.1828233379062,80.5686030208791,5500,0.0,1.0
2008-06-02,82.9124,83.15,82.87,83.15,7600,82.0151779141601,82.2502067671712,81.9732367383702,82.2502067671712,7600,0.0,1.0
2008-06-03,81.11,82.43,80.93,82.43,10900,80.2322822716207,81.5379981216828,80.0542301102486,81.5379981216828,10900,0.0,1.0
2008-06-04,80.05,81.22,80.05,80.72,8600,79.1837528768738,80.3410919257925,79.1837528768738,79.8465025886478,8600,0.0,1.0
2008-06-05,82.99,83.0,80.69,80.9,158900,82.0919381792849,82.1018299660278,79.8168272284191,80.0245547500199,158900,0.0,1.0
2008-06-06,88.08,88.08,86.08,86.08,4000,87.1268576314184,87.1268576314184,85.1485002828394,85.1485002828394,4000,0.0,1.0
2008-06-09,86.39,87.24,85.5,86.57,4000,85.4551456718692,86.2959475450153,84.5747766517515,85.6331978332413,4000,0.0,1.0
2008-06-10,84.96,87.3,84.66,86.3,75200,84.0406201676352,86.3552982654726,83.7438665653484,85.3661195911831,75200,0.0,1.0
2008-06-11,87.43,88.54,86.45,86.45,20000,86.4838914931303,87.5818798215916,85.5144963923266,85.5144963923266,20000,0.0,1.0
2008-06-12,88.1,88.1,84.33,86.4,17400,87.1466412049042,87.1466412049042,83.4174376028328,85.4650374586121,17400,0.0,1.0
2008-06-13,87.37,87.37,86.47,87.0,46100,86.4245407726729,86.4245407726729,85.5342799658124,86.0585446631858,46100,0.0,1.0
2008-06-16,87.454,89.14,86.87,89.11,7000,86.5076317813132,88.1753870261653,85.9299514355282,88.1457116659366,7000,0.0,1.0
2008-06-17,87.013,87.48,86.75,86.75,4300,86.0714039859516,86.5333504268447,85.8112499946134,85.8112499946134,4300,0.0,1.0
2008-06-18,88.69,88.69,86.75,86.75,900,87.730256622735,87.730256622735,85.8112499946134,85.8112499946134,900,0.0,1.0
2008-06-19,85.92,88.73,85.92,88.73,10900,84.9902316949531,87.7698237697066,84.9902316949531,87.7698237697066,10900,0.0,1.0
2008-06-20,87.717,88.45,87.7,87.900002,1800,86.7677857726514,87.4928537409056,86.7509697351884,86.9488074484037,1800,0.0,1.0
2008-06-23,88.275,88.84,87.54,87.54,5500,87.3197474729049,87.8786334238785,86.5927011473021,86.5927011473021,5500,0.0,1.0
2008-06-24,88.12,88.64,87.79,88.26,41600,87.16642477839,87.6807976890206,86.8399958158745,87.3049097927906,41600,0.0,1.0
2008-06-25,87.06,87.94,86.01,87.94,55200,86.1178953836432,86.9883726170179,85.0792577756392,86.9883726170179,55200,0.0,1.0
2008-06-26,90.08,90.2711,88.56,88.56,15300,89.1052149799974,89.2942470246542,87.6016633950774,87.6016633950774,15300,0.0,1.0
