date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-09-18,30.19,30.2483,30.1553,30.19,581887,30.19,30.2483,30.1553,30.19,581887,0.0,1.0
2023-09-19,30.16,30.1786,30.02,30.16,231347,30.16,30.1786,30.02,30.16,231347,0.0,1.0
2023-09-20,30.0,30.43,29.99,30.2,458319,30.0,30.43,29.99,30.2,458319,0.0,1.0
2023-09-21,29.72,29.89,29.7009,29.89,81410,29.72,29.89,29.7009,29.89,81410,0.0,1.0
2023-09-22,29.69,29.8298,29.68,29.78,143106,29.69,29.8298,29.68,29.78,143106,0.0,1.0
2023-09-25,29.75,29.7585,29.605,29.62,126473,29.75,29.7585,29.605,29.62,126473,0.0,1.0
2023-09-26,29.46,29.635,29.45,29.63,85167,29.46,29.635,29.45,29.63,85167,0.0,1.0
2023-09-27,29.49,29.59,29.36,29.59,103215,29.49,29.59,29.36,29.59,103215,0.0,1.0
2023-09-28,29.65,29.67,29.45,29.56,131079,29.65,29.67,29.45,29.56,131079,0.0,1.0
2023-09-29,29.5541,29.762,29.4973,29.735,241094,29.5541,29.762,29.4973,29.735,241094,0.0,1.0
2023-10-02,29.5492,29.6,29.4401,29.555,226165,29.5492,29.6,29.4401,29.555,226165,0.0,1.0
2023-10-03,29.36,29.5,29.2601,29.5,260734,29.36,29.5,29.2601,29.5,260734,0.0,1.0
2023-10-04,29.5,29.51,29.305,29.37,356361,29.5,29.51,29.305,29.37,356361,0.0,1.0
2023-10-05,29.48,29.5,29.33,29.47,132863,29.48,29.5,29.33,29.47,132863,0.0,1.0
2023-10-06,29.68,29.73,29.3057,29.35,152984,29.68,29.73,29.3057,29.35,152984,0.0,1.0
2023-10-09,29.765,29.8,29.5601,29.6,66477,29.765,29.8,29.5601,29.6,66477,0.0,1.0
2023-10-10,29.89,29.9794,29.8409,29.85,62869,29.89,29.9794,29.8409,29.85,62869,0.0,1.0
2023-10-11,29.9367,29.97,29.82,29.92,48844,29.9367,29.97,29.82,29.92,48844,0.0,1.0
2023-10-12,29.85,29.96,29.77,29.95,225581,29.85,29.96,29.77,29.95,225581,0.0,1.0
2023-10-13,29.76,29.94,29.701,29.92,169638,29.76,29.94,29.701,29.92,169638,0.0,1.0
2023-10-16,29.97,30.03,29.87,29.89,97937,29.97,30.03,29.87,29.89,97937,0.0,1.0
2023-10-17,29.91,30.0096,29.8,29.84,111269,29.91,30.0096,29.8,29.84,111269,0.0,1.0
2023-10-18,29.69,29.8899,29.65,29.88,400752,29.69,29.8899,29.65,29.88,400752,0.0,1.0
2023-10-19,29.57,29.761,29.47,29.7,58529,29.57,29.761,29.47,29.7,58529,0.0,1.0
2023-10-20,29.36,29.5577,29.36,29.5,81590,29.36,29.5577,29.36,29.5,81590,0.0,1.0
2023-10-23,29.3241,29.452,29.23,29.29,35013,29.3241,29.452,29.23,29.29,35013,0.0,1.0
2023-10-24,29.48,29.49,29.3548,29.47,42563,29.48,29.49,29.3548,29.47,42563,0.0,1.0
2023-10-25,29.2,29.36,29.17,29.31,24884,29.2,29.36,29.17,29.31,24884,0.0,1.0
2023-10-26,29.03,29.12,28.94,29.0653,50329,29.03,29.12,28.94,29.0653,50329,0.0,1.0
2023-10-27,28.94,29.09,28.89,29.09,41631,28.94,29.09,28.89,29.09,41631,0.0,1.0
2023-10-30,29.11,29.18,28.98,29.11,180732,29.11,29.18,28.98,29.11,180732,0.0,1.0
2023-10-31,29.23,29.29,29.13,29.13,47328,29.23,29.29,29.13,29.13,47328,0.0,1.0
2023-11-01,29.42,29.45,29.25,29.26,14139,29.42,29.45,29.25,29.26,14139,0.0,1.0
2023-11-02,29.75,29.78,29.58,29.58,12319,29.75,29.78,29.58,29.58,12319,0.0,1.0
2023-11-03,29.91,30.0209,29.9,29.91,17884,29.91,30.0209,29.9,29.91,17884,0.0,1.0
2023-11-06,29.95,30.0,29.91,30.0,43147,29.95,30.0,29.91,30.0,43147,0.0,1.0
2023-11-07,30.06,30.09,29.95,29.95,95045,30.06,30.09,29.95,29.95,95045,0.0,1.0
2023-11-08,30.04,30.12,30.01,30.06,25171,30.04,30.12,30.01,30.06,25171,0.0,1.0
2023-11-09,29.93,30.13,29.91,30.13,20108,29.93,30.13,29.91,30.13,20108,0.0,1.0
2023-11-10,30.22,30.22,30.0111,30.02,33155,30.22,30.22,30.0111,30.02,33155,0.0,1.0
2023-11-13,30.22,30.23,30.13,30.16,29514,30.22,30.23,30.13,30.16,29514,0.0,1.0
2023-11-14,30.52,30.58,30.47,30.47,49273,30.52,30.58,30.47,30.47,49273,0.0,1.0
2023-11-15,30.55,30.6399,30.55,30.59,31053,30.55,30.6399,30.55,30.59,31053,0.0,1.0
2023-11-16,30.585,30.585,30.52,30.57,19034,30.585,30.585,30.52,30.57,19034,0.0,1.0
2023-11-17,30.59,30.6285,30.5733,30.59,20769,30.59,30.6285,30.5733,30.59,20769,0.0,1.0
2023-11-20,30.7308,30.78,30.55,30.55,17118,30.7308,30.78,30.55,30.55,17118,0.0,1.0
2023-11-21,30.7,30.82,30.67,30.82,34052,30.7,30.82,30.67,30.82,34052,0.0,1.0
2023-11-22,30.78,30.8,30.74,30.78,27095,30.78,30.8,30.74,30.78,27095,0.0,1.0
2023-11-24,30.8,30.8,30.76,30.76,4312,30.8,30.8,30.76,30.76,4312,0.0,1.0
2023-11-27,30.78,30.802,30.74,30.7601,7424,30.78,30.802,30.74,30.7601,7424,0.0,1.0
2023-11-28,30.7949,30.7949,30.72,30.72,69886,30.7949,30.7949,30.72,30.72,69886,0.0,1.0
2023-11-29,30.7844,30.84,30.76,30.8301,3006,30.7844,30.84,30.76,30.8301,3006,0.0,1.0
2023-11-30,30.8516,30.8516,30.75,30.81,4198,30.8516,30.8516,30.75,30.81,4198,0.0,1.0
2023-12-01,30.9748,30.9748,30.9463,30.97,75905,30.9748,30.9748,30.9463,30.97,75905,0.0,1.0
2023-12-04,30.8571,30.8571,30.85,30.85,4655,30.8571,30.8571,30.85,30.85,4655,0.0,1.0
2023-12-05,30.84,30.87,30.83,30.85,15604,30.84,30.87,30.83,30.85,15604,0.0,1.0
2023-12-06,30.77,30.945,30.77,30.9,5744,30.77,30.945,30.77,30.9,5744,0.0,1.0
2023-12-07,30.91,30.9699,30.89,30.89,6333,30.91,30.9699,30.89,30.89,6333,0.0,1.0
2023-12-08,30.99,31.02,30.93,30.95,3370,30.99,31.02,30.93,30.95,3370,0.0,1.0
2023-12-11,31.05,31.08,31.01,31.03,5280,31.05,31.08,31.01,31.03,5280,0.0,1.0
2023-12-12,31.17,31.17,31.12,31.12,724,31.17,31.17,31.12,31.12,724,0.0,1.0
2023-12-13,31.36,31.39,31.1564,31.1564,7203,31.36,31.39,31.1564,31.1564,7203,0.0,1.0
2023-12-14,31.4276,31.5,31.4276,31.5,7017,31.4276,31.5,31.4276,31.5,7017,0.0,1.0
