date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2006-07-21,49.25,49.64,49.22,49.35,37400,49.25,49.64,49.22,49.35,37400,0.0,1.0
2006-07-24,49.7,49.7,48.98,49.25,220900,49.7,49.7,48.98,49.25,220900,0.0,1.0
2006-07-25,49.25,50.15,49.2,50.15,41600,49.25,50.15,49.2,50.15,41600,0.0,1.0
2006-07-26,49.62,49.8,49.35,49.35,17800,49.62,49.8,49.35,49.35,17800,0.0,1.0
2006-07-27,50.15,50.35,49.93,50.15,41800,50.15,50.35,49.93,50.15,41800,0.0,1.0
2006-07-28,49.55,49.9,49.33,49.9,42000,49.55,49.9,49.33,49.9,42000,0.0,1.0
2006-07-31,50.75,50.77,49.75,50.15,68100,50.75,50.77,49.75,50.15,68100,0.0,1.0
2006-08-01,50.75,51.23,50.68,50.75,191700,50.75,51.23,50.68,50.75,191700,0.0,1.0
2006-08-02,51.59,52.05,51.27,51.6,148100,51.59,52.05,51.27,51.6,148100,0.0,1.0
2006-08-03,50.77,50.92,50.57,50.9,138800,50.77,50.92,50.57,50.9,138800,0.0,1.0
2006-08-04,50.6,51.07,50.37,50.95,94600,50.6,51.07,50.37,50.95,94600,0.0,1.0
2006-08-07,51.33,51.51,50.85,51.0,204200,51.33,51.51,50.85,51.0,204200,0.0,1.0
2006-08-08,51.1,51.4,50.93,51.05,52100,51.1,51.4,50.93,51.05,52100,0.0,1.0
2006-08-09,51.33,51.88,51.2,51.3,166200,51.33,51.88,51.2,51.3,166200,0.0,1.0
2006-08-10,50.0,50.95,49.9,50.95,117000,50.0,50.95,49.9,50.95,117000,0.0,1.0
2006-08-11,49.85,50.33,49.63,50.2,18600,49.85,50.33,49.63,50.2,18600,0.0,1.0
2006-08-14,48.98,49.03,48.63,48.95,19800,48.98,49.03,48.63,48.95,19800,0.0,1.0
2006-08-15,48.85,49.14,48.85,49.05,16300,48.85,49.14,48.85,49.05,16300,0.0,1.0
2006-08-16,48.45,48.95,48.4,48.9,33200,48.45,48.95,48.4,48.9,33200,0.0,1.0
2006-08-17,47.73,48.0,47.55,48.0,16400,47.73,48.0,47.55,48.0,16400,0.0,1.0
2006-08-18,47.87,48.12,47.46,47.95,29000,47.87,48.12,47.46,47.95,29000,0.0,1.0
2006-08-21,48.43,48.5,48.15,48.4,82700,48.43,48.5,48.15,48.4,82700,0.0,1.0
2006-08-22,48.56,48.72,48.28,48.5,34700,48.56,48.72,48.28,48.5,34700,0.0,1.0
2006-08-23,48.03,48.58,47.6,48.58,145600,48.03,48.58,47.6,48.58,145600,0.0,1.0
2006-08-24,48.55,48.55,47.91,48.0,189400,48.55,48.55,47.91,48.0,189400,0.0,1.0
2006-08-25,48.44,49.15,48.44,49.05,65300,48.44,49.15,48.44,49.05,65300,0.0,1.0
2006-08-28,47.24,47.75,47.22,47.74,239200,47.24,47.75,47.22,47.74,239200,0.0,1.0
2006-08-29,47.01,47.1,46.6,46.9,25200,47.01,47.1,46.6,46.9,25200,0.0,1.0
2006-08-30,47.0,47.01,46.45,47.01,16200,47.0,47.01,46.45,47.01,16200,0.0,1.0
2006-08-31,47.13,47.13,46.7,47.0,21600,47.13,47.13,46.7,47.0,21600,0.0,1.0
2006-09-01,46.5,47.0,46.43,47.0,49800,46.5,47.0,46.43,47.0,49800,0.0,1.0
2006-09-05,46.22,46.53,46.12,46.25,35500,46.22,46.53,46.12,46.25,35500,0.0,1.0
2006-09-06,45.82,46.28,45.7,45.9,16900,45.82,46.28,45.7,45.9,16900,0.0,1.0
2006-09-07,45.5,45.71,45.25,45.7,90800,45.5,45.71,45.25,45.7,90800,0.0,1.0
2006-09-08,44.71,45.6,44.62,45.6,81500,44.71,45.6,44.62,45.6,81500,0.0,1.0
2006-09-11,43.91,44.36,43.75,44.1,77000,43.91,44.36,43.75,44.1,77000,0.0,1.0
2006-09-12,43.37,44.3,43.2,44.1,234500,43.37,44.3,43.2,44.1,234500,0.0,1.0
2006-09-13,43.27,43.54,42.99,43.54,143700,43.27,43.54,42.99,43.54,143700,0.0,1.0
2006-09-14,42.37,43.2,42.25,43.1,102700,42.37,43.2,42.25,43.1,102700,0.0,1.0
2006-09-15,42.2,42.4,41.84,42.4,75100,42.2,42.4,41.84,42.4,75100,0.0,1.0
2006-09-18,42.65,42.88,42.0,42.35,25500,42.65,42.88,42.0,42.35,25500,0.0,1.0
2006-09-19,41.5,42.84,41.5,42.78,222400,41.5,42.84,41.5,42.78,222400,0.0,1.0
2006-09-20,41.0,41.45,40.9,41.15,173800,41.0,41.45,40.9,41.15,173800,0.0,1.0
2006-09-21,41.45,41.5,40.85,41.05,99200,41.45,41.5,40.85,41.05,99200,0.0,1.0
2006-09-22,40.94,41.65,40.75,41.65,26100,40.94,41.65,40.75,41.65,26100,0.0,1.0
2006-09-25,41.0,41.31,40.25,40.3,53400,41.0,41.31,40.25,40.3,53400,0.0,1.0
2006-09-26,41.3,41.45,40.92,41.05,76700,41.3,41.45,40.92,41.05,76700,0.0,1.0
2006-09-27,41.98,41.98,40.68,41.4,112200,41.98,41.98,40.68,41.4,112200,0.0,1.0
2006-09-28,41.84,42.3,41.73,42.0,351600,41.84,42.3,41.73,42.0,351600,0.0,1.0
2006-09-29,42.07,42.14,41.3,41.7,245800,42.07,42.14,41.3,41.7,245800,0.0,1.0
2006-10-02,41.28,42.11,41.12,42.05,17800,41.28,42.11,41.12,42.05,17800,0.0,1.0
2006-10-03,40.28,40.72,40.1,40.72,25300,40.28,40.72,40.1,40.72,25300,0.0,1.0
2006-10-04,40.67,40.71,39.74,40.39,203200,40.67,40.71,39.74,40.39,203200,0.0,1.0
2006-10-05,41.06,41.53,40.99,41.5,153200,41.06,41.53,40.99,41.5,153200,0.0,1.0
2006-10-06,41.4,41.41,40.8,41.2,111200,41.4,41.41,40.8,41.2,111200,0.0,1.0
2006-10-09,41.85,42.28,41.79,41.95,152700,41.85,42.28,41.79,41.95,152700,0.0,1.0
2006-10-10,41.15,41.56,41.15,41.55,42800,41.15,41.56,41.15,41.55,42800,0.0,1.0
2006-10-11,40.8,42.28,40.8,41.15,47200,40.8,42.28,40.8,41.15,47200,0.0,1.0
2006-10-12,40.93,41.1,40.66,40.95,20200,40.93,41.1,40.66,40.95,20200,0.0,1.0
2006-10-13,41.45,41.66,41.25,41.25,62600,41.45,41.66,41.25,41.25,62600,0.0,1.0
2006-10-16,42.4,42.42,41.35,41.5,55500,42.4,42.42,41.35,41.5,55500,0.0,1.0
2006-10-17,41.85,42.76,41.77,42.75,58600,41.85,42.76,41.77,42.75,58600,0.0,1.0
2006-10-18,41.4,42.05,41.04,41.7,28100,41.4,42.05,41.04,41.7,28100,0.0,1.0
2006-10-19,41.89,42.05,41.15,41.6,79100,41.89,42.05,41.15,41.6,79100,0.0,1.0
2006-10-20,41.5,42.05,41.3,42.0,213600,41.5,42.05,41.3,42.0,213600,0.0,1.0
2006-10-23,41.1,41.2,40.77,41.0,284400,41.1,41.2,40.77,41.0,284400,0.0,1.0
2006-10-24,41.6,41.6,40.87,41.05,59100,41.6,41.6,40.87,41.05,59100,0.0,1.0
2006-10-25,42.63,42.68,41.65,41.65,42400,42.63,42.68,41.65,41.65,42400,0.0,1.0
2006-10-26,42.15,42.75,41.9,42.58,42700,42.15,42.75,41.9,42.58,42700,0.0,1.0
2006-10-27,42.15,42.28,41.87,42.15,52400,42.15,42.28,41.87,42.15,52400,0.0,1.0
2006-10-30,40.94,41.57,40.69,41.5,97300,40.94,41.57,40.69,41.5,97300,0.0,1.0
2006-10-31,41.0,41.02,40.08,40.55,121600,41.0,41.02,40.08,40.55,121600,0.0,1.0
2006-11-01,41.0,41.25,40.4,41.05,112000,41.0,41.25,40.4,41.05,112000,0.0,1.0
2006-11-02,40.7,41.26,40.57,40.8,61800,40.7,41.26,40.57,40.8,61800,0.0,1.0
2006-11-03,41.31,41.48,40.95,41.05,83500,41.31,41.48,40.95,41.05,83500,0.0,1.0
2006-11-06,41.65,41.87,41.3,41.3,132800,41.65,41.87,41.3,41.3,132800,0.0,1.0
