date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-03-04,26.33,26.34,26.25,26.3,2801,21.8080879096412,21.8163705104424,21.7418271032314,21.7832401072375,2801,0.0,1.0
2016-03-07,25.96,25.96,25.93,25.96,14096,21.5016316799957,21.5016316799957,21.476783877592,21.5016316799957,14096,0.0,1.0
2016-03-08,25.88,25.9155,25.79,25.8,12110,21.4353708735858,21.4647741064302,21.3608274663747,21.369110067176,12110,0.0,1.0
2016-03-09,25.55,25.69,25.55,25.69,10000,21.1620450471452,21.2780014583624,21.1620450471452,21.2780014583624,10000,0.0,1.0
2016-03-10,25.64,25.64,25.63,25.63,2540,21.2365884543563,21.2365884543563,21.228305853555,21.228305853555,2540,0.0,1.0
2016-03-11,26.08,26.19,26.06,26.12,15000,21.6010228896104,21.692131498424,21.584457688008,21.6341532928154,15000,0.0,1.0
2016-03-14,26.37,27.26,26.3,27.26,135540,21.8412183128461,22.5783697841557,21.7832401072375,22.5783697841557,135540,0.0,1.0
2016-03-15,26.09,26.09,26.03,26.03,602,21.6093054904117,21.6093054904117,21.5596098856043,21.5596098856043,602,0.0,1.0
2016-03-16,26.1999,26.1999,26.16,26.16,456,21.7003312732172,21.7003312732172,21.6672836960203,21.6672836960203,456,0.0,1.0
2016-03-17,26.1999,26.1999,26.1999,26.1999,0,21.7003312732172,21.7003312732172,21.7003312732172,21.7003312732172,0,0.0,1.0
2016-03-18,26.14,26.18,26.14,26.16,15000,21.6507184944178,21.6838488976227,21.6507184944178,21.6672836960203,15000,0.0,1.0
2016-03-21,26.25,26.55,26.16,26.23,2172,21.7418271032314,21.9903051272683,21.6672836960203,21.7252619016289,2172,0.0,1.0
2016-03-22,26.47,26.47,26.27,26.38,15124,21.9240443208584,21.9240443208584,21.7583923048338,21.8495009136474,15124,0.0,1.0
2016-03-23,26.32,26.32,26.32,26.32,120,21.79980530884,21.79980530884,21.79980530884,21.79980530884,120,0.0,1.0
2016-03-24,25.965,26.01,25.95,25.97,15040,21.5057729803963,21.5430446840018,21.4933490791944,21.5099142807969,15040,0.0,1.0
2016-03-28,26.315,26.42,26.23,26.23,14911,21.7956640084394,21.8826313168523,21.7252619016289,21.7252619016289,14911,0.0,1.0
2016-03-29,26.39,26.39,26.33,26.33,200,21.8577835144486,21.8577835144486,21.8080879096412,21.8080879096412,200,0.0,1.0
2016-03-30,26.39,26.39,26.39,26.39,0,21.8577835144486,21.8577835144486,21.8577835144486,21.8577835144486,0,0.0,1.0
2016-03-31,26.3199,26.3199,26.3199,26.3199,500,21.799722482832,21.799722482832,21.799722482832,21.799722482832,500,0.0,1.0
2016-04-01,25.5599,25.56,25.5539,25.5539,1595,21.1702448219384,21.1703276479464,21.1652752614577,21.1652752614577,1595,0.0,1.0
2016-04-04,25.58,25.635,25.54,25.635,695,21.1868928495489,21.2324471539557,21.153762446344,21.2324471539557,695,0.0,1.0
2016-04-05,25.098,25.098,25.05,25.05,257,20.7876714909295,20.7876714909295,20.7479150070836,20.7479150070836,257,0.0,1.0
2016-04-06,25.2,25.37,25.2,25.37,606,20.8721540191021,21.012958232723,20.8721540191021,21.012958232723,606,0.0,1.0
2016-04-07,25.4596,25.56,25.4596,25.56,3100,21.0871703359021,21.1703276479464,21.0871703359021,21.1703276479464,3100,0.0,1.0
2016-04-08,26.06,26.06,26.06,26.06,100,21.584457688008,21.584457688008,21.584457688008,21.584457688008,100,0.0,1.0
2016-04-11,26.0499,26.12,26.0499,26.12,323,21.5760922611987,21.6341532928154,21.5760922611987,21.6341532928154,323,0.0,1.0
2016-04-12,26.35,26.35,26.35,26.35,157,21.8246531112437,21.8246531112437,21.8246531112437,21.8246531112437,157,0.0,1.0
2016-04-13,26.35,26.35,26.35,26.35,0,21.8246531112437,21.8246531112437,21.8246531112437,21.8246531112437,0,0.0,1.0
2016-04-14,27.28,27.42,27.2,27.2,23059,22.5949349857582,22.7108913969754,22.5286741793483,22.5286741793483,23059,0.0,1.0
2016-04-15,27.28,27.28,27.28,27.28,30,22.5949349857582,22.5949349857582,22.5949349857582,22.5949349857582,30,0.0,1.0
2016-04-18,27.28,27.28,27.28,27.28,25,22.5949349857582,22.5949349857582,22.5949349857582,22.5949349857582,25,0.0,1.0
2016-04-19,27.5543,27.5543,27.5543,27.5543,103,22.8221267257359,22.8221267257359,22.8221267257359,22.8221267257359,103,0.0,1.0
2016-04-20,27.6018,27.6018,27.599,27.6,1961,22.8614690795418,22.8614690795418,22.8591499513174,22.8599782113975,1961,0.0,1.0
2016-04-21,27.6018,27.6018,27.6018,27.6018,0,22.8614690795418,22.8614690795418,22.8614690795418,22.8614690795418,0,0.0,1.0
2016-04-22,27.72,27.8099,27.72,27.8083,5100,22.9593694210123,23.0338300022154,22.9593694210123,23.0325047860872,5100,0.0,1.0
2016-04-25,27.45,27.45,27.42,27.42,2132,22.7357391993791,22.7357391993791,22.7108913969754,22.7108913969754,2132,0.0,1.0
2016-04-26,27.38,27.4,27.38,27.39,3600,22.6777609937705,22.6943261953729,22.6777609937705,22.6860435945717,3600,0.0,1.0
2016-04-27,27.38,27.38,27.38,27.38,0,22.6777609937705,22.6777609937705,22.6777609937705,22.6777609937705,0,0.0,1.0
2016-04-28,26.68,26.71,26.68,26.71,1100,22.0979789376843,22.122826740088,22.0979789376843,22.122826740088,1100,0.0,1.0
2016-04-29,26.68,26.68,26.68,26.68,0,22.0979789376843,22.0979789376843,22.0979789376843,22.0979789376843,0,0.0,1.0
2016-05-02,26.73,26.73,26.73,26.73,200,22.1393919416904,22.1393919416904,22.1393919416904,22.1393919416904,200,0.0,1.0
2016-05-03,26.3522,26.36,26.3522,26.36,318,21.8264752834199,21.8329357120449,21.8264752834199,21.8329357120449,318,0.0,1.0
2016-05-04,26.209,26.209,26.209,26.209,100,21.7078684399463,21.7078684399463,21.7078684399463,21.7078684399463,100,0.0,1.0
2016-05-05,26.209,26.209,26.209,26.209,0,21.7078684399463,21.7078684399463,21.7078684399463,21.7078684399463,0,0.0,1.0
2016-05-06,26.49,26.49,26.49,26.49,100,21.9406095224609,21.9406095224609,21.9406095224609,21.9406095224609,100,0.0,1.0
2016-05-09,26.49,26.529,26.49,26.49,1690,21.9406095224609,21.9729116655857,21.9406095224609,21.9406095224609,1690,0.0,1.0
2016-05-10,26.49,26.49,26.49,26.49,37,21.9406095224609,21.9406095224609,21.9406095224609,21.9406095224609,37,0.0,1.0
2016-05-11,26.49,26.49,26.49,26.49,0,21.9406095224609,21.9406095224609,21.9406095224609,21.9406095224609,0,0.0,1.0
2016-05-12,26.49,26.49,26.49,26.49,0,21.9406095224609,21.9406095224609,21.9406095224609,21.9406095224609,0,0.0,1.0
2016-05-13,26.59,26.62,26.57,26.58,5900,22.0234355304732,22.0482833328769,22.0068703288708,22.015152929672,5900,0.0,1.0
2016-05-16,26.66,26.69,26.5975,26.62,15002,22.0814137360818,22.1062615384855,22.0296474810741,22.0482833328769,15002,0.0,1.0
2016-05-17,26.76,26.76,26.76,26.76,5437,22.1642397440941,22.1642397440941,22.1642397440941,22.1642397440941,5437,0.0,1.0
2016-05-18,26.63,26.66,26.62,26.66,1399,22.0565659336781,22.0814137360818,22.0482833328769,22.0814137360818,1399,0.0,1.0
2016-05-19,26.63,26.63,26.63,26.63,55,22.0565659336781,22.0565659336781,22.0565659336781,22.0565659336781,55,0.0,1.0
2016-05-20,26.62,26.62,26.62,26.62,174,22.0482833328769,22.0482833328769,22.0482833328769,22.0482833328769,174,0.0,1.0
2016-05-23,26.62,26.62,26.62,26.62,0,22.0482833328769,22.0482833328769,22.0482833328769,22.0482833328769,0,0.0,1.0
2016-05-24,26.6,26.61,26.6,26.61,2481,22.0317181312744,22.0400007320757,22.0317181312744,22.0400007320757,2481,0.0,1.0
2016-05-25,26.9599,26.9599,26.8417,26.8417,1642,22.3298089341107,22.3298089341107,22.2319085926402,22.2319085926402,1642,0.0,1.0
2016-05-26,26.7722,26.83,26.7722,26.83,1075,22.1743445170716,22.2222179497028,22.1743445170716,22.2222179497028,1075,0.0,1.0
2016-05-27,26.88,26.88,26.88,26.88,2001,22.2636309537089,22.2636309537089,22.2636309537089,22.2636309537089,2001,0.0,1.0
2016-05-31,26.88,26.97,26.87,26.97,5505,22.2636309537089,22.33817436092,22.2553483529077,22.33817436092,5505,0.0,1.0
2016-06-01,26.87,26.87,26.84,26.85,1559,22.2553483529077,22.2553483529077,22.230500550504,22.2387831513052,1559,0.0,1.0
2016-06-02,26.68,26.7,26.62,26.62,801,22.0979789376843,22.1145441392868,22.0482833328769,22.0482833328769,801,0.0,1.0
2016-06-03,26.77,26.8099,26.77,26.77,806,22.1725223448954,22.2055699220923,22.1725223448954,22.1725223448954,806,0.0,1.0
2016-06-06,27.09,27.09,27.09,27.09,100,22.4375655705348,22.4375655705348,22.4375655705348,22.4375655705348,100,0.0,1.0
2016-06-07,27.09,27.09,27.09,27.09,0,22.4375655705348,22.4375655705348,22.4375655705348,22.4375655705348,0,0.0,1.0
2016-06-08,27.4942,27.5301,27.4942,27.5301,480,22.7723482949205,22.8020828317969,22.7723482949205,22.8020828317969,480,0.0,1.0
2016-06-09,27.19,27.19,27.19,27.19,400,22.5203915785471,22.5203915785471,22.5203915785471,22.5203915785471,400,0.0,1.0
2016-06-10,26.77,26.77,26.77,26.77,355,22.1725223448954,22.1725223448954,22.1725223448954,22.1725223448954,355,0.0,1.0
2016-06-13,26.35,26.43,26.35,26.39,600,21.8246531112437,21.8909139176535,21.8246531112437,21.8577835144486,600,0.0,1.0
2016-06-14,26.05,26.14,26.05,26.14,200,21.5761750872067,21.6507184944178,21.5761750872067,21.6507184944178,200,0.0,1.0
2016-06-15,26.42,26.42,26.42,26.42,219,21.8826313168523,21.8826313168523,21.8826313168523,21.8826313168523,219,0.0,1.0
2016-06-16,26.3183,26.3183,26.24,26.24,391,21.7983972667038,21.7983972667038,21.7335445024301,21.7335445024301,391,0.0,1.0
2016-06-17,26.326,26.326,26.326,26.326,200,21.8047748693207,21.8047748693207,21.8047748693207,21.8047748693207,200,0.0,1.0
2016-06-20,26.326,26.326,26.326,26.326,0,21.8047748693207,21.8047748693207,21.8047748693207,21.8047748693207,0,0.0,1.0
2016-06-21,26.326,26.326,26.326,26.326,0,21.8047748693207,21.8047748693207,21.8047748693207,21.8047748693207,0,0.0,1.0
2016-06-22,26.9394,26.9394,26.914,26.9383,750,22.3128296024682,22.3128296024682,22.2917917964331,22.3119185163801,750,0.0,1.0
2016-06-23,27.07,27.07,27.07,27.07,350,22.5836458008661,22.5836458008661,22.5836458008661,22.5836458008661,350,0.19637,1.0
2016-06-24,26.21,26.3,25.98,25.98,2038,21.8661749701034,21.9412591268111,21.6742932362948,21.6742932362948,2038,0.0,1.0
2016-06-27,25.99,26.03,25.79,25.79,600,21.6826359203734,21.716006656688,21.5157822388007,21.5157822388007,600,0.0,1.0
2016-06-28,26.42,26.45,26.27,26.4,1080,22.0413713357548,22.0663993879907,21.9162310745752,22.0246859675975,1080,0.0,1.0
2016-06-29,26.75,26.79,26.6728,26.6728,4880,22.3166799103497,22.3500506466643,22.2522743892627,22.2522743892627,4880,0.0,1.0
2016-06-30,26.45,26.45,26.45,26.45,326,22.0663993879907,22.0663993879907,22.0663993879907,22.0663993879907,326,0.0,1.0
2016-07-01,26.5,26.5,26.5,26.5,560,22.1081128083839,22.1081128083839,22.1081128083839,22.1081128083839,560,0.0,1.0
2016-07-05,26.5,26.5,26.5,26.5,95,22.1081128083839,22.1081128083839,22.1081128083839,22.1081128083839,95,0.0,1.0
2016-07-06,26.55,26.55,26.55,26.55,835,22.149826228777,22.149826228777,22.149826228777,22.149826228777,835,0.0,1.0
2016-07-07,26.59,26.59,26.59,26.59,202,22.1831969650916,22.1831969650916,22.1831969650916,22.1831969650916,202,0.0,1.0
2016-07-08,26.49,26.49,26.49,26.49,215,22.0997701243052,22.0997701243052,22.0997701243052,22.0997701243052,215,0.0,1.0
2016-07-11,27.328,27.328,27.1899,27.2016,1950,22.7988870500949,22.7988870500949,22.6836745829689,22.6934355233409,1950,0.0,1.0
2016-07-12,27.3814,27.39,27.3717,27.39,1375,22.8434369830748,22.8506116913824,22.8353445795185,22.8506116913824,1375,0.0,1.0
2016-07-13,27.197,27.25,27.197,27.25,850,22.6895978886647,22.7338141142815,22.6895978886647,22.7338141142815,850,0.0,1.0
2016-07-14,27.22,27.24,27.22,27.24,3132,22.7087860620456,22.7254714302029,22.7087860620456,22.7254714302029,3132,0.0,1.0
