date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-09-16,40.55,40.623,40.2,40.28,1013241,40.4356281867421,40.5084222892731,40.0866153663879,40.166389725326,1013241,0.0,1.0
2021-09-17,40.35,41.05,40.19,40.95,803065,40.2361922893969,40.9342179301051,40.0766435715207,40.8344999814325,803065,0.0,1.0
2021-09-20,39.47,39.7999,38.95,39.73,827201,39.3586743410779,39.6876438537488,38.8401410079804,39.6179410076267,827201,0.0,1.0
2021-09-21,39.76,39.9,39.41,39.8,688362,39.6478563922285,39.7874615203701,39.2988435718744,39.6877435716975,688362,0.0,1.0
2021-09-22,40.21,40.28,39.77,40.15,586200,40.0965871612552,40.166389725326,39.6578281870957,40.0367563920516,586200,0.0,1.0
2021-09-23,40.73,40.779,40.3,40.59,462341,40.6151204943528,40.6639822892023,40.1863333150606,40.4755153662111,462341,0.0,1.0
2021-09-24,40.53,40.5824,40.25,40.43,689821,40.4156845970075,40.467936802112,40.1364743407242,40.3159666483349,689821,0.0,1.0
2021-09-27,40.1889,40.4,39.94,40.4,547269,40.0755466740853,40.2860512637332,39.8273486998392,40.2860512637332,547269,0.0,1.0
2021-09-28,38.86,39.83,38.8,39.83,494063,38.750394854175,39.7176589562993,38.6905640849714,39.7176589562993,494063,0.0,1.0
2021-09-29,38.37,39.15,38.3,39.15,259439,38.2617769056792,39.0395769053256,38.1919743416084,39.0395769053256,259439,0.0,1.0
2021-09-30,38.48,38.79,38.39,38.67,116722,38.3714666492191,38.6805922901042,38.2817204954138,38.5609307516971,116722,0.0,1.0
2021-10-01,38.72,38.839,38.1,38.76,193866,38.6107897260334,38.7294540849538,37.9925384442632,38.6506769055024,193866,0.0,1.0
2021-10-04,37.48,38.38,37.21,38.38,238818,37.374287162493,38.2717487005465,37.105048701077,38.2717487005465,238818,0.0,1.0
2021-10-05,37.89,38.1199,37.5904,37.72,99693,37.7831307520507,38.012382316049,37.4843757778276,37.6136102393073,99693,0.0,1.0
2021-10-06,38.05,38.085,37.25,37.37,135939,37.9426794699269,37.9775807519623,37.144935880546,37.2645974189532,135939,0.0,1.0
2021-10-07,38.81,39.11,38.65,38.65,131399,38.7005358798387,38.9996897258565,38.5409871619625,38.5409871619625,131399,0.0,1.0
2021-10-08,38.5,38.9148,38.445,38.87,149527,38.3914102389536,38.8050402900476,38.3365653671837,38.7603666490423,149527,0.0,1.0
2021-10-11,38.07,38.61,38.07,38.4,80777,37.9626230596614,38.5010999824935,37.9626230596614,38.291692290281,80777,0.0,1.0
2021-10-12,38.27,38.5,37.9418,38.11,69803,38.1620589570066,38.3914102389536,37.8347846494631,38.0025102391305,69803,0.0,1.0
2021-10-13,38.78,38.82,38.431,38.49,107589,38.6706204952369,38.710507674706,38.3226048543695,38.3814384440864,107589,0.0,1.0
2021-10-14,39.45,39.55,39.29,39.29,103914,39.3387307513434,39.438448700016,39.1791820334672,39.1791820334672,103914,0.0,1.0
2021-10-15,39.66,39.8,39.5111,39.73,101190,39.5481384435559,39.6877435716975,39.3996584179824,39.6179410076267,101190,0.0,1.0
2021-10-18,39.88,39.905,39.501,39.54,224933,39.7675179306356,39.7924474178038,39.3895869051664,39.4284769051487,224933,0.0,1.0
2021-10-19,40.5,40.556,40.18,40.18,221832,40.3857692124058,40.4416112636624,40.0666717766534,40.0666717766534,221832,0.0,1.0
2021-10-20,40.42,40.68,40.301,40.5,157563,40.3059948534677,40.5652615200165,40.1873304945473,40.3857692124058,157563,0.0,1.0
2021-10-21,40.69,40.75,40.35,40.37,167659,40.5752333148837,40.6350640840873,40.2361922893969,40.2561358791314,167659,0.0,1.0
2021-10-22,40.46,40.8881,40.32,40.69,105411,40.3458820329367,40.7727745712042,40.2062769047951,40.5752333148837,105411,0.0,1.0
2021-10-25,40.62,40.76,40.44,40.62,117707,40.5054307508129,40.6450358789545,40.3259384432022,40.5054307508129,117707,0.0,1.0
2021-10-26,40.41,40.9781,40.38,40.77,128288,40.2960230586004,40.8625207250095,40.2661076739986,40.6550076738218,128288,0.0,1.0
2021-10-27,39.97,40.62,39.91,40.29,174617,39.8572640844409,40.5054307508129,39.7974333152374,40.1763615201933,174617,0.0,1.0
2021-10-28,40.39,40.39,39.83,40.03,101411,40.2760794688659,40.2760794688659,39.7176589562993,39.9170948536445,101411,0.0,1.0
2021-10-29,40.31,40.46,40.21,40.22,90543,40.1963051099278,40.3458820329367,40.0965871612552,40.1065589561225,90543,0.0,1.0
2021-11-01,40.96,40.96,40.5,40.5,127735,40.8444717762998,40.8444717762998,40.3857692124058,40.3857692124058,127735,0.0,1.0
2021-11-02,40.92,40.98,40.7,40.9,199944,40.8045845968307,40.8644153660343,40.585205109751,40.7846410070962,199944,0.0,1.0
2021-11-03,40.96,40.99,40.6,40.83,87306,40.8444717762998,40.8743871609015,40.4854871610784,40.7148384430254,87306,0.0,1.0
2021-11-04,41.32,41.445,40.96,40.96,99709,41.2034563915211,41.3281038273619,40.8444717762998,40.8444717762998,99709,0.0,1.0
2021-11-05,41.51,41.97,41.355,41.96,195060,41.3929204939991,41.8516230578931,41.2383576735565,41.8416512630258,195060,0.0,1.0
