date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2011-09-22,33.0,33.0,30.84,31.41,112400,22.1150594834285,22.1150594834285,20.6675283172405,21.0495157083179,112400,0.0,1.0
2011-09-23,31.1,31.22,30.68,30.68,21700,20.8417681798372,20.9221865779587,20.5603037864117,20.5603037864117,21700,0.0,1.0
2011-09-26,31.3,31.3,30.56,31.21,11300,20.9757988433731,20.9757988433731,20.4798853882902,20.915485044782,11300,0.0,1.0
2011-09-27,32.17,32.97,32.17,32.5,10300,21.5588322297544,22.0949548838981,21.5588322297544,21.7799828245887,10300,0.0,1.0
2011-09-28,31.24,32.26,31.24,32.079,8500,20.9355896443123,21.6191460283456,20.9355896443123,21.4978482778456,8500,0.0,1.0
2011-09-29,31.4,32.01,31.28,31.96,3000,21.0428141751411,21.4516076989257,20.9623957770195,21.4181000330417,3000,0.0,1.0
2011-09-30,30.57,31.75,30.57,31.75,4100,20.486586921467,21.277367836329,20.486586921467,21.277367836329,4100,0.0,1.0
2011-10-03,29.6,30.43,29.6,30.43,167800,19.8365382033177,20.3927654569918,19.8365382033177,20.3927654569918,167800,0.0,1.0
2011-10-04,29.98,31.5,28.64,29.0,41600,20.091196464036,21.1098295069091,19.1931910183452,19.4344462127099,41600,0.0,1.0
2011-10-05,30.79,30.79,30.24,30.24,36100,20.6340206513565,20.6340206513565,20.2654363266327,20.2654363266327,36100,0.0,1.0
2011-10-06,31.83,31.83,31.14,31.14,17900,21.3309801017433,21.3309801017433,20.8685743125444,20.8685743125444,17900,0.0,1.0
2011-10-07,31.71,32.29,31.41,32.29,62500,21.2505617036218,21.639250627876,21.0495157083179,21.639250627876,62500,0.0,1.0
2011-10-10,32.69,32.69,32.48,32.48,2600,21.9073119549478,21.9073119549478,21.7665797582351,21.7665797582351,2600,0.0,1.0
2011-10-11,32.88,33.0,32.48,32.48,14200,22.034641085307,22.1150594834285,21.7665797582351,21.7665797582351,14200,0.0,1.0
2011-10-12,33.37,33.5,33.35,33.35,12400,22.36301621097,22.4501361422684,22.3496131446164,22.3496131446164,12400,0.0,1.0
2011-10-13,33.12,33.64,32.84,33.64,7500,22.1954778815501,22.5439576067435,22.0078349525998,22.5439576067435,7500,0.0,1.0
2011-10-14,33.95,33.95,33.69,33.69,11400,22.7517051352242,22.7517051352242,22.5774652726275,22.5774652726275,11400,0.0,1.0
2011-10-17,33.43,33.43,33.43,33.43,5600,22.4032254100308,22.4032254100308,22.4032254100308,22.4032254100308,5600,0.0,1.0
2011-10-18,33.78,33.78,33.65,33.65,127300,22.6377790712187,22.6377790712187,22.5506591399203,22.5506591399203,127300,0.0,1.0
2011-10-19,33.22,33.5,33.1,33.5,4700,22.2624932133181,22.4501361422684,22.1820748151965,22.4501361422684,4700,0.0,1.0
2011-10-20,33.05,33.05,33.0,33.0,6500,22.1485671493125,22.1485671493125,22.1150594834285,22.1150594834285,6500,0.0,1.0
2011-10-21,33.79,33.81,33.67,33.81,125700,22.6444806043955,22.6578836707491,22.5640622062739,22.6578836707491,125700,0.0,1.0
2011-10-24,34.55,34.55,34.2,34.39,44800,23.153797125832,23.153797125832,22.9192434646441,23.0465725950032,44800,0.0,1.0
2011-10-25,34.25,34.61,34.25,34.5499,430400,22.9527511305281,23.1940063248928,22.9527511305281,23.1537301105002,430400,0.0,1.0
2011-10-26,34.81,34.81,34.5,34.5,16300,23.3280369884287,23.3280369884287,23.120289459948,23.120289459948,16300,0.0,1.0
2011-10-27,36.44,36.44,35.98,36.42,38900,24.4203868962465,24.4203868962465,24.1121163701139,24.4069838298929,38900,0.0,1.0
2011-10-28,36.47,36.47,36.44,36.44,20400,24.4404914957769,24.4404914957769,24.4203868962465,24.4203868962465,20400,0.0,1.0
2011-10-31,35.15,35.47,35.15,35.45,20800,23.5558891164398,23.7703381780973,23.5558891164398,23.7569351117437,20800,0.0,1.0
2011-11-01,33.8,33.94,32.96,32.96,11100,22.6511821375722,22.7450036020474,22.0882533507213,22.0882533507213,11100,0.0,1.0
2011-11-02,34.63,34.99,34.44,34.87,53900,23.2074093912464,23.448664585611,23.0800802608872,23.3682461874895,53900,0.0,1.0
2011-11-03,35.21,35.64,34.96,35.02,66600,23.5960983155006,23.8842642421028,23.4285599860806,23.4687691851414,66600,0.0,1.0
2011-11-04,35.12,35.25,34.88,35.25,91100,23.5357845169094,23.6229044482077,23.3749477206663,23.6229044482077,91100,0.0,1.0
2011-11-07,35.38,35.82,35.15,35.82,20400,23.7100243795061,24.0048918392852,23.5558891164398,24.0048918392852,20400,0.0,1.0
2011-11-08,35.9,35.97,35.55,35.86,20900,24.0585041046995,24.1054148369371,23.8239504435116,24.0316979719923,20900,0.0,1.0
2011-11-09,34.48,35.04,34.18,35.04,10400,23.1068863935944,23.482172251495,22.9058403982905,23.482172251495,10400,0.0,1.0
2011-11-10,34.68,34.68,34.28,34.28,17900,23.2409170571303,23.2409170571303,22.9728557300585,22.9728557300585,17900,0.0,1.0
2011-11-11,35.19,35.26,35.19,35.26,8300,23.582695249147,23.6296059813845,23.582695249147,23.6296059813845,8300,0.0,1.0
2011-11-14,34.87,34.9,34.74,34.74,18200,23.3682461874895,23.3883507870199,23.2811262561911,23.2811262561911,18200,0.0,1.0
2011-11-15,34.83,34.83,33.76,33.76,87000,23.3414400547823,23.3414400547823,22.6243760048651,22.6243760048651,87000,0.0,1.0
2011-11-16,34.35,34.72,34.35,34.67,30000,23.0197664622961,23.2677231898375,23.0197664622961,23.2342155239536,30000,0.0,1.0
2011-11-17,33.3,33.99,33.16,33.99,24400,22.3161054787324,22.7785112679314,22.2222840142573,22.7785112679314,24400,0.0,1.0
2011-11-18,33.43,33.65,33.43,33.59,37700,22.4032254100308,22.5506591399203,22.4032254100308,22.5104499408595,37700,0.0,1.0
2011-11-21,32.55,32.88,32.25,32.88,38400,21.8134904904727,22.034641085307,21.6124444951688,22.034641085307,38400,0.0,1.0
2011-11-22,32.59,32.62,32.35,32.62,77000,21.8402966231799,21.8604012227103,21.6794598269368,21.8604012227103,77000,0.0,1.0
2011-11-23,31.64,31.93,31.56,31.93,16300,21.2036509713842,21.3979954335113,21.1500387059698,21.3979954335113,16300,0.0,1.0
2011-11-25,31.39,31.74,31.38,31.7,8300,21.0361126419643,21.2706663031522,21.0294111087875,21.243860170445,8300,0.0,1.0
2011-11-28,32.28,32.55,32.28,32.55,45100,21.6325490946992,21.8134904904727,21.6325490946992,21.8134904904727,45100,0.0,1.0
2011-11-29,32.68,32.9,32.48,32.61,53200,21.900610421771,22.0480441516606,21.7665797582351,21.8536996895335,53200,0.0,1.0
2011-11-30,33.98,34.3,33.9,34.23,34900,22.7718097347546,22.9862587964121,22.7181974693402,22.9393480641745,34900,0.0,1.0
2011-12-01,34.22,35.5,34.16,34.95,50300,22.9326465309977,23.7904427776277,22.8924373319369,23.4218584529039,50300,0.0,1.0
2011-12-02,34.02,34.67,33.98,34.67,43700,22.7986158674618,23.2342155239536,22.7718097347546,23.2342155239536,43700,0.0,1.0
2011-12-05,34.07,34.74,34.07,34.42,43400,22.8321235333458,23.2811262561911,22.8321235333458,23.0666771945336,43400,0.0,1.0
2011-12-06,34.36,34.36,33.97,34.02,14400,23.0264679954729,23.0264679954729,22.7651082015778,22.7986158674618,14400,0.0,1.0
2011-12-07,34.17,34.27,33.8,33.9,22900,22.8991388651137,22.9661541968817,22.6511821375722,22.7181974693402,22900,0.0,1.0
2011-12-08,32.987,33.429,32.987,33.28,30500,22.1063474902987,22.4025552567131,22.1063474902987,22.3027024123788,30500,0.0,1.0
2011-12-09,33.53,33.57,33.178,33.178,43200,22.4702407417987,22.4970468745059,22.2343467739755,22.2343467739755,43200,0.0,1.0
2011-12-12,32.63,32.79,32.37,32.5,21100,21.8671027558871,21.9743272867158,21.6928628932903,21.7799828245887,21100,0.0,1.0
2011-12-13,32.39,33.3,32.36,33.3,42600,21.7062659596439,22.3161054787324,21.6861613601136,22.3161054787324,42600,0.0,1.0
2011-12-14,31.46,31.64,31.46,31.64,19400,21.0830233742019,21.2036509713842,21.0830233742019,21.2036509713842,19400,0.0,1.0
2011-12-15,31.76,31.83,31.76,31.83,49900,21.2840693695058,21.3309801017433,21.2840693695058,21.3309801017433,49900,0.0,1.0
2011-12-16,32.08,32.23,31.85,32.23,64400,21.4985184311632,21.5990414288152,21.3443831680969,21.5990414288152,64400,0.0,1.0
2011-12-19,31.53,31.9,31.39,31.9,90700,21.1299341064394,21.3778908339809,21.0361126419643,21.3778908339809,90700,0.0,1.0
2011-12-20,32.46,32.47,32.41,32.43,72900,21.7531766918815,21.7598782250583,21.7196690259975,21.7330720923511,72900,0.0,1.0
2011-12-21,32.56,32.74,32.37,32.42,164200,21.8201920236495,21.9408196208318,21.6928628932903,21.7263705591743,164200,0.0,1.0
2011-12-22,33.169,33.169,32.86,32.9,20300,22.2283153941164,22.2283153941164,22.0212380189534,22.0480441516606,20300,0.0,1.0
2011-12-23,33.18,33.46,33.16,33.18,89900,22.2356870806109,22.4233300095612,22.2222840142573,22.2356870806109,89900,0.0,1.0
2011-12-27,33.34,33.5,33.3,33.37,80800,22.3429116114396,22.4501361422684,22.3161054787324,22.36301621097,80800,0.0,1.0
2011-12-28,32.44,33.91,32.44,33.91,43100,21.8582272453477,22.8487202802016,21.8582272453477,22.8487202802016,43100,0.176756,1.0
2011-12-29,32.848,33.86,32.53,32.53,71700,22.1331395978786,22.8150300409209,21.9188696760531,21.9188696760531,71700,0.0,1.0
2011-12-30,33.0,33.85,32.94,33.85,276000,22.2355579252921,22.8082919930647,22.1951296381552,22.8082919930647,276000,0.0,1.0
2012-01-03,34.46,34.6,34.001,34.01,31000,23.2193129122898,23.3136455822759,22.9100365156926,22.9161007587631,31000,0.0,1.0
2012-01-04,34.1,34.38,34.1,34.24,67300,22.9767431894685,23.1654085294406,22.9767431894685,23.0710758594546,67300,0.0,1.0
2012-01-05,33.92,34.31,33.83,33.97,28200,22.8554583280578,23.1182421944476,22.7948158973524,22.8891485673385,28200,0.0,1.0
2012-01-06,33.71,34.09,33.71,34.09,32600,22.7139593230786,22.9700051416123,22.7139593230786,22.9700051416123,32600,0.0,1.0
2012-01-09,33.8,33.854,33.63,33.76,24600,22.774601753784,22.8109872122072,22.6600549402295,22.7476495623594,24600,0.0,1.0
2012-01-10,34.4,34.5,34.24,34.5,26300,23.1788846251529,23.2462651037144,23.0710758594546,23.2462651037144,26300,0.0,1.0
2012-01-11,34.34,34.34,34.02,34.2,41400,23.138456338016,23.138456338016,22.9228388066193,23.04412366803,41400,0.0,1.0
2012-01-12,34.44,34.57,33.91,34.32,24400,23.2058368165775,23.2934314387075,22.8487202802016,23.1249802423037,24400,0.0,1.0
2012-01-13,34.13,34.29,33.907,34.01,17600,22.9969573330369,23.1047660987353,22.8466988658448,22.9161007587631,17600,0.0,1.0
2012-01-17,34.64,34.83,34.59,34.83,26300,23.3405977737005,23.4686206829673,23.3069075344198,23.4686206829673,26300,0.0,1.0
2012-01-18,35.09,35.37,34.69,34.7,65600,23.6438099272272,23.8324752671994,23.3742880129813,23.3810260608374,65600,0.0,1.0
2012-01-19,35.13,35.27,35.04,35.04,26500,23.6707621186518,23.7650947886379,23.6101196879465,23.6101196879465,26500,0.0,1.0
2012-01-20,35.15,35.15,35.06,35.06,15200,23.6842382143641,23.6842382143641,23.6235957836588,23.6235957836588,15200,0.0,1.0
2012-01-23,35.42,35.49,35.191,35.49,21500,23.8661655064801,23.9133318414732,23.7118642105743,23.9133318414732,21500,0.0,1.0
2012-01-24,35.22,35.22,34.87,34.87,43100,23.7314045493572,23.7314045493572,23.4955728743919,23.4955728743919,43100,0.0,1.0
2012-01-25,35.8,35.82,34.96,35.22,49600,24.1222113250138,24.1356874207261,23.5562153050973,23.7314045493572,49600,0.0,1.0
2012-01-26,35.89,36.065,35.8,35.91,29700,24.1828537557192,24.3007695932018,24.1222113250138,24.1963298514315,29700,0.0,1.0
2012-01-27,36.84,36.84,35.95,35.95,251300,24.8229683020533,24.8229683020533,24.223282042856,24.223282042856,251300,0.0,1.0
2012-01-30,35.688,35.98,35.26,35.98,22500,24.0467451890249,24.2434961864245,23.7583567407818,24.2434961864245,22500,0.0,1.0
2012-01-31,35.62,35.69,35.36,35.61,23600,24.0009264636031,24.0480927985962,23.8257372193432,23.994188415747,23600,0.0,1.0
2012-02-01,36.09,36.58,36.04,36.58,28900,24.3176147128421,24.6477790577934,24.2839244735614,24.6477790577934,28900,0.0,1.0
2012-02-02,36.52,38.18,36.3,36.41,293400,24.6073507706565,25.7258667147773,24.4591137178213,24.5332322442389,293400,0.0,1.0
2012-02-03,36.6,36.839,36.58,36.72,30500,24.6612551535057,24.8222944972677,24.6477790577934,24.7421117277795,30500,0.0,1.0
2012-02-06,36.58,36.79,36.52,36.52,21000,24.6477790577934,24.7892780627726,24.6073507706565,24.6073507706565,21000,0.0,1.0
