date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-05-29,39.6199,39.75,39.39,39.6,550,17738.9348721323,17797.1842727331,17636.0022264895,17730.0250867983,1,0.0,1.0
2015-06-01,38.6099,38.6099,38.6099,38.6099,300,17286.7296868377,17286.7296868377,17286.7296868377,17286.7296868377,0,0.0,1.0
2015-06-02,38.6099,38.6099,38.6099,38.6099,10,17286.7296868377,17286.7296868377,17286.7296868377,17286.7296868377,0,0.0,1.0
2015-06-03,40.0,40.86,40.0,40.86,460,17909.1162492912,18294.1622486509,17909.1162492912,18294.1622486509,0,0.0,1.0
2015-06-04,37.7,38.0,37.7,38.0,849,16879.3420649569,17013.6604368266,16879.3420649569,17013.6604368266,1,0.0,1.0
2015-06-05,39.31,39.91,39.31,39.91,510,17600.1839939909,17868.8207377303,17600.1839939909,17868.8207377303,1,0.0,1.0
2015-06-08,38.91,39.8,38.115,39.8,811,17421.092831498,17819.5706680447,17065.1491460433,17819.5706680447,1,0.0,1.0
2015-06-09,39.4098,39.99,39.4098,39.99,291,17644.8672390329,17904.6389702288,17644.8672390329,17904.6389702288,0,0.0,1.0
2015-06-10,40.71,41.06,40.71,41.06,650,18227.0030627161,18383.7078298974,18227.0030627161,18383.7078298974,1,0.0,1.0
2015-06-11,40.0,40.6699,40.0,40.6699,383,17909.1162492912,18209.0491736762,17909.1162492912,18209.0491736762,0,0.0,1.0
2015-06-12,40.0,40.0,40.0,40.0,136,17909.1162492912,17909.1162492912,17909.1162492912,17909.1162492912,0,0.0,1.0
2015-06-15,38.58,38.63,37.0,37.0,880,17273.3426224413,17295.7290177529,16565.9325305943,16565.9325305943,1,0.0,1.0
2015-06-16,38.39,38.4,38.39,38.39,1497,17188.2743202572,17192.7515993195,17188.2743202572,17188.2743202572,2,0.0,1.0
2015-06-17,39.08,39.08,39.08,39.08,290,17497.2065755575,17497.2065755575,17497.2065755575,17497.2065755575,0,0.0,1.0
2015-06-18,38.57,38.57,38.57,38.57,200,17268.865343379,17268.865343379,17268.865343379,17268.865343379,0,0.0,1.0
2015-06-19,36.03,37.73,35.82,37.73,5830,16131.636461549,16892.7739021439,16037.6136012402,16892.7739021439,11,0.0,1.0
2015-06-22,35.4002,35.4002,35.4002,35.4002,160,15849.6574262039,15849.6574262039,15849.6574262039,15849.6574262039,0,0.0,1.0
2015-06-23,38.54,38.54,38.4701,38.4701,300,17255.433506192,17255.433506192,17224.1373255464,17224.1373255464,0,0.0,1.0
2015-06-24,38.54,38.54,38.54,38.54,0,17255.433506192,17255.433506192,17255.433506192,17255.433506192,0,0.0,1.0
2015-06-25,36.9999,36.9999,36.9999,36.9999,159,16565.8877578037,16565.8877578037,16565.8877578037,16565.8877578037,0,0.0,1.0
2015-06-26,35.0,35.97,35.0,35.97,700,15670.4767181298,16104.7727871751,15670.4767181298,16104.7727871751,1,0.0,1.0
2015-06-29,32.47,33.82,32.47,33.82,3261,14537.7251153621,15142.1577887757,14537.7251153621,15142.1577887757,6,0.0,1.0
2015-06-30,33.0,33.02,32.55,33.02,1274,14775.0209056652,14783.9754637899,14573.5433478607,14783.9754637899,2,0.0,1.0
2015-07-01,29.61,32.75,29.61,31.88,1014,13257.2233035378,14663.0889291071,13257.2233035378,14273.5656506851,2,0.0,1.0
2015-07-02,29.7,29.7,29.7,29.7,412,13297.5188150987,13297.5188150987,13297.5188150987,13297.5188150987,0,0.0,1.0
2015-07-06,26.7601,27.69,26.6,27.5801,6487,11981.2435435664,12397.5857235718,11909.5623057786,12348.3804266769,12,0.0,1.0
2015-07-07,29.2601,29.2601,24.4999,26.0,2817,13100.5633091471,13100.5633091471,10969.2889299002,11640.9255620393,5,0.0,1.0
2015-07-08,25.91,29.1201,25.392,29.1201,2904,11600.6300504784,13037.8814022746,11368.70699505,13037.8814022746,5,0.0,1.0
2015-07-09,27.5484,28.525,27.5484,28.47,3203,12334.1874520493,12771.4385252758,12334.1874520493,12746.813490433,6,0.0,1.0
2015-07-10,26.47,26.75,26.47,26.75,1029,11851.3576779684,11976.7214917135,11851.3576779684,11976.7214917135,2,0.0,1.0
2015-07-13,26.21,26.42,26.21,26.42,433,11734.948422348,11828.9712826568,11734.948422348,11828.9712826568,0,0.0,1.0
2015-07-14,29.35,29.35,26.57,26.57,2608,13140.8140479174,13140.8140479174,11896.1304685917,11896.1304685917,5,0.0,1.0
2015-07-15,26.08,28.647,25.57,28.5,9647,11676.7437945378,12826.0613298361,11448.4025623594,12760.24532762,19,0.0,1.0
2015-07-16,25.13,26.19,25.0,26.19,3752,11251.4022836172,11725.9938642234,11193.197655807,11725.9938642234,7,0.0,1.0
2015-07-17,23.05,24.08,23.05,24.0,8192,10320.128238654,10781.2879820733,10320.128238654,10745.4697495747,16,0.0,1.0
2015-07-20,20.5399,22.5,20.45,22.5,12440,9196.28642122039,10073.8778902263,9156.03568245011,10073.8778902263,24,0.0,1.0
2015-07-21,20.9401,22.37,20.75,21.27,15894,9375.46712929455,10015.6732624161,9290.35405431979,9523.17256556058,31,0.0,1.0
2015-07-22,19.6143,20.3,19.5108,19.84,7195,8781.86947121179,9088.87649651527,8735.52963291675,8882.92165964842,14,0.0,1.0
2015-07-23,19.75,19.98,18.75,19.92,10805,8842.62614808751,8945.60356652094,8394.89824185524,8918.739892147,21,0.0,1.0
2015-07-24,17.8599,19.9,17.59,19.8,12725,7996.37563251788,8909.78533402236,7875.53387062579,8865.01254339913,25,0.0,1.0
2015-07-27,16.27,17.47,16.2,17.09,16204,7284.53303439918,7821.80652187792,7253.19208096292,7651.66991750965,32,0.0,1.0
2015-07-28,18.17,18.21,16.1,16.51,36450,8135.21605624051,8153.1251724898,7208.4192903397,7391.98773189493,72,0.0,1.0
2015-07-29,19.74,20.31,17.76,17.76,142457,8838.14886902519,9093.35377557759,7951.64761468528,7951.64761468528,284,0.0,1.0
2015-07-30,18.5699,19.88,18.2,19.41,19402,8314.2624459428,8900.83077589771,8148.64789342748,8690.39865996854,38,0.0,1.0
2015-07-31,17.35,18.4,17.35,18.04,7035,7768.07917313005,8238.19347467394,7768.07917313005,8077.01142843032,14,0.0,1.0
2015-08-03,15.704,17.111,15.59,16.34,57516,7031.11903947171,7661.07220354053,6980.07805816123,7315.87398783544,115,0.0,1.0
2015-08-04,15.8,17.05,15.29,16.5,53261,7074.10091847001,7633.76080126036,6845.75968629155,7387.51045283261,106,0.0,1.0
2015-08-05,15.4599,16.98,15.15,16.82,15209,6921.82865756041,7602.4198478241,6783.07777941903,7530.78338282694,30,0.0,1.0
2015-08-06,17.34,17.34,14.74,14.74,47153,7763.60189406772,7763.60189406772,6599.5093378638,6599.5093378638,94,0.0,1.0
2015-08-07,15.7499,17.59,15.56,16.84,42896,7051.66975036777,7875.53387062579,6966.64622097426,7539.73794095158,85,0.0,1.0
2015-08-10,18.93,18.9599,15.98,16.028,25501,8475.48926497705,8488.87632937339,7154.69194159182,7176.18288109097,51,0.0,1.0
2015-08-11,18.7999,18.7999,16.84,17.07,45496,8417.23986437623,8417.23986437623,7539.73794095158,7642.71535938501,90,0.0,1.0
2015-08-12,20.15,20.3199,18.43,18.85,26395,9021.71731058042,9097.78628184929,8251.62531186091,8439.67103247846,52,0.0,1.0
2015-08-13,18.51,19.91,18.052,19.91,116556,8287.44354435949,8914.26261308468,8082.3841633051,8914.26261308468,233,0.0,1.0
2015-08-14,18.01,19.17,17.84,19.0,92100,8063.57959124335,8582.94396247279,7987.46584718386,8506.8302184133,184,0.0,1.0
2015-08-17,17.9,18.4299,17.6,18.2,10462,8014.3295215578,8251.58053907028,7880.01114968811,8148.64789342748,20,0.0,1.0
2015-08-18,17.85,18.36,17.35,17.57,10043,7991.94312624618,8220.28435842465,7768.07917313005,7866.57931250115,20,0.0,1.0
2015-08-19,16.11,18.0687,15.5299,18.0687,50969,7212.89656940202,8089.86121933918,6953.16961099667,8089.86121933918,101,0.0,1.0
2015-08-20,14.81,16.24,14.8,16.03,78963,6630.85029130006,7271.10119721221,6626.37301223773,7177.07833690344,157,0.0,1.0
2015-08-21,13.305,14.54,13.19,14.26,139969,5957.01979242047,6509.96375661734,5905.53108320376,6384.5999428723,279,0.0,1.0
2015-08-24,11.32,12.76,10.9,11.0,132535,5068.2798985494,5713.00808352388,4880.23417793184,4925.00696855507,265,0.0,1.0
