date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-06-07,40.8068,40.8068,40.8068,40.8068,0,38.9709635294526,38.9709635294526,38.9709635294526,38.9709635294526,0,0.0,1.0
2023-06-08,41.17,41.17,41.17,41.17,300,39.3178237084889,39.3178237084889,39.3178237084889,39.3178237084889,300,0.0,1.0
2023-06-09,41.14,41.16,41.14,41.16,1512,39.2891733633042,39.3082735934273,39.2891733633042,39.3082735934273,1512,0.0,1.0
2023-06-12,41.34,41.34,41.34,41.34,301,39.4801756645356,39.4801756645356,39.4801756645356,39.4801756645356,301,0.0,1.0
2023-06-13,41.8,42.03,41.69,41.69,12817,39.9194809573679,40.139133603784,39.8144296916906,39.8144296916906,12817,0.0,1.0
2023-06-14,41.8365,41.98,41.52,41.69,8203,39.9543388773426,40.0913830284762,39.6520777356439,39.8144296916906,8203,0.0,1.0
2023-06-15,42.2782,42.2782,41.75,41.75,1221,40.3761674596122,40.3761674596122,39.87173038206,39.87173038206,1221,0.0,1.0
2023-06-16,42.2723,42.2723,42.2723,42.2723,1,40.3705328917259,40.3705328917259,40.3705328917259,40.3705328917259,1,0.0,1.0
2023-06-20,41.47,41.64,41.31,41.64,10840,39.604327160336,39.7666791163827,39.4515253193509,39.7666791163827,10840,0.0,1.0
2023-06-21,41.73,41.73,41.5,41.53,5300,39.8526301519369,39.8526301519369,39.6329775055207,39.6616278507055,5300,0.0,1.0
2023-06-22,41.55,41.55,41.55,41.55,302,39.6807280808286,39.6807280808286,39.6807280808286,39.6807280808286,302,0.0,1.0
2023-06-23,40.7828,40.7828,40.7828,40.7828,302,38.9480432533048,38.9480432533048,38.9480432533048,38.9480432533048,302,0.0,1.0
2023-06-26,40.8828,40.8828,40.8828,40.8828,6,39.0435444039206,39.0435444039206,39.0435444039206,39.0435444039206,6,0.0,1.0
2023-06-27,41.2242,41.2242,41.2242,41.2242,6,39.3695853321226,39.3695853321226,39.3695853321226,39.3695853321226,6,0.0,1.0
