date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-04-13,25.1824,25.1824,24.92,24.92,100,24.8978158401231,24.8978158401231,24.638381200198,24.638381200198,100,0.0,1.0
2023-04-14,24.9836,25.0,24.92,25.0,4084,24.7012624620091,24.7174771270045,24.638381200198,24.7174771270045,4084,0.0,1.0
2023-04-17,25.2665,25.2665,25.2665,25.2665,105,24.9809654331783,24.9809654331783,24.9809654331783,24.9809654331783,105,0.0,1.0
2023-04-18,25.1727,25.1727,25.1727,25.1727,6,24.8882254589978,24.8882254589978,24.8882254589978,24.8882254589978,6,0.0,1.0
2023-04-19,25.2153,25.2153,25.2153,25.2153,400000,24.9303440400222,24.9303440400222,24.9303440400222,24.9303440400222,400000,0.0,1.0
2023-04-20,25.0406,25.0406,25.0406,25.0406,450089,24.7576183098587,24.7576183098587,24.7576183098587,24.7576183098587,450089,0.0,1.0
2023-04-21,25.0637,25.0637,25.0637,25.0637,400001,24.7804572587241,24.7804572587241,24.7804572587241,24.7804572587241,400001,0.0,1.0
2023-04-24,24.9353,24.9353,24.9353,24.9353,0,24.6535082961998,24.6535082961998,24.6535082961998,24.6535082961998,0,0.0,1.0
2023-04-25,24.2109,24.2109,24.2109,24.2109,12,23.9372946789677,23.9372946789677,23.9372946789677,23.9372946789677,12,0.0,1.0
2023-04-26,24.0805,24.0805,24.0805,24.0805,40,23.8083683182732,23.8083683182732,23.8083683182732,23.8083683182732,40,0.0,1.0
2023-04-27,24.3631,24.3631,24.3,24.3,200,24.0877746797169,24.0877746797169,24.0253877674483,24.0253877674483,200,0.0,1.0
2023-04-28,24.6913,24.6913,24.6913,24.6913,42,24.4122657194402,24.4122657194402,24.4122657194402,24.4122657194402,42,0.0,1.0
2023-05-01,24.6684,24.6684,24.6684,24.6684,1,24.3896245103919,24.3896245103919,24.3896245103919,24.3896245103919,1,0.0,1.0
2023-05-02,23.9031,23.9031,23.9031,23.9031,1,23.63297310058,23.63297310058,23.63297310058,23.63297310058,1,0.0,1.0
2023-05-03,23.9817,24.13,23.9817,24.11,200,23.7106848486673,23.8573089229847,23.7106848486673,23.8375349412831,200,0.0,1.0
2023-05-04,23.7652,23.7652,23.7652,23.7652,200,23.4966314967474,23.4966314967474,23.4966314967474,23.4966314967474,200,0.0,1.0
2023-05-05,24.2329,24.2329,24.2329,24.2329,95,23.9590460588394,23.9590460588394,23.9590460588394,23.9590460588394,95,0.0,1.0
