date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-11-10,19.6313,20.01,19.6313,20.01,1240000,19.6313,20.01,19.6313,20.01,1240000,0.0,1.0
2021-11-11,19.6515,19.73,19.6515,19.73,1501,19.6515,19.73,19.6515,19.73,1501,0.0,1.0
2021-11-12,19.9014,19.9014,19.9014,19.9014,134,19.9014,19.9014,19.9014,19.9014,134,0.0,1.0
2021-11-15,19.8546,20.95,19.85,20.95,5741,19.8546,20.95,19.85,20.95,5741,0.0,1.0
2021-11-16,20.0159,20.03,19.83,19.86,1625,20.0159,20.03,19.83,19.86,1625,0.0,1.0
2021-11-17,19.8282,19.98,19.8,19.98,855,19.8282,19.98,19.8,19.98,855,0.0,1.0
2021-11-18,19.8136,19.8136,19.8136,19.8136,6,19.8136,19.8136,19.8136,19.8136,6,0.0,1.0
2021-11-19,19.672,19.83,19.672,19.83,630,19.672,19.83,19.672,19.83,630,0.0,1.0
2021-11-22,19.2446,19.2446,19.2446,19.2446,75,19.2446,19.2446,19.2446,19.2446,75,0.0,1.0
2021-11-23,19.0205,19.0205,19.0205,19.0205,7,19.0205,19.0205,19.0205,19.0205,7,0.0,1.0
2021-11-24,19.2134,19.2134,19.2134,19.2134,5,19.2134,19.2134,19.2134,19.2134,5,0.0,1.0
2021-11-26,18.839,18.839,18.839,18.839,41,18.839,18.839,18.839,18.839,41,0.0,1.0
2021-11-29,19.112,19.112,19.112,19.112,41,19.112,19.112,19.112,19.112,41,0.0,1.0
2021-11-30,18.6375,18.64,18.6375,18.64,204,18.6375,18.64,18.6375,18.64,204,0.0,1.0
2021-12-01,18.0992,18.0992,18.0992,18.0992,60,18.0992,18.0992,18.0992,18.0992,60,0.0,1.0
2021-12-02,18.3585,18.3585,18.3585,18.3585,12,18.3585,18.3585,18.3585,18.3585,12,0.0,1.0
2021-12-03,17.933,17.933,17.933,17.933,13,17.933,17.933,17.933,17.933,13,0.0,1.0
2021-12-06,18.1769,18.24,18.1769,18.24,506,18.1769,18.24,18.1769,18.24,506,0.0,1.0
2021-12-07,18.65,18.78,17.94,17.94,126907,18.65,18.78,17.94,17.94,126907,0.0,1.0
2021-12-08,19.0318,19.0318,19.0318,19.0318,51,19.0318,19.0318,19.0318,19.0318,51,0.0,1.0
2021-12-09,18.6125,18.6125,18.6125,18.6125,57,18.6125,18.6125,18.6125,18.6125,57,0.0,1.0
2021-12-10,18.5179,18.5179,18.5179,18.5179,3,18.5179,18.5179,18.5179,18.5179,3,0.0,1.0
2021-12-13,18.2052,18.49,18.2,18.44,19057,18.2052,18.49,18.2,18.44,19057,0.0,1.0
2021-12-14,18.0,18.11,17.86,17.97,41065,18.0,18.11,17.86,17.97,41065,0.0,1.0
2021-12-15,18.3579,18.3579,17.7,17.89,88078,18.3579,18.3579,17.7,17.89,88078,0.0,1.0
2021-12-16,17.88,18.49,17.8,18.47,88135,17.88,18.49,17.8,18.47,88135,0.0,1.0
2021-12-17,18.0,18.08,17.56,17.7,62832,18.0,18.08,17.56,17.7,62832,0.0,1.0
2021-12-20,17.72,17.77,17.58,17.67,126336,17.72,17.77,17.58,17.67,126336,0.0,1.0
2021-12-21,18.31,18.32,17.84,17.91,111296,18.31,18.32,17.84,17.91,111296,0.0,1.0
2021-12-22,18.53,18.54,18.27,18.29,90676,18.53,18.54,18.27,18.29,90676,0.0,1.0
2021-12-23,18.71,18.72,18.49,18.55,29612,18.71,18.72,18.49,18.55,29612,0.0,1.0
2021-12-27,18.88,18.89,18.7,18.73,6002,18.88,18.89,18.7,18.73,6002,0.0,1.0
2021-12-28,18.75,18.94,18.75,18.91,39035,18.75,18.94,18.75,18.91,39035,0.0,1.0
2021-12-29,18.7116,18.78,18.58,18.76,44028,18.7116,18.78,18.58,18.76,44028,0.0,1.0
2021-12-30,18.7759,18.79,18.66,18.69,8108,18.7759,18.79,18.66,18.69,8108,0.0,1.0
2021-12-31,18.62,18.85,18.62,18.77,31165,18.62,18.85,18.62,18.77,31165,0.0,1.0
2022-01-03,18.84,18.84,18.57,18.75,62905,18.84,18.84,18.57,18.75,62905,0.0,1.0
2022-01-04,18.54,18.9,18.34,18.87,27603,18.54,18.9,18.34,18.87,27603,0.0,1.0
2022-01-05,17.75,18.47,17.75,18.41,109467,17.75,18.47,17.75,18.41,109467,0.0,1.0
2022-01-06,17.75,17.93,17.47,17.71,3305250,17.75,17.93,17.47,17.71,3305250,0.0,1.0
2022-01-07,17.57,17.92,17.51,17.74,177889,17.57,17.92,17.51,17.74,177889,0.0,1.0
2022-01-10,17.5026,17.5026,16.95,17.31,59109,17.5026,17.5026,16.95,17.31,59109,0.0,1.0
2022-01-11,17.9177,17.9177,17.48,17.55,69620,17.9177,17.9177,17.48,17.55,69620,0.0,1.0
2022-01-12,17.87,18.14,17.87,18.06,25648,17.87,18.14,17.87,18.06,25648,0.0,1.0
2022-01-13,17.37,17.97,17.37,17.94,33204,17.37,17.97,17.37,17.94,33204,0.0,1.0
2022-01-14,17.3385,17.45,17.1,17.25,138076,17.3385,17.45,17.1,17.25,138076,0.0,1.0
2022-01-18,16.8443,17.19,16.8443,16.96,35620,16.8443,17.19,16.8443,16.96,35620,0.0,1.0
2022-01-19,16.7528,17.09,16.7528,16.93,119303,16.7528,17.09,16.7528,16.93,119303,0.0,1.0
2022-01-20,16.54,17.13,16.54,16.91,12366,16.54,17.13,16.54,16.91,12366,0.0,1.0
2022-01-21,16.06,16.53,16.03,16.4,397220,16.06,16.53,16.03,16.4,397220,0.0,1.0
2022-01-24,16.24,16.24,15.17,15.61,1358931,16.24,16.24,15.17,15.61,1358931,0.0,1.0
2022-01-25,15.68,15.97,15.55,15.89,750111,15.68,15.97,15.55,15.89,750111,0.0,1.0
2022-01-26,15.55,16.19,15.39,15.95,711021,15.55,16.19,15.39,15.95,711021,0.0,1.0
2022-01-27,15.3372,15.85,15.32,15.72,325445,15.3372,15.85,15.32,15.72,325445,0.0,1.0
2022-01-28,15.86,15.86,15.18,15.4,326958,15.86,15.86,15.18,15.4,326958,0.0,1.0
2022-01-31,16.57,16.57,15.95,15.95,174012,16.57,16.57,15.95,15.95,174012,0.0,1.0
2022-02-01,16.8,16.8,16.38,16.7,315690,16.8,16.8,16.38,16.7,315690,0.0,1.0
2022-02-02,16.78,17.04,16.62,17.04,438983,16.78,17.04,16.62,17.04,438983,0.0,1.0
2022-02-03,15.98,16.3,15.98,16.13,51387,15.98,16.3,15.98,16.13,51387,0.0,1.0
2022-02-04,16.3803,16.3803,15.96,16.11,203393,16.3803,16.3803,15.96,16.11,203393,0.0,1.0
2022-02-07,16.29,16.6,16.24,16.48,179090,16.29,16.6,16.24,16.48,179090,0.0,1.0
2022-02-08,16.49,16.54,16.17,16.19,171409,16.49,16.54,16.17,16.19,171409,0.0,1.0
2022-02-09,17.05,17.05,16.75,16.79,120818,17.05,17.05,16.75,16.79,120818,0.0,1.0
2022-02-10,16.79,17.19,16.67,16.7,364213,16.79,17.19,16.67,16.7,364213,0.0,1.0
2022-02-11,16.22,16.87,16.13,16.79,363763,16.22,16.87,16.13,16.79,363763,0.0,1.0
2022-02-14,16.2348,16.44,16.12,16.19,122305,16.2348,16.44,16.12,16.19,122305,0.0,1.0
2022-02-15,16.7,16.7,16.45,16.51,94093,16.7,16.7,16.45,16.51,94093,0.0,1.0
2022-02-16,16.63,16.64,16.38,16.52,173893,16.63,16.64,16.38,16.52,173893,0.0,1.0
2022-02-17,16.01,16.47,15.99,16.46,111360,16.01,16.47,15.99,16.46,111360,0.0,1.0
2022-02-18,15.6407,16.02,15.565,15.92,78902,15.6407,16.02,15.565,15.92,78902,0.0,1.0
2022-02-22,15.47,15.73,15.33,15.5,79817,15.47,15.73,15.33,15.5,79817,0.0,1.0
