date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-10-28,25.1,25.11,25.03,25.05,50903,20.585906301978,20.5941078582736,20.5284954079088,20.5448985205,50903,0.0,1.0
2022-10-31,25.07,27.17,25.0668,25.1,13918,20.5613016330912,22.2836284551691,20.5586771350766,20.585906301978,13918,0.0,1.0
2022-11-01,25.1349,25.25,25.07,25.25,6433,20.6145297334497,20.7089296464122,20.5613016330912,20.7089296464122,6433,0.0,1.0
2022-11-02,25.23,25.26,25.13,25.19,16320,20.692526533821,20.7171312027078,20.6105109708649,20.6597203086385,16320,0.0,1.0
2022-11-03,25.2936,25.4212,25.245,25.4212,16878,20.744688431861,20.849340290193,20.7048288682644,20.849340290193,16878,0.0,1.0
2022-11-04,25.14,25.37,25.14,25.292,7640,20.6187125271605,20.8073483219595,20.6187125271605,20.7433761828537,7640,0.0,1.0
2022-11-07,25.1691,25.28,25.155,25.26,10222,20.6425790559807,20.733534315299,20.6310148616039,20.7171312027078,10222,0.0,1.0
2022-11-08,25.1372,25.23,25.06,25.1785,7929,20.6164160913977,20.692526533821,20.5531000767956,20.6502885188986,7929,0.0,1.0
2022-11-09,25.0225,25.1,25.0225,25.1,2620,20.5223442406871,20.585906301978,20.5223442406871,20.585906301978,2620,0.0,1.0
2022-11-10,25.08,25.1654,25.08,25.145,1370,20.5695031893868,20.6395444801513,20.5695031893868,20.6228133053083,1370,0.0,1.0
2022-11-11,25.1551,25.24,25.07,25.21,5842,20.6310968771668,20.7007280901166,20.5613016330912,20.6761234212297,5842,0.0,1.0
2022-11-14,25.175,25.23,25.15,25.23,2537,20.6474179741951,20.692526533821,20.6269140834561,20.692526533821,2537,0.0,1.0
2022-11-15,25.09,25.23,25.08,25.18,4382,20.5777047456824,20.692526533821,20.5695031893868,20.6515187523429,4382,0.0,1.0
2022-11-16,25.205,25.205,25.15,25.195,1813,20.6720226430819,20.6720226430819,20.6269140834561,20.6638210867863,1813,0.0,1.0
2022-11-17,25.213,25.215,25.213,25.215,1331,20.6785838881184,20.6802241993775,20.6785838881184,20.6802241993775,1331,0.0,1.0
2022-11-18,25.213,25.225,25.19,25.22,2209,20.6785838881184,20.6884257556732,20.6597203086385,20.6843249775253,2209,0.0,1.0
2022-11-21,25.2849,25.31,24.5,24.5,6672,20.7375530778838,20.7581389841858,20.0938129242415,20.0938129242415,6672,0.0,1.0
