date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-07-16,24.97,25.06,24.94,25.05,525668,23.6423184660703,23.727533070073,23.6139135980694,23.7180647807393,525668,0.0,1.0
2019-07-17,24.8,25.03,24.8,25.03,3819,23.4813575473986,23.6991282020721,23.4813575473986,23.6991282020721,3819,0.0,1.0
2019-07-18,24.94,24.94,24.81,24.81,4471,23.6139135980694,23.6139135980694,23.4908258367323,23.4908258367323,4471,0.0,1.0
2019-07-19,24.95,25.02,24.91,25.02,6204,23.6233818874031,23.6896599127385,23.5855087300685,23.6896599127385,6204,0.0,1.0
2019-07-22,24.91,24.925,24.881,24.91,15475,23.5855087300685,23.599711164069,23.558050691001,23.5855087300685,15475,0.0,1.0
2019-07-23,25.066,25.066,24.95,24.96,9305,23.7332140436731,23.7332140436731,23.6233818874031,23.6328501767367,9305,0.0,1.0
2019-07-24,25.15,25.17,25.12,25.15,7647,23.8127476740756,23.8316842527429,23.7843428060747,23.8127476740756,7647,0.0,1.0
2019-07-25,25.09,25.12,25.045,25.12,9650,23.7559379380739,23.7843428060747,23.7133306360725,23.7843428060747,9650,0.0,1.0
2019-07-26,25.082,25.09,25.04,25.068,3220,23.748363306607,23.7559379380739,23.7085964914057,23.7351077015399,3220,0.0,1.0
2019-07-29,25.12,25.14,25.01,25.14,4513,23.7843428060747,23.803279384742,23.6801916234048,23.803279384742,4513,0.0,1.0
2019-07-30,25.07,25.07,25.04,25.04,9696,23.7370013594066,23.7370013594066,23.7085964914057,23.7085964914057,9696,0.0,1.0
2019-07-31,24.95,25.21,24.95,25.21,7504,23.6233818874031,23.8695574100774,23.6233818874031,23.8695574100774,7504,0.0,1.0
2019-08-01,24.533,25.0,24.533,24.86,6763,23.2285542221907,23.6707233340712,23.2285542221907,23.5381672834004,6763,0.0,1.0
2019-08-02,24.2,24.51,24.19,24.51,3739,22.9132601873809,23.2067771567234,22.9037918980473,23.2067771567234,3739,0.0,1.0
2019-08-05,23.49,23.83,23.49,23.791,12927,22.2410116446933,22.5629334820367,22.2410116446933,22.5260071536355,12927,0.0,1.0
2019-08-06,23.716,23.753,23.57,23.59,10426,22.4549949836333,22.4900276541677,22.3167579593623,22.3356945380296,10426,0.0,1.0
2019-08-07,23.566,23.6,23.413,23.6,5361,22.3129706436289,22.3451628273632,22.1681058168244,22.3451628273632,5361,0.0,1.0
2019-08-08,24.23,24.23,24.02,24.02,2977,22.9416650553818,22.9416650553818,22.7428309793756,22.7428309793756,2977,0.0,1.0
2019-08-09,24.065,24.2,24.065,24.2,1493,22.7854382813769,22.9132601873809,22.7854382813769,22.9132601873809,1493,0.0,1.0
2019-08-12,23.78,24.01,23.78,23.901,2184,22.5155920353685,22.733362690042,22.5155920353685,22.6301583363054,2184,0.0,1.0
2019-08-13,24.294,24.32,24.24,24.3,5024,23.002262107117,23.0268796593845,22.9511333447154,23.0079430807172,5024,0.0,1.0
2019-08-14,23.55,23.8,23.55,23.78,9035,22.2978213806951,22.5345286140358,22.2978213806951,22.5155920353685,9035,0.0,1.0
2019-08-15,23.36,23.532,23.36,23.53,8415,22.1179238833561,22.2807784598945,22.1179238833561,22.2788848020278,8415,0.0,1.0
2019-08-16,23.8619,23.8619,23.7567,23.7567,2364,22.5931373250109,22.5931373250109,22.4935309212212,22.4935309212212,2364,0.0,1.0
2019-08-19,24.19,24.21,24.16,24.19,7971,22.9037918980473,22.9227284767145,22.8753870300464,22.9037918980473,7971,0.0,1.0
2019-08-20,24.06,24.21,24.06,24.21,11964,22.7807041367101,22.9227284767145,22.7807041367101,22.9227284767145,11964,0.0,1.0
2019-08-21,24.239,24.239,24.23,24.23,2286,22.9501865157821,22.9501865157821,22.9416650553818,22.9416650553818,2286,0.0,1.0
2019-08-22,24.27,24.36,24.15,24.36,4071,22.9795382127163,23.064752816719,22.8659187407128,23.064752816719,4071,0.0,1.0
2019-08-23,23.47,24.23,23.47,24.182,3570,22.222075066026,22.9416650553818,22.222075066026,22.8962172665804,3570,0.0,1.0
2019-08-26,23.7,23.82,23.68,23.82,2119,22.4398457206995,22.553465192703,22.4209091420322,22.553465192703,2119,0.0,1.0
2019-08-27,23.75,23.803,23.7,23.79,9327,22.4871871673676,22.5373691008359,22.4398457206995,22.5250603247021,9327,0.0,1.0
2019-08-28,23.85,23.85,23.62,23.69,2784,22.5818700607039,22.5818700607039,22.3640994060305,22.4303774313659,2784,0.0,1.0
2019-08-29,24.237,24.237,24.16,24.18,2014,22.9482928579153,22.9482928579153,22.8753870300464,22.8943236087137,2014,0.0,1.0
2019-08-30,24.14,24.34,24.14,24.32,1603,22.8564504513791,23.0458162380517,22.8564504513791,23.0268796593845,1603,0.0,1.0
2019-09-03,23.99,24.02,23.93,24.01,5339,22.7144261113747,22.7428309793756,22.6576163753729,22.733362690042,5339,0.0,1.0
2019-09-04,24.21,24.25,24.21,24.24,4309,22.9227284767145,22.9606016340491,22.9227284767145,22.9511333447154,4309,0.0,1.0
2019-09-05,24.68,24.72,24.56,24.56,15068,23.3677380753951,23.4056112327296,23.2541186033915,23.2541186033915,15068,0.0,1.0
2019-09-06,24.73,24.735,24.68,24.69,6641,23.4150795220632,23.41981366673,23.3677380753951,23.3772063647287,6641,0.0,1.0
2019-09-09,24.71,24.84,24.71,24.84,21826,23.396142943396,23.5192307047331,23.396142943396,23.5192307047331,21826,0.0,1.0
2019-09-10,24.81,24.81,24.62,24.62,10277,23.4908258367323,23.4908258367323,23.3109283393933,23.3109283393933,10277,0.0,1.0
2019-09-11,25.12,25.12,24.91,24.91,8379,23.7843428060747,23.7843428060747,23.5855087300685,23.5855087300685,8379,0.0,1.0
2019-09-12,25.24,25.27,25.14,25.27,12249,23.8979622780783,23.9263671460792,23.803279384742,23.9263671460792,12249,0.0,1.0
2019-09-13,25.126,25.25,25.126,25.25,9484,23.7900237796749,23.9074305674119,23.7900237796749,23.9074305674119,9484,0.0,1.0
2019-09-16,25.13,25.16,25.06,25.16,4780,23.7938110954084,23.8222159634093,23.727533070073,23.8222159634093,4780,0.0,1.0
2019-09-17,25.02,25.06,25.01,25.06,7037,23.7654062274075,23.8034004819677,23.7559076637674,23.8034004819677,7037,0.08,1.0
2019-09-18,25.06,25.06,24.85,25.04,3241,23.8034004819677,23.8034004819677,23.6039306455266,23.7844033546876,3241,0.0,1.0
2019-09-19,25.13,25.16,25.1,25.11,8525,23.869890427448,23.8983861183682,23.8413947365279,23.8508933001679,8525,0.0,1.0
2019-09-20,24.99,25.15,24.99,25.15,7512,23.7369105364873,23.8888875547281,23.7369105364873,23.8888875547281,7512,0.0,1.0
2019-09-23,25.01,25.01,25.01,25.01,656,23.7559076637674,23.7559076637674,23.7559076637674,23.7559076637674,656,0.0,1.0
2019-09-24,24.721,25.012,24.7,25.01,9907,23.48139917457,23.7578073764954,23.4614521909259,23.7559076637674,9907,0.0,1.0
