date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-11,52.92,56.42,52.2801,55.2,482648,13.23,14.105,13.070025,13.8,1930592,0.0,1.0
2024-01-12,49.62,52.68,49.26,52.65,332145,12.405,13.17,12.315,13.1625,1328580,0.0,1.0
2024-01-16,49.2,49.35,47.95,49.05,175397,12.3,12.3375,11.9875,12.2625,701588,0.0,1.0
2024-01-17,48.58,48.82,48.1129,48.42,131816,12.145,12.205,12.028225,12.105,527264,0.0,1.0
2024-01-18,46.42,48.55,46.23,48.4,220621,11.605,12.1375,11.5575,12.1,882484,0.0,1.0
2024-01-19,47.21,47.9,45.75,46.82,200326,11.8025,11.975,11.4375,11.705,801304,0.0,1.0
2024-01-22,45.68,46.3863,45.0,46.24,133362,11.42,11.596575,11.25,11.56,533448,0.0,1.0
2024-01-23,44.41,44.93,43.77,44.3,171729,11.1025,11.2325,10.9425,11.075,686916,0.0,1.0
2024-01-24,44.8399,45.58,44.8399,45.43,47758,11.209975,11.395,11.209975,11.3575,191032,0.0,1.0
2024-01-25,45.06,45.43,44.78,45.35,100420,11.265,11.3575,11.195,11.3375,401680,0.0,1.0
2024-01-26,47.55,47.75,46.6639,46.7,82308,11.8875,11.9375,11.665975,11.675,329232,0.0,1.0
2024-01-29,48.93,49.02,47.33,47.56,343294,12.2325,12.255,11.8325,11.89,1373176,0.0,1.0
2024-01-30,49.36,49.54,48.985,49.19,55153,12.34,12.385,12.24625,12.2975,220612,0.0,1.0
2024-01-31,48.17,49.53,48.11,48.41,167397,12.0425,12.3825,12.0275,12.1025,669588,0.0,1.0
2024-02-01,48.75,48.98,47.96,48.0,94409,12.1875,12.245,11.99,12.0,377636,0.0,1.0
2024-02-02,48.68,49.2,48.35,48.37,120977,12.17,12.3,12.0875,12.0925,483908,0.0,1.0
2024-02-05,48.06,49.17,47.87,49.17,126999,12.015,12.2925,11.9675,12.2925,507996,0.0,1.0
2024-02-06,48.77,49.13,48.51,48.59,202081,12.1925,12.2825,12.1275,12.1475,808324,0.0,1.0
2024-02-07,50.02,50.15,48.62,48.86,386270,12.505,12.5375,12.155,12.215,1545080,0.0,1.0
2024-02-08,51.59,51.66,50.87,51.05,183320,12.8975,12.915,12.7175,12.7625,733280,0.0,1.0
2024-02-09,53.87,54.62,53.02,53.3,198347,13.4675,13.655,13.255,13.325,793388,0.0,1.0
